REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X13_0EWZ_0229Kronos_MM1S.KB.1hr.1_H3K27Ac_hs.dm_i22.bam	X37_0EXP_0229Kronos_MM1S.KB.1hr.1_Input_hs_i80.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
10_MACS_peak_8533_lociStitched	chr16	11762483	11843219	10	61320	178999.7856	14427.5232	1	SNN,TXNDC11	ZC3H7A	TXNDC11	1	1
10_MACS_peak_16989_lociStitched	chr3	141079146	141151139	10	54072	365134.0974	13383.4987	2	ZBTB38		ZBTB38	2	1
5_MACS_peak_14486_lociStitched	chr20	30262201	30312289	5	44445	135793.5768	9546.7728	3	BCL2L1	COX4I2,TPX2	BCL2L1	3	1
7_MACS_peak_7175_lociStitched	chr14	91829533	91885799	7	44071	111913.074	5744.7586	4	CCDC88C		CCDC88C	4	1
6_MACS_peak_13100_lociStitched	chr2	99054910	99107973	6	42504	146252.2406	10485.2488	5	INPP4A		INPP4A	5	1
5_MACS_peak_20040_lociStitched	chr6	7878362	7919608	5	40089	248738.1276	8455.43	6	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	6	1
5_MACS_peak_20951_lociStitched	chr6	108878190	108920963	5	36493	53145.4525	6492.9414	7	FOXO3		FOXO3	7	1
5_MACS_peak_1188_lociStitched	chr1	118142087	118188177	5	36181	142127.733	5314.177	8	FAM46C		FAM46C	8	1
7_MACS_peak_14529_lociStitched	chr20	32398716	32448793	7	35000	91500.6944	8928.7291	9	CHMP4B		CHMP4B	9	1
4_MACS_peak_10932_lociStitched	chr18	46440413	46479967	4	34921	79147.554	6894.2622	10	SMAD7		SMAD7	10	1
9_MACS_peak_9818_lociStitched	chr17	34597798	34641284	9	33756	97304.2736	9666.9378	11	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	11	1
8_MACS_peak_20616_lociStitched	chr6	52392870	52442985	8	33211	80018.6205	9010.677	12	TRAM2		TRAM2	12	1
7_MACS_peak_19933_lociStitched	chr6	290165	337743	7	29594	149437.7402	15191.6554	13	DUSP22		DUSP22	13	1
8_MACS_peak_9055_lociStitched	chr16	68269948	68320735	8	28804	60644.7567	8323.9893	14	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	14	1
7_MACS_peak_7447_lociStitched	chr15	31616842	31660415	7	28660	67756.015	7289.7629	15	KLF13		KLF13	15	1
