GENE_ID	locusLine	bin_1_38_0EXQ_0229Kronos_MM1S-KB-1hr-2_Input_hs_i81.bam
1_MACS_peak_1_lociStitched	chr1(.):9853-10755	0.7583
1_MACS_peak_2_lociStitched	chr1(.):28157-30337	0.2566
1_MACS_peak_3_lociStitched	chr1(.):713197-715337	0.2252
1_MACS_peak_4_lociStitched	chr1(.):752137-753215	0.152
1_MACS_peak_5_lociStitched	chr1(.):761627-763929	0.1973
1_MACS_peak_6_lociStitched	chr1(.):879108-880898	0.1618
3_MACS_peak_7_lociStitched	chr1(.):893757-902759	0.1276
1_MACS_peak_10_lociStitched	chr1(.):948078-949572	0.2624
1_MACS_peak_11_lociStitched	chr1(.):998994-1000105	0.1639
1_MACS_peak_12_lociStitched	chr1(.):1051112-1051922	0.1157
1_MACS_peak_13_lociStitched	chr1(.):1079235-1080281	0.1304
1_MACS_peak_14_lociStitched	chr1(.):1092793-1094122	0.1376
1_MACS_peak_15_lociStitched	chr1(.):1166136-1167861	0.2012
1_MACS_peak_16_lociStitched	chr1(.):1185088-1185949	0.1065
1_MACS_peak_17_lociStitched	chr1(.):1207860-1210328	0.1741
2_MACS_peak_18_lociStitched	chr1(.):1242355-1245297	0.1726
1_MACS_peak_20_lociStitched	chr1(.):1259381-1261840	0.1497
2_MACS_peak_21_lociStitched	chr1(.):1283644-1285532	0.0769
1_MACS_peak_23_lociStitched	chr1(.):1309318-1311607	0.1844
2_MACS_peak_24_lociStitched	chr1(.):1333419-1343685	0.1716
2_MACS_peak_26_lociStitched	chr1(.):1396709-1408851	0.1475
2_MACS_peak_28_lociStitched	chr1(.):1439724-1449005	0.1589
1_MACS_peak_30_lociStitched	chr1(.):1509098-1511298	0.1568
1_MACS_peak_31_lociStitched	chr1(.):1537623-1538627	0.1276
1_MACS_peak_32_lociStitched	chr1(.):1549757-1552352	0.2163
1_MACS_peak_33_lociStitched	chr1(.):1589372-1591667	0.1888
2_MACS_peak_34_lociStitched	chr1(.):1606155-1611201	0.1872
1_MACS_peak_36_lociStitched	chr1(.):1622749-1625730	0.1908
1_MACS_peak_37_lociStitched	chr1(.):1654726-1656876	0.2098
2_MACS_peak_38_lociStitched	chr1(.):1668781-1679070	0.1523
2_MACS_peak_40_lociStitched	chr1(.):1708629-1714976	0.1838
1_MACS_peak_42_lociStitched	chr1(.):1754853-1756325	0.1067
1_MACS_peak_43_lociStitched	chr1(.):1772276-1775277	0.1457
2_MACS_peak_44_lociStitched	chr1(.):1820948-1829714	0.1153
1_MACS_peak_46_lociStitched	chr1(.):1838069-1840996	0.1767
1_MACS_peak_47_lociStitched	chr1(.):2125845-2127261	0.1072
1_MACS_peak_48_lociStitched	chr1(.):2158441-2159401	0.056
1_MACS_peak_49_lociStitched	chr1(.):2186246-2188469	0.226
1_MACS_peak_50_lociStitched	chr1(.):2221149-2223446	0.203
1_MACS_peak_51_lociStitched	chr1(.):2230907-2233758	0.2244
1_MACS_peak_52_lociStitched	chr1(.):2321976-2324366	0.1564
1_MACS_peak_53_lociStitched	chr1(.):2342891-2346092	0.1598
1_MACS_peak_54_lociStitched	chr1(.):2456765-2458399	0.1661
2_MACS_peak_55_lociStitched	chr1(.):2477070-2489139	0.1682
1_MACS_peak_57_lociStitched	chr1(.):2516587-2518815	0.1106
1_MACS_peak_58_lociStitched	chr1(.):2573685-2575070	0.1148
2_MACS_peak_59_lociStitched	chr1(.):3540314-3547816	0.1433
2_MACS_peak_61_lociStitched	chr1(.):3565771-3570076	0.0946
1_MACS_peak_63_lociStitched	chr1(.):3589173-3590315	0.1733
1_MACS_peak_64_lociStitched	chr1(.):3711952-3713790	0.1963
1_MACS_peak_65_lociStitched	chr1(.):3772673-3775036	0.2034
1_MACS_peak_66_lociStitched	chr1(.):3815838-3818340	0.225
1_MACS_peak_67_lociStitched	chr1(.):4066936-4068689	0.1513
1_MACS_peak_68_lociStitched	chr1(.):4997741-4998393	0.0613
1_MACS_peak_69_lociStitched	chr1(.):6051333-6055456	0.1623
1_MACS_peak_70_lociStitched	chr1(.):6083752-6087197	0.1677
2_MACS_peak_71_lociStitched	chr1(.):6258182-6266647	0.1246
1_MACS_peak_73_lociStitched	chr1(.):6294545-6296881	0.1476
1_MACS_peak_74_lociStitched	chr1(.):6419311-6420622	0.1898
1_MACS_peak_75_lociStitched	chr1(.):6452109-6454774	0.1226
1_MACS_peak_76_lociStitched	chr1(.):6549800-6551732	0.1411
1_MACS_peak_77_lociStitched	chr1(.):6613549-6615404	0.1356
1_MACS_peak_78_lociStitched	chr1(.):6639586-6641151	0.215
1_MACS_peak_79_lociStitched	chr1(.):6660012-6664813	0.2089
1_MACS_peak_80_lociStitched	chr1(.):6672448-6674931	0.1294
1_MACS_peak_81_lociStitched	chr1(.):6684522-6686653	0.2135
1_MACS_peak_82_lociStitched	chr1(.):6733386-6734902	0.167
1_MACS_peak_83_lociStitched	chr1(.):6760745-6762320	0.1835
1_MACS_peak_84_lociStitched	chr1(.):6843643-6845540	0.1886
1_MACS_peak_85_lociStitched	chr1(.):6978149-6979942	0.1649
1_MACS_peak_86_lociStitched	chr1(.):7830986-7832351	0.1488
2_MACS_peak_87_lociStitched	chr1(.):8013709-8022684	0.1248
1_MACS_peak_89_lociStitched	chr1(.):8455208-8456423	0.1571
3_MACS_peak_90_lociStitched	chr1(.):8650314-8665361	0.1409
1_MACS_peak_93_lociStitched	chr1(.):8740463-8741616	0.1169
3_MACS_peak_94_lociStitched	chr1(.):8760747-8773741	0.1447
1_MACS_peak_97_lociStitched	chr1(.):8875958-8878958	0.177
1_MACS_peak_98_lociStitched	chr1(.):8937068-8939941	0.2348
1_MACS_peak_99_lociStitched	chr1(.):9139702-9141548	0.1503
1_MACS_peak_100_lociStitched	chr1(.):9222232-9226027	0.2097
1_MACS_peak_101_lociStitched	chr1(.):9241020-9243302	0.1571
1_MACS_peak_102_lociStitched	chr1(.):9294442-9295831	0.0938
1_MACS_peak_103_lociStitched	chr1(.):9485386-9487606	0.1838
1_MACS_peak_104_lociStitched	chr1(.):9599190-9600411	0.096
1_MACS_peak_105_lociStitched	chr1(.):9648531-9650350	0.1417
1_MACS_peak_106_lociStitched	chr1(.):9776815-9778672	0.2343
1_MACS_peak_107_lociStitched	chr1(.):9846303-9848761	0.1648
1_MACS_peak_108_lociStitched	chr1(.):9882704-9884161	0.1807
1_MACS_peak_109_lociStitched	chr1(.):9969067-9971694	0.2179
2_MACS_peak_110_lociStitched	chr1(.):10002186-10011560	0.1292
1_MACS_peak_112_lociStitched	chr1(.):10050279-10051891	0.1718
1_MACS_peak_113_lociStitched	chr1(.):10078308-10079859	0.2107
1_MACS_peak_114_lociStitched	chr1(.):10092196-10094386	0.2167
1_MACS_peak_115_lociStitched	chr1(.):10228540-10231434	0.1864
1_MACS_peak_116_lociStitched	chr1(.):10248908-10250994	0.1278
1_MACS_peak_117_lociStitched	chr1(.):10260080-10261365	0.2075
1_MACS_peak_118_lociStitched	chr1(.):10269615-10271888	0.1884
1_MACS_peak_119_lociStitched	chr1(.):10310627-10314881	0.1923
1_MACS_peak_120_lociStitched	chr1(.):10447554-10448624	0.0694
1_MACS_peak_121_lociStitched	chr1(.):10458165-10460320	0.1312
1_MACS_peak_122_lociStitched	chr1(.):10489824-10491801	0.2349
1_MACS_peak_123_lociStitched	chr1(.):10504484-10505726	0.2011
1_MACS_peak_124_lociStitched	chr1(.):10516454-10517952	0.1793
2_MACS_peak_125_lociStitched	chr1(.):10531699-10535935	0.1899
1_MACS_peak_127_lociStitched	chr1(.):10554555-10556225	0.1858
1_MACS_peak_128_lociStitched	chr1(.):10999569-11000893	0.2083
1_MACS_peak_129_lociStitched	chr1(.):11071623-11073821	0.2675
1_MACS_peak_130_lociStitched	chr1(.):11118641-11121390	0.157
1_MACS_peak_131_lociStitched	chr1(.):11158747-11160567	0.22
1_MACS_peak_132_lociStitched	chr1(.):11321659-11323387	0.2544
1_MACS_peak_133_lociStitched	chr1(.):11332805-11334466	0.1754
1_MACS_peak_134_lociStitched	chr1(.):11538449-11539873	0.1303
1_MACS_peak_135_lociStitched	chr1(.):11625972-11631773	0.1742
1_MACS_peak_136_lociStitched	chr1(.):11723923-11725417	0.1276
1_MACS_peak_137_lociStitched	chr1(.):11740302-11742094	0.165
1_MACS_peak_138_lociStitched	chr1(.):11795485-11798077	0.2171
1_MACS_peak_139_lociStitched	chr1(.):11843069-11846047	0.1879
1_MACS_peak_140_lociStitched	chr1(.):11864477-11867787	0.2284
1_MACS_peak_141_lociStitched	chr1(.):11967432-11970716	0.2065
3_MACS_peak_142_lociStitched	chr1(.):11984448-11995545	0.136
1_MACS_peak_145_lociStitched	chr1(.):12039373-12041401	0.1705
1_MACS_peak_146_lociStitched	chr1(.):12078776-12080690	0.203
2_MACS_peak_147_lociStitched	chr1(.):12106972-12113109	0.1537
2_MACS_peak_149_lociStitched	chr1(.):12221164-12227954	0.1673
1_MACS_peak_151_lociStitched	chr1(.):12289728-12291535	0.1742
1_MACS_peak_152_lociStitched	chr1(.):12897237-12898128	0.0793
1_MACS_peak_153_lociStitched	chr1(.):13824527-13825854	0.0941
1_MACS_peak_154_lociStitched	chr1(.):14026032-14027546	0.1421
1_MACS_peak_155_lociStitched	chr1(.):14056586-14058400	0.1293
1_MACS_peak_156_lociStitched	chr1(.):14074785-14077228	0.1239
1_MACS_peak_157_lociStitched	chr1(.):14155269-14156348	0.1964
1_MACS_peak_158_lociStitched	chr1(.):14237594-14239588	0.1293
1_MACS_peak_159_lociStitched	chr1(.):14246746-14249606	0.1239
1_MACS_peak_160_lociStitched	chr1(.):14271794-14273638	0.0937
1_MACS_peak_161_lociStitched	chr1(.):14293518-14295239	0.1495
