GENE_ID	locusLine	bin_1_04_0EWQ_0229Kronos_MM1S-KB-1hr-2_H3K18Ac_hs-dm_i06.bam
NM_024408	chr1(.):120449175-120617276	0.1425
NR_002188	chr1(.):155178615-155202325	0.5884
NM_003820	chr1(.):2482804-2500267	0.4288
NM_001113348	chr1(.):21538739-21677034	0.2766
NM_004091	chr1(.):23827921-23862713	0.8314
NM_020448	chr1(.):24737244-24804473	0.1053
NM_173065	chr1(.):24475646-24518751	0.833
NM_020379	chr1(.):25938958-26116258	0.2918
NM_001048199	chr1(.):28827454-28870708	0.4441
NR_002909	chr1(.):28827454-28842404	0.8772
NM_002379	chr1(.):31179123-31201432	0.2685
NR_034182	chr1(.):31186618-31204593	0.3005
NM_001127714	chr1(.):41970683-42389496	0.244
NM_006845	chr1(.):45200489-45238438	0.1159
NM_001101662	chr1(.):52249865-52349609	0.199
NM_002600	chr1(.):66253855-66845262	0.1927
NM_001037341	chr1(.):66253192-66845262	0.1925
NM_001037340	chr1(.):66453389-66845262	0.2485
NM_198459	chr1(.):115122195-115217732	0.076
NM_203458	chr1(.):145204110-145290912	0.4114
NM_004892	chr1(.):145091406-145121922	0.2789
NM_153713	chr1(.):145472084-145504091	0.2101
NM_207168	chr1(.):150594521-150607098	0.6757
NM_020699	chr1(.):153772202-153900451	0.1848
NM_020524	chr1(.):154911558-154933567	1.4728
NM_181359	chr1(.):154372668-154445188	0.6398
NM_002249	chr1(.):154674914-154847754	0.4887
NM_170782	chr1(.):154674914-154837338	0.5006
NM_005572	chr1(.):156079460-156112657	0.4646
NM_170708	chr1(.):156079460-156114878	0.4479
NM_005973	chr1(.):156732273-156775609	0.2823
NM_012394	chr1(.):161065345-161092866	0.3227
NM_015149	chr1(.):183600207-183902666	0.306
NM_025191	chr1(.):184654624-184729041	0.3436
NM_024420	chr1(.):186793031-186963113	0.1368
NM_144977	chr1(.):197516384-197749623	0.161
NM_001195215	chr1(.):197468878-197749623	0.1479
NM_014827	chr1(.):203759750-203828256	0.1797
NM_001684	chr1(.):203590927-203718209	0.2417
NM_015375	chr1(.):205106630-205185727	0.1803
NM_182663	chr1(.):206675878-206767616	0.4066
NM_001193338	chr1(.):207071630-207100235	0.7488
NM_005449	chr1(.):207071630-207100378	0.7458
NM_006147	chr1(.):209956261-209984479	0.3011
NM_001143962	chr1(.):223709971-223858436	0.0737
NM_002221	chr1(.):226814390-226931876	0.7588
NM_004481	chr1(.):230197955-230422875	0.435
NM_002074	chr1(.):1711728-1827495	0.1432
NM_138705	chr1(.):1841265-1853733	0.1902
NM_178545	chr1(.):1844028-1855740	0.1824
NM_001010926	chr1(.):2455183-2466684	0.2607
NR_026927	chr1(.):2476358-2489284	1.0035
NM_018216	chr1(.):2434974-2463035	0.1281
NM_001195741	chr1(.):2513188-2527908	0.2507
NR_036638	chr1(.):2512898-2527908	0.2472
NM_177540	chr1(.):6610337-6644817	0.175
NM_005341	chr1(.):6635062-6654340	0.1527
NM_014851	chr1(.):6645783-6667929	0.4913
NM_153812	chr1(.):6668755-6689093	0.3534
NM_024654	chr1(.):6576406-6619658	0.1038
NM_001195752	chr1(.):6680209-6698642	0.2091
NM_001195753	chr1(.):6679924-6698642	0.206
NM_014675	chr1(.):17243444-17304474	0.1179
NM_001397	chr1(.):21538739-21621982	0.3409
NM_001113347	chr1(.):21538739-21611183	0.0919
NM_001113349	chr1(.):21538739-21621766	0.3376
NM_017707	chr1(.):23750055-23815750	0.0934
NM_002167	chr1(.):23879408-23891322	0.4771
NR_027042	chr1(.):23948823-23972056	0.1871
NM_021258	chr1(.):24441260-24474611	0.1063
NR_027087	chr1(.):24521729-24543180	0.4597
NM_001199013	chr1(.):24678488-24745262	0.2204
NM_001199012	chr1(.):24678488-24746587	0.2175
NM_015627	chr1(.):25865075-25900377	0.7808
NM_006015	chr1(.):27017521-27113601	0.3595
NM_014280	chr1(.):28521789-28564542	0.179
NM_016311	chr1(.):28557610-28569611	0.4848
NM_001164721	chr1(.):28468676-28525447	0.1441
NM_001164722	chr1(.):28468676-28525437	0.1441
NM_031459	chr1(.):28581005-28614002	0.1367
NR_024127	chr1(.):28900049-28913366	0.7281
NM_152304	chr1(.):28913711-28926088	0.483
NM_001193532	chr1(.):28914006-28926088	0.4681
NR_003035	chr1(.):28902431-28912565	0.8845
NR_002987	chr1(.):28901275-28911405	0.8714
NR_003109	chr1(.):28874528-28910057	0.4733
NM_001269	chr1(.):28839744-28870708	0.2114
NR_002976	chr1(.):28901892-28912024	0.8685
NR_003077	chr1(.):28900254-28910334	0.8779
NM_006762	chr1(.):31200314-31235683	1.4326
NM_005202	chr1(.):36555843-36570850	0.0895
NM_018067	chr1(.):36616802-36651441	0.4052
NM_014408	chr1(.):36597172-36620067	0.428
NM_022756	chr1(.):37953175-37985364	0.1303
NM_025079	chr1(.):37935118-37954978	0.4872
NR_002983	chr1(.):40028045-40038182	0.6522
NR_003929	chr1(.):39982951-40030370	0.289
NM_001135653	chr1(.):40021484-40047521	0.517
NM_001198979	chr1(.):40854016-40893998	0.1313
NM_001198978	chr1(.):40835304-40893998	0.2966
NM_001198980	chr1(.):40857471-40893998	0.0921
NM_022733	chr1(.):40834377-40893998	0.2929
NM_001145636	chr1(.):45135393-45196263	0.2153
NM_024587	chr1(.):45114500-45145099	0.1672
NR_001456	chr1(.):45238513-45248584	0.7269
NR_001457	chr1(.):45239061-45249130	0.7317
NM_153274	chr1(.):45244256-45258426	0.1328
NM_001012	chr1(.):45236245-45249412	0.5712
NR_000024	chr1(.):45237163-45247261	0.727
NR_000015	chr1(.):45236536-45246610	0.7243
NR_031580	chr1(.):52297015-52307074	0.0575
NM_001037339	chr1(.):66792792-66845262	0.5343
NM_006769	chr1(.):87789150-87819607	0.3658
NM_004974	chr1(.):111140775-111153345	0.0747
NM_002232	chr1(.):111209309-111222655	0.3822
NM_007158	chr1(.):115254536-115305624	0.1618
NM_002524	chr1(.):115242077-115264515	0.379
NM_001172626	chr1(.):115210719-115243239	0.3057
NM_001007553	chr1(.):115254537-115305624	0.1618
NM_001130523	chr1(.):115254537-115305671	0.1617
NM_017709	chr1(.):118143603-118176011	2.2399
NM_032305	chr1(.):145451235-145475387	0.682
NM_202004	chr1(.):145408190-145422545	0.1306
NM_006472	chr1(.):145433461-145447628	0.63
NM_001039888	chr1(.):145465507-145480647	0.2708
NM_003846	chr1(.):145511164-145528732	0.5206
NM_005105	chr1(.):145502637-145516444	0.9206
NM_001184795	chr1(.):145511559-145528732	0.5283
NM_003637	chr1(.):145519989-145548868	0.1262
NM_144698	chr1(.):145544208-145573526	0.15
NR_002328	chr1(.):145504819-145521076	0.8638
NM_001161334	chr1(.):149749244-149788928	0.2408
NM_001034077	chr1(.):149799220-149809616	0.7131
NM_001005464	chr1(.):149807258-149817765	1.3178
NM_001040874	chr1(.):149808784-149819318	1.3214
NM_001123375	chr1(.):149779779-149790236	0.471
NM_000566	chr1(.):149749249-149769074	0.1899
NM_016074	chr1(.):149866154-149877348	0.364
NM_003528	chr1(.):149851009-149863232	1.1448
NM_003517	chr1(.):149853524-149863961	1.3132
NM_175065	chr1(.):149854018-149864466	1.3093
NR_036461	chr1(.):149816758-149827340	1.2724
NM_001040874	chr1(.):149817627-149828161	1.2792
