REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
9_MACS_peak_23199_lociStitched	chr3	141078882	141164546	9	75843	298890.2624	1	1	ZBTB38	RASA2	ZBTB38	1	1
5_MACS_peak_18062_lociStitched	chr2	99053010	99135819	5	68661	238788.0324	2	1	INPP4A		INPP4A	2	1
5_MACS_peak_2246_lociStitched	chr1	162529903	162584181	5	52647	262781.5092	3	1	UAP1	DDR2	UAP1	3	1
8_MACS_peak_14172_lociStitched	chr17	62133099	62210706	8	67025	204998.8905	4	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	4	1
3_MACS_peak_22657_lociStitched	chr3	98448030	98511346	3	60515	225303.6544	5	1	ST3GAL6		ST3GAL6	5	1
1_MACS_peak_27479_lociStitched	chr6	7878325	7921702	1	43378	278632.1595	6	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	6	1
5_MACS_peak_1679_lociStitched	chr1	118147672	118218918	5	64532	177245.7988	7	1	FAM46C		FAM46C	7	1
4_MACS_peak_2081_lociStitched	chr1	156441145	156480251	4	35006	275204.5644	8	1	MEF2D	C1orf61	MEF2D	8	1
8_MACS_peak_28200_lociStitched	chr6	45381213	45445766	8	55447	214541.8955	9	1	RUNX2	SUPT3H	RUNX2	9	1
5_MACS_peak_10021_lociStitched	chr14	91812631	91885839	5	65703	160794.0512	10	1	CCDC88C		CCDC88C	10	1
1_MACS_peak_17987_lociStitched	chr2	89129615	89171449	1	41835	227426.3576	11	1			ANKRD36BP2	11	1
9_MACS_peak_2751_lociStitched	chr1	203236322	203298469	9	43431	184899.7544	12	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	12	1
7_MACS_peak_2010_lociStitched	chr1	154907463	154957603	7	37000	203829.128	13	1	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	13	1
5_MACS_peak_27371_lociStitched	chr6	290981	337956	5	38688	173906.1475	14	1	DUSP22		DUSP22	14	1
2_MACS_peak_24478_lociStitched	chr4	71513338	71558576	2	43456	151212.5388	15	1	UTP3,IGJ	ENAM,RUFY3	IGJ	15	1
3_MACS_peak_8694_lociStitched	chr13	41537963	41594703	3	53499	85234.828	16	1	ELF1	WBP4,SUGT1P3	ELF1	16	1
6_MACS_peak_2198_lociStitched	chr1	161122617	161164068	6	32727	186376.1313	17	1	UFC1,USP21,PPOX,B4GALT3,ADAMTS4	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,APOA2,NR1I3	B4GALT3	17	1
4_MACS_peak_1629_lociStitched	chr1	115210314	115260546	4	46331	128819.964	18	1	DENND2C,AMPD1,NRAS,CSDE1		AMPD1	18	1
1_MACS_peak_2091_lociStitched	chr1	156624248	156648750	1	24503	201325.5834	19	1	BCAN,NES	HAPLN2,BCAN,C1orf66,CRABP2,ISG20L2	NES	19	1
3_MACS_peak_1860_lociStitched	chr1	149801037	149835801	3	31407	181436.7924	20	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	20	1
2_MACS_peak_17979_lociStitched	chr2	88889862	88928714	2	38837	150434.944	21	1	EIF2AK3		EIF2AK3	21	1
6_MACS_peak_4852_lociStitched	chr10	125812510	125868074	6	42787	131847.8156	22	1	CHST15		CHST15	22	1
5_MACS_peak_32349_lociStitched	chr8	98634581	98675116	5	39382	143611.4515	23	1	MTDH		MTDH	23	1
7_MACS_peak_16291_lociStitched	chr19	39137374	39186991	7	40920	134199.0999	24	1	ACTN4	EIF3K,MAP4K1,CAPN12	ACTN4	24	1
2_MACS_peak_1883_lociStitched	chr1	150531292	150554189	2	22844	189088.0054	25	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	25	1
4_MACS_peak_2179_lociStitched	chr1	160673361	160719132	4	34905	156944.1819	26	1	SLAMF7,CD48	LY9	SLAMF7	26	1
6_MACS_peak_26644_lociStitched	chr5	131789423	131842687	6	40514	131913.6224	27	1	C5orf56,IRF1	RAD50,IL5	IRF1	27	1
6_MACS_peak_14322_lociStitched	chr17	72732198	72782200	6	41178	122044.8816	28	1	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	28	1
5_MACS_peak_2105_lociStitched	chr1	157132958	157169896	5	29729	165711.2556	29	1		CYCSP52,ETV3	ETV3	29	1
4_MACS_peak_28752_lociStitched	chr6	109186250	109228564	4	36532	142881.6838	30	1	ARMC2		ARMC2	30	1
4_MACS_peak_21161_lociStitched	chr22	29183513	29227412	4	39303	130634.6442	31	1	CCDC117,XBP1	HSCB,CHEK2	XBP1	31	1
4_MACS_peak_8329_lociStitched	chr12	123344730	123387339	4	35516	142071.1887	32	1	HIP1R,VPS37B		VPS37B	32	1
4_MACS_peak_1989_lociStitched	chr1	154370039	154400837	4	27375	167482.6038	33	1	IL6R		IL6R	33	1
10_MACS_peak_2825_lociStitched	chr1	206849029	206916787	10	45891	82285.3152	34	1	MAPKAPK2	DYRK3,IL10	MAPKAPK2	34	1
5_MACS_peak_28564_lociStitched	chr6	90048565	90086102	5	34719	138725.4909	35	1	UBE2J1,RRAGD	GABRR2	UBE2J1	35	1
