REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
9_MACS_peak_23199_lociStitched	chr3	141078882	141164546	9	75843	298890.2624	1	1	ZBTB38	RASA2	ZBTB38	ZBTB38	2.2337	1	1
1_MACS_peak_27479_lociStitched	chr6	7878325	7921702	1	43378	278632.1595	2	1	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	6.1727	2	1
4_MACS_peak_2081_lociStitched	chr1	156441145	156480251	4	35006	275204.5644	3	1	MEF2D	C1orf61	MEF2D	MEF2D	5.6848	3	1
5_MACS_peak_2246_lociStitched	chr1	162529903	162584181	5	52647	262781.5092	4	1	UAP1	DDR2	UAP1	UAP1	5.2665	4	1
5_MACS_peak_18062_lociStitched	chr2	99053010	99135819	5	68661	238788.0324	5	1	INPP4A		INPP4A	INPP4A	1.5627	5	1
1_MACS_peak_17987_lociStitched	chr2	89129615	89171449	1	41835	227426.3576	6	1			ANKRD36BP2	ANKRD36BP2	NONE	6	1
3_MACS_peak_22657_lociStitched	chr3	98448030	98511346	3	60515	225303.6544	7	1	ST3GAL6		ST3GAL6	ST3GAL6	3.1691	7	1
8_MACS_peak_28200_lociStitched	chr6	45381213	45445766	8	55447	214541.8955	8	1	RUNX2	SUPT3H	RUNX2	RUNX2	1.0923	8	1
8_MACS_peak_14172_lociStitched	chr17	62133099	62210706	8	67025	204998.8905	9	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	ERN1	2.1384	9	1
7_MACS_peak_2010_lociStitched	chr1	154907463	154957603	7	37000	203829.128	10	1	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	ZBTB7B	4.1013	10	1
1_MACS_peak_2091_lociStitched	chr1	156624248	156648750	1	24503	201325.5834	11	1	BCAN,NES	HAPLN2,BCAN,C1orf66,CRABP2,ISG20L2	NES	NES	5.3923	11	1
2_MACS_peak_1883_lociStitched	chr1	150531292	150554189	2	22844	189088.0054	12	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	MCL1	3.7485	12	1
6_MACS_peak_2198_lociStitched	chr1	161122617	161164068	6	32727	186376.1313	13	1	UFC1,USP21,PPOX,B4GALT3,ADAMTS4	NIT1,NDUFS2,FCER1G,TOMM40L,PFDN2,DEDD,APOA2,NR1I3	B4GALT3	B4GALT3	3.9018	13	1
9_MACS_peak_2751_lociStitched	chr1	203236322	203298469	9	43431	184899.7544	14	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	4.0499	14	1
3_MACS_peak_1860_lociStitched	chr1	149801037	149835801	3	31407	181436.7924	15	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	HIST2H2BC	5.677	15	1
5_MACS_peak_1679_lociStitched	chr1	118147672	118218918	5	64532	177245.7988	16	1	FAM46C		FAM46C	FAM46C	2.3856	16	1
5_MACS_peak_27371_lociStitched	chr6	290981	337956	5	38688	173906.1475	17	1	DUSP22		DUSP22	DUSP22	2.5563	17	1
4_MACS_peak_1989_lociStitched	chr1	154370039	154400837	4	27375	167482.6038	18	1	IL6R		IL6R	IL6R	2.4953	18	1
1_MACS_peak_17153_lociStitched	chr2	20403114	20425865	1	22752	166926.3621	19	1	SDC1		SDC1	SDC1	4.8967	19	1
3_MACS_peak_2054_lociStitched	chr1	155929545	155960053	3	25628	166613.3404	20	1	ARHGEF2	RXFP4,RIT1,SNORA42,SCARNA4,KIAA0907,SSR2	ARHGEF2	ARHGEF2	4.8132	20	1
5_MACS_peak_2105_lociStitched	chr1	157132958	157169896	5	29729	165711.2556	21	1		CYCSP52,ETV3	ETV3	ETV3	2.3722	21	1
5_MACS_peak_10021_lociStitched	chr14	91812631	91885839	5	65703	160794.0512	22	1	CCDC88C		CCDC88C	CCDC88C	1.2425	22	1
4_MACS_peak_2179_lociStitched	chr1	160673361	160719132	4	34905	156944.1819	23	1	SLAMF7,CD48	LY9	SLAMF7	SLAMF7	2.2353	23	1
2_MACS_peak_24478_lociStitched	chr4	71513338	71558576	2	43456	151212.5388	24	1	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	3.9781	24	1
2_MACS_peak_17979_lociStitched	chr2	88889862	88928714	2	38837	150434.944	25	1	EIF2AK3		EIF2AK3	EIF2AK3	1.9552	25	1
5_MACS_peak_32349_lociStitched	chr8	98634581	98675116	5	39382	143611.4515	26	1	MTDH		MTDH	MTDH	0.9998	26	1
4_MACS_peak_28752_lociStitched	chr6	109186250	109228564	4	36532	142881.6838	27	1	ARMC2		ARMC2	ARMC2	1.2227	27	1
4_MACS_peak_8329_lociStitched	chr12	123344730	123387339	4	35516	142071.1887	28	1	HIP1R,VPS37B		VPS37B	VPS37B	3.3443	28	1
5_MACS_peak_28564_lociStitched	chr6	90048565	90086102	5	34719	138725.4909	29	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	2.7238	29	1
2_MACS_peak_28694_lociStitched	chr6	106530977	106560378	2	29135	137088.0427	30	1	PRDM1		PRDM1	PRDM1	4.0965	30	1
7_MACS_peak_16291_lociStitched	chr19	39137374	39186991	7	40920	134199.0999	31	1	ACTN4	EIF3K,MAP4K1,CAPN12	ACTN4	ACTN4	1.6203	31	1
6_MACS_peak_26644_lociStitched	chr5	131789423	131842687	6	40514	131913.6224	32	1	C5orf56,IRF1	RAD50,IL5	IRF1	IRF1	1.5064	32	1
6_MACS_peak_4852_lociStitched	chr10	125812510	125868074	6	42787	131847.8156	33	1	CHST15		CHST15	CHST15	1.1686	33	1
4_MACS_peak_5808_lociStitched	chr11	65183158	65225559	4	26810	131616.9441	34	1	NEAT1,MIR612	FRMD8,MALAT1,SLC25A45	MIR612	MALAT1	2.6177	34	1
4_MACS_peak_21161_lociStitched	chr22	29183513	29227412	4	39303	130634.6442	35	1	CCDC117,XBP1	HSCB,CHEK2	XBP1	XBP1	4.5992	35	1
2_MACS_peak_2551_lociStitched	chr1	184703830	184725893	2	21716	129004.5673	36	1	EDEM3		EDEM3	EDEM3	1.982	36	1
4_MACS_peak_1629_lociStitched	chr1	115210314	115260546	4	46331	128819.964	37	1	DENND2C,AMPD1,NRAS,CSDE1		AMPD1	AMPD1	1.8816	37	1
7_MACS_peak_27287_lociStitched	chr5	176829437	176883742	7	31558	125949.5865	38	1	GRK6,PRR7,F12,DBN1	RGS14,SLC34A1,PFN3,PDLIM7	GRK6	GRK6	3.4237	38	1
2_MACS_peak_32070_lociStitched	chr8	71498585	71530574	2	26603	124635.5418	39	1	TRAM1		TRAM1	TRAM1	2.7425	39	1
7_MACS_peak_15017_lociStitched	chr18	46439206	46480207	7	33314	124356.033	40	1	SMAD7		SMAD7	SMAD7	2.9711	40	1
6_MACS_peak_14322_lociStitched	chr17	72732198	72782200	6	41178	122044.8816	41	1	RAB37,SLC9A3R1,MIR3615,TMEM104,NAT9	CD300LF	SLC9A3R1	SLC9A3R1	2.6105	41	1
4_MACS_peak_7434_lociStitched	chr12	53573067	53616734	4	35808	118992.575	42	1	ZNF740,CSAD,ITGB7,RARG	MFSD5,ESPL1	ITGB7	ITGB7	3.518	42	1
12_MACS_peak_4682_lociStitched	chr10	112146713	112189340	12	32719	118413.5433	43	1			DUSP5	DUSP5	1.6681	43	1
6_MACS_peak_32152_lociStitched	chr8	81032226	81084673	6	38567	117906.1007	44	1	TPD52	TPD52	TPD52	TPD52	1.1102	44	1
3_MACS_peak_31582_lociStitched	chr8	27218260	27255143	3	30078	112246.0339	45	1	PTK2B	TRIM35	PTK2B	PTK2B	0.9776	45	1
2_MACS_peak_21060_lociStitched	chr22	23219750	23249185	2	27996	110604.956	46	1	IGLL5		IGLL5	IGLL5	5.5443	46	1
2_MACS_peak_25693_lociStitched	chr5	27446155	27477269	2	29058	110532.485	47	1			CDH9	CDH9	0.4443	47	1
7_MACS_peak_11855_lociStitched	chr16	11794059	11838081	7	35617	106863.405	48	1	TXNDC11	SNN	TXNDC11	TXNDC11	1.6269	48	1
3_MACS_peak_15816_lociStitched	chr19	13260004	13284701	3	20036	104974.5985	49	1	IER2,STX10	NACC1,LYL1,TRMT1	IER2	IER2	3.4933	49	1
2_MACS_peak_20569_lociStitched	chr21	19151675	19176353	2	23138	104264.55	50	1	C21orf91		C21orf91	C21orf91	2.9221	50	1
2_MACS_peak_6573_lociStitched	chr11	120364419	120385248	2	19757	102374.535	51	1			GRIK4	GRIK4	0.193	51	1
3_MACS_peak_2957_lociStitched	chr1	215712931	215750246	3	34762	102004.284	52	1	KCTD3		KCTD3	KCTD3	0.6798	52	1
1_MACS_peak_2017_lociStitched	chr1	154969641	154980094	1	10454	101842.5337	53	1	ZBTB7B	CKS1B,MIR4258,FLAD1,LENEP,DCST1,ADAM15,PBXIP1,PYGO2,SHC1,DCST2	ZBTB7B	MIR4258	4.2598	53	1
2_MACS_peak_24665_lociStitched	chr4	90205066	90230214	2	25101	100466.26	54	1	GPRIN3		GPRIN3	GPRIN3	1.4515	54	1
3_MACS_peak_6403_lociStitched	chr11	111229413	111251951	3	22043	99827.5634	55	1	POU2AF1		POU2AF1	POU2AF1	2.7501	55	1
5_MACS_peak_32698_lociStitched	chr8	126285522	126328488	5	33979	98374.9536	56	1	NSMCE2		TRIB1	TRIB1	2.0954	56	1
5_MACS_peak_34021_lociStitched	chr9	117124692	117161523	5	33339	97966.7769	57	1	AKNA	ORM1,ORM2	AKNA	AKNA	1.4731	57	1
1_MACS_peak_2093_lociStitched	chr1	156708900	156723451	1	14552	97183.2188	58	1	MRPL24,HDGF	C1orf66,PRCC,CRABP2,ISG20L2	MRPL24	C1orf66	2.2713	58	1
6_MACS_peak_21355_lociStitched	chr22	38634809	38673649	6	31161	96497.98	59	1	TMEM184B	MAFF,CSNK1E	TMEM184B	TMEM184B	1.8282	59	1
6_MACS_peak_26638_lociStitched	chr5	131744212	131774794	6	24592	96119.226	60	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	2.7825	60	1
3_MACS_peak_13265_lociStitched	chr17	16872254	16896035	3	21700	95923.0416	61	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.6555	61	1
1_MACS_peak_2066_lociStitched	chr1	156114184	156130530	1	16347	95861.117	62	1	SEMA4A	LMNA,SLC25A44	SEMA4A	SEMA4A	2.6506	62	1
2_MACS_peak_987_lociStitched	chr1	51423645	51451459	2	23103	94378.4648	63	1	CDKN2C,FAF1		CDKN2C	CDKN2C	4.6972	63	1
6_MACS_peak_25681_lociStitched	chr5	26859132	26906694	6	35115	93630.5532	64	1	CDH9		CDH9	CDH9	0.4443	64	1
2_MACS_peak_20312_lociStitched	chr20	52188014	52215876	2	27483	92635.5776	65	1	ZNF217		ZNF217	ZNF217	1.9378	65	1
2_MACS_peak_6703_lociStitched	chr11	128584776	128607466	2	22459	92380.066	66	1	FLI1		FLI1	FLI1	1.0658	66	1
3_MACS_peak_14080_lociStitched	chr17	56405617	56430964	3	18017	92100.8592	67	1	BZRAP1,MIR142,SUPT4H1	MPO	MIR142	MIR142	4.7959	67	1
