#H929_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/H929_H3K27ac_ROSE/H929_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by H929_jia.bam
#Using cutoff of 17919.36 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isSuperStretch
9_MACS_peak_23199_lociStitched	chr3	141078882	141164546	9	75843	298890.2624	1	1
5_MACS_peak_18062_lociStitched	chr2	99053010	99135819	5	68661	238788.0324	2	1
5_MACS_peak_2246_lociStitched	chr1	162529903	162584181	5	52647	262781.5092	3	1
8_MACS_peak_14172_lociStitched	chr17	62133099	62210706	8	67025	204998.8905	4	1
3_MACS_peak_22657_lociStitched	chr3	98448030	98511346	3	60515	225303.6544	5	1
1_MACS_peak_27479_lociStitched	chr6	7878325	7921702	1	43378	278632.1595	6	1
5_MACS_peak_1679_lociStitched	chr1	118147672	118218918	5	64532	177245.7988	7	1
4_MACS_peak_2081_lociStitched	chr1	156441145	156480251	4	35006	275204.5644	8	1
8_MACS_peak_28200_lociStitched	chr6	45381213	45445766	8	55447	214541.8955	9	1
5_MACS_peak_10021_lociStitched	chr14	91812631	91885839	5	65703	160794.0512	10	1
1_MACS_peak_17987_lociStitched	chr2	89129615	89171449	1	41835	227426.3576	11	1
9_MACS_peak_2751_lociStitched	chr1	203236322	203298469	9	43431	184899.7544	12	1
7_MACS_peak_2010_lociStitched	chr1	154907463	154957603	7	37000	203829.128	13	1
5_MACS_peak_27371_lociStitched	chr6	290981	337956	5	38688	173906.1475	14	1
2_MACS_peak_24478_lociStitched	chr4	71513338	71558576	2	43456	151212.5388	15	1
3_MACS_peak_8694_lociStitched	chr13	41537963	41594703	3	53499	85234.828	16	1
6_MACS_peak_2198_lociStitched	chr1	161122617	161164068	6	32727	186376.1313	17	1
4_MACS_peak_1629_lociStitched	chr1	115210314	115260546	4	46331	128819.964	18	1
1_MACS_peak_2091_lociStitched	chr1	156624248	156648750	1	24503	201325.5834	19	1
3_MACS_peak_1860_lociStitched	chr1	149801037	149835801	3	31407	181436.7924	20	1
2_MACS_peak_17979_lociStitched	chr2	88889862	88928714	2	38837	150434.944	21	1
6_MACS_peak_4852_lociStitched	chr10	125812510	125868074	6	42787	131847.8156	22	1
