#H929_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/H929_H3K27ac_ROSE/H929_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by H929_jia.bam
#Using cutoff of 17919.36 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isStretch
9_MACS_peak_23199_lociStitched	chr3	141078882	141164546	9	75843	298890.2624	1	1
5_MACS_peak_18062_lociStitched	chr2	99053010	99135819	5	68661	238788.0324	2	1
8_MACS_peak_14172_lociStitched	chr17	62133099	62210706	8	67025	204998.8905	3	1
5_MACS_peak_10021_lociStitched	chr14	91812631	91885839	5	65703	160794.0512	4	1
5_MACS_peak_1679_lociStitched	chr1	118147672	118218918	5	64532	177245.7988	5	1
3_MACS_peak_22657_lociStitched	chr3	98448030	98511346	3	60515	225303.6544	6	1
8_MACS_peak_28200_lociStitched	chr6	45381213	45445766	8	55447	214541.8955	7	1
3_MACS_peak_8694_lociStitched	chr13	41537963	41594703	3	53499	85234.828	8	1
5_MACS_peak_2246_lociStitched	chr1	162529903	162584181	5	52647	262781.5092	9	1
4_MACS_peak_1629_lociStitched	chr1	115210314	115260546	4	46331	128819.964	10	1
10_MACS_peak_2825_lociStitched	chr1	206849029	206916787	10	45891	82285.3152	11	1
2_MACS_peak_24478_lociStitched	chr4	71513338	71558576	2	43456	151212.5388	12	1
9_MACS_peak_2751_lociStitched	chr1	203236322	203298469	9	43431	184899.7544	13	1
1_MACS_peak_27479_lociStitched	chr6	7878325	7921702	1	43378	278632.1595	14	1
6_MACS_peak_4852_lociStitched	chr10	125812510	125868074	6	42787	131847.8156	15	1
2_MACS_peak_30350_lociStitched	chr7	83926607	83969447	2	42782	82882.548	16	1
4_MACS_peak_27237_lociStitched	chr5	173309853	173356880	4	42493	79701.3596	17	1
1_MACS_peak_17987_lociStitched	chr2	89129615	89171449	1	41835	227426.3576	18	1
6_MACS_peak_14322_lociStitched	chr17	72732198	72782200	6	41178	122044.8816	19	1
7_MACS_peak_16291_lociStitched	chr19	39137374	39186991	7	40920	134199.0999	20	1
6_MACS_peak_26644_lociStitched	chr5	131789423	131842687	6	40514	131913.6224	21	1
2_MACS_peak_22568_lociStitched	chr3	79561600	79601183	2	39545	66087.7768	22	1
