REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
9_MACS_peak_23199_lociStitched	chr3	141078882	141164546	9	75843	298890.2624	1	1	ZBTB38	RASA2	ZBTB38	ZBTB38	2.2337	1	1
5_MACS_peak_18062_lociStitched	chr2	99053010	99135819	5	68661	238788.0324	2	1	INPP4A		INPP4A	INPP4A	1.5627	2	1
8_MACS_peak_14172_lociStitched	chr17	62133099	62210706	8	67025	204998.8905	3	1	ERN1	SNORD104,SNORA76,ICAM2	ERN1	ERN1	2.1384	3	1
5_MACS_peak_10021_lociStitched	chr14	91812631	91885839	5	65703	160794.0512	4	1	CCDC88C		CCDC88C	CCDC88C	1.2425	4	1
5_MACS_peak_1679_lociStitched	chr1	118147672	118218918	5	64532	177245.7988	5	1	FAM46C		FAM46C	FAM46C	2.3856	5	1
3_MACS_peak_22657_lociStitched	chr3	98448030	98511346	3	60515	225303.6544	6	1	ST3GAL6		ST3GAL6	ST3GAL6	3.1691	6	1
8_MACS_peak_28200_lociStitched	chr6	45381213	45445766	8	55447	214541.8955	7	1	RUNX2	SUPT3H	RUNX2	RUNX2	1.0923	7	1
3_MACS_peak_8694_lociStitched	chr13	41537963	41594703	3	53499	85234.828	8	1	ELF1	WBP4,SUGT1P3	ELF1	ELF1	0.507	8	1
5_MACS_peak_2246_lociStitched	chr1	162529903	162584181	5	52647	262781.5092	9	1	UAP1	DDR2	UAP1	UAP1	5.2665	9	1
4_MACS_peak_1629_lociStitched	chr1	115210314	115260546	4	46331	128819.964	10	1	DENND2C,AMPD1,NRAS,CSDE1		AMPD1	AMPD1	1.8816	10	1
10_MACS_peak_2825_lociStitched	chr1	206849029	206916787	10	45891	82285.3152	11	1	MAPKAPK2	DYRK3,IL10	MAPKAPK2	MAPKAPK2	1.2309	11	1
