REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	H929_jia.bam
9_MACS_peak_23199_lociStitched	chr3	141078882	141164546	9	75843	298890.2624
5_MACS_peak_18062_lociStitched	chr2	99053010	99135819	5	68661	238788.0324
8_MACS_peak_14172_lociStitched	chr17	62133099	62210706	8	67025	204998.8905
5_MACS_peak_10021_lociStitched	chr14	91812631	91885839	5	65703	160794.05120000002
5_MACS_peak_1679_lociStitched	chr1	118147672	118218918	5	64532	177245.7988
10_MACS_peak_2825_lociStitched	chr1	206849029	206916787	10	45891	82285.3152
8_MACS_peak_28200_lociStitched	chr6	45381213	45445766	8	55447	214541.8955
3_MACS_peak_22657_lociStitched	chr3	98448030	98511346	3	60515	225303.6544
9_MACS_peak_2751_lociStitched	chr1	203236322	203298469	9	43431	184899.7544
3_MACS_peak_8694_lociStitched	chr13	41537963	41594703	3	53499	85234.828
6_MACS_peak_4852_lociStitched	chr10	125812510	125868074	6	42787	131847.8156
7_MACS_peak_27287_lociStitched	chr5	176829437	176883742	7	31558	125949.5865
5_MACS_peak_2246_lociStitched	chr1	162529903	162584181	5	52647	262781.50920000003
12_MACS_peak_26617_lociStitched	chr5	131400399	131453714	12	30393	55751.495500000005
6_MACS_peak_26644_lociStitched	chr5	131789423	131842687	6	40514	131913.6224
6_MACS_peak_32152_lociStitched	chr8	81032226	81084673	6	38567	117906.1007
7_MACS_peak_26511_lociStitched	chr5	118642399	118693729	7	33341	89042.151
4_MACS_peak_1629_lociStitched	chr1	115210314	115260546	4	46331	128819.96399999999
7_MACS_peak_2010_lociStitched	chr1	154907463	154957603	7	37000	203829.128
6_MACS_peak_14322_lociStitched	chr17	72732198	72782200	6	41178	122044.8816
7_MACS_peak_16291_lociStitched	chr19	39137374	39186991	7	40920	134199.0999
6_MACS_peak_25681_lociStitched	chr5	26859132	26906694	6	35115	93630.5532
9_MACS_peak_11462_lociStitched	chr15	93341832	93389285	9	24155	71858.0779
9_MACS_peak_24166_lociStitched	chr4	24162029	24209389	9	29627	67568.512
4_MACS_peak_27237_lociStitched	chr5	173309853	173356880	4	42493	79701.35960000001
5_MACS_peak_17961_lociStitched	chr2	87753892	87800895	5	32470	78429.20580000001
5_MACS_peak_27371_lociStitched	chr6	290981	337956	5	38688	173906.14750000002
4_MACS_peak_2179_lociStitched	chr1	160673361	160719132	4	34905	156944.1819
2_MACS_peak_24478_lociStitched	chr4	71513338	71558576	2	43456	151212.5388
6_MACS_peak_2004_lociStitched	chr1	154820564	154864610	6	28283	87136.2018
7_MACS_peak_11855_lociStitched	chr16	11794059	11838081	7	35617	106863.40500000001
4_MACS_peak_21161_lociStitched	chr22	29183513	29227412	4	39303	130634.6442
6_MACS_peak_4657_lociStitched	chr10	111640287	111683989	6	25765	60243.207
4_MACS_peak_7434_lociStitched	chr12	53573067	53616734	4	35808	118992.575
5_MACS_peak_32619_lociStitched	chr8	120906918	120950402	5	35561	84676.3932
1_MACS_peak_27479_lociStitched	chr6	7878325	7921702	1	43378	278632.1595
6_MACS_peak_787_lociStitched	chr1	40029678	40072921	6	26039	64782.3383
11_MACS_peak_34125_lociStitched	chr9	126074046	126117184	11	26504	64077.1852
5_MACS_peak_32698_lociStitched	chr8	126285522	126328488	5	33979	98374.95360000001
2_MACS_peak_30350_lociStitched	chr7	83926607	83969447	2	42782	82882.54800000001
12_MACS_peak_4682_lociStitched	chr10	112146713	112189340	12	32719	118413.54329999999
4_MACS_peak_8329_lociStitched	chr12	123344730	123387339	4	35516	142071.1887
4_MACS_peak_5808_lociStitched	chr11	65183158	65225559	4	26810	131616.9441
4_MACS_peak_28752_lociStitched	chr6	109186250	109228564	4	36532	142881.6838
1_MACS_peak_17987_lociStitched	chr2	89129615	89171449	1	41835	227426.3576
6_MACS_peak_2198_lociStitched	chr1	161122617	161164068	6	32727	186376.13129999998
7_MACS_peak_15017_lociStitched	chr18	46439206	46480207	7	33314	124356.033
14_MACS_peak_24984_lociStitched	chr4	132643009	132683680	14	11471	7328.9142
5_MACS_peak_32349_lociStitched	chr8	98634581	98675116	5	39382	143611.4515
7_MACS_peak_27729_lociStitched	chr6	26330627	26371037	7	29075	74863.566
7_MACS_peak_2111_lociStitched	chr1	157455878	157496280	7	20420	47484.4706
8_MACS_peak_29832_lociStitched	chr7	38370492	38410286	8	27921	56547.274000000005
2_MACS_peak_22568_lociStitched	chr3	79561600	79601183	2	39545	66087.77679999999
4_MACS_peak_2081_lociStitched	chr1	156441145	156480251	4	35006	275204.5644
2_MACS_peak_17979_lociStitched	chr2	88889862	88928714	2	38837	150434.944
6_MACS_peak_21355_lociStitched	chr22	38634809	38673649	6	31161	96497.98000000001
7_MACS_peak_5255_lociStitched	chr11	16957028	16995563	7	16151	28165.231499999998
2_MACS_peak_3682_lociStitched	chr10	22257572	22295169	2	31688	56478.2134
5_MACS_peak_28564_lociStitched	chr6	90048565	90086102	5	34719	138725.4909
3_MACS_peak_2957_lociStitched	chr1	215712931	215750246	3	34762	102004.284
6_MACS_peak_34079_lociStitched	chr9	123630121	123667134	6	19018	51644.2389
5_MACS_peak_2105_lociStitched	chr1	157132958	157169896	5	29729	165711.2556
3_MACS_peak_31582_lociStitched	chr8	27218260	27255143	3	30078	112246.0339
5_MACS_peak_34021_lociStitched	chr9	117124692	117161523	5	33339	97966.7769
7_MACS_peak_28876_lociStitched	chr6	119762712	119798646	7	26686	36329.274
5_MACS_peak_15694_lociStitched	chr19	10511720	10547505	5	24355	60591.162000000004
5_MACS_peak_6917_lociStitched	chr12	7045703	7081219	5	25429	70620.0144
6_MACS_peak_27789_lociStitched	chr6	27773254	27808644	6	24087	51064.231
6_MACS_peak_28036_lociStitched	chr6	36081143	36116280	6	15691	48035.7927
8_MACS_peak_10580_lociStitched	chr15	40328095	40362984	8	18410	49800.5586
