GENE_ID	locusLine	bin_1_37_0EXP_0229Kronos_MM1S-KB-1hr-1_Input_hs_i80.bam
NM_001006605	chr1(.):93302720-93432079	0.0637
NM_001010935	chr1(.):112157404-112261101	0.0603
NR_002188	chr1(.):155178615-155202325	0.2044
NM_021642	chr1(.):161470204-161494360	0.1505
NM_201569	chr1(.):183436505-183528328	0.1772
NM_001113348	chr1(.):21538739-21677034	0.1124
NM_004091	chr1(.):23827921-23862713	0.1398
NM_020448	chr1(.):24737244-24804473	0.1134
NM_173065	chr1(.):24475646-24518751	0.1386
NM_001048199	chr1(.):28827454-28870708	0.1382
NR_002909	chr1(.):28827454-28842404	0.1654
NM_002379	chr1(.):31179123-31201432	0.1453
NR_034182	chr1(.):31186618-31204593	0.1437
NM_002600	chr1(.):66253855-66845262	0.1078
NM_001037341	chr1(.):66253192-66845262	0.1079
NM_001037340	chr1(.):66453389-66845262	0.1118
NM_024763	chr1(.):67273571-67395570	0.1028
NM_207014	chr1(.):67298281-67395570	0.1058
NM_001081976	chr1(.):112020969-112111597	0.0626
NM_198459	chr1(.):115122195-115217732	0.0522
NM_153713	chr1(.):145472084-145504091	0.1947
NM_207168	chr1(.):150594521-150607098	0.233
NM_020699	chr1(.):153772202-153900451	0.1695
NM_020524	chr1(.):154911558-154933567	0.2478
NM_181359	chr1(.):154372668-154445188	0.1872
NM_005572	chr1(.):156079460-156112657	0.1902
NM_005973	chr1(.):156732273-156775609	0.1798
NM_012394	chr1(.):161065345-161092866	0.2177
NM_025191	chr1(.):184654624-184729041	0.1808
NM_144977	chr1(.):197516384-197749623	0.1582
NM_001195215	chr1(.):197468878-197749623	0.1576
NM_182663	chr1(.):206675878-206767616	0.191
NM_001143962	chr1(.):223709971-223858436	0.0855
NM_002221	chr1(.):226814390-226931876	0.1849
NM_004481	chr1(.):230197955-230422875	0.1709
NM_014675	chr1(.):17243444-17304474	0.1322
NM_001397	chr1(.):21538739-21621982	0.1139
NM_001113347	chr1(.):21538739-21611183	0.103
NM_001113349	chr1(.):21538739-21621766	0.114
NM_017707	chr1(.):23750055-23815750	0.1062
NM_002167	chr1(.):23879408-23891322	0.1289
NM_021258	chr1(.):24441260-24474611	0.1287
NR_027087	chr1(.):24521729-24543180	0.1511
NM_001199013	chr1(.):24678488-24745262	0.1253
NM_001199012	chr1(.):24678488-24746587	0.1252
NM_015484	chr1(.):25543766-25564013	0.1272
NM_001127691	chr1(.):25593980-25661936	0.1082
NM_020317	chr1(.):25563739-25578985	0.1497
NM_015627	chr1(.):25865075-25900377	0.1529
NR_026685	chr1(.):26432655-26457026	0.1216
NM_152835	chr1(.):26433267-26457026	0.1218
NM_032588	chr1(.):26372797-26399121	0.1065
NM_024869	chr1(.):26480510-26494119	0.1236
NM_015871	chr1(.):26491387-26502364	0.1179
NM_017837	chr1(.):27109485-27129887	0.1399
NM_006015	chr1(.):27017521-27113601	0.1372
NM_018066	chr1(.):27200872-27221869	0.1306
NM_032283	chr1(.):27148200-27187211	0.1275
NM_006142	chr1(.):27184632-27195947	0.1413
NR_024127	chr1(.):28900049-28913366	0.1404
NM_152304	chr1(.):28913711-28926088	0.1251
NM_001193532	chr1(.):28914006-28926088	0.125
NR_003035	chr1(.):28902431-28912565	0.1466
NR_002987	chr1(.):28901275-28911405	0.1495
NR_003109	chr1(.):28874528-28910057	0.1309
NM_001269	chr1(.):28839744-28870708	0.1259
NR_002976	chr1(.):28901892-28912024	0.1458
NR_003077	chr1(.):28900254-28910334	0.1541
NM_006762	chr1(.):31200314-31235683	0.1745
NM_005202	chr1(.):36555843-36570850	0.1162
NM_018067	chr1(.):36616802-36651441	0.1218
NM_014408	chr1(.):36597172-36620067	0.132
NM_022756	chr1(.):37953175-37985364	0.1089
NM_025079	chr1(.):37935118-37954978	0.1491
NM_001038633	chr1(.):38071950-38105491	0.1182
NM_017850	chr1(.):38142241-38161192	0.1541
NM_018101	chr1(.):38153158-38180391	0.1316
NR_002983	chr1(.):40028045-40038182	0.2062
NR_003929	chr1(.):39982951-40030370	0.1219
NM_001135653	chr1(.):40021484-40047521	0.1645
NM_001198979	chr1(.):40854016-40893998	0.1173
NM_001198978	chr1(.):40835304-40893998	0.1345
NM_001198980	chr1(.):40857471-40893998	0.1122
NM_022733	chr1(.):40834377-40893998	0.1346
NM_006004	chr1(.):46764379-46787447	0.1239
NM_006369	chr1(.):46739071-46774038	0.1305
NM_199044	chr1(.):46801389-46835690	0.1134
NM_001037339	chr1(.):66792792-66845262	0.1285
NM_001077702	chr1(.):67385577-67459302	0.1087
NM_001077704	chr1(.):67390925-67459302	0.104
NM_001001933	chr1(.):75589118-75632218	0.1089
NM_006769	chr1(.):87789150-87819607	0.1244
NM_004974	chr1(.):111140775-111153345	0.0707
NM_002232	chr1(.):111209309-111222655	0.075
NR_034126	chr1(.):112136628-112155940	0.0708
NM_007158	chr1(.):115254536-115305624	0.0642
NM_002524	chr1(.):115242077-115264515	0.0675
NM_001172626	chr1(.):115210719-115243239	0.0665
NM_001130523	chr1(.):115254537-115305671	0.0644
NM_001779	chr1(.):117052155-117118715	0.0706
NM_001144822	chr1(.):117056321-117118715	0.072
NM_017709	chr1(.):118143603-118176011	0.1225
NM_032305	chr1(.):145451235-145475387	0.2276
NM_202004	chr1(.):145408190-145422545	0.1727
NM_006472	chr1(.):145433461-145447628	0.2166
NM_001039888	chr1(.):145465507-145480647	0.2375
NM_003846	chr1(.):145511164-145528732	0.2108
NM_005105	chr1(.):145502637-145516444	0.2447
NM_001184795	chr1(.):145511559-145528732	0.2108
NM_003637	chr1(.):145519989-145548868	0.1734
NM_144698	chr1(.):145544208-145573526	0.1707
NR_002328	chr1(.):145504819-145521076	0.2493
NM_001161334	chr1(.):149749244-149788928	0.1678
NM_001034077	chr1(.):149799220-149809616	0.2108
NM_001005464	chr1(.):149807258-149817765	0.2495
NM_001040874	chr1(.):149808784-149819318	0.2535
NM_001123375	chr1(.):149779779-149790236	0.2312
NM_000566	chr1(.):149749249-149769074	0.1516
NM_016074	chr1(.):149866154-149877348	0.1749
NM_003528	chr1(.):149851009-149863232	0.2854
NM_003517	chr1(.):149853524-149863961	0.3086
NM_175065	chr1(.):149854018-149864466	0.3029
NR_036461	chr1(.):149816758-149827340	0.2729
NM_001040874	chr1(.):149817627-149828161	0.2703
NM_001005464	chr1(.):149819180-149829687	0.2583
NM_001034077	chr1(.):149827329-149837725	0.2365
NM_019032	chr1(.):150516897-150538412	0.2047
NM_207046	chr1(.):150589598-150606609	0.2314
NR_036211	chr1(.):150519404-150529490	0.1463
NM_001197320	chr1(.):150542026-150557214	0.2364
NM_014437	chr1(.):153926587-153945188	0.2178
NM_130898	chr1(.):153935396-153951832	0.239
NM_181715	chr1(.):153915151-153936043	0.2151
NM_006694	chr1(.):153941744-153955451	0.2199
NM_002870	chr1(.):153949127-153963806	0.2256
NM_014856	chr1(.):153896976-153924154	0.1749
NM_001030	chr1(.):153958238-153969631	0.2061
NM_020452	chr1(.):154295275-154328780	0.1946
NM_001005855	chr1(.):154293035-154315322	0.2052
NM_080429	chr1(.):154288591-154302801	0.2285
NM_006556	chr1(.):154892207-154914484	0.208
NM_001130041	chr1(.):154929773-154951959	0.2613
NM_001130040	chr1(.):154929773-154948223	0.2723
NM_201398	chr1(.):154950769-154970587	0.1791
NM_015872	chr1(.):154970111-154995999	0.1941
NM_207196	chr1(.):155018761-155040252	0.2019
NM_001184892	chr1(.):154950769-154966488	0.1784
