GENE_ID	locusLine	bin_1_44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
1_MACS_peak_1_lociStitched	chr1(.):28301-30423	0.2829
1_MACS_peak_2_lociStitched	chr1(.):713118-715293	0.2633
1_MACS_peak_3_lociStitched	chr1(.):761804-763818	0.2166
1_MACS_peak_4_lociStitched	chr1(.):879162-880561	0.1758
3_MACS_peak_5_lociStitched	chr1(.):893762-902769	0.1185
1_MACS_peak_8_lociStitched	chr1(.):947979-949561	0.1826
1_MACS_peak_9_lociStitched	chr1(.):998952-999998	0.1249
1_MACS_peak_10_lociStitched	chr1(.):1079063-1080347	0.1062
1_MACS_peak_11_lociStitched	chr1(.):1092822-1094279	0.1106
1_MACS_peak_12_lociStitched	chr1(.):1166178-1167537	0.2514
1_MACS_peak_13_lociStitched	chr1(.):1185018-1186068	0.0919
1_MACS_peak_14_lociStitched	chr1(.):1208057-1210237	0.1373
2_MACS_peak_15_lociStitched	chr1(.):1242482-1245022	0.1094
1_MACS_peak_17_lociStitched	chr1(.):1259576-1261587	0.1484
2_MACS_peak_18_lociStitched	chr1(.):1283653-1285506	0.0404
1_MACS_peak_20_lociStitched	chr1(.):1309835-1311641	0.2706
2_MACS_peak_21_lociStitched	chr1(.):1333708-1343546	0.1362
1_MACS_peak_23_lociStitched	chr1(.):1396829-1398783	0.2716
1_MACS_peak_24_lociStitched	chr1(.):1406143-1407207	0.1974
2_MACS_peak_25_lociStitched	chr1(.):1439672-1447833	0.1456
1_MACS_peak_27_lociStitched	chr1(.):1509229-1510999	0.1742
2_MACS_peak_28_lociStitched	chr1(.):1544886-1552383	0.129
1_MACS_peak_30_lociStitched	chr1(.):1589731-1591617	0.2345
2_MACS_peak_31_lociStitched	chr1(.):1606276-1611123	0.2096
1_MACS_peak_33_lociStitched	chr1(.):1622765-1625694	0.2583
1_MACS_peak_34_lociStitched	chr1(.):1654987-1656910	0.1881
2_MACS_peak_35_lociStitched	chr1(.):1668760-1678748	0.1699
1_MACS_peak_37_lociStitched	chr1(.):1708739-1714964	0.2196
1_MACS_peak_38_lociStitched	chr1(.):1772277-1774790	0.2054
2_MACS_peak_39_lociStitched	chr1(.):1821018-1829375	0.096
1_MACS_peak_41_lociStitched	chr1(.):1837606-1841332	0.168
1_MACS_peak_42_lociStitched	chr1(.):2125793-2127540	0.1586
1_MACS_peak_43_lociStitched	chr1(.):2158212-2159430	0.054
1_MACS_peak_44_lociStitched	chr1(.):2221027-2223451	0.2084
1_MACS_peak_45_lociStitched	chr1(.):2230952-2233710	0.1882
1_MACS_peak_46_lociStitched	chr1(.):2322377-2324238	0.1695
2_MACS_peak_47_lociStitched	chr1(.):2343146-2348076	0.174
1_MACS_peak_49_lociStitched	chr1(.):2456699-2458417	0.1463
2_MACS_peak_50_lociStitched	chr1(.):2476736-2489361	0.1637
2_MACS_peak_52_lociStitched	chr1(.):2508621-2518539	0.1305
1_MACS_peak_54_lociStitched	chr1(.):2573419-2575043	0.1297
1_MACS_peak_55_lociStitched	chr1(.):3087170-3088062	0.0778
2_MACS_peak_56_lociStitched	chr1(.):3540165-3547225	0.1227
2_MACS_peak_58_lociStitched	chr1(.):3565984-3569917	0.1016
1_MACS_peak_60_lociStitched	chr1(.):3589221-3590389	0.1403
1_MACS_peak_61_lociStitched	chr1(.):3712336-3713847	0.1968
1_MACS_peak_62_lociStitched	chr1(.):3773178-3775000	0.2679
1_MACS_peak_63_lociStitched	chr1(.):3815890-3818323	0.2445
1_MACS_peak_64_lociStitched	chr1(.):6051141-6055696	0.196
1_MACS_peak_65_lociStitched	chr1(.):6083800-6087459	0.1986
2_MACS_peak_66_lociStitched	chr1(.):6258488-6266960	0.1371
1_MACS_peak_68_lociStitched	chr1(.):6294920-6296728	0.1844
1_MACS_peak_69_lociStitched	chr1(.):6418930-6420724	0.1927
1_MACS_peak_70_lociStitched	chr1(.):6452914-6454634	0.171
1_MACS_peak_71_lociStitched	chr1(.):6474233-6475516	0.132
1_MACS_peak_72_lociStitched	chr1(.):6532012-6533051	0.1169
1_MACS_peak_73_lociStitched	chr1(.):6549840-6551816	0.1948
1_MACS_peak_74_lociStitched	chr1(.):6613831-6615444	0.1451
1_MACS_peak_75_lociStitched	chr1(.):6639327-6641060	0.2507
1_MACS_peak_76_lociStitched	chr1(.):6659303-6664728	0.2007
1_MACS_peak_77_lociStitched	chr1(.):6672432-6674800	0.1462
1_MACS_peak_78_lociStitched	chr1(.):6684503-6686464	0.195
1_MACS_peak_79_lociStitched	chr1(.):6761094-6762243	0.1312
2_MACS_peak_80_lociStitched	chr1(.):6843745-6846691	0.187
1_MACS_peak_82_lociStitched	chr1(.):6978171-6980045	0.1442
1_MACS_peak_83_lociStitched	chr1(.):7830986-7832113	0.1592
1_MACS_peak_84_lociStitched	chr1(.):8020845-8022651	0.2791
1_MACS_peak_85_lociStitched	chr1(.):8085647-8087037	0.1248
1_MACS_peak_86_lociStitched	chr1(.):8454884-8456788	0.1985
2_MACS_peak_87_lociStitched	chr1(.):8482917-8488612	0.1323
3_MACS_peak_89_lociStitched	chr1(.):8650561-8664918	0.1465
1_MACS_peak_92_lociStitched	chr1(.):8740264-8742003	0.2162
2_MACS_peak_93_lociStitched	chr1(.):8760544-8774240	0.1627
1_MACS_peak_95_lociStitched	chr1(.):8875819-8878735	0.1759
1_MACS_peak_96_lociStitched	chr1(.):8907480-8909070	0.174
1_MACS_peak_97_lociStitched	chr1(.):8937273-8940061	0.2602
1_MACS_peak_98_lociStitched	chr1(.):9188543-9189209	0.0708
1_MACS_peak_99_lociStitched	chr1(.):9222226-9225953	0.1985
1_MACS_peak_100_lociStitched	chr1(.):9241133-9243299	0.1749
1_MACS_peak_101_lociStitched	chr1(.):9294441-9295935	0.1265
1_MACS_peak_102_lociStitched	chr1(.):9335532-9336544	0.1952
1_MACS_peak_103_lociStitched	chr1(.):9473184-9474120	0.1121
2_MACS_peak_104_lociStitched	chr1(.):9485303-9489825	0.1347
1_MACS_peak_106_lociStitched	chr1(.):9599496-9600636	0.0644
2_MACS_peak_107_lociStitched	chr1(.):9776652-9782259	0.1585
1_MACS_peak_109_lociStitched	chr1(.):9846471-9848818	0.1939
1_MACS_peak_110_lociStitched	chr1(.):9882604-9884419	0.1171
1_MACS_peak_111_lociStitched	chr1(.):9895925-9896846	0.1844
1_MACS_peak_112_lociStitched	chr1(.):9960508-9961222	0.1405
2_MACS_peak_113_lociStitched	chr1(.):9968934-9971704	0.2091
2_MACS_peak_115_lociStitched	chr1(.):10002244-10011523	0.1456
1_MACS_peak_117_lociStitched	chr1(.):10049336-10052156	0.1898
1_MACS_peak_118_lociStitched	chr1(.):10078200-10079876	0.1902
1_MACS_peak_119_lociStitched	chr1(.):10092082-10094287	0.2394
1_MACS_peak_120_lociStitched	chr1(.):10228346-10231688	0.2205
