GENE_ID	locusLine	bin_1_34_0EXA_0229Kronos_MM1S-No-Treatment-2_p300_hs_i50.bam
2_MACS_peak_1_lociStitched	chr1(.):9880-11820	1.5861
1_MACS_peak_3_lociStitched	chr1(.):28606-30089	0.5543
1_MACS_peak_4_lociStitched	chr1(.):713246-714669	0.6145
1_MACS_peak_5_lociStitched	chr1(.):999150-999947	0.5428
1_MACS_peak_6_lociStitched	chr1(.):1166490-1167177	0.5294
1_MACS_peak_7_lociStitched	chr1(.):1310352-1311355	0.6716
1_MACS_peak_8_lociStitched	chr1(.):1342333-1343257	0.5304
1_MACS_peak_9_lociStitched	chr1(.):1396884-1398666	0.7514
2_MACS_peak_10_lociStitched	chr1(.):1440189-1447789	0.3008
1_MACS_peak_12_lociStitched	chr1(.):1545132-1546217	0.6769
1_MACS_peak_13_lociStitched	chr1(.):1589981-1591464	0.6009
2_MACS_peak_14_lociStitched	chr1(.):1606427-1610938	0.5215
1_MACS_peak_16_lociStitched	chr1(.):1622947-1625720	0.7326
1_MACS_peak_17_lociStitched	chr1(.):1655279-1656686	0.6849
2_MACS_peak_18_lociStitched	chr1(.):1669095-1678802	0.4068
1_MACS_peak_20_lociStitched	chr1(.):1709786-1712449	0.9732
1_MACS_peak_21_lociStitched	chr1(.):1773715-1774757	0.4895
1_MACS_peak_22_lociStitched	chr1(.):1828120-1829184	0.5204
1_MACS_peak_23_lociStitched	chr1(.):1840023-1841177	0.4777
1_MACS_peak_24_lociStitched	chr1(.):2186501-2187928	0.7296
1_MACS_peak_25_lociStitched	chr1(.):2231355-2233281	0.6795
1_MACS_peak_26_lociStitched	chr1(.):2478903-2480764	0.6864
1_MACS_peak_27_lociStitched	chr1(.):2486782-2488802	0.5973
1_MACS_peak_28_lociStitched	chr1(.):2516744-2517709	0.4813
1_MACS_peak_29_lociStitched	chr1(.):3546492-3547435	0.5777
1_MACS_peak_30_lociStitched	chr1(.):3816239-3817751	0.7004
1_MACS_peak_31_lociStitched	chr1(.):4067347-4068247	0.5762
1_MACS_peak_32_lociStitched	chr1(.):6085454-6086928	0.5848
1_MACS_peak_33_lociStitched	chr1(.):6662112-6664377	0.577
1_MACS_peak_34_lociStitched	chr1(.):6733573-6734552	0.512
1_MACS_peak_35_lociStitched	chr1(.):6761440-6762577	0.5263
1_MACS_peak_36_lociStitched	chr1(.):6844078-6845370	0.6203
1_MACS_peak_37_lociStitched	chr1(.):6961236-6962821	0.5825
1_MACS_peak_38_lociStitched	chr1(.):8020964-8022480	0.6657
1_MACS_peak_39_lociStitched	chr1(.):8455201-8456122	0.6021
1_MACS_peak_40_lociStitched	chr1(.):8487223-8488400	0.9904
1_MACS_peak_41_lociStitched	chr1(.):8536985-8537972	0.8594
1_MACS_peak_42_lociStitched	chr1(.):8703270-8704328	0.9532
1_MACS_peak_43_lociStitched	chr1(.):8763092-8764086	0.7816
1_MACS_peak_44_lociStitched	chr1(.):8876377-8877413	0.6137
1_MACS_peak_45_lociStitched	chr1(.):8889141-8890258	1.0314
1_MACS_peak_46_lociStitched	chr1(.):8907744-8908761	0.771
1_MACS_peak_47_lociStitched	chr1(.):8937596-8939789	0.8906
2_MACS_peak_48_lociStitched	chr1(.):9137841-9141333	1.1046
1_MACS_peak_50_lociStitched	chr1(.):9222564-9225502	0.7417
1_MACS_peak_51_lociStitched	chr1(.):9299434-9300259	0.5751
1_MACS_peak_52_lociStitched	chr1(.):9485563-9487130	0.9499
1_MACS_peak_53_lociStitched	chr1(.):9685944-9687524	0.5446
1_MACS_peak_54_lociStitched	chr1(.):9846713-9848438	0.5905
1_MACS_peak_55_lociStitched	chr1(.):10002998-10004020	0.5542
1_MACS_peak_56_lociStitched	chr1(.):10229439-10231061	0.8659
1_MACS_peak_57_lociStitched	chr1(.):10249322-10250532	0.7097
1_MACS_peak_58_lociStitched	chr1(.):10260598-10261659	0.744
2_MACS_peak_59_lociStitched	chr1(.):10311259-10314659	0.9835
1_MACS_peak_61_lociStitched	chr1(.):10489993-10491047	0.49
1_MACS_peak_62_lociStitched	chr1(.):11072155-11073654	0.6872
1_MACS_peak_63_lociStitched	chr1(.):11287296-11288063	0.6017
1_MACS_peak_64_lociStitched	chr1(.):11333162-11333748	0.7267
1_MACS_peak_65_lociStitched	chr1(.):11627300-11630243	1.3622
1_MACS_peak_66_lociStitched	chr1(.):11795886-11797966	0.6428
1_MACS_peak_67_lociStitched	chr1(.):11865439-11867013	0.9106
1_MACS_peak_68_lociStitched	chr1(.):11967577-11970581	0.9285
1_MACS_peak_69_lociStitched	chr1(.):12111537-12112772	0.7653
2_MACS_peak_70_lociStitched	chr1(.):12221441-12227633	0.3385
1_MACS_peak_72_lociStitched	chr1(.):12270314-12271348	1.4463
2_MACS_peak_73_lociStitched	chr1(.):12493848-12496414	0.6221
1_MACS_peak_75_lociStitched	chr1(.):12805505-12806511	0.7887
1_MACS_peak_76_lociStitched	chr1(.):12896961-12897982	0.9833
1_MACS_peak_77_lociStitched	chr1(.):13968834-13969730	0.7075
1_MACS_peak_78_lociStitched	chr1(.):14056872-14058080	0.8936
1_MACS_peak_79_lociStitched	chr1(.):14247325-14248699	0.6655
1_MACS_peak_80_lociStitched	chr1(.):14293532-14294686	0.6026
1_MACS_peak_81_lociStitched	chr1(.):14336760-14338603	1.278
1_MACS_peak_82_lociStitched	chr1(.):14365990-14367325	1.6213
1_MACS_peak_83_lociStitched	chr1(.):14507366-14508422	0.8064
1_MACS_peak_84_lociStitched	chr1(.):14695749-14696714	0.7271
1_MACS_peak_85_lociStitched	chr1(.):15105216-15106108	0.5991
1_MACS_peak_86_lociStitched	chr1(.):15161682-15164082	0.7852
1_MACS_peak_87_lociStitched	chr1(.):15502318-15503465	0.7414
1_MACS_peak_88_lociStitched	chr1(.):15557910-15559072	0.7659
1_MACS_peak_89_lociStitched	chr1(.):15575087-15576255	0.934
1_MACS_peak_90_lociStitched	chr1(.):15584187-15585340	0.7008
1_MACS_peak_91_lociStitched	chr1(.):15688569-15689527	0.5694
1_MACS_peak_92_lociStitched	chr1(.):15897546-15899338	1.0305
