GENE	H3k27ac_17_DMSO_compare_TSS_SIGNAL	H3k27ac_17_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	1403.6104
A1BG-AS1	0.0	1403.6104
A2LD1	1792.9999999999998	301.3248
A2M	0.0	31.851599999999998
A2ML1	0.0	0.0
A4GALT	0.0	2554.2757999999994
A4GNT	0.0	1395.691
AAA1	0.0	15502.5519
AAAS	6917.691	28519.131600000004
AACS	1107.072	2891.2188
AADAT	0.0	3760.6254
AAGAB	2852.4114000000004	4103.2151
AAK1	13656.800000000001	4114.0686
AAMP	3773.5288	26260.1417
AANAT	0.0	44268.6603
AARS	6549.0	15533.998200000002
AARS2	2805.5538	24497.5607
AARSD1	4352.4075	4442.7974
AASDH	5159.4	2786.2779
AASDHPPT	7808.2378	555.9156
AASS	2629.6569	4439.025900000001
AATF	3482.6274000000003	41.8329
AATK	0.0	141.7853
ABAT	0.0	203.904
ABCA1	630.1616	6494.9185
ABCA10	0.0	624.3858
ABCA11P	3888.353	3.2883
ABCA12	0.0	621.3947999999999
ABCA13	0.0	6603.8059
ABCA17P	0.0	586.4483
ABCA2	0.0	7550.493600000001
ABCA3	0.0	586.4483
ABCA5	4801.307000000001	1496.2242
ABCA7	5283.8	50117.4168
ABCB1	0.0	30.8352
ABCB10	8444.2	1515.6103999999998
ABCB11	0.0	2033.4842999999998
ABCB5	0.0	1582.5996
ABCB6	3044.8588	6495.093
ABCB7	2202.6172	0.0
ABCB8	4165.4	13075.233400000001
ABCB9	4675.1856	57920.158200000005
ABCC1	1970.0	4001.9782
ABCC10	5191.4832	2330.1471999999994
ABCC11	0.0	1752.1063000000001
ABCC12	0.0	86.45880000000001
ABCC13	0.0	0.0
ABCC2	0.0	250.954
ABCC3	0.0	8198.0249
ABCC4	0.0	364.9305
ABCC5	3539.8209	482.19870000000003
ABCC6	0.0	5171.818300000001
ABCC6P1	0.0	6148.5422
ABCC6P2	0.0	3086.2087999999994
ABCC8	0.0	1950.5339999999999
ABCD1	1975.8088	2434.7893000000004
ABCD2	16513.6	6152.3739000000005
ABCD3	1755.8003999999999	0.0
ABCD4	816.4268	1220.6300999999999
ABCE1	5656.684	6020.3634
ABCF1	2688.0966	23543.874999999996
ABCF2	3672.6	575.6865
ABCF3	7349.8	1102.8064
ABCG1	1484.2224	27215.155199999997
ABCG2	0.0	19359.8025
ABCG4	0.0	11774.703899999999
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	0.0	56243.2899
ABHD10	4344.767000000001	3352.8428000000004
ABHD11	5463.9588	2301.4857
ABHD12	6178.8	101670.79460000001
ABHD12B	0.0	4235.6209
ABHD13	3240.3366	83.7312
ABHD14A	3259.42	1148.1236
ABHD14B	4307.197000000001	1148.1236
ABHD15	9760.4894	4785.1023
ABHD2	3573.1476	81734.11579999999
ABHD3	7061.3550000000005	6665.9605
ABHD4	4856.4921	30407.76560000001
