GENE	H3k27ac_17_DMSO_compare_TSS_SIGNAL	H3k27ac_17_DMSO_compare_DISTAL_SIGNAL	ENHANCER_PROMOTER_DIFFERENCE	ENHANCER_CONTRIBUTION	ENHANCER_PROMOTER_RATIO
BRD2	65634.9666	7876.1928	-57758.7738	0.107142818373233	-3.05889427373728
LPXN	61493.6854	16741.554	-44752.1314	0.213989937634165	-1.87700482280421
UBE2M	35025.1776	2852.5386	-32172.639	0.0753091497105625	-3.61807405203046
NCRNA00167	33206.0152	1776.1144	-31429.9008	0.0507720490521538	-4.2246481922622
UBE2D3	34285.7954	2947.0814	-31338.714	0.0791526643463661	-3.54025217768463
C12orf61	34876.0612	3542.5623	-31333.4989	0.0922095061526606	-3.29937198565339
LOC100131691	34005.7592	2852.5386	-31153.2206	0.0773920330091858	-3.57546078720656
PRDM10	32879.2596	1776.1144	-31103.1452	0.0512507641671967	-4.21038139752485
RTP4	30864.4	657.1234	-30207.2766	0.020846816052044	-5.55363561855199
SMC4	35060.3023	6684.6251	-28375.6772	0.16013023656618	-2.39091987977984
RPRD2	30168.2	3546.1641	-26622.0359	0.105182588925057	-3.08869741584868
GART	27052.5613	1019.1869	-26033.3744	0.0363064990729719	-4.73027464851229
MIRLET7I	27654.1386	3542.5623	-24111.5763	0.113555670881853	-2.96463027426398
TOR1AIP1	32974	8899.1739	-24074.8261	0.212526853618803	-1.88958558393848
CBLL1	24088	265.6355	-23822.3645	0.0109074269424785	-6.50272283905306
SON	24605.431	1019.1869	-23586.2441	0.039773740392047	-4.59348624317041
USP1	24383.6738	917.073	-23466.6008	0.0362468747365196	-4.73273511928404
CLTC	25205.4	2003.7287	-23201.6713	0.0736417811129689	-3.65297376008049
C7orf55	26629.6	3634.6171	-22994.9829	0.120096187784749	-2.87315546608016
EIF4A2	26994.9028	4295.1676	-22699.7352	0.137269349192644	-2.65190068971851
FAM36A	37529.8	14864.6227	-22665.1773	0.283706202568771	-1.33615375735323
CALM3	22400.8	18.486	-22382.314	0.000824557927491536	-8
IFT80	28594.7765	6684.6251	-21910.1514	0.189476714366947	-2.09683307361563
EFCAB2	33495.7346	12598.416	-20897.3186	0.273319192045162	-1.41073503724328
FLJ43663	25358.014	4707.7956	-20650.2184	0.156583031111858	-2.42931817142619
UBQLN1	21640.4	1104.9092	-20535.4908	0.0485774534997308	-4.2917274453096
C17orf49	31056.2	10533.0581	-20523.1419	0.253263909509364	-1.55995695412811
CGGBP1	19867.2248	577.0674	-19290.1574	0.0282263330202256	-5.10550671837626
FAIM3	28601.3766	9359.9895	-19241.3871	0.246566192463764	-1.61150576986872
BRP44	20224.8897	997.716	-19227.1737	0.0470119463228778	-4.34135881380736
ZNF398	32620.0404	13457.4799	-19162.5605	0.292061721472455	-1.27735029827275
DCAF8	23634.8477	4661.3385	-18973.5092	0.164733807837326	-2.34209937985411
TOR3A	27405.4	8658.6719	-18746.7281	0.240091355297015	-1.6622425309458
ASAH1	19748.3636	1102.0128	-18646.3508	0.0528533767860421	-4.16352022665458
ZNF335	22205.2	3576.7054	-18628.4946	0.138729288798027	-2.63419436668978
FNBP4	21680.6	3055.1831	-18625.4169	0.123512689598253	-2.82707393330393
LUC7L2	22133.2	3634.6171	-18498.5829	0.141052580662721	-2.60633675780743
HNRNPA0	19806.6	1369.7138	-18436.8862	0.064681408338405	-3.85403486807193
B3GALNT2	22050.2	3686.0216	-18364.1784	0.143223106223176	-2.58065531112767
HSPA9	19066.6	802.4024	-18264.1976	0.0403846345098836	-4.57057787057682
LOC100129387	18066.3919	123.2576	-17943.1343	0.00677624931695358	-7.19548799407957
IFIH1	23492.6	5552.3161	-17940.2839	0.191163096525522	-2.08104478006615
FLJ10038	17974.3421	123.2576	-17851.0845	0.00681071534585882	-7.18811855045313
PTPN7	19701.3052	1924.2055	-17777.0997	0.0889784998233591	-3.35595642213467
DCAKD	25195.565	7593.535	-17602.03	0.231587173786411	-1.73032624703713
LOC400027	26248.381	8676.4422	-17571.9388	0.248431957702795	-1.59705295229931
