GENE_ID	locusLine	bin_1_05_0EWR_0229Kronos_MM1S-KB-3hr-1_H3K18Ac_hs-dm_i07.bam
1_MACS_peak_1_lociStitched	chr1(.):28348-30431	3.2827
1_MACS_peak_2_lociStitched	chr1(.):441856-442686	0.5787
1_MACS_peak_3_lociStitched	chr1(.):540183-541246	0.5782
1_MACS_peak_4_lociStitched	chr1(.):713114-715286	1.5145
1_MACS_peak_5_lociStitched	chr1(.):752423-753281	0.4514
1_MACS_peak_6_lociStitched	chr1(.):761830-763680	1.6154
1_MACS_peak_7_lociStitched	chr1(.):793412-794470	0.56
1_MACS_peak_8_lociStitched	chr1(.):879181-880547	0.6903
3_MACS_peak_9_lociStitched	chr1(.):893890-902780	0.535
1_MACS_peak_12_lociStitched	chr1(.):947957-949679	1.1212
1_MACS_peak_13_lociStitched	chr1(.):967944-969086	0.4563
1_MACS_peak_14_lociStitched	chr1(.):997593-1000404	1.0583
1_MACS_peak_15_lociStitched	chr1(.):1051068-1052179	0.7392
3_MACS_peak_16_lociStitched	chr1(.):1071306-1080386	0.3381
1_MACS_peak_19_lociStitched	chr1(.):1092827-1094177	1.397
1_MACS_peak_20_lociStitched	chr1(.):1166067-1168175	1.4811
1_MACS_peak_21_lociStitched	chr1(.):1185059-1185900	0.56
1_MACS_peak_22_lociStitched	chr1(.):1208003-1210172	1.2617
2_MACS_peak_23_lociStitched	chr1(.):1242404-1245074	1.5246
1_MACS_peak_25_lociStitched	chr1(.):1259381-1261410	1.3693
2_MACS_peak_26_lociStitched	chr1(.):1283881-1285515	1.1972
1_MACS_peak_28_lociStitched	chr1(.):1309827-1311670	1.3102
2_MACS_peak_29_lociStitched	chr1(.):1333765-1343545	0.5509
1_MACS_peak_31_lociStitched	chr1(.):1396687-1399025	1.834
1_MACS_peak_32_lociStitched	chr1(.):1405942-1408328	0.9282
2_MACS_peak_33_lociStitched	chr1(.):1439728-1448713	0.9026
1_MACS_peak_35_lociStitched	chr1(.):1509223-1511172	1.5853
2_MACS_peak_36_lociStitched	chr1(.):1544938-1552199	0.8735
1_MACS_peak_38_lociStitched	chr1(.):1565661-1566506	0.4776
1_MACS_peak_39_lociStitched	chr1(.):1589534-1591627	1.819
2_MACS_peak_40_lociStitched	chr1(.):1606186-1610965	1.5134
1_MACS_peak_42_lociStitched	chr1(.):1622720-1625534	4.1487
1_MACS_peak_43_lociStitched	chr1(.):1655033-1656753	1.2164
2_MACS_peak_44_lociStitched	chr1(.):1668872-1678933	1.4388
2_MACS_peak_46_lociStitched	chr1(.):1708310-1715028	2.0298
1_MACS_peak_48_lociStitched	chr1(.):1772489-1774645	0.6391
2_MACS_peak_49_lociStitched	chr1(.):1821079-1829685	0.5777
1_MACS_peak_51_lociStitched	chr1(.):1838370-1841423	0.9735
2_MACS_peak_52_lociStitched	chr1(.):2120474-2127150	0.3043
1_MACS_peak_54_lociStitched	chr1(.):2158438-2159429	1.3869
1_MACS_peak_55_lociStitched	chr1(.):2186466-2188043	0.7832
1_MACS_peak_56_lociStitched	chr1(.):2221293-2223332	0.8895
1_MACS_peak_57_lociStitched	chr1(.):2231007-2233715	2.1495
1_MACS_peak_58_lociStitched	chr1(.):2265992-2266657	0.4701
1_MACS_peak_59_lociStitched	chr1(.):2322197-2324202	1.1269
2_MACS_peak_60_lociStitched	chr1(.):2342934-2347925	1.2321
1_MACS_peak_62_lociStitched	chr1(.):2411462-2412058	0.4043
1_MACS_peak_63_lociStitched	chr1(.):2456747-2458493	1.3009
2_MACS_peak_64_lociStitched	chr1(.):2476819-2489248	1.4198
2_MACS_peak_66_lociStitched	chr1(.):2508693-2518936	0.4975
1_MACS_peak_68_lociStitched	chr1(.):2573644-2575022	2.4373
1_MACS_peak_69_lociStitched	chr1(.):3086907-3088123	0.5964
2_MACS_peak_70_lociStitched	chr1(.):3540365-3547969	0.449
2_MACS_peak_72_lociStitched	chr1(.):3565762-3570105	1.0866
1_MACS_peak_74_lociStitched	chr1(.):3589197-3590340	0.5922
1_MACS_peak_75_lociStitched	chr1(.):3688409-3689144	0.5892
1_MACS_peak_76_lociStitched	chr1(.):3712210-3713739	0.842
1_MACS_peak_77_lociStitched	chr1(.):3773179-3774904	1.0716
1_MACS_peak_78_lociStitched	chr1(.):3815801-3818383	4.5598
1_MACS_peak_79_lociStitched	chr1(.):3838073-3839686	0.6852
1_MACS_peak_80_lociStitched	chr1(.):4439017-4440456	0.5856
2_MACS_peak_81_lociStitched	chr1(.):6051253-6055360	1.6829
1_MACS_peak_83_lociStitched	chr1(.):6083964-6087187	1.6121
2_MACS_peak_84_lociStitched	chr1(.):6258607-6266808	0.6158
1_MACS_peak_86_lociStitched	chr1(.):6294829-6296854	1.4651
1_MACS_peak_87_lociStitched	chr1(.):6418999-6420542	0.7377
1_MACS_peak_88_lociStitched	chr1(.):6452500-6454705	1.3841
1_MACS_peak_89_lociStitched	chr1(.):6474319-6475757	1.2386
1_MACS_peak_90_lociStitched	chr1(.):6549864-6551649	1.6009
1_MACS_peak_91_lociStitched	chr1(.):6613787-6615392	1.1501
1_MACS_peak_92_lociStitched	chr1(.):6639594-6640952	0.9039
1_MACS_peak_93_lociStitched	chr1(.):6660193-6664598	2.4818
1_MACS_peak_94_lociStitched	chr1(.):6672433-6674879	1.6052
1_MACS_peak_95_lociStitched	chr1(.):6684450-6686653	1.5425
1_MACS_peak_96_lociStitched	chr1(.):6760963-6762254	0.894
2_MACS_peak_97_lociStitched	chr1(.):6843701-6846564	1.4814
1_MACS_peak_99_lociStitched	chr1(.):6977997-6980450	1.2621
1_MACS_peak_100_lociStitched	chr1(.):7830676-7832273	0.9168
2_MACS_peak_101_lociStitched	chr1(.):8013668-8022706	0.4258
1_MACS_peak_103_lociStitched	chr1(.):8085782-8086537	0.5103
2_MACS_peak_104_lociStitched	chr1(.):8454974-8457981	0.5269
3_MACS_peak_106_lociStitched	chr1(.):8650329-8664948	0.3413
1_MACS_peak_109_lociStitched	chr1(.):8740452-8741475	0.6142
2_MACS_peak_110_lociStitched	chr1(.):8760752-8773538	0.5755
1_MACS_peak_112_lociStitched	chr1(.):8876568-8878826	1.7713
1_MACS_peak_113_lociStitched	chr1(.):8937242-8939909	2.5525
1_MACS_peak_114_lociStitched	chr1(.):9139553-9141567	0.6613
1_MACS_peak_115_lociStitched	chr1(.):9171012-9172763	0.5003
1_MACS_peak_116_lociStitched	chr1(.):9222088-9225989	3.7979
1_MACS_peak_117_lociStitched	chr1(.):9241124-9243325	2.3998
1_MACS_peak_118_lociStitched	chr1(.):9294436-9295854	1.1631
1_MACS_peak_119_lociStitched	chr1(.):9335342-9336467	0.4416
1_MACS_peak_120_lociStitched	chr1(.):9473131-9474113	0.5861
2_MACS_peak_121_lociStitched	chr1(.):9485338-9489724	0.6515
1_MACS_peak_123_lociStitched	chr1(.):9599415-9600507	0.6262
1_MACS_peak_124_lociStitched	chr1(.):9614974-9615944	0.6996
1_MACS_peak_125_lociStitched	chr1(.):9648178-9650275	0.9327
1_MACS_peak_126_lociStitched	chr1(.):9748899-9749817	0.5603
1_MACS_peak_127_lociStitched	chr1(.):9776629-9778776	3.6312
1_MACS_peak_128_lociStitched	chr1(.):9846606-9848750	1.2397
1_MACS_peak_129_lociStitched	chr1(.):9882727-9884441	1.3971
1_MACS_peak_130_lociStitched	chr1(.):9895973-9896982	0.6273
1_MACS_peak_131_lociStitched	chr1(.):9969091-9971657	1.0191
1_MACS_peak_132_lociStitched	chr1(.):10002333-10004315	1.386
1_MACS_peak_133_lociStitched	chr1(.):10020779-10021755	0.5461
1_MACS_peak_134_lociStitched	chr1(.):10050116-10052050	1.1243
1_MACS_peak_135_lociStitched	chr1(.):10078283-10079884	0.7233
1_MACS_peak_136_lociStitched	chr1(.):10092182-10094235	1.7497
1_MACS_peak_137_lociStitched	chr1(.):10228615-10231681	1.3189
1_MACS_peak_138_lociStitched	chr1(.):10249094-10250696	0.8742
1_MACS_peak_139_lociStitched	chr1(.):10260012-10261794	0.9634
1_MACS_peak_140_lociStitched	chr1(.):10269493-10271816	1.3115
1_MACS_peak_141_lociStitched	chr1(.):10310579-10314651	0.9467
1_MACS_peak_142_lociStitched	chr1(.):10447637-10448471	0.3666
1_MACS_peak_143_lociStitched	chr1(.):10458237-10460099	0.9847
1_MACS_peak_144_lociStitched	chr1(.):10489879-10491904	1.4732
1_MACS_peak_145_lociStitched	chr1(.):10504336-10505694	0.7479
1_MACS_peak_146_lociStitched	chr1(.):10516495-10518090	1.0441
2_MACS_peak_147_lociStitched	chr1(.):10531867-10535817	0.9636
1_MACS_peak_149_lociStitched	chr1(.):10999316-11001137	0.7716
1_MACS_peak_150_lociStitched	chr1(.):11071408-11073826	2.9826
1_MACS_peak_151_lociStitched	chr1(.):11118951-11121143	1.4448
1_MACS_peak_152_lociStitched	chr1(.):11158874-11160469	1.7561
1_MACS_peak_153_lociStitched	chr1(.):11321844-11323472	0.7582
1_MACS_peak_154_lociStitched	chr1(.):11333163-11334526	2.4342
1_MACS_peak_155_lociStitched	chr1(.):11538538-11539898	3.052
1_MACS_peak_156_lociStitched	chr1(.):11625996-11631336	0.957
2_MACS_peak_157_lociStitched	chr1(.):11713939-11715626	0.5283
1_MACS_peak_159_lociStitched	chr1(.):11723965-11725204	0.7786
1_MACS_peak_160_lociStitched	chr1(.):11740366-11742353	1.7049
2_MACS_peak_161_lociStitched	chr1(.):11790317-11798160	0.6644
1_MACS_peak_163_lociStitched	chr1(.):11843122-11845604	1.2309
1_MACS_peak_164_lociStitched	chr1(.):11864349-11867412	2.1329
1_MACS_peak_165_lociStitched	chr1(.):11967619-11970661	3.3245
3_MACS_peak_166_lociStitched	chr1(.):11984680-11995492	0.4132
1_MACS_peak_169_lociStitched	chr1(.):12039512-12041261	1.9824
1_MACS_peak_170_lociStitched	chr1(.):12078685-12080543	0.8866
3_MACS_peak_171_lociStitched	chr1(.):12099988-12113372	0.4749
1_MACS_peak_174_lociStitched	chr1(.):12138750-12140131	0.7038
3_MACS_peak_175_lociStitched	chr1(.):12220881-12234456	0.5231
1_MACS_peak_178_lociStitched	chr1(.):12269921-12271639	0.5583
1_MACS_peak_179_lociStitched	chr1(.):12289796-12291792	1.1032
1_MACS_peak_180_lociStitched	chr1(.):12348016-12348803	0.4548
1_MACS_peak_181_lociStitched	chr1(.):12495295-12496922	0.7768
1_MACS_peak_182_lociStitched	chr1(.):12508753-12510348	0.5513
1_MACS_peak_183_lociStitched	chr1(.):12678066-12679515	0.6373
1_MACS_peak_184_lociStitched	chr1(.):12896694-12897724	0.5962
1_MACS_peak_185_lociStitched	chr1(.):13824524-13825883	0.4861
1_MACS_peak_186_lociStitched	chr1(.):14026070-14027403	1.0501
1_MACS_peak_187_lociStitched	chr1(.):14056553-14058402	1.4553
1_MACS_peak_188_lociStitched	chr1(.):14074847-14077049	1.3663
1_MACS_peak_189_lociStitched	chr1(.):14155238-14156439	0.9741
1_MACS_peak_190_lociStitched	chr1(.):14238322-14239525	0.5989
1_MACS_peak_191_lociStitched	chr1(.):14246832-14249632	1.0647
1_MACS_peak_192_lociStitched	chr1(.):14271872-14273362	0.5113
1_MACS_peak_193_lociStitched	chr1(.):14292222-14295415	0.8125
2_MACS_peak_194_lociStitched	chr1(.):14335823-14344986	0.9546
1_MACS_peak_196_lociStitched	chr1(.):14361123-14367595	1.9324
1_MACS_peak_197_lociStitched	chr1(.):14439926-14441196	0.5846
1_MACS_peak_198_lociStitched	chr1(.):14463128-14464857	0.4702
