REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
4_MACS_peak_21590_lociStitched	chr6	108878354	108961013	4	77459	231230.2866	13605.6714	1	FOXO3		FOXO3	1	1
6_MACS_peak_17319_lociStitched	chr3	141079096	141160745	6	74219	695967.9111	17579.0297	2	ZBTB38	RASA2	ZBTB38	2	1
11_MACS_peak_8825_lociStitched	chr16	11754714	11843335	11	74096	405485.3855	17006.3699	3	SNN,TXNDC11	ZC3H7A	SNN	3	1
8_MACS_peak_7487_lociStitched	chr14	91812915	91886114	8	61488	289040.8913	8198.288	4	CCDC88C		CCDC88C	4	1
5_MACS_peak_1237_lociStitched	chr1	118141907	118219403	5	61110	346980.5904	9415.764	5	FAM46C		FAM46C	5	1
5_MACS_peak_12735_lociStitched	chr2	37514981	37588550	5	58674	415981.1967	15765.8367	6	QPCT,PRKD3		PRKD3	6	1
6_MACS_peak_10955_lociStitched	chr18	9095096	9157557	6	50859	220812.1272	12891.9504	7	NDUFV2,ANKRD12		ANKRD12	7	1
3_MACS_peak_13347_lociStitched	chr2	99054612	99108430	3	49307	295848.3096	11899.1598	8	INPP4A		INPP4A	8	1
10_MACS_peak_15688_lociStitched	chr22	23188609	23248961	10	47579	329383.1104	8539.808	9	IGLL5	MIR650	IGLL5	9	1
3_MACS_peak_14780_lociStitched	chr20	30261713	30312440	3	46517	247243.398	11504.8836	10	BCL2L1	COX4I2,TPX2	BCL2L1	10	1
1_MACS_peak_20648_lociStitched	chr6	7879142	7919804	1	40663	249229.5966	9771.0786	11	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	11	1
7_MACS_peak_2032_lociStitched	chr1	203236278	203298424	7	40550	593724.2402	20644.9012	12	BTG2,LOC730227	CHIT1,FMOD	LOC730227	12	1
6_MACS_peak_21237_lociStitched	chr6	52392511	52443091	6	38711	140384.79	9933.912	13	TRAM2		TRAM2	13	1
5_MACS_peak_10066_lociStitched	chr17	34597614	34641732	5	37617	238184.2584	11236.8546	14	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	14	1
5_MACS_peak_11173_lociStitched	chr18	46440275	46482995	5	37472	122691.84	8360.304	15	SMAD7		SMAD7	15	1
3_MACS_peak_10533_lociStitched	chr17	62149775	62187297	3	37409	148744.7124	7767.054	16	ERN1	SNORD104,SNORA76	ERN1	16	1
5_MACS_peak_14822_lociStitched	chr20	32398778	32449174	5	37118	174864.0408	10089.2792	17	CHMP4B		CHMP4B	17	1
5_MACS_peak_1513_lociStitched	chr1	154907896	154957929	5	36903	257354.7421	13969.2136	18	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	18	1
6_MACS_peak_20440_lociStitched	chr5	173309959	173357171	6	36520	81978.9168	7728.6044	19	CPEB4		CPEB4	19	1
6_MACS_peak_9439_lociStitched	chr16	78763611	78805007	6	35268	43051.84	4387.976	20	WWOX		WWOX	20	1
3_MACS_peak_10023_lociStitched	chr17	32688367	32727274	3	33922	344167.4313	9800.6733	21	CCL1	CCL8,CCL13	CCL1	21	1
7_MACS_peak_9328_lociStitched	chr16	68269996	68320800	7	33841	141616.15	9601.956	22	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	22	1
6_MACS_peak_20541_lociStitched	chr6	289975	337949	6	33358	203184.2822	15505.1968	23	DUSP22		DUSP22	23	1
6_MACS_peak_9820_lociStitched	chr17	16847897	16895580	6	32954	262013.3167	9126.5262	24	TNFRSF13B		TNFRSF13B	24	1
3_MACS_peak_24338_lociStitched	chr8	120915106	120948957	3	32906	193323.061	6502.7771	25	DEPDC6	DSCC1	DEPDC6	25	1
5_MACS_peak_7750_lociStitched	chr15	31616728	31660660	5	32278	128619.7164	7855.0416	26	KLF13		KLF13	26	1
6_MACS_peak_20029_lociStitched	chr5	131789537	131837969	6	32056	181377.84	9894.6576	27	C5orf56,IRF1	IL5	IRF1	27	1
4_MACS_peak_3612_lociStitched	chr10	125821729	125854974	4	30973	163409.1485	6353.1195	28	CHST15		CHST15	28	1
3_MACS_peak_18508_lociStitched	chr4	90204978	90246772	3	30835	306408.5316	9081.8362	29	GPRIN3		GPRIN3	29	1
7_MACS_peak_17684_lociStitched	chr3	183220101	183261507	7	29769	191084.5494	11440.4778	30	KLHL6		KLHL6	30	1
1_MACS_peak_5564_lociStitched	chr12	53845207	53874844	1	29638	59697.8091	6594.2325	31	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	31	1
3_MACS_peak_8209_lociStitched	chr15	68568564	68599480	3	29422	120417.82	6418.1616	32	FEM1B,ITGA11	CLN6	FEM1B	32	1
5_MACS_peak_16215_lociStitched	chr3	5222098	5256348	5	28819	108260.825	6514.35	33	ARL8B,EDEM1		EDEM1	33	1
3_MACS_peak_15915_lociStitched	chr22	37610885	37642475	3	28705	137536.542	6491.745	34	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	34	1
8_MACS_peak_12124_lociStitched	chr19	42022449	42070578	8	28703	134520.555	9688.3677	35		CEACAM21	CEACAM21	35	1
6_MACS_peak_23714_lociStitched	chr8	27208530	27253044	6	27916	108115.6032	8698.0356	36	PTK2B	TRIM35	PTK2B	36	1
2_MACS_peak_4923_lociStitched	chr11	128584997	128618663	2	27875	146928.5238	7137.192	37	FLI1		FLI1	37	1
9_MACS_peak_21879_lociStitched	chr6	138246661	138297737	9	27808	144187.548	8601.1984	38			TNFAIP3	38	1
2_MACS_peak_7629_lociStitched	chr14	106024472	106052942	2	26993	248861.964	5565.885	39		TMEM121	TMEM121	39	1
3_MACS_peak_22642_lociStitched	chr7	55616042	55643205	3	26896	77990.4056	5562.9824	40	VOPP1		VOPP1	40	1
3_MACS_peak_2638_lociStitched	chr10	11278933	11313242	3	26635	96600.4204	6583.8971	41	CELF2		CELF2	41	1
3_MACS_peak_10062_lociStitched	chr17	34509591	34540256	3	26524	234277.5335	8868.318	42	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	42	1
6_MACS_peak_10333_lociStitched	chr17	46528044	46571109	6	26304	76289.6475	7605.279	43		SKAP1,HOXB1	SKAP1	43	1
5_MACS_peak_10770_lociStitched	chr17	76710836	76746757	5	26107	86986.2936	7004.595	44	CYTH1		CYTH1	44	1
1_MACS_peak_21558_lociStitched	chr6	106530224	106556246	1	26023	175453.335	6104.7612	45	PRDM1		PRDM1	45	1
4_MACS_peak_23427_lociStitched	chr7	150053119	150084950	4	25937	161367.2545	8387.4685	46	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	REPIN1	46	1
5_MACS_peak_18301_lociStitched	chr4	71515064	71555236	5	25897	188736.0904	8219.1912	47	UTP3,IGJ	ENAM,RUFY3	IGJ	47	1
5_MACS_peak_23010_lociStitched	chr7	102062846	102093328	5	25813	196861.9006	6044.5806	48	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	48	1
