#19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39_ROSE/19_0EX5_0229Kronos_MM1S-KB-24hr-1_H3K27Ac_hs-dm_i39_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam
#Using cutoff of 31149.3378 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X19_0EX5_0229Kronos_MM1S.KB.24hr.1_H3K27Ac_hs.dm_i39.bam	X43_0EXV_0229Kronos_MM1S.KB.24hr.1_Input_hs_i87.bam	enhancerRank	isSuper
6_MACS_peak_17319_lociStitched	chr3	141079096	141160745	6	74219	695967.9111	17579.0297	1	1
7_MACS_peak_2032_lociStitched	chr1	203236278	203298424	7	40550	593724.2402	20644.9012	2	1
5_MACS_peak_12735_lociStitched	chr2	37514981	37588550	5	58674	415981.1967	15765.8367	3	1
11_MACS_peak_8825_lociStitched	chr16	11754714	11843335	11	74096	405485.3855	17006.3699	4	1
5_MACS_peak_1237_lociStitched	chr1	118141907	118219403	5	61110	346980.5904	9415.764	5	1
3_MACS_peak_10023_lociStitched	chr17	32688367	32727274	3	33922	344167.4313	9800.6733	6	1
10_MACS_peak_15688_lociStitched	chr22	23188609	23248961	10	47579	329383.1104	8539.808	7	1
3_MACS_peak_18508_lociStitched	chr4	90204978	90246772	3	30835	306408.5316	9081.8362	8	1
3_MACS_peak_13347_lociStitched	chr2	99054612	99108430	3	49307	295848.3096	11899.1598	9	1
8_MACS_peak_7487_lociStitched	chr14	91812915	91886114	8	61488	289040.8913	8198.288	10	1
6_MACS_peak_9820_lociStitched	chr17	16847897	16895580	6	32954	262013.3167	9126.5262	11	1
5_MACS_peak_1513_lociStitched	chr1	154907896	154957929	5	36903	257354.7421	13969.2136	12	1
2_MACS_peak_7629_lociStitched	chr14	106024472	106052942	2	26993	248861.964	5565.885	13	1
1_MACS_peak_20648_lociStitched	chr6	7879142	7919804	1	40663	249229.5966	9771.0786	14	1
3_MACS_peak_14780_lociStitched	chr20	30261713	30312440	3	46517	247243.398	11504.8836	15	1
2_MACS_peak_15698_lociStitched	chr22	23269400	23286071	2	16188	238988.7876	4189.4223	16	1
5_MACS_peak_10066_lociStitched	chr17	34597614	34641732	5	37617	238184.2584	11236.8546	17	1
3_MACS_peak_10062_lociStitched	chr17	34509591	34540256	3	26524	234277.5335	8868.318	18	1
1_MACS_peak_2633_lociStitched	chr10	11202397	11224043	1	21647	231157.634	6398.5576	19	1
3_MACS_peak_15719_lociStitched	chr22	24176697	24200900	3	16574	228212.5073	4859.9624	20	1
4_MACS_peak_21590_lociStitched	chr6	108878354	108961013	4	77459	231230.2866	13605.6714	21	1
4_MACS_peak_10951_lociStitched	chr18	9054643	9085266	4	19227	219695.5266	6372.6463	22	1
5_MACS_peak_2088_lociStitched	chr1	206271968	206311041	5	24384	221344.6377	10838.8502	23	1
6_MACS_peak_10955_lociStitched	chr18	9095096	9157557	6	50859	220812.1272	12891.9504	24	1
5_MACS_peak_3529_lociStitched	chr10	112600035	112633392	5	23078	213631.5708	6688.0785	25	1
4_MACS_peak_6078_lociStitched	chr12	109009379	109036401	4	23015	207223.6114	6258.2952	26	1
2_MACS_peak_3931_lociStitched	chr11	22676707	22704600	2	23887	201638.497	4973.3219	27	1
1_MACS_peak_4274_lociStitched	chr11	65183305	65200047	1	16743	199889.4348	4726.2666	28	1
1_MACS_peak_13948_lociStitched	chr2	182168182	182180648	1	12467	197930.1616	3026.7448	29	1
5_MACS_peak_23010_lociStitched	chr7	102062846	102093328	5	25813	196861.9006	6044.5806	30	1
2_MACS_peak_4443_lociStitched	chr11	72850493	72870202	2	14808	194378.0416	4247.2895	31	1
