REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02.bam	35_0EXN_0229Kronos_MM1S-No-Treatment-1_Input_hs_i77.bam
27_MACS_peak_15192_lociStitched	chr17	77080330	77288303	27	202071	343405.0176	17677.705
23_MACS_peak_15576_lociStitched	chr17	79316844	79473550	23	151676	279469.4804	13664.7632
23_MACS_peak_597_lociStitched	chr1	3394195	3537281	23	137000	236664.24399999998	10130.488800000001
15_MACS_peak_15546_lociStitched	chr17	79009445	79148765	15	135494	298716.012	13110.012
25_MACS_peak_10870_lociStitched	chr16	1204233	1342471	25	132694	257758.5748	11363.1636
14_MACS_peak_34016_lociStitched	chr9	139477131	139615046	14	135716	276878.154	12357.184
38_MACS_peak_6375_lociStitched	chr11	1588499	1724431	38	125651	208003.1464	14286.4532
14_MACS_peak_24344_lociStitched	chr22	37711735	37836030	14	120066	204713.865	12243.0575
24_MACS_peak_16309_lociStitched	chr19	3798364	3911190	24	108710	182450.9246	14498.141
17_MACS_peak_15920_lociStitched	chr19	681509	794218	17	109561	225891.3778	14866.317099999998
20_MACS_peak_15235_lociStitched	chr17	77345052	77455999	20	107612	163702.2985	9852.0936
12_MACS_peak_14224_lociStitched	chr17	47938078	48037214	12	97085	162900.2752	10548.070399999999
13_MACS_peak_9079_lociStitched	chr12	54337371	54434656	13	95152	173760.7385	10847.2775
10_MACS_peak_1644_lociStitched	chr1	10755048	10851837	10	95847	160534.2354	8691.6522
19_MACS_peak_32934_lociStitched	chr9	135020699	135116494	19	93730	143079.412	9081.366
8_MACS_peak_22586_lociStitched	chr20	60983189	61072388	8	87897	183785.6196	7867.3518
10_MACS_peak_23374_lociStitched	chr21	46708347	46795433	10	85706	179458.1202	10929.293
13_MACS_peak_25259_lociStitched	chr22	46290168	46374685	13	82087	126082.4606	6659.9396
14_MACS_peak_23100_lociStitched	chr21	44147631	44231154	14	80599	160731.6612	10682.5917
6_MACS_peak_6498_lociStitched	chr11	1981209	2063554	6	81692	173097.4245	7262.829
10_MACS_peak_23086_lociStitched	chr21	44049881	44131733	10	80240	144788.0028	11017.279199999999
10_MACS_peak_15990_lociStitched	chr19	1672327	1753540	10	79442	190233.33120000002	12011.4027
