#21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_ROSE/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam
#Using cutoff of 18823.2984 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuperStretch
27_MACS_peak_15192_lociStitched	chr17	77080330	77288303	27	202071	343405.0176	17677.705	1	1
23_MACS_peak_15576_lociStitched	chr17	79316844	79473550	23	151676	279469.4804	13664.7632	2	1
15_MACS_peak_15546_lociStitched	chr17	79009445	79148765	15	135494	298716.012	13110.012	3	1
14_MACS_peak_34016_lociStitched	chr9	139477131	139615046	14	135716	276878.154	12357.184	4	1
25_MACS_peak_10870_lociStitched	chr16	1204233	1342471	25	132694	257758.5748	11363.1636	5	1
23_MACS_peak_597_lociStitched	chr1	3394195	3537281	23	137000	236664.244	10130.4888	6	1
38_MACS_peak_6375_lociStitched	chr11	1588499	1724431	38	125651	208003.1464	14286.4532	7	1
17_MACS_peak_15920_lociStitched	chr19	681509	794218	17	109561	225891.3778	14866.3171	8	1
14_MACS_peak_24344_lociStitched	chr22	37711735	37836030	14	120066	204713.865	12243.0575	9	1
24_MACS_peak_16309_lociStitched	chr19	3798364	3911190	24	108710	182450.9246	14498.141	10	1
20_MACS_peak_15235_lociStitched	chr17	77345052	77455999	20	107612	163702.2985	9852.0936	11	1
8_MACS_peak_22586_lociStitched	chr20	60983189	61072388	8	87897	183785.6196	7867.3518	12	1
13_MACS_peak_9079_lociStitched	chr12	54337371	54434656	13	95152	173760.7385	10847.2775	13	1
10_MACS_peak_15990_lociStitched	chr19	1672327	1753540	10	79442	190233.3312	12011.4027	14	1
12_MACS_peak_14224_lociStitched	chr17	47938078	48037214	12	97085	162900.2752	10548.0704	15	1
10_MACS_peak_23374_lociStitched	chr21	46708347	46795433	10	85706	179458.1202	10929.293	16	1
10_MACS_peak_1644_lociStitched	chr1	10755048	10851837	10	95847	160534.2354	8691.6522	17	1
6_MACS_peak_6498_lociStitched	chr11	1981209	2063554	6	81692	173097.4245	7262.829	18	1
19_MACS_peak_32934_lociStitched	chr9	135020699	135116494	19	93730	143079.412	9081.366	19	1
9_MACS_peak_15957_lociStitched	chr19	1281722	1352955	9	68376	177605.2389	9573.7152	20	1
15_MACS_peak_27416_lociStitched	chr4	9211662	9274633	15	61966	190468.3837	18721.2783	21	1
14_MACS_peak_23100_lociStitched	chr21	44147631	44231154	14	80599	160731.6612	10682.5917	22	1
9_MACS_peak_16385_lociStitched	chr19	4544665	4624097	9	76456	154908.2864	12653.5176	23	1
10_MACS_peak_23086_lociStitched	chr21	44049881	44131733	10	80240	144788.0028	11017.2792	24	1
3_MACS_peak_17100_lociStitched	chr19	8851007	8901849	3	49937	181429.677	21516.3344	25	1
14_MACS_peak_23312_lociStitched	chr21	46404171	46477830	14	70669	146154.1878	9030.5934	26	1
13_MACS_peak_25259_lociStitched	chr22	46290168	46374685	13	82087	126082.4606	6659.9396	27	1
4_MACS_peak_2029_lociStitched	chr1	17011435	17066313	4	54735	165962.0476	14701.8162	28	1
8_MACS_peak_22599_lociStitched	chr20	61141406	61213401	8	71070	137107.278	6090.777	29	1
2_MACS_peak_23310_lociStitched	chr21	46300646	46357652	2	56639	155101.9248	8317.1754	30	1
12_MACS_peak_14273_lociStitched	chr17	48633289	48707009	12	71353	125316.628	8123.944	31	1
12_MACS_peak_15974_lociStitched	chr19	1483966	1549684	12	62807	134715.3282	9851.1282	32	1
18_MACS_peak_17961_lociStitched	chr19	18059504	18132672	18	70348	109810.5344	7163.1472	33	1
13_MACS_peak_12713_lociStitched	chr17	1828550	1900870	13	69455	109991.488	6501.568	34	1
7_MACS_peak_12654_lociStitched	chr17	1041701	1106316	7	63325	117411.9165	7379.033	35	1
19_MACS_peak_22837_lociStitched	chr20	62790848	62866298	19	69046	105984.615	6918.765	36	1
8_MACS_peak_23393_lociStitched	chr21	46858189	46920229	8	60186	116932.992	7451.004	37	1
22_MACS_peak_181_lociStitched	chr1	1934764	2010198	22	69556	98184.8944	5619.833	38	1
18_MACS_peak_31395_lociStitched	chr8	141991264	142061211	18	64884	106536.2757	8386.6453	39	1
