REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
27_MACS_peak_15192_lociStitched	chr17	77080330	77288303	27	202071	343405.0176	17677.705	1	ENGASE,RBFOX3	C1QTNF1	ENGASE	C1QTNF1	1.4065999999999999	1	1
23_MACS_peak_15576_lociStitched	chr17	79316844	79473550	23	151676	279469.4804	13664.7632	2	BAHCC1,MIR3186	FSCN2,SLC38A10,C17orf55,TMEM105,ACTG1,C17orf70	BAHCC1	C17orf55	1.9250999999999998	2	1
15_MACS_peak_15546_lociStitched	chr17	79009445	79148765	15	135494	298716.012	13110.012	3	BAIAP2,MIR3065,LOC388428,AATK,MIR657,MIR338,MIR1250	CHMP6,FLJ90757,AZI1	MIR657	FLJ90757	2.0168	3	1
14_MACS_peak_34016_lociStitched	chr9	139477131	139615046	14	135716	276878.154	12357.184	4	EGFL7,MIR126,FAM69B,AGPAT2	LOC100128593,NOTCH1,SNORA43,SNORA17,SNHG7,LCN10,LCN6,LCN8,LCN15	EGFL7	EGFL7	2.3034	4	1
25_MACS_peak_10870_lociStitched	chr16	1204233	1342471	25	132694	257758.5748	11363.1636	5	CACNA1H,TPSAB1,TPSD1,TPSG1,TPSB2	UBE2I,BAIAP3	TPSG1	TPSG1	2.208	5	1
23_MACS_peak_597_lociStitched	chr1	3394195	3537281	23	137000	236664.244	10130.4888	6	ARHGEF16,MEGF6,MIR551A	TPRG1L,TP73,WDR8	MIR551A	MIR551A	1.6703	6	1
38_MACS_peak_6375_lociStitched	chr11	1588499	1724431	38	125651	208003.1464	14286.4532	7	LOC338651,KRTAP5-5,FAM99A,KRTAP5-6,MOB2,DUSP8,KRTAP5-1,KRTAP5-2,KRTAP5-3,KRTAP5-4,FAM99B	LOC402778	KRTAP5-5	KRTAP5-5	1.8497	7	1
17_MACS_peak_15920_lociStitched	chr19	681509	794218	17	109561	225891.3778	14866.3171	8	FSTL3,PALM,C19orf21,PRSSL1	FGF22,PTBP1,MIR3187,AZU1,PRTN3,POLRMT,RNF126,LPPR3	C19orf21	PRTN3	1.8883999999999999	8	1
14_MACS_peak_24344_lociStitched	chr22	37711735	37836030	14	120066	204713.865	12243.0575	9	ELFN2	CYTH4,MFNG	ELFN2	ELFN2	1.522	9	1
24_MACS_peak_16309_lociStitched	chr19	3798364	3911190	24	108710	182450.9246	14498.141	10	ATCAY,MATK,ZFR2	MRPL54,ITGB1BP3,APBA3,RAX2,MATK	ZFR2	ZFR2	1.6484999999999999	10	1
20_MACS_peak_15235_lociStitched	chr17	77345052	77455999	20	107612	163702.2985	9852.0936	11	RBFOX3		RBFOX3	RBFOX3	1.3618	11	1
8_MACS_peak_22586_lociStitched	chr20	60983189	61072388	8	87897	183785.6196	7867.3518	12	C20orf151,GATA5	RPS21,LAMA5,CABLES2	GATA5	GATA5	1.8843	12	1
