#21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_ROSE/21_0F27_0229Kronos_MM1S-No-Treatment-1_H3K27me3_hs-dm_i02_peaks_1KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam
#Using cutoff of 18823.2984 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X21_0F27_0229Kronos_MM1S.No.Treatment.1_H3K27me3_hs.dm_i02.bam	X35_0EXN_0229Kronos_MM1S.No.Treatment.1_Input_hs_i77.bam	enhancerRank	isSuper
27_MACS_peak_15192_lociStitched	chr17	77080330	77288303	27	202071	343405.0176	17677.705	1	1
15_MACS_peak_15546_lociStitched	chr17	79009445	79148765	15	135494	298716.012	13110.012	2	1
23_MACS_peak_15576_lociStitched	chr17	79316844	79473550	23	151676	279469.4804	13664.7632	3	1
14_MACS_peak_34016_lociStitched	chr9	139477131	139615046	14	135716	276878.154	12357.184	4	1
25_MACS_peak_10870_lociStitched	chr16	1204233	1342471	25	132694	257758.5748	11363.1636	5	1
23_MACS_peak_597_lociStitched	chr1	3394195	3537281	23	137000	236664.244	10130.4888	6	1
17_MACS_peak_15920_lociStitched	chr19	681509	794218	17	109561	225891.3778	14866.3171	7	1
38_MACS_peak_6375_lociStitched	chr11	1588499	1724431	38	125651	208003.1464	14286.4532	8	1
14_MACS_peak_24344_lociStitched	chr22	37711735	37836030	14	120066	204713.865	12243.0575	9	1
10_MACS_peak_15990_lociStitched	chr19	1672327	1753540	10	79442	190233.3312	12011.4027	10	1
8_MACS_peak_22586_lociStitched	chr20	60983189	61072388	8	87897	183785.6196	7867.3518	11	1
15_MACS_peak_27416_lociStitched	chr4	9211662	9274633	15	61966	190468.3837	18721.2783	12	1
10_MACS_peak_23374_lociStitched	chr21	46708347	46795433	10	85706	179458.1202	10929.293	13	1
9_MACS_peak_15957_lociStitched	chr19	1281722	1352955	9	68376	177605.2389	9573.7152	14	1
24_MACS_peak_16309_lociStitched	chr19	3798364	3911190	24	108710	182450.9246	14498.141	15	1
6_MACS_peak_6498_lociStitched	chr11	1981209	2063554	6	81692	173097.4245	7262.829	16	1
13_MACS_peak_9079_lociStitched	chr12	54337371	54434656	13	95152	173760.7385	10847.2775	17	1
3_MACS_peak_17100_lociStitched	chr19	8851007	8901849	3	49937	181429.677	21516.3344	18	1
20_MACS_peak_15235_lociStitched	chr17	77345052	77455999	20	107612	163702.2985	9852.0936	19	1
12_MACS_peak_14224_lociStitched	chr17	47938078	48037214	12	97085	162900.2752	10548.0704	20	1
10_MACS_peak_1644_lociStitched	chr1	10755048	10851837	10	95847	160534.2354	8691.6522	21	1
4_MACS_peak_2029_lociStitched	chr1	17011435	17066313	4	54735	165962.0476	14701.8162	22	1
14_MACS_peak_23100_lociStitched	chr21	44147631	44231154	14	80599	160731.6612	10682.5917	23	1
2_MACS_peak_23310_lociStitched	chr21	46300646	46357652	2	56639	155101.9248	8317.1754	24	1
9_MACS_peak_16385_lociStitched	chr19	4544665	4624097	9	76456	154908.2864	12653.5176	25	1
14_MACS_peak_23312_lociStitched	chr21	46404171	46477830	14	70669	146154.1878	9030.5934	26	1
19_MACS_peak_32934_lociStitched	chr9	135020699	135116494	19	93730	143079.412	9081.366	27	1
10_MACS_peak_23086_lociStitched	chr21	44049881	44131733	10	80240	144788.0028	11017.2792	28	1
8_MACS_peak_22599_lociStitched	chr20	61141406	61213401	8	71070	137107.278	6090.777	29	1
12_MACS_peak_15974_lociStitched	chr19	1483966	1549684	12	62807	134715.3282	9851.1282	30	1
10_MACS_peak_27431_lociStitched	chr4	9324617	9370912	10	45750	134598.083	13476.4745	31	1
13_MACS_peak_25259_lociStitched	chr22	46290168	46374685	13	82087	126082.4606	6659.9396	32	1
12_MACS_peak_14273_lociStitched	chr17	48633289	48707009	12	71353	125316.628	8123.944	33	1
8_MACS_peak_26425_lociStitched	chr4	1751796	1808101	8	53999	114929.766	4763.403	34	1
7_MACS_peak_12654_lociStitched	chr17	1041701	1106316	7	63325	117411.9165	7379.033	35	1
8_MACS_peak_23393_lociStitched	chr21	46858189	46920229	8	60186	116932.992	7451.004	36	1
7_MACS_peak_1084_lociStitched	chr1	6473523	6530221	7	55660	114881.4876	5760.5168	37	1
8_MACS_peak_23385_lociStitched	chr21	46800323	46856354	8	53914	112902.465	6208.2348	38	1
13_MACS_peak_12713_lociStitched	chr17	1828550	1900870	13	69455	109991.488	6501.568	39	1
18_MACS_peak_17961_lociStitched	chr19	18059504	18132672	18	70348	109810.5344	7163.1472	40	1
12_MACS_peak_263_lociStitched	chr1	2347832	2412421	12	62556	106339.3296	5044.4009	41	1
19_MACS_peak_22837_lociStitched	chr20	62790848	62866298	19	69046	105984.615	6918.765	42	1
18_MACS_peak_31395_lociStitched	chr8	141991264	142061211	18	64884	106536.2757	8386.6453	43	1
2_MACS_peak_22703_lociStitched	chr20	61850341	61901379	2	50963	100907.2298	4624.0428	44	1
7_MACS_peak_22612_lociStitched	chr20	61315822	61371858	7	54615	101352.3132	5368.2488	45	1
12_MACS_peak_6526_lociStitched	chr11	2161440	2226589	12	62630	100316.4302	5003.4432	46	1
5_MACS_peak_23601_lociStitched	chr22	19705812	19763973	5	56527	98867.8839	4705.2249	47	1
9_MACS_peak_22646_lociStitched	chr20	61584687	61640685	9	55593	99458.0478	5403.807	48	1
14_MACS_peak_10856_lociStitched	chr16	1144065	1202535	14	56557	97463.643	3964.266	49	1
9_MACS_peak_1635_lociStitched	chr1	10699932	10753471	9	52906	97489.1651	4657.893	50	1
22_MACS_peak_181_lociStitched	chr1	1934764	2010198	22	69556	98184.8944	5619.833	51	1
10_MACS_peak_32822_lociStitched	chr9	133770338	133829287	10	55983	97831.7604	5287.7253	52	1
6_MACS_peak_253_lociStitched	chr1	2243980	2293967	6	49360	95590.1401	3749.025	53	1
2_MACS_peak_28399_lociStitched	chr6	31991375	32032311	2	40494	96142.2896	4859.1032	54	1
2_MACS_peak_40_lociStitched	chr1	845363	879050	2	32977	94694.157	3516.9228	55	1
10_MACS_peak_22733_lociStitched	chr20	62064400	62123091	10	55685	93641.4905	4707.0182	56	1
23_MACS_peak_33893_lociStitched	chr9	138571910	138643510	23	67917	92557.32	4424.88	57	1
10_MACS_peak_16357_lociStitched	chr19	4183102	4242098	10	57714	96411.2632	9191.5768	58	1
12_MACS_peak_22619_lociStitched	chr20	61374401	61424838	12	47225	91694.466	4488.893	59	1
17_MACS_peak_510_lociStitched	chr1	3099579	3169137	17	66046	90411.4884	4869.06	60	1
9_MACS_peak_24314_lociStitched	chr22	37456901	37513839	9	55216	91391.1838	5853.2264	61	1
10_MACS_peak_1050_lociStitched	chr1	6180544	6234075	10	52013	89386.0638	4582.2536	62	1
10_MACS_peak_6900_lociStitched	chr11	61441976	61500113	10	56515	89391.4512	5586.9657	63	1
19_MACS_peak_15347_lociStitched	chr17	77704159	77766700	19	56801	89633.7612	6028.9524	64	1
2_MACS_peak_19860_lociStitched	chr19	50594104	50643112	2	48996	97570.0272	15123.8688	65	1
3_MACS_peak_32442_lociStitched	chr9	129371089	129417801	3	45961	86683.4584	4297.504	66	1
26_MACS_peak_27288_lociStitched	chr4	8586257	8659370	26	67521	86287.9626	4818.1467	67	1
3_MACS_peak_33993_lociStitched	chr9	139216963	139252969	3	35829	84520.4844	3204.534	68	1
3_MACS_peak_1947_lociStitched	chr1	16338836	16381060	3	41318	84110.208	4011.28	69	1
33_MACS_peak_2257_lociStitched	chr1	17906570	17981016	33	68169	85292.7822	5553.6716	70	1
9_MACS_peak_19712_lociStitched	chr19	49520810	49575167	9	52456	84769.7415	5196.5292	71	1
23_MACS_peak_15406_lociStitched	chr17	77934048	77995349	23	56169	84282.7449	5645.8221	72	1
20_MACS_peak_16625_lociStitched	chr19	5828027	5890739	20	59277	86975.2728	8535.1032	73	1
16_MACS_peak_33228_lociStitched	chr9	136369316	136426894	16	54103	82123.5014	4352.8968	74	1
7_MACS_peak_32677_lociStitched	chr9	132929141	132983016	7	51957	82272.5125	4557.825	75	1
16_MACS_peak_10840_lociStitched	chr16	1085006	1141488	16	52268	80176.199	3473.643	76	1
2_MACS_peak_29957_lociStitched	chr7	149498279	149531646	2	33188	80945.0053	4264.3026	77	1
14_MACS_peak_6847_lociStitched	chr11	61271527	61329471	14	53177	82048.704	5736.456	78	1
4_MACS_peak_16000_lociStitched	chr19	1754548	1789675	4	34608	80071.9965	4331.1591	79	1
5_MACS_peak_26471_lociStitched	chr4	3458708	3499029	5	38365	78609.8216	3350.6751	80	1
14_MACS_peak_32628_lociStitched	chr9	132423081	132479105	14	53072	80607.3312	5406.316	81	1
9_MACS_peak_33934_lociStitched	chr9	138864719	138918247	9	51075	78777.1576	3698.7848	82	1
4_MACS_peak_4533_lociStitched	chr1	156639145	156679032	4	38448	81708.5195	6968.2589	83	1
10_MACS_peak_34050_lociStitched	chr9	139845038	139888569	10	41030	77794.2501	3800.2563	84	1
16_MACS_peak_6482_lociStitched	chr11	1916145	1967812	16	46558	78523.5066	4706.8637	85	1
11_MACS_peak_7113_lociStitched	chr11	64474620	64520461	11	43148	78433.951	4639.1092	86	1
4_MACS_peak_23621_lociStitched	chr22	20151853	20192576	4	39819	77019.4099	3265.9846	87	1
10_MACS_peak_34070_lociStitched	chr9	139913377	139954221	10	38690	73547.7908	4027.2184	88	1
4_MACS_peak_23040_lociStitched	chr21	43763097	43804182	4	40769	75871.6695	6561.2745	89	1
6_MACS_peak_31434_lociStitched	chr8	142358475	142409781	6	49677	73680.5466	4427.7078	90	1
16_MACS_peak_11008_lociStitched	chr16	3075037	3126011	16	46299	74146.7804	5785.549	91	1
7_MACS_peak_16252_lociStitched	chr19	3386531	3434986	7	48097	74136.15	5790.3725	92	1
9_MACS_peak_14925_lociStitched	chr17	74872072	74921062	9	46215	73127.373	5011.677	93	1
4_MACS_peak_84_lociStitched	chr1	1089994	1122391	4	31661	70735.6098	2640.3555	94	1
9_MACS_peak_23236_lociStitched	chr21	45907844	45953432	9	44549	73273.5924	5739.5292	95	1
4_MACS_peak_9152_lociStitched	chr12	57585868	57620130	4	33903	71604.1538	4176.5378	96	1
13_MACS_peak_22656_lociStitched	chr20	61652108	61702656	13	47513	71692.2284	4994.1424	97	1
8_MACS_peak_33973_lociStitched	chr9	139013577	139054527	8	40149	70286.58	3669.12	98	1
9_MACS_peak_32642_lociStitched	chr9	132480129	132526244	9	44681	71837.947	5363.1745	99	1
9_MACS_peak_20521_lociStitched	chr2	26776406	26822144	9	43267	71076.852	4948.8516	100	1
7_MACS_peak_29985_lociStitched	chr7	150862156	150905519	7	42519	72806.477	6721.265	101	1
3_MACS_peak_23625_lociStitched	chr22	20197558	20238047	3	40142	69021.5983	3554.9342	102	1
13_MACS_peak_25979_lociStitched	chr3	50218765	50263597	13	42501	70305.5424	4909.104	103	1
3_MACS_peak_14236_lociStitched	chr17	48038228	48075807	3	37429	69021.3493	3998.4056	104	1
2_MACS_peak_28397_lociStitched	chr6	31958443	31985291	2	26817	68368.432	3382.848	105	1
8_MACS_peak_10747_lociStitched	chr16	792064	834275	8	39861	68415.5888	3647.0304	106	1
1_MACS_peak_33992_lociStitched	chr9	139138029	139167013	1	28985	67141.436	2576.6776	107	1
6_MACS_peak_22727_lociStitched	chr20	62021219	62062756	6	40295	67173.6364	2670.8291	108	1
1_MACS_peak_34265_lociStitched	chrX	19469971	19470516	1	546	63916.837	28.449	109	1
9_MACS_peak_29104_lociStitched	chr7	2526831	2569437	9	39513	67321.7406	3485.1708	110	1
15_MACS_peak_33916_lociStitched	chr9	138644944	138690433	15	41227	66159.2016	2706.5955	111	1
9_MACS_peak_15937_lociStitched	chr19	817348	856288	9	35835	68366.958	5101.14	112	1
9_MACS_peak_14811_lociStitched	chr17	72909109	72953129	9	41794	67421.032	4732.15	113	1
10_MACS_peak_64_lociStitched	chr1	977372	1016839	10	36159	65613.8875	3133.6798	114	1
7_MACS_peak_6271_lociStitched	chr11	1026209	1063617	7	35905	66193.456	3733.3184	115	1
13_MACS_peak_6910_lociStitched	chr11	61501536	61545346	13	41238	66880.346	4718.337	116	1
1_MACS_peak_29956_lociStitched	chr7	149470053	149495871	1	25819	65247.2496	3717.792	117	1
10_MACS_peak_19016_lociStitched	chr19	42466774	42510827	10	42577	65890.0721	4361.247	118	1
14_MACS_peak_32086_lociStitched	chr8	144927776	144974016	14	40256	66002.976	4610.128	119	1
10_MACS_peak_24582_lociStitched	chr22	42917226	42957450	10	37258	69688.08	8306.256	120	1
4_MACS_peak_16381_lociStitched	chr19	4510138	4542431	4	31851	66594.6246	5315.4278	121	1
4_MACS_peak_29992_lociStitched	chr7	150940710	150967740	4	26256	65372.055	4224.789	122	1
11_MACS_peak_33981_lociStitched	chr9	139056564	139096589	11	37121	64015.985	2917.8225	123	1
5_MACS_peak_16352_lociStitched	chr19	4140714	4173717	5	32556	66009.3003	4960.3509	124	1
24_MACS_peak_17446_lociStitched	chr19	14269456	14324207	24	49951	66287.0357	5327.2723	125	1
25_MACS_peak_12571_lociStitched	chr17	724919	781328	25	52984	66444.1611	5522.4411	126	1
13_MACS_peak_32833_lociStitched	chr9	133834761	133880233	13	43703	64888.544	4097.0272	127	1
8_MACS_peak_23196_lociStitched	chr21	45760589	45800981	8	38166	65939.94	5291.352	128	1
10_MACS_peak_5586_lociStitched	chr10	102482757	102521210	10	33606	63612.7979	3995.2667	129	1
13_MACS_peak_10827_lociStitched	chr16	1044960	1082861	13	36875	62180.3806	2622.7492	130	1
25_MACS_peak_2123_lociStitched	chr1	17534274	17589542	25	49903	64580.658	5106.7632	131	1
11_MACS_peak_46_lociStitched	chr1	913468	947400	11	32712	62180.39	3416.9524	132	1
10_MACS_peak_28337_lociStitched	chr6	30408807	30451389	10	39439	64907.7426	6144.5826	133	1
3_MACS_peak_21002_lociStitched	chr2	220328583	220362851	3	33832	62093.616	3457.6412	134	1
11_MACS_peak_16285_lociStitched	chr19	3707708	3746977	11	37102	64326.5489	6039.5722	135	1
20_MACS_peak_14678_lociStitched	chr17	72333577	72386045	20	48136	62310.9968	4160.7124	136	1
3_MACS_peak_26241_lociStitched	chr3	184274376	184306077	3	31652	62381.2278	4786.851	137	1
10_MACS_peak_34031_lociStitched	chr9	139627793	139658833	10	29731	60357.28	3045.024	138	1
10_MACS_peak_16333_lociStitched	chr19	3912298	3953067	10	39088	61989.2645	5128.7402	139	1
10_MACS_peak_33962_lociStitched	chr9	138962605	138998540	10	34078	59339.4655	2501.076	140	1
1_MACS_peak_7652_lociStitched	chr11	70042279	70042763	1	485	56884.762	225.4472	141	1
5_MACS_peak_13615_lociStitched	chr17	36715847	36747904	5	30612	59690.134	3654.498	142	1
12_MACS_peak_2075_lociStitched	chr1	17409490	17453919	12	41214	59992.4787	4340.7133	143	1
2_MACS_peak_6594_lociStitched	chr11	2426588	2449432	2	22734	57674.2468	2346.0788	144	1
22_MACS_peak_3299_lociStitched	chr1	23161055	23214140	22	47673	59853.3375	5090.8515	145	1
25_MACS_peak_15429_lociStitched	chr17	77998927	78049995	25	45930	59402.2976	4652.2948	146	1
