GENE_ID	locusLine	bin_1_KMS-12-BM.jin.bam
NM_017891	chr1(.):1012197-1056736	0.1602
NM_032236	chr1(.):21999791-22114688	0.4247
NM_032409	chr1(.):20954947-20983004	0.1679
NM_001198993	chr1(.):1677670-1715297	1.0966
NM_023018	chr1(.):1677670-1714909	1.1
NM_001198994	chr1(.):1677670-1716508	1.0663
NM_001113348	chr1(.):21538739-21677034	0.4814
NM_001013693	chr1(.):22133757-22156714	0.5415
NM_020524	chr1(.):154911558-154933567	0.9189
NM_001193338	chr1(.):207071630-207100235	1.7855
NM_005449	chr1(.):207071630-207100378	1.7776
NM_001130045	chr1(.):1104285-1138313	0.3978
NR_029639	chr1(.):1097483-1107578	1.0004
NM_153254	chr1(.):1110076-1126243	0.2591
NR_029834	chr1(.):1098242-1108332	1.0601
NR_029957	chr1(.):1099384-1109467	1.0677
NM_182838	chr1(.):1658680-1682431	1.0154
NM_001198995	chr1(.):1677670-1695081	0.437
NM_001010847	chr1(.):13796444-13845242	1.1577
NM_001785	chr1(.):20910443-20950400	0.8112
NM_207334	chr1(.):20873931-20886513	0.0854
NM_001397	chr1(.):21538739-21621982	0.4895
NM_001113347	chr1(.):21538739-21611183	0.0882
NM_001113349	chr1(.):21538739-21621766	0.4816
NM_001032730	chr1(.):22049338-22114688	0.6937
NR_027042	chr1(.):23948823-23972056	0.4237
NM_004974	chr1(.):111140775-111153345	0.1022
NM_002232	chr1(.):111209309-111222655	0.7777
NM_017709	chr1(.):118143603-118176011	1.8321
NM_001161334	chr1(.):149749244-149788928	0.2796
NM_001034077	chr1(.):149799220-149809616	1.6264
NM_001005464	chr1(.):149807258-149817765	3.6015
NM_001040874	chr1(.):149808784-149819318	3.694
NM_001123375	chr1(.):149779779-149790236	0.8753
NM_005850	chr1(.):149890210-149904702	0.5681
NM_016074	chr1(.):149866154-149877348	0.2987
NM_003528	chr1(.):149851009-149863232	2.9658
NM_003517	chr1(.):149853524-149863961	3.4404
NM_175065	chr1(.):149854018-149864466	3.4059
NM_014849	chr1(.):149869871-149894434	0.2373
NM_181873	chr1(.):149895542-149913266	0.5135
NM_001145862	chr1(.):149895542-149913791	0.4998
NR_036461	chr1(.):149816758-149827340	4.0174
NM_001040874	chr1(.):149817627-149828161	3.9729
NM_001005464	chr1(.):149819180-149829687	3.8741
NM_001034077	chr1(.):149827329-149837725	1.559
NM_019032	chr1(.):150516897-150538412	2.0888
NR_036211	chr1(.):150519404-150529490	0.2108
NM_001197320	chr1(.):150542026-150557214	1.2165
NM_006556	chr1(.):154892207-154914484	1.1973
NM_001130041	chr1(.):154929773-154951959	1.4422
NM_001130040	chr1(.):154929773-154948223	1.5733
NM_201398	chr1(.):154950769-154970587	0.4093
NM_018655	chr1(.):154961061-154971791	0.2553
NR_024163	chr1(.):154942117-154956725	1.8341
NM_138300	chr1(.):154924501-154939258	1.0099
NR_036212	chr1(.):154943168-154953259	2.1146
NM_005920	chr1(.):156428518-156475529	1.2669
NM_005298	chr1(.):200837165-200848251	1.1289
NM_018265	chr1(.):200855638-200889864	0.899
NM_001142569	chr1(.):200858998-200889864	0.6856
NR_034150	chr1(.):203262885-203279453	2.4647
NM_006763	chr1(.):203269663-203283729	1.8875
NM_002023	chr1(.):203304751-203325289	0.1367
NM_030952	chr1(.):205266190-205295883	1.348
NM_001007544	chr1(.):206233871-206293647	0.7456
NM_148964	chr1(.):206312458-206337104	0.2124
NM_001185157	chr1(.):207065787-207082484	0.0931
NM_002644	chr1(.):207096866-207124811	1.0608
NM_001170631	chr1(.):207126311-207148970	0.0997
NR_026817	chr1(.):207986723-208000941	2.1996
NR_029832	chr1(.):207970196-207980284	0.0961
NR_029518	chr1(.):207970787-207980868	0.1088
NM_182972	chr1(.):234735014-234750271	2.5246
NR_033927	chr1(.):234760056-234775526	0.0686
NR_033872	chr2(.):70184394-70319147	0.3007
NR_015395	chr2(.):112119590-112257692	0.7865
NR_024373	chr2(.):112181885-112257692	1.3398
NM_170672	chr2(.):33656415-33794798	0.6155
NM_001083953	chr2(.):43452974-43828113	0.2642
NM_022065	chr2(.):43452974-43828185	0.2641
NR_036586	chr2(.):65123973-65164581	0.9308
NR_024204	chr2(.):87749973-87826030	1.6089
NM_003879	chr2(.):201975889-202034003	1.2898
NM_001127184	chr2(.):201975815-202011323	1.9467
NM_173822	chr2(.):201833440-201941392	0.1213
NM_015376	chr2(.):33733941-33794798	0.0731
NM_001139488	chr2(.):33696320-33794798	0.8447
NM_006887	chr2(.):43444540-43458745	7.0772
NR_027251	chr2(.):43449349-43460994	4.7079
NM_001193493	chr2(.):65210578-65256000	0.385
NM_003038	chr2(.):65211494-65256000	0.3879
NM_006196	chr2(.):70309584-70321334	2.5058
NR_024444	chr2(.):70346167-70357448	0.9581
NM_002491	chr2(.):201931461-201955473	0.3561
NM_001127183	chr2(.):201978386-202033841	1.346
NM_001099285	chr2(.):232568234-232583250	3.24
NR_036052	chr2(.):232573023-232583105	1.3967
NM_014674	chr3(.):5224358-5266650	1.0418
NM_001134382	chr3(.):12933718-13119617	0.5777
NM_014869	chr3(.):12933718-13013960	0.0827
NM_001080412	chr3(.):141038054-141173632	0.7179
NM_005524	chr3(.):193848933-193861396	3.7365
NM_198490	chr3(.):128801417-128845619	1.6023
NM_000174	chr3(.):128774644-128786253	0.3382
NM_020701	chr3(.):128841258-128885073	0.3194
NM_005781	chr3(.):195585235-195640880	0.8096
NM_001010938	chr3(.):195585235-195627432	0.2821
NR_033182	chr4(.):1160639-1207634	0.4637
NM_001199021	chr4(.):1155720-1207750	0.4409
NM_012445	chr4(.):1155720-1171657	0.44
NM_001128325	chr4(.):1155720-1171999	0.4328
NR_033339	chr4(.):1238227-1251795	1.0172
NM_001012614	chr4(.):1200227-1247908	1.0558
NM_001193376	chr5(.):1248286-1300162	0.1388
NM_030782	chr5(.):1312999-1350002	1.6268
NM_006713	chr5(.):32580604-32609185	1.0043
NR_036052	chr5(.):118305280-118315362	0.0513
NR_031598	chr5(.):179220277-179230346	0.2955
NM_145867	chr5(.):179215985-179228513	0.2391
NM_003900	chr5(.):179242841-179270077	1.1628
NM_016175	chr5(.):179259265-179290840	0.0954
NM_054013	chr5(.):179219597-179234875	0.7558
NM_014275	chr5(.):179219597-179238952	0.662
NM_001142298	chr5(.):179228387-179270077	1.0246
NM_001142299	chr5(.):179229002-179270077	1.0395
NM_022758	chr6(.):34550065-34669625	0.7879
NM_181356	chr6(.):44791469-45350670	0.0897
NM_003599	chr6(.):44792449-45350575	0.0896
NM_012288	chr6(.):52357199-52446862	1.8181
NM_001195286	chr6(.):386738-416443	1.4187
NM_001168344	chr6(.):7102829-7257213	0.4856
NM_001003699	chr6(.):7103085-7257213	0.4863
NR_037616	chr6(.):7876482-8069647	1.3085
NM_001173977	chr6(.):25274655-25625758	0.2748
NM_014641	chr6(.):30662583-30690458	1.1741
NM_172166	chr6(.):31702724-31735455	1.1117
NM_004348	chr6(.):45384913-45523819	0.3413
NM_001024630	chr6(.):45291053-45523819	0.2815
NM_001172420	chr6(.):52280804-52365583	0.6461
NM_018100	chr6(.):52279993-52365583	0.641
NM_016021	chr6(.):90031343-90067619	1.1841
NM_032131	chr6(.):109164618-109300352	0.8267
NM_006734	chr6(.):143067603-143271338	0.3149
NM_024630	chr6(.):157797556-158099977	0.4037
NM_020185	chr6(.):287100-356355	5.4081
NR_027712	chr6(.):7981334-7995577	0.3763
NM_001145549	chr6(.):7876482-7915310	2.7812
NM_030810	chr6(.):7876482-7916047	3.0383
NM_021065	chr6(.):26194011-26204471	3.8735
NM_003530	chr6(.):26192011-26204464	3.3554
NM_138720	chr6(.):26153348-26176576	1.6956
NM_003523	chr6(.):26179023-26189458	0.9402
NM_003539	chr6(.):26183937-26194304	1.1452
NM_003545	chr6(.):26199872-26210249	2.758
NM_005321	chr6(.):26151558-26162343	1.8279
NM_003522	chr6(.):26194786-26205216	4.227
NM_003518	chr6(.):26211427-26221872	1.3604
NM_021052	chr6(.):26212147-26222711	1.3392
NM_003543	chr6(.):26280353-26290727	1.8949
NM_003532	chr6(.):26220382-26230844	0.169
NM_003524	chr6(.):26246878-26257303	1.351
NM_003534	chr6(.):26266145-26276612	3.5259
NM_003547	chr6(.):26241838-26252205	1.1792
NM_003540	chr6(.):26235653-26246021	0.1881
NM_021018	chr6(.):26245369-26255835	1.3467
NM_005320	chr6(.):26229439-26240216	0.5727
NM_003525	chr6(.):26268203-26278640	3.5587
NM_001145008	chr6(.):26397464-26420444	0.2681
NM_001197240	chr6(.):26378328-26400100	0.4703
NM_001197247	chr6(.):26360397-26383540	1.7774
NM_001197238	chr6(.):26378323-26400100	0.4702
NM_007047	chr6(.):26360397-26383548	1.7788
NM_001197237	chr6(.):26378438-26400100	0.4712
NM_001197248	chr6(.):26360469-26383540	1.7716
NM_001197246	chr6(.):26363405-26383540	1.0388
NR_026790	chr6(.):26516933-26532612	1.7993
NM_001732	chr6(.):26496494-26515652	0.2871
NM_006353	chr6(.):26533571-26552164	1.5904
NM_021064	chr6(.):27095816-27106314	2.7636
NM_080593	chr6(.):27101071-27119637	2.0833
NM_080596	chr6(.):27109907-27120346	1.9076
NR_036096	chr6(.):27110404-27120467	1.9616
NM_021058	chr6(.):27095094-27105575	2.7808
NM_003495	chr6(.):27102087-27112457	1.2595
NM_021066	chr6(.):27777079-27787518	3.3623
NM_003536	chr6(.):27772841-27783314	3.6444
NM_003509	chr6(.):27770976-27781445	2.6527
NM_003519	chr6(.):27770256-27780709	2.3744
NM_003521	chr6(.):27777821-27788267	3.3018
NM_003535	chr6(.):27853092-27863570	2.5734
NM_003527	chr6(.):27856202-27866669	2.7485
NM_003520	chr6(.):27801439-27811888	3.5851
NM_003511	chr6(.):27828106-27838576	0.3319
NM_003533	chr6(.):27834622-27845099	0.0787
NM_003510	chr6(.):27800657-27811117	3.6412
NM_003541	chr6(.):27793951-27804305	1.8408
NM_005322	chr6(.):27829569-27840359	0.3279
NM_033057	chr6(.):27873962-27885174	0.0516
NM_021968	chr6(.):27786902-27797258	0.8202
NM_003514	chr6(.):27855476-27865963	2.7488
NM_003546	chr6(.):27835925-27846289	0.0806
NM_003587	chr6(.):30615895-30645830	0.1704
NM_133471	chr6(.):30639165-30660672	0.8049
NM_001134870	chr6(.):30639165-30660093	0.818
NM_007243	chr6(.):30650825-30663769	0.8896
NM_005803	chr6(.):30690510-30715453	0.3158
NM_003897	chr6(.):30705975-30717327	0.3477
NM_178014	chr6(.):30683156-30698195	1.8439
NM_021246	chr6(.):31678132-31690581	0.2706
NM_138275	chr6(.):31686160-31697851	0.7379
NR_033488	chr6(.):31649725-31675850	0.3509
NM_013974	chr6(.):31689816-31703039	0.8167
NM_001288	chr6(.):31693357-31709341	2.6391
NM_001003693	chr6(.):31669683-31683372	0.7063
NM_021160	chr6(.):31649725-31676137	0.3472
NR_024541	chr6(.):31674752-31686842	0.2731
NM_025261	chr6(.):31681424-31694510	0.2349
NM_001039651	chr6(.):31725772-31737624	0.1152
NM_025258	chr6(.):31728370-31750108	0.2155
NM_006120	chr6(.):32911390-32925899	0.7014
NM_002119	chr6(.):32966959-32982389	0.0757
NM_002118	chr6(.):32897405-32913847	1.0853
NM_005104	chr6(.):32931436-32954282	2.7071
NM_001113182	chr6(.):32933664-32954282	2.9904
NM_001199455	chr6(.):32934371-32954282	3.0889
NM_001199456	chr6(.):32935860-32954282	3.2453
NM_002648	chr6(.):37132921-37148204	2.2491
NM_001078177	chr6(.):44186362-44206888	1.2742
NM_178148	chr6(.):44216837-44230283	0.802
NM_001078174	chr6(.):44182241-44206888	1.2817
NM_001137560	chr6(.):44233479-44252182	0.2619
NM_001078175	chr6(.):44186295-44206888	1.2854
NM_004556	chr6(.):44220902-44238525	1.7338
NM_007355	chr6(.):44209848-44226614	1.2991
NM_002043	chr6(.):89962238-90029967	0.1532
NM_182907	chr6(.):106541814-106562811	0.9345
NM_001198	chr6(.):106529194-106562814	1.4378
NR_037463	chr6(.):157945163-157955232	0.2031
NM_004289	chr7(.):26186846-26231756	1.3572
NM_001029835	chr7(.):45062232-45121069	1.0023
NM_001167935	chr7(.):45034786-45121069	1.2175
NR_030770	chr7(.):45034344-45121069	1.2898
NM_030796	chr7(.):55533305-55645200	2.3366
NM_001145354	chr7(.):130789854-131186398	0.2646
NM_001164458	chr7(.):149939300-150025758	0.3193
NM_006547	chr7(.):23344827-23514995	0.34
NM_002541	chr7(.):44641120-44753669	2.2097
NM_001003941	chr7(.):44641120-44721195	3.0211
NM_006060	chr7(.):50339377-50477798	0.4972
NM_017621	chr7(.):102091666-102110321	0.4266
NM_182931	chr7(.):104649636-104759532	0.7567
NM_020725	chr7(.):105240220-105522031	0.2881
NM_152749	chr7(.):105395635-105522031	0.4829
NM_018412	chr7(.):116588380-116875075	0.234
NM_021908	chr7(.):116588380-116868961	0.2361
NR_015431	chr7(.):130623918-130798562	0.5994
NR_024153	chr7(.):130623918-130796789	0.6015
NM_194071	chr7(.):137554724-137691846	0.8104
NM_173680	chr7(.):150071405-150100719	1.6729
NR_026676	chr7(.):23525006-23536031	0.3622
NR_029597	chr7(.):25984538-25994606	1.8151
NM_031243	chr7(.):26224555-26245413	1.4797
NM_016587	chr7(.):26236323-26257976	1.3803
NM_007276	chr7(.):26236098-26257976	1.3663
NM_022373	chr7(.):35667269-35739772	0.4034
NM_018224	chr7(.):43673858-43774083	0.8304
NM_019082	chr7(.):44600402-44619137	1.079
NM_182547	chr7(.):44613761-44626827	2.1057
NM_174929	chr7(.):44790786-44814479	0.9567
NM_031449	chr7(.):44783529-44814479	2.01
NM_021130	chr7(.):44831240-44847716	3.5883
NR_003697	chr7(.):45017626-45031259	2.8753
NR_002952	chr7(.):45019976-45030109	3.6537
NM_033054	chr7(.):44997259-45023704	0.2882
NM_024315	chr7(.):86820477-86854031	1.3055
NM_003910	chr7(.):99001600-99022239	1.2868
NM_014891	chr7(.):98987588-99011292	1.152
NM_005720	chr7(.):98967328-98997404	2.3824
NR_028039	chr7(.):99793277-99874855	0.5379
NR_028038	chr7(.):99801558-99874855	0.5783
NM_024070	chr7(.):99811870-99824111	2.7502
NM_012447	chr7(.):99770537-99817010	0.2019
NM_152742	chr7(.):99762228-99779990	0.1665
NM_024637	chr7(.):99751864-99771373	0.2642
NM_020979	chr7(.):101923404-101967178	1.1587
NR_036245	chr7(.):101931368-101941453	0.4038
NM_032831	chr7(.):102068995-102102268	2.6021
NM_024653	chr7(.):102031803-102072129	1.282
NM_001146210	chr7(.):101981191-102001889	0.1306
NM_006234	chr7(.):102108547-102124381	0.4708
NM_152892	chr7(.):102100389-102118612	0.4403
NR_027374	chr7(.):104530074-104572092	0.2048
NR_024586	chr7(.):104645988-104659588	5.2254
NM_006754	chr7(.):105725951-105758057	0.5005
NM_182715	chr7(.):105725951-105757758	0.5047
NR_002330	chr7(.):116587500-116599388	2.6904
NR_002329	chr7(.):116588952-116604867	2.0623
NR_030324	chr7(.):127716912-127727012	0.1389
NM_002769	chr7(.):142452318-142465927	0.2538
NM_004445	chr7(.):142547791-142573847	0.1619
NM_002770	chr7(.):142474907-142486378	0.1521
NR_001296	chr7(.):142473756-142487399	0.1631
NM_013400	chr7(.):150060878-150076133	4.661
NM_014374	chr7(.):150063257-150076133	5.3584
NM_001142928	chr7(.):150015295-150040245	0.7789
NM_002889	chr7(.):150030406-150043763	0.1348
NM_138434	chr7(.):150021937-150034811	0.1494
NR_027237	chr7(.):150097839-150114558	3.1185
NM_175571	chr7(.):150142961-150181483	0.137
NR_034033	chr7(.):150125741-150150228	2.7587
NM_001091	chr7(.):150544572-150563379	0.127
NM_024012	chr7(.):154857545-154882459	2.4726
NM_001080394	chr8(.):48168541-48653475	0.156
NM_023034	chr8(.):38127560-38244790	0.3439
NM_001135733	chr8(.):95933199-95966615	1.4053
NM_173685	chr8(.):126099082-126384367	0.4171
NM_003033	chr8(.):134462090-134589183	0.8606
NM_032450	chr8(.):145197918-145321843	0.4673
NM_001099281	chr8(.):145197918-145273368	0.6837
NM_144652	chr8(.):38239019-38271061	0.963
NM_017778	chr8(.):38168934-38244790	0.4963
NM_052937	chr8(.):52725139-52816735	0.4102
NM_057749	chr8(.):95887452-95912482	0.6673
NM_024410	chr8(.):103558847-103578245	0.257
NM_025195	chr8(.):126437562-126455644	3.6001
NM_021061	chr8(.):146097335-146131846	2.4301
NM_001081003	chr8(.):146070550-146083932	0.9942
NM_001081004	chr8(.):146070550-146083451	1.0273
NM_003416	chr8(.):146047902-146073606	0.5657
NM_014066	chr8(.):146070550-146083452	1.0272
NM_001135920	chr9(.):5624326-5774454	0.2702
