GENE_ID	locusLine	bin_1_MM14.jin.bam
NM_032236	chr1(.):21999791-22114688	0.2993
NM_005066	chr1(.):35644200-35663743	1.0306
NM_001198993	chr1(.):1677670-1715297	0.7093
NM_023018	chr1(.):1677670-1714909	0.7154
NM_033487	chr1(.):1566099-1660775	0.4812
NM_001198994	chr1(.):1677670-1716508	0.6887
NM_003820	chr1(.):2482804-2500267	0.5707
NM_001113348	chr1(.):21538739-21677034	0.2773
NM_001013693	chr1(.):22133757-22156714	0.1594
NM_002379	chr1(.):31179123-31201432	0.6474
NR_034182	chr1(.):31186618-31204593	0.8027
NM_032017	chr1(.):36800224-36856485	0.5666
NM_207168	chr1(.):150594521-150607098	0.565
NM_005572	chr1(.):156079460-156112657	0.8577
NM_170708	chr1(.):156079460-156114878	0.8106
NM_145034	chr1(.):179804101-179851941	0.3024
NM_022347	chr1(.):179823164-179851941	0.4648
NM_014935	chr1(.):204182980-204334044	0.0368
NM_032328	chr1(.):245128170-245256148	0.1902
NR_026588	chr1(.):245128630-245256148	0.1907
NR_026587	chr1(.):245128630-245293530	0.1562
NR_026586	chr1(.):245128283-245293530	0.156
NM_080875	chr1(.):1545794-1570990	0.7659
NM_014188	chr1(.):1472052-1515262	0.5683
NM_001114748	chr1(.):1465157-1480740	0.0537
NM_001170689	chr1(.):1546244-1570990	0.7786
NM_182838	chr1(.):1658680-1682431	0.788
NM_001110781	chr1(.):1587938-1629243	0.8512
NM_024011	chr1(.):1629169-1660791	0.28
NM_001198995	chr1(.):1677670-1695081	0.4072
NM_002074	chr1(.):1711728-1827495	0.3228
NM_138705	chr1(.):1841265-1853733	0.218
NM_178545	chr1(.):1844028-1855740	0.194
NM_001010926	chr1(.):2455183-2466684	0.5591
NR_026927	chr1(.):2476358-2489284	1.7479
NM_018216	chr1(.):2434974-2463035	0.2569
NM_001195741	chr1(.):2513188-2527908	0.4757
NR_036638	chr1(.):2512898-2527908	0.4687
NM_177540	chr1(.):6610337-6644817	0.3155
NM_005341	chr1(.):6635062-6654340	0.3485
NM_014851	chr1(.):6645783-6667929	1.106
NM_153812	chr1(.):6668755-6689093	0.6744
NM_024654	chr1(.):6576406-6619658	0.1428
NM_001195752	chr1(.):6680209-6698642	0.4901
NM_001195753	chr1(.):6679924-6698642	0.4828
NM_015866	chr1(.):14026349-14119574	0.3582
NM_001007257	chr1(.):14070875-14119574	0.2081
NM_001135610	chr1(.):14021734-14156574	0.2826
NM_001032363	chr1(.):19918470-19961314	0.5033
NM_182744	chr1(.):19964725-19989945	0.0385
NM_005380	chr1(.):19965807-19989945	0.0379
NM_001397	chr1(.):21538739-21621982	0.2992
NM_001113347	chr1(.):21538739-21611183	0.0908
NM_001113349	chr1(.):21538739-21621766	0.2913
NM_001032730	chr1(.):22049338-22114688	0.4504
NM_017837	chr1(.):27109485-27129887	0.2517
NM_018066	chr1(.):27200872-27221869	0.3384
NM_032283	chr1(.):27148200-27187211	0.7033
NM_006142	chr1(.):27184632-27195947	0.358
NM_006762	chr1(.):31200314-31235683	0.9156
NM_005202	chr1(.):36555843-36570850	0.0709
NM_018067	chr1(.):36616802-36651441	0.8946
NM_014408	chr1(.):36597172-36620067	0.5844
NM_032881	chr1(.):36854030-36868493	0.6822
NM_022756	chr1(.):37953175-37985364	0.2712
NM_025079	chr1(.):37935118-37954978	1.0897
NM_001198979	chr1(.):40854016-40893998	0.2308
NM_001198978	chr1(.):40835304-40893998	0.4505
NM_001198980	chr1(.):40857471-40893998	0.2133
NM_022733	chr1(.):40834377-40893998	0.444
NM_006004	chr1(.):46764379-46787447	0.988
NM_006369	chr1(.):46739071-46774038	0.6583
NM_199044	chr1(.):46801389-46835690	0.2771
NM_001924	chr1(.):68145882-68159019	1.4854
NM_017709	chr1(.):118143603-118176011	1.1518
NM_019032	chr1(.):150516897-150538412	0.3805
NM_207046	chr1(.):150589598-150606609	0.5024
NR_036211	chr1(.):150519404-150529490	0.0923
NM_001197320	chr1(.):150542026-150557214	2.0018
NM_020452	chr1(.):154295275-154328780	0.6695
NM_001005855	chr1(.):154293035-154315322	0.9335
NM_080429	chr1(.):154288591-154302801	1.3615
NM_001093725	chr1(.):156036803-156056789	0.0655
NM_020387	chr1(.):156025965-156045295	0.0599
NM_001145264	chr1(.):156019516-156033301	0.4491
NM_022367	chr1(.):156118321-156152542	0.4191
NM_001193302	chr1(.):156118368-156152542	0.4187
NM_001193301	chr1(.):156114734-156152542	0.4216
NM_005920	chr1(.):156428518-156475529	0.7815
NM_022371	chr1(.):179046111-179070129	0.9648
NM_015602	chr1(.):179846419-179894211	0.4546
NR_034150	chr1(.):203262885-203279453	0.886
NM_003465	chr1(.):203180206-203203860	0.0357
NM_006763	chr1(.):203269663-203283729	0.8911
NR_027022	chr1(.):204332557-204343847	0.0432
NM_032833	chr1(.):204367491-204385944	1.0756
NR_026817	chr1(.):207986723-208000941	1.8944
NR_029832	chr1(.):207970196-207980284	0.2974
NR_029518	chr1(.):207970787-207980868	0.3536
NM_181441	chr1(.):228289379-228302013	1.1254
NR_037415	chr1(.):228279963-228290042	0.2127
NM_001024227	chr1(.):228265850-228291913	1.5586
