GENE_ID	locusLine	bin_1_17_0EX3_0229Kronos_MM1S-KB-6hr-1_H3K27Ac_hs-dm_i33.bam
NM_013943	chr1(.):25066759-25175815	0.2531
NM_002867	chr1(.):52368627-52461436	0.2621
NM_001006605	chr1(.):93302720-93432079	0.3854
NM_001113228	chr1(.):107677628-108029475	0.137
NM_014917	chr1(.):107677744-108029475	0.137
NM_001010935	chr1(.):112157404-112261101	0.1192
NR_002188	chr1(.):155178615-155202325	0.6052
NM_021642	chr1(.):161470204-161494360	0.2032
NM_201569	chr1(.):183436505-183528328	0.4771
NM_003820	chr1(.):2482804-2500267	0.8042
NM_001113348	chr1(.):21538739-21677034	0.3237
NM_004091	chr1(.):23827921-23862713	2.1963
NM_020448	chr1(.):24737244-24804473	0.147
NM_173065	chr1(.):24475646-24518751	2.561
NM_001048199	chr1(.):28827454-28870708	0.6157
NR_002909	chr1(.):28827454-28842404	1.2912
NM_002379	chr1(.):31179123-31201432	0.1924
NR_034182	chr1(.):31186618-31204593	0.2209
NM_174964	chr1(.):44168217-44401831	0.2293
NM_002600	chr1(.):66253855-66845262	0.1754
NM_001037341	chr1(.):66253192-66845262	0.1752
NM_001037340	chr1(.):66453389-66845262	0.2391
NM_024763	chr1(.):67273571-67395570	0.1164
NM_207014	chr1(.):67298281-67395570	0.1374
NM_001081976	chr1(.):112020969-112111597	0.1387
NM_198459	chr1(.):115122195-115217732	0.1145
NM_153713	chr1(.):145472084-145504091	0.2115
NM_207168	chr1(.):150594521-150607098	1.1553
NM_020699	chr1(.):153772202-153900451	0.2082
NM_020524	chr1(.):154911558-154933567	4.1362
NM_181359	chr1(.):154372668-154445188	1.6106
NM_002249	chr1(.):154674914-154847754	0.6594
NM_170782	chr1(.):154674914-154837338	0.6858
NM_005572	chr1(.):156079460-156112657	0.3702
NM_005973	chr1(.):156732273-156775609	0.4297
NM_005531	chr1(.):158974681-159029945	0.4265
NM_012394	chr1(.):161065345-161092866	0.4824
NM_007348	chr1(.):161731083-161933852	0.199
NM_014412	chr1(.):174963891-174986163	1.5196
NM_014857	chr1(.):174123633-174932327	0.0967
NM_001035230	chr1(.):174839683-174932327	0.1372
NM_001007214	chr1(.):174963570-174986163	1.4996
NM_015149	chr1(.):183600207-183902666	0.6493
NM_025191	chr1(.):184654624-184729041	0.4942
NM_144977	chr1(.):197516384-197749623	0.3442
NM_001195215	chr1(.):197468878-197749623	0.2989
NM_014875	chr1(.):200515624-200594862	0.2235
NM_015375	chr1(.):205106630-205185727	0.2134
NM_182663	chr1(.):206675878-206767616	0.8851
NM_001143962	chr1(.):223709971-223858436	0.042
NM_022735	chr1(.):226327379-226379423	0.3292
NM_002221	chr1(.):226814390-226931876	1.041
NM_004481	chr1(.):230197955-230422875	0.5541
NM_001010926	chr1(.):2455183-2466684	0.2712
NR_026927	chr1(.):2476358-2489284	2.331
NM_018216	chr1(.):2434974-2463035	0.1355
NM_001195741	chr1(.):2513188-2527908	0.3475
NR_036638	chr1(.):2512898-2527908	0.3435
NM_014675	chr1(.):17243444-17304474	0.1152
NM_001397	chr1(.):21538739-21621982	0.4338
NM_001113347	chr1(.):21538739-21611183	0.0797
NM_001113349	chr1(.):21538739-21621766	0.4296
NM_017707	chr1(.):23750055-23815750	0.0577
NM_002167	chr1(.):23879408-23891322	0.5039
NR_027042	chr1(.):23948823-23972056	0.2218
NM_021258	chr1(.):24441260-24474611	0.1275
NR_027087	chr1(.):24521729-24543180	1.1098
NM_001199013	chr1(.):24678488-24745262	0.4331
NM_001199012	chr1(.):24678488-24746587	0.4262
NM_015484	chr1(.):25543766-25564013	0.3345
NM_001127691	chr1(.):25593980-25661936	0.1529
NM_020317	chr1(.):25563739-25578985	1.1721
NM_015627	chr1(.):25865075-25900377	1.1675
NR_026685	chr1(.):26432655-26457026	0.6819
NM_152835	chr1(.):26433267-26457026	0.6989
NM_032588	chr1(.):26372797-26399121	0.049
NM_024869	chr1(.):26480510-26494119	0.097
NM_015871	chr1(.):26491387-26502364	0.2002
NM_017837	chr1(.):27109485-27129887	1.4013
NM_006015	chr1(.):27017521-27113601	0.7967
NM_018066	chr1(.):27200872-27221869	0.2714
NM_032283	chr1(.):27148200-27187211	0.5251
NM_006142	chr1(.):27184632-27195947	1.8592
NM_014280	chr1(.):28521789-28564542	0.2584
NM_016311	chr1(.):28557610-28569611	0.7383
NM_001164721	chr1(.):28468676-28525447	0.1071
NM_001164722	chr1(.):28468676-28525437	0.1071
NM_031459	chr1(.):28581005-28614002	0.1355
NR_024127	chr1(.):28900049-28913366	1.3024
NM_152304	chr1(.):28913711-28926088	0.5004
NM_001193532	chr1(.):28914006-28926088	0.4815
NR_003035	chr1(.):28902431-28912565	1.6451
NR_002987	chr1(.):28901275-28911405	1.6477
NR_003109	chr1(.):28874528-28910057	0.8136
NM_001269	chr1(.):28839744-28870708	0.2586
NR_002976	chr1(.):28901892-28912024	1.6404
NR_003077	chr1(.):28900254-28910334	1.6646
NM_006762	chr1(.):31200314-31235683	3.8898
NM_005202	chr1(.):36555843-36570850	0.0868
NM_018067	chr1(.):36616802-36651441	0.5151
NM_014408	chr1(.):36597172-36620067	0.5729
NM_022756	chr1(.):37953175-37985364	0.1741
NM_025079	chr1(.):37935118-37954978	1.7888
NM_001038633	chr1(.):38071950-38105491	0.0585
NM_017850	chr1(.):38142241-38161192	0.851
NM_018101	chr1(.):38153158-38180391	0.5171
NR_002983	chr1(.):40028045-40038182	1.4548
NR_003929	chr1(.):39982951-40030370	0.5359
NM_001135653	chr1(.):40021484-40047521	1.0672
NM_001198979	chr1(.):40854016-40893998	0.1928
NM_001198978	chr1(.):40835304-40893998	0.7032
NM_001198980	chr1(.):40857471-40893998	0.0904
NM_022733	chr1(.):40834377-40893998	0.6931
NM_001037339	chr1(.):66792792-66845262	0.6046
NM_001077702	chr1(.):67385577-67459302	0.2608
NM_001077704	chr1(.):67390925-67459302	0.2069
NM_001001933	chr1(.):75589118-75632218	1.2164
NM_006769	chr1(.):87789150-87819607	1.0267
NM_004974	chr1(.):111140775-111153345	0.051
NM_002232	chr1(.):111209309-111222655	1.0819
NM_001025199	chr1(.):111767332-111791062	0.0389
NM_001025197	chr1(.):111765280-111791062	0.0434
NM_024901	chr1(.):111724800-111748281	0.1164
NR_034126	chr1(.):112136628-112155940	1.3046
NM_007158	chr1(.):115254536-115305624	0.2655
NM_002524	chr1(.):115242077-115264515	0.8613
NM_001172626	chr1(.):115210719-115243239	0.7097
NM_001130523	chr1(.):115254537-115305671	0.2653
NM_017709	chr1(.):118143603-118176011	3.8454
NM_032305	chr1(.):145451235-145475387	2.6434
NM_202004	chr1(.):145408190-145422545	0.0861
