GENE_ID	locusLine	bin_1_13_0EWZ_0229Kronos_MM1S-KB-1hr-1_H3K27Ac_hs-dm_i22.bam
NM_201569	chr1(.):183436505-183528328	0.4586
NM_001113348	chr1(.):21538739-21677034	0.3284
NM_004091	chr1(.):23827921-23862713	1.3766
NM_173065	chr1(.):24475646-24518751	1.241
NM_001048199	chr1(.):28827454-28870708	0.6555
NR_002909	chr1(.):28827454-28842404	1.3035
NM_002379	chr1(.):31179123-31201432	0.2241
NR_034182	chr1(.):31186618-31204593	0.254
NM_002600	chr1(.):66253855-66845262	0.1748
NM_001037341	chr1(.):66253192-66845262	0.1747
NM_001037340	chr1(.):66453389-66845262	0.2303
NM_153713	chr1(.):145472084-145504091	0.2169
NM_207168	chr1(.):150594521-150607098	1.2593
NM_020524	chr1(.):154911558-154933567	2.6769
NM_181359	chr1(.):154372668-154445188	0.9976
NM_005572	chr1(.):156079460-156112657	0.3678
NM_005973	chr1(.):156732273-156775609	0.4342
NM_012394	chr1(.):161065345-161092866	0.4767
NM_025191	chr1(.):184654624-184729041	0.472
NM_144977	chr1(.):197516384-197749623	0.22
NM_001195215	chr1(.):197468878-197749623	0.1993
NM_182663	chr1(.):206675878-206767616	0.6092
NM_002221	chr1(.):226814390-226931876	0.9426
NM_004481	chr1(.):230197955-230422875	0.4986
NM_014675	chr1(.):17243444-17304474	0.1228
NM_001397	chr1(.):21538739-21621982	0.4336
NM_001113347	chr1(.):21538739-21611183	0.0936
NM_001113349	chr1(.):21538739-21621766	0.4295
NM_017707	chr1(.):23750055-23815750	0.0661
NM_002167	chr1(.):23879408-23891322	0.4017
NM_021258	chr1(.):24441260-24474611	0.1027
NR_027087	chr1(.):24521729-24543180	0.4787
NM_015627	chr1(.):25865075-25900377	1.0802
NM_006015	chr1(.):27017521-27113601	0.6249
NR_003109	chr1(.):28874528-28910057	0.7759
NM_001269	chr1(.):28839744-28870708	0.3103
NM_006762	chr1(.):31200314-31235683	2.3275
NM_005202	chr1(.):36555843-36570850	0.0969
NM_018067	chr1(.):36616802-36651441	0.5391
NM_014408	chr1(.):36597172-36620067	0.5459
NM_001198979	chr1(.):40854016-40893998	0.1585
NM_001198978	chr1(.):40835304-40893998	0.4808
NM_001198980	chr1(.):40857471-40893998	0.0988
NM_022733	chr1(.):40834377-40893998	0.4736
NM_001037339	chr1(.):66792792-66845262	0.5629
NM_001001933	chr1(.):75589118-75632218	0.5887
NM_004974	chr1(.):111140775-111153345	0.0555
NM_002232	chr1(.):111209309-111222655	0.4196
NM_017709	chr1(.):118143603-118176011	3.8421
NM_032305	chr1(.):145451235-145475387	1.0068
NM_202004	chr1(.):145408190-145422545	0.0954
NM_006472	chr1(.):145433461-145447628	0.9887
NM_001039888	chr1(.):145465507-145480647	0.2654
NM_003846	chr1(.):145511164-145528732	0.8762
NM_005105	chr1(.):145502637-145516444	1.577
NM_001184795	chr1(.):145511559-145528732	0.8934
NM_003637	chr1(.):145519989-145548868	0.1184
NM_144698	chr1(.):145544208-145573526	0.1232
NR_002328	chr1(.):145504819-145521076	1.4912
NM_001161334	chr1(.):149749244-149788928	0.3358
NM_001034077	chr1(.):149799220-149809616	1.185
NM_001005464	chr1(.):149807258-149817765	2.2834
NM_001040874	chr1(.):149808784-149819318	2.29
NM_001123375	chr1(.):149779779-149790236	0.8291
NM_000566	chr1(.):149749249-149769074	0.1953
NM_016074	chr1(.):149866154-149877348	0.3498
NM_003528	chr1(.):149851009-149863232	2.2752
NM_003517	chr1(.):149853524-149863961	2.6397
NM_175065	chr1(.):149854018-149864466	2.6387
NR_036461	chr1(.):149816758-149827340	2.1614
NM_001040874	chr1(.):149817627-149828161	2.1602
NM_001005464	chr1(.):149819180-149829687	2.1592
NM_001034077	chr1(.):149827329-149837725	1.2033
NM_019032	chr1(.):150516897-150538412	2.0876
NM_207046	chr1(.):150589598-150606609	0.9876
NR_036211	chr1(.):150519404-150529490	0.1462
NM_001197320	chr1(.):150542026-150557214	1.1339
NM_020452	chr1(.):154295275-154328780	1.1929
NM_001005855	chr1(.):154293035-154315322	1.647
NM_080429	chr1(.):154288591-154302801	2.3667
NM_006556	chr1(.):154892207-154914484	3.0177
NM_001130041	chr1(.):154929773-154951959	2.2157
NM_001130040	chr1(.):154929773-154948223	2.4996
NM_201398	chr1(.):154950769-154970587	0.4723
NM_015872	chr1(.):154970111-154995999	1.1136
NM_001184892	chr1(.):154950769-154966488	0.5365
NM_018655	chr1(.):154961061-154971791	0.2921
NM_001143687	chr1(.):155001281-155028406	0.3251
NR_024163	chr1(.):154942117-154956725	2.1912
NM_144622	chr1(.):154986002-155011257	0.3483
NM_138300	chr1(.):154924501-154939258	2.7209
NR_036212	chr1(.):154943168-154953259	2.511
NM_006912	chr1(.):155862600-155886177	0.2216
NM_001162384	chr1(.):155911629-155953336	1.4633
NM_181885	chr1(.):155906479-155917625	1.1126
NM_004723	chr1(.):155911629-155952966	1.4733
NM_014949	chr1(.):155877835-155909188	0.5963
NR_002974	chr1(.):155884699-155894833	0.1443
NR_003005	chr1(.):155890748-155900877	0.1643
NM_003145	chr1(.):155973838-155995758	0.5871
NM_014655	chr1(.):156158729-156187587	0.8352
NM_007221	chr1(.):156177783-156214833	0.9405
NM_022367	chr1(.):156118321-156152542	3.4046
NM_001193302	chr1(.):156118368-156152542	3.4069
NM_001193301	chr1(.):156114734-156152542	3.1587
NM_005920	chr1(.):156428518-156475529	1.4416
NM_004494	chr1(.):156706898-156726543	1.6659
NM_001126051	chr1(.):156706898-156727024	1.6285
NM_001126050	chr1(.):156706898-156727240	1.6112
NM_030980	chr1(.):156687412-156702705	0.6802
NM_001878	chr1(.):156664407-156680375	0.1199
NM_001142560	chr1(.):156693262-156711752	1.1869
NM_145729	chr1(.):156702093-156715923	1.0606
NM_001039711	chr1(.):161085768-161107478	0.8418
NM_016406	chr1(.):161118533-161133646	1.6157
NM_004550	chr1(.):161164104-161189184	0.6467
NM_000309	chr1(.):161131180-161146010	0.805
NM_001643	chr1(.):161187082-161198418	0.841
NM_001185094	chr1(.):161082907-161095984	0.5547
NM_003779	chr1(.):161136100-161152314	1.3532
NM_012475	chr1(.):161124253-161140516	0.9704
NM_001039712	chr1(.):161085768-161107256	0.8499
NM_005600	chr1(.):161082861-161095984	0.5534
NM_001185093	chr1(.):161082906-161095984	0.5546
NM_032174	chr1(.):161190832-161205407	0.5547
NM_001166159	chr1(.):161166936-161189184	0.7029
NM_005099	chr1(.):161154537-161173845	1.0433
NM_004106	chr1(.):161180086-161194038	0.5179
NM_022371	chr1(.):179046111-179070129	1.9871
NM_001195216	chr1(.):197698138-197749623	0.6168
NR_034150	chr1(.):203262885-203279453	3.4509
NM_006763	chr1(.):203269663-203283729	2.1241
NM_002023	chr1(.):203304751-203325289	0.146
NM_002646	chr1(.):204386757-204464474	0.1965
NM_002393	chr1(.):204480510-204532248	0.9522
NM_001007544	chr1(.):206233871-206293647	1.2111
NM_148964	chr1(.):206312458-206337104	0.0874
NM_006893	chr1(.):206759973-206790904	0.2874
NM_182665	chr1(.):206725491-206767616	1.1227
NM_181441	chr1(.):228289379-228302013	1.2161
NR_037415	chr1(.):228279963-228290042	0.2947
NM_001024227	chr1(.):228265850-228291913	1.437
NM_001024226	chr1(.):228265360-228291913	1.4137
NM_024319	chr1(.):228283427-228296022	0.8107
NM_001159390	chr1(.):228322928-228341655	0.6853
NM_182972	chr1(.):234735014-234750271	5.5282
NR_033927	chr1(.):234760056-234775526	0.1004
NM_030645	chr1(.):249099650-249125154	1.0222
NM_024836	chr1(.):249127529-249148714	0.9872
NM_001136036	chr1(.):249139202-249158125	0.6549
NM_001193328	chr1(.):249139202-249158315	0.6495
NR_036070	chr1(.):249115575-249125642	2.0248
NM_020458	chr2(.):47163312-47308275	0.5905
NR_033872	chr2(.):70184394-70319147	0.6732
NM_001099289	chr2(.):109740996-110267207	0.1697
NM_001012514	chr2(.):231724620-231748963	1.3658
NM_145693	chr2(.):11881739-11972533	1.027
NM_005813	chr2(.):37472645-37549222	0.9378
NR_036586	chr2(.):65123973-65164581	1.1702
NM_004027	chr2(.):99056320-99212496	1.1321
NM_001566	chr2(.):99056320-99203284	1.1945
NM_004226	chr2(.):196993306-197041336	0.4846
NM_001228	chr2(.):202093165-202157434	0.8838
NM_003879	chr2(.):201975889-202034003	1.3801
NM_001127184	chr2(.):201975815-202011323	2.1093
NM_173822	chr2(.):201833440-201941392	0.1881
NM_033358	chr2(.):202093165-202151638	0.9624
NM_022730	chr2(.):232646161-232678434	0.1646
NM_002997	chr2(.):20395557-20429927	2.2345
NM_001006946	chr2(.):20395557-20430194	2.2182
NM_012413	chr2(.):37566752-37605465	2.2756
NM_138370	chr2(.):42270160-42290668	0.0807
NM_006887	chr2(.):43444540-43458745	3.4312
NR_027251	chr2(.):43449349-43460994	2.4901
NM_001171508	chr2(.):47124008-47173994	0.4708
NM_001193493	chr2(.):65210578-65256000	0.7299
NM_003038	chr2(.):65211494-65256000	0.7432
NM_006196	chr2(.):70309584-70321334	6.6425
NR_024444	chr2(.):70346167-70357448	0.8891
NR_026984	chr2(.):86242338-86255991	0.1168
NR_026875	chr2(.):97158382-97178846	0.1695
NM_212481	chr2(.):97197463-97223371	1.9629
NM_006186	chr2(.):157175943-157194287	0.727
NM_004288	chr2(.):158266130-158305604	0.8483
NM_002491	chr2(.):201931461-201955473	0.4752
NM_001127183	chr2(.):201978386-202033841	1.4424
NM_033356	chr2(.):202120222-202157434	1.0637
NM_001080125	chr2(.):202117753-202157434	1.0347
NM_017431	chr2(.):219682105-219701512	0.0576
NM_025216	chr2(.):219740254-219763651	1.5475
NM_006522	chr2(.):219719545-219743954	0.1062
NM_001099285	chr2(.):232568234-232583250	1.8253
NM_002601	chr2(.):232592146-232650974	0.0943
NR_036052	chr2(.):232573023-232583105	0.7889
NR_031717	chr2(.):232751951-232762008	0.0252
NM_003549	chr3(.):50325261-50341899	0.6091
NM_014674	chr3(.):5224358-5266650	1.2413
NM_003571	chr3(.):133113789-133199056	0.7406
NM_001135095	chr3(.):171753343-172123492	0.28
NM_022763	chr3(.):171752417-172123492	0.2799
NM_181361	chr3(.):178249223-178567217	0.1023
NM_001134382	chr3(.):12933718-13119617	0.4995
NM_014869	chr3(.):12933718-13013960	0.0977
NM_144636	chr3(.):14148576-14171371	1.4393
NM_181042	chr3(.):52574367-52718739	0.0979
NM_018313	chr3(.):52574367-52724866	0.1599
NM_007114	chr3(.):69063977-69106484	0.1938
NM_002213	chr3(.):124476794-124611144	0.5668
NM_001134422	chr3(.):133287433-133314118	0.9961
NM_001134423	chr3(.):133288300-133314118	1.0284
NM_001080412	chr3(.):141038054-141173632	2.7645
NM_001190242	chr3(.):159969773-160106554	0.0956
NM_001190241	chr3(.):159969773-160122320	0.3186
NM_024665	chr3(.):176733541-176920048	0.356
NM_005832	chr3(.):178271617-178567217	0.093
NM_130446	chr3(.):183200318-183278499	1.3806
NM_173216	chr3(.):186643314-186801341	0.7781
NM_003032	chr3(.):186734664-186801341	0.9685
NM_024334	chr3(.):14161439-14190180	1.189
NM_001295	chr3(.):46238199-46254832	1.9866
NM_001837	chr3(.):46278871-46313197	0.0757
NM_003212	chr3(.):46614075-46628952	0.0514
NM_001174136	chr3(.):46611044-46628952	0.0536
NM_024512	chr3(.):46551877-46613011	1.3484
NM_031440	chr3(.):46534484-46547439	0.1827
NM_199074	chr3(.):49052907-49065926	1.8721
NM_199073	chr3(.):49053617-49065926	1.9731
NM_017730	chr3(.):49062141-49136504	0.2906
NM_177939	chr3(.):49022340-49049581	0.5321
NM_018031	chr3(.):49039636-49058386	0.8923
NM_000884	chr3(.):49056761-49071875	1.5987
NM_018114	chr3(.):49047434-49063467	1.5217
NM_199070	chr3(.):49054073-49065926	2.0429
NM_001009996	chr3(.):49047434-49061017	1.7146
NR_029690	chr3(.):49053050-49063142	2.3237
NR_029948	chr3(.):49052580-49062667	2.2896
NM_153215	chr3(.):50311517-50330545	0.3579
NM_006764	chr3(.):50320162-50335026	0.4533
NM_153282	chr3(.):50332319-50346004	0.3266
NM_153281	chr3(.):50332319-50354812	0.2375
NM_007275	chr3(.):50357340-50370668	2.0086
NM_012191	chr3(.):50328832-50341712	0.7382
NM_003773	chr3(.):50350220-50365281	1.6235
NM_006545	chr3(.):50379918-50393486	0.5473
NM_007182	chr3(.):50362216-50383367	0.8646
NM_007022	chr3(.):50383296-50396496	0.6237
NM_007024	chr3(.):50387179-50401939	0.7922
NM_015896	chr3(.):50373536-50388156	1.0451
NM_170712	chr3(.):50362216-50380664	0.9617
NM_170713	chr3(.):50362216-50379895	1.0003
NM_001010983	chr3(.):52723503-52745048	1.2834
NM_206825	chr3(.):52714935-52733510	0.7398
NR_003687	chr3(.):52719753-52729846	0.8162
NM_014041	chr3(.):52734856-52747197	2.0403
NR_003057	chr3(.):52721751-52731828	0.2805
NM_152932	chr3(.):52723503-52742622	1.2457
NR_003047	chr3(.):52718255-52728331	1.0654
NM_001193533	chr3(.):52739795-52809965	0.4426
NM_198195	chr3(.):69098880-69134524	0.4663
NM_006407	chr3(.):69129089-69160239	0.9927
NM_198271	chr3(.):69151038-69176746	0.1954
NR_036087	chr3(.):69093108-69103186	0.6219
NM_006100	chr3(.):98446571-98518236	0.9139
NM_145037	chr3(.):101493028-101552075	0.5561
NM_001134456	chr3(.):101493285-101552075	0.5581
NM_001005474	chr3(.):101541833-101584869	0.3234
NR_031687	chr3(.):125504246-125514395	0.0799
NM_001127196	chr3(.):128881657-128907810	0.8988
NM_020701	chr3(.):128841258-128885073	0.3906
NM_020187	chr3(.):128992683-129029135	0.8228
NM_001006109	chr3(.):128992816-129029135	0.8253
NM_006026	chr3(.):129028613-129040120	3.1066
NR_026991	chr3(.):129030113-129048412	1.3072
NR_034008	chr3(.):156802669-156823924	2.1362
