REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM4_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
5_MACS_peak_4226_lociStitched	chr17	43298930	43308933	5	9638	10781.2334	1	1	FMNL1	LOC100133991,C17orf46	FMNL1	1	1
2_MACS_peak_4037_lociStitched	chr17	6915116	6920303	2	5173	8459.4783	2	1	RNASEK,C17orf49	ALOX12,BCL6B,SLC16A13,MIR195,MIR497,SLC16A11	C17orf49	2	1
5_MACS_peak_1940_lociStitched	chr11	65188337	65195078	5	5796	6552.252	3	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	3	1
5_MACS_peak_4722_lociStitched	chr18	60823556	60830591	5	6486	6376.524	4	1	BCL2		BCL2	4	1
2_MACS_peak_4316_lociStitched	chr17	48942235	48945634	2	3248	5988.3582	5	1		WFIKKN2,TOB1	TOB1	5	1
5_MACS_peak_1948_lociStitched	chr11	65265625	65272862	5	6691	5909.7342	6	1	MALAT1	SCYL1	MALAT1	6	1
2_MACS_peak_4140_lociStitched	chr17	27275751	27279527	2	3566	5675.7056	7	1	PHF12	DHRS13	PHF12	7	1
1_MACS_peak_4242_lociStitched	chr17	43660596	43663119	1	2524	5435.8035	8	1		MGC57346,LOC644172	LOC644172	8	1
3_MACS_peak_5030_lociStitched	chr19	16434881	16439750	3	4580	5341.293	9	1	KLF2		KLF2	9	1
1_MACS_peak_4128_lociStitched	chr17	26988335	26990230	1	1896	4982.1445	10	1	SUPT6H,SDF2	SGK494,KIAA0100,PROCA1	SUPT6H	10	1
1_MACS_peak_4299_lociStitched	chr17	47752745	47755531	1	2787	4945.4286	11	1	SPOP	SLC35B1	SPOP	11	1
3_MACS_peak_4352_lociStitched	chr17	55432697	55437162	3	4408	4913.7325	12	1	MSI2		MSI2	12	1
2_MACS_peak_4222_lociStitched	chr17	43224294	43227601	2	3009	4579.2029	13	1	HEXIM1	ACBD4,HEXIM2,PLCD3	HEXIM1	13	1
2_MACS_peak_8940_lociStitched	chr6	32936286	32940857	2	4281	4164.181	14	1	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	14	1
2_MACS_peak_102_lociStitched	chr1	17230187	17231754	2	1555	4142.6779	15	1		CROCC	CROCC	15	1
4_MACS_peak_4976_lociStitched	chr19	12900274	12905029	4	4429	4067.427	16	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	16	1
3_MACS_peak_10983_lociStitched	chrX	106957428	106961108	3	3532	4052.048	17	1	TSC22D3		TSC22D3	17	1
1_MACS_peak_4131_lociStitched	chr17	27054053	27056357	1	2305	4042.368	18	1	NEK8	RPL23A,SNORD42B,SNORD4A,SNORD42A,SNORD4B,TRAF4,PROCA1,RAB34,TLCD1	NEK8	18	1
6_MACS_peak_1117_lociStitched	chr1	234743410	234748508	6	4613	4004.9888	19	1	IRF2BP2	NCRNA00184	IRF2BP2	19	1
