REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM4_jia.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuperStretch
5_MACS_peak_4226_lociStitched	chr17	43298930	43308933	5	9638	10781.2334	1	1	FMNL1	LOC100133991,C17orf46	FMNL1	1	1
2_MACS_peak_4037_lociStitched	chr17	6915116	6920303	2	5173	8459.4783	2	1	RNASEK,C17orf49	ALOX12,BCL6B,SLC16A13,MIR195,MIR497,SLC16A11	C17orf49	2	1
5_MACS_peak_4722_lociStitched	chr18	60823556	60830591	5	6486	6376.524	3	1	BCL2		BCL2	3	1
5_MACS_peak_1948_lociStitched	chr11	65265625	65272862	5	6691	5909.7342	4	1	MALAT1	SCYL1	MALAT1	4	1
5_MACS_peak_1940_lociStitched	chr11	65188337	65195078	5	5796	6552.252	5	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	5	1
3_MACS_peak_5030_lociStitched	chr19	16434881	16439750	3	4580	5341.293	6	1	KLF2		KLF2	6	1
2_MACS_peak_4316_lociStitched	chr17	48942235	48945634	2	3248	5988.3582	7	1		WFIKKN2,TOB1	TOB1	7	1
3_MACS_peak_4352_lociStitched	chr17	55432697	55437162	3	4408	4913.7325	8	1	MSI2		MSI2	8	1
2_MACS_peak_4140_lociStitched	chr17	27275751	27279527	2	3566	5675.7056	9	1	PHF12	DHRS13	PHF12	9	1
6_MACS_peak_1117_lociStitched	chr1	234743410	234748508	6	4613	4004.9888	10	1	IRF2BP2	NCRNA00184	IRF2BP2	10	1
4_MACS_peak_4976_lociStitched	chr19	12900274	12905029	4	4429	4067.427	11	1	JUNB	BEST2,RNASEH2A,MAST1,HOOK2,PRDX2,RTBDN	JUNB	11	1
2_MACS_peak_8940_lociStitched	chr6	32936286	32940857	2	4281	4164.181	12	1	BRD2	BRD2,HLA-DMB,HLA-DMA,HLA-DOA	BRD2	12	1
1_MACS_peak_4242_lociStitched	chr17	43660596	43663119	1	2524	5435.8035	13	1		MGC57346,LOC644172	LOC644172	13	1
4_MACS_peak_4990_lociStitched	chr19	13949748	13954162	4	4281	3769.1146	14	1		ZSWIM4,MIR181C,MIR181D,NANOS3,LOC284454,MIR24-2,MIR27A,MIR23A	MIR23A	14	1
1_MACS_peak_4299_lociStitched	chr17	47752745	47755531	1	2787	4945.4286	15	1	SPOP	SLC35B1	SPOP	15	1
2_MACS_peak_4222_lociStitched	chr17	43224294	43227601	2	3009	4579.2029	16	1	HEXIM1	ACBD4,HEXIM2,PLCD3	HEXIM1	16	1
3_MACS_peak_10983_lociStitched	chrX	106957428	106961108	3	3532	4052.048	17	1	TSC22D3		TSC22D3	17	1
1_MACS_peak_10526_lociStitched	chr9	66455363	66459108	1	3746	3554.3795	18	1		LOC442421	LOC442421	18	1
1_MACS_peak_4128_lociStitched	chr17	26988335	26990230	1	1896	4982.1445	19	1	SUPT6H,SDF2	SGK494,KIAA0100,PROCA1	SUPT6H	19	1
