GENE	H3k18ac_9_DMSO_compare_TSS_SIGNAL	H3k18ac_9_DMSO_compare_DISTAL_SIGNAL
A1BG	0.0	885.6476999999999
A1BG-AS1	0.0	885.6476999999999
A2LD1	1465.5208	462.576
A2M	0.0	23.663999999999998
A2ML1	0.0	0.0
A4GALT	0.0	2994.6508
A4GNT	0.0	1382.8031
AAA1	0.0	21582.267
AAAS	3946.4922	20087.4021
AACS	841.064	3326.0425999999998
AACSP1	0.0	0.0
AADAC	0.0	973.5942
AADACL3	0.0	0.0
AADAT	0.0	2634.6528
AAGAB	2107.0452	2253.3885
AAK1	8503.0	3621.2905
AAMP	2238.4619999999995	14981.5494
AANAT	964.04	48190.1127
AARS	3938.8	10592.4805
AARS2	1555.9623000000001	25958.3275
AARSD1	3321.0415000000003	3665.4126999999994
AASDH	3033.7801999999997	1705.7312
AASDHPPT	5487.8664	495.8682
AASS	2148.8	3745.4023
AATF	2747.7999999999997	15.7458
AATK	0.0	1257.3276
ABAT	0.0	129.781
ABCA1	1689.2421	12265.046699999999
ABCA10	0.0	504.3342
ABCA11P	3063.6468	23.5843
ABCA12	0.0	1038.8608
ABCA13	0.0	6748.8182
ABCA17P	0.0	418.6726
ABCA2	0.0	5633.608700000001
ABCA3	0.0	418.6726
ABCA5	3071.2000000000003	1926.0076
ABCA6	0.0	1326.7628
ABCA7	3562.0	34285.847299999994
ABCA9	0.0	1326.7628
ABCB1	0.0	19.5383
ABCB10	3436.6	666.0035
ABCB11	0.0	4804.489299999999
ABCB5	0.0	2669.652
ABCB6	1956.1182000000001	4626.3971
ABCB7	1779.0593000000001	0.0
ABCB8	3640.0	16714.2389
ABCB9	3391.8209999999995	81291.8897
ABCC1	4259.08	3214.4807
ABCC10	2822.638	2080.5894000000003
ABCC11	0.0	1967.9560999999999
ABCC12	0.0	47.8061
ABCC13	0.0	0.0
ABCC2	0.0	0.0
ABCC3	0.0	4433.160800000001
ABCC4	1071.6109999999999	635.4083999999999
ABCC5	0.0	1123.1872
ABCC6	0.0	3107.8009
ABCC6P1	0.0	3842.0413
ABCC6P2	0.0	2430.1759999999995
ABCC8	0.0	1594.9674
ABCD1	1736.0239000000001	2141.0843999999997
ABCD2	17010.4	13546.493699999999
ABCD3	980.5079999999999	0.0
ABCD4	0.0	1586.2824
ABCE1	2465.2664999999997	6973.7510999999995
ABCF1	2129.2	24396.876500000002
ABCF2	2146.3999999999996	255.61400000000003
ABCF3	3070.6000000000004	2696.974
ABCG1	2745.6001	37716.5415
ABCG2	0.0	14347.651399999999
ABCG4	0.0	8538.665700000001
ABCG5	0.0	0.0
ABCG8	0.0	0.0
ABHD1	2220.0036	83700.232
ABHD10	2330.4105	3954.66
ABHD11	4464.566	8372.0328
ABHD12	4150.0	83874.91350000001
ABHD12B	0.0	6200.3688
ABHD13	2483.5339999999997	107.6342
ABHD14A	4167.9965999999995	1810.0430000000001
ABHD14B	5243.384099999999	1810.0430000000001
ABHD15	4757.8143	5017.901699999999
ABHD2	2830.4	71009.4502
ABHD3	3490.5443999999998	5199.2914
ABHD4	7013.2068	37098.4788
ABHD5	3459.6	154.8828
ABHD6	1447.8951	1497.358
ABHD8	1482.3704	7938.271299999999
ABI1	3391.0725	8785.2908
ABI2	2062.554	1157.6375
ABI3	0.0	4493.115
ABL1	3268.1439	804.2897
ABL2	2196.425	10987.339099999997
ABLIM1	2238.4195	993.0980999999999
ABO	0.0	186.9615
ABP1	0.0	6676.338599999999
ABR	7187.8	31746.296399999996
ABRA	0.0	877.1552999999999
ABT1	2216.2000000000003	15232.681299999998
ABTB1	3167.9635	16438.7685
ABTB2	509.81559999999996	255.1572
ACAA1	5658.682999999999	324.2204
ACAA2	4416.5554	2603.0809
ACACA	5118.314	3397.3104
ACACB	0.0	9740.0842
ACAD10	1102.6935	56.80479999999999
ACAD11	3639.6452	40889.0885
ACAD8	1831.2966	2345.3463
ACAD9	3797.8	2109.8372999999997
ACADL	0.0	2932.1281
ACADM	3727.4076	4057.6663999999996
ACADS	465.7068	1629.1574
ACADSB	3054.8784	39.7304
ACADVL	4122.6212	8592.7145
ACAN	0.0	2007.0989
ACAP1	0.0	3627.7452999999996
ACAP2	3743.6	3174.0908000000004
ACAP3	3122.2789000000002	1252.9068
ACAT1	2109.0216	1089.1158
ACAT2	2271.5048	62.75150000000001
ACBD3	5074.0	67109.99
ACBD4	3385.6220000000003	51394.61959999999
ACBD5	10257.088	3500.4656
ACBD6	8792.8	1008.0596
ACBD7	0.0	1164.7700000000002
ACCN2	0.0	11031.794
ACCN3	0.0	15720.8232
ACCN4	0.0	195.2762
ACCN5	0.0	6676.9719000000005
ACCS	2054.3289	0.0
ACCSL	0.0	0.0
ACD	3911.6928000000003	14936.579700000002
ACE	0.0	70.563
ACE2	0.0	256.9864
ACER1	0.0	1199.7908
ACER2	485.5431	755.5272
ACER3	1555.6737	5274.316199999999
ACHE	0.0	22.255499999999998
ACIN1	3589.5447	4936.7014
ACLY	2300.8	5291.905000000001
ACMSD	0.0	384.9518
ACN9	256.2444	478.7073
ACO2	4534.942	20875.5732
ACOT1	0.0	0.0
ACOT11	0.0	6142.2855
ACOT12	0.0	3.3264
ACOT13	3229.0723	12780.0549
ACOT2	0.0	0.0
ACOT7	3274.0724999999998	92.3794
ACOT8	2959.0035000000003	534.0756
ACOT9	1007.7814999999999	3063.001
ACOX1	7943.5835	3840.1409
ACOX2	0.0	816.1386
ACOX3	1831.2052999999999	4956.707899999999
ACOXL	2239.1193000000003	41284.2207
ACP1	1414.6399999999999	2151.245
ACP2	5929.184	2754.6032
ACP5	0.0	6049.8345
ACP6	5307.2776	4772.6887
ACPL2	2237.9276	3756.0274999999997
ACPP	0.0	710.3268
ACPT	0.0	479.3989
ACR	0.0	4762.3289
ACRBP	0.0	6154.7979000000005
ACRC	0.0	18209.894499999995
ACRV1	0.0	254.694
ACSBG1	0.0	4446.8576
ACSBG2	0.0	1185.6482999999998
ACSF2	4127.6	2375.2775
ACSF3	453.8604	14706.0705
ACSL1	1385.8	3590.8313
ACSL3	890.076	109.018
ACSL4	1169.0624	3844.9202
ACSL5	7225.4691	7.08
ACSL6	0.0	127662.4664
ACSM1	0.0	107.4345
ACSM3	1849.297	213.5145
ACSS1	3168.137	11978.2234
ACSS2	1941.9371	1513.4618000000003
ACTA1	0.0	6528.5635
ACTA2	2519.8586999999998	247.79860000000002
ACTB	19533.2	11292.321199999998
ACTBL2	0.0	4046.9646000000002
ACTC1	0.0	794.2860000000001
ACTG1	7118.2	12537.0709
ACTG2	0.0	5655.1946
ACTL6A	1888.4448	2868.9529
ACTL6B	0.0	4717.464499999999
ACTL7A	0.0	104.5296
ACTL7B	0.0	104.5296
ACTN2	0.0	0.0
ACTN3	965.3602	2660.6005999999998
ACTN4	1009.0518	20435.3142
ACTR10	788.476	0.0
ACTR1A	0.0	8105.483
ACTR1B	3796.8	1459.7458
ACTR2	3739.0	2423.5218
ACTR3	7642.2	8058.1795999999995
ACTR3B	2510.1459	2130.4460999999997
ACTR3BP2	0.0	474.9966
ACTR3C	14288.1657	86159.45850000001
ACTR5	1907.1273	16129.5863
ACTR6	1617.5808000000002	1198.4461000000001
ACTR8	1983.0194	2181.9704
ACVR1	1683.8274000000001	6194.753799999999
ACVR1B	571.9119999999999	5374.2492
ACVR1C	1982.3209000000002	1014.8304
ACVR2A	2160.8	326.8781
ACVR2B	3326.9955999999997	216.5499
ACVRL1	0.0	388.6545
ACY1	3096.6025	1810.0430000000001
ACY3	1819.8054	17620.0873
ACYP1	792.6623999999999	3.536
ACYP2	9328.082400000001	3570.1764
ADA	4529.200000000001	42450.111
ADAD2	0.0	8180.239999999999
ADAL	2725.2756	3340.5454000000004
ADAM1	0.0	4443.9779
ADAM10	3881.6000000000004	1821.7164
ADAM11	0.0	4381.452699999999
ADAM15	3033.7999999999997	168537.04619999998
ADAM17	3826.2	4355.4812999999995
ADAM19	0.0	5197.605100000001
ADAM21	0.0	0.0
ADAM22	1441.8356	5326.5749
ADAM23	0.0	3701.278
ADAM28	2197.9221000000002	28946.640600000002
ADAM29	0.0	1291.9095
ADAM33	0.0	2426.7726
ADAM3A	0.0	1203.5808
ADAM5P	0.0	1001.3612
ADAM7	0.0	25328.149100000002
ADAM8	5608.4	12856.194
ADAM9	3072.4482	83514.58840000001
ADAMDEC1	0.0	29792.3921
ADAMTS10	0.0	3913.5836
ADAMTS12	0.0	2719.8864
ADAMTS13	0.0	554.0435
ADAMTS14	0.0	32303.673600000002
ADAMTS15	725.6602	3394.6461
ADAMTS16	0.0	719.118
ADAMTS17	0.0	0.0
ADAMTS19	401.0967	2290.7026000000005
ADAMTS3	3185.4	1791.9056
ADAMTS4	0.0	58002.7839
ADAMTS6	878.5707	0.0
ADAMTS7	0.0	2353.8108
ADAMTS8	0.0	3394.6461
ADAMTSL2	0.0	297.314
ADAMTSL4	0.0	128493.14070000002
ADAMTSL5	0.0	5149.6551
