GENE_ID	locusLine	bin_1_U266.jin.bam
NM_013943	chr1(.):25066759-25175815	0.2712
NM_030806	chr1(.):184351149-184603155	0.273
NM_032236	chr1(.):21999791-22114688	0.4026
NM_007051	chr1(.):50901934-51430936	0.0711
NM_001006605	chr1(.):93302720-93432079	0.2862
NM_145214	chr1(.):228576376-228599517	0.1298
NM_001198993	chr1(.):1677670-1715297	0.7473
NM_023018	chr1(.):1677670-1714909	0.7529
NM_001198994	chr1(.):1677670-1716508	0.7256
NM_024980	chr1(.):9159475-9194229	0.2212
NM_001013693	chr1(.):22133757-22156714	0.0654
NM_004091	chr1(.):23827921-23862713	0.9195
NM_001010980	chr1(.):24877566-24940818	0.6904
NM_173065	chr1(.):24475646-24518751	0.8567
NM_174964	chr1(.):44168217-44401831	0.2579
NM_001002912	chr1(.):75028794-75144422	0.4317
NM_001002812	chr1(.):144885590-145000022	0.5253
NM_014644	chr1(.):144846426-145000022	0.4197
NM_001198834	chr1(.):144846423-145000033	0.4197
NM_001198832	chr1(.):144846423-145044992	0.4131
NM_207168	chr1(.):150594521-150607098	1.0075
NM_020524	chr1(.):154911558-154933567	2.575
NM_181359	chr1(.):154372668-154445188	1.8035
NM_002249	chr1(.):154674914-154847754	0.5148
NM_170782	chr1(.):154674914-154837338	0.5221
NM_152280	chr1(.):155824259-155859990	0.6344
NM_005973	chr1(.):156732273-156775609	1.0609
NM_014697	chr1(.):162034580-162344813	0.2671
NM_152663	chr1(.):178689299-178894237	0.1902
NM_145034	chr1(.):179804101-179851941	0.5695
NM_022347	chr1(.):179823164-179851941	0.9016
NM_182663	chr1(.):206675878-206767616	0.7265
NM_152495	chr1(.):224799178-224933249	0.3583
NM_002221	chr1(.):226814390-226931876	0.6547
NM_004481	chr1(.):230197955-230422875	0.5568
NM_003193	chr1(.):235525727-235617280	0.1214
NM_031371	chr1(.):235325209-235496532	0.1952
NM_144625	chr1(.):241810579-241970434	0.1505
NM_181690	chr1(.):243646534-244011553	0.1979
NM_005465	chr1(.):243661483-244011553	0.2031
NM_003431	chr1(.):247314202-247340318	0.1611
NM_182838	chr1(.):1658680-1682431	0.6684
NM_001198995	chr1(.):1677670-1695081	0.2446
NM_177540	chr1(.):6610337-6644817	0.2908
NM_005341	chr1(.):6635062-6654340	0.2639
NM_014851	chr1(.):6645783-6667929	1.289
NM_153812	chr1(.):6668755-6689093	0.7854
NM_024654	chr1(.):6576406-6619658	0.1344
NM_001195752	chr1(.):6680209-6698642	0.3733
NM_001195753	chr1(.):6679924-6698642	0.3676
NM_207420	chr1(.):9058358-9091404	0.3401
NM_003039	chr1(.):9092004-9134887	0.2462
NR_024180	chr1(.):9092004-9153510	0.5969
NR_029610	chr1(.):9206726-9216836	0.0736
NM_015866	chr1(.):14026349-14119574	0.6388
NM_012231	chr1(.):14026349-14156574	0.4762
NM_001007257	chr1(.):14070875-14119574	0.2382
NM_001135610	chr1(.):14021734-14156574	0.4884
NM_001032730	chr1(.):22049338-22114688	0.6442
NM_017707	chr1(.):23750055-23815750	0.0853
NM_002167	chr1(.):23879408-23891322	1.7641
NR_027042	chr1(.):23948823-23972056	0.3785
NM_021258	chr1(.):24441260-24474611	0.1182
NR_027087	chr1(.):24521729-24543180	0.8244
NM_006015	chr1(.):27017521-27113601	0.4352
NM_002713	chr1(.):28152292-28183183	0.2627
NR_002997	chr1(.):28155911-28166077	0.6886
NM_001039477	chr1(.):28194054-28218193	1.4505
NM_002946	chr1(.):28213048-28246236	0.3466
NM_014280	chr1(.):28521789-28564542	0.2861
NM_016311	chr1(.):28557610-28569611	0.9308
NM_031459	chr1(.):28581005-28614002	0.2218
NM_001262	chr1(.):51429366-51445306	3.2437
NM_078626	chr1(.):51430641-51445309	3.52
NM_004974	chr1(.):111140775-111153345	0.0392
NM_002232	chr1(.):111209309-111222655	0.8984
NM_017709	chr1(.):118143603-118176011	2.7045
NM_001002811	chr1(.):144885590-144937032	0.6646
NM_001161334	chr1(.):149749244-149788928	0.3817
NM_001034077	chr1(.):149799220-149809616	1.7067
NM_001005464	chr1(.):149807258-149817765	2.9339
NM_001040874	chr1(.):149808784-149819318	2.9183
NM_001123375	chr1(.):149779779-149790236	1.0095
NM_005850	chr1(.):149890210-149904702	0.9656
NM_016074	chr1(.):149866154-149877348	0.6908
NM_003528	chr1(.):149851009-149863232	3.2247
NM_003517	chr1(.):149853524-149863961	3.7487
NM_175065	chr1(.):149854018-149864466	3.7424
NM_014849	chr1(.):149869871-149894434	0.3607
NM_181873	chr1(.):149895542-149913266	1.6873
NM_001145862	chr1(.):149895542-149913791	1.6537
NR_036461	chr1(.):149816758-149827340	2.771
NM_001040874	chr1(.):149817627-149828161	2.7509
NM_001005464	chr1(.):149819180-149829687	2.7649
NM_001034077	chr1(.):149827329-149837725	1.6636
NM_019032	chr1(.):150516897-150538412	1.6812
NM_207046	chr1(.):150589598-150606609	0.7979
NR_036211	chr1(.):150519404-150529490	0.1764
NM_001197320	chr1(.):150542026-150557214	1.9821
NM_006556	chr1(.):154892207-154914484	2.1431
NM_001130041	chr1(.):154929773-154951959	1.9395
NM_001130040	chr1(.):154929773-154948223	2.0979
NM_201398	chr1(.):154950769-154970587	0.3378
NM_015872	chr1(.):154970111-154995999	1.5233
NM_207196	chr1(.):155018761-155040252	0.4925
NM_018655	chr1(.):154961061-154971791	0.358
NM_001143687	chr1(.):155001281-155028406	0.211
NR_024163	chr1(.):154942117-154956725	2.1976
NM_144622	chr1(.):154986002-155011257	0.1882
NM_138300	chr1(.):154924501-154939258	2.2723
NR_036212	chr1(.):154943168-154953259	2.5659
NM_032292	chr1(.):155729575-155831972	0.2534
NM_001037533	chr1(.):155714509-155831972	0.2731
NM_006912	chr1(.):155862600-155886177	0.237
NM_001162384	chr1(.):155911629-155953336	1.4953
NM_181885	chr1(.):155906479-155917625	3.438
NM_004723	chr1(.):155911629-155952966	1.4846
NM_014949	chr1(.):155877835-155909188	0.742
NR_002974	chr1(.):155884699-155894833	0.0868
NR_003005	chr1(.):155890748-155900877	0.0933
NM_003145	chr1(.):155973838-155995758	0.2849
NM_005920	chr1(.):156428518-156475529	2.8301
NM_198427	chr1(.):156606739-156628264	0.2081
NM_021817	chr1(.):156584085-156600517	0.1689
NM_021948	chr1(.):156606739-156634320	1.4391
NM_004494	chr1(.):156706898-156726543	1.9428
NM_001126051	chr1(.):156706898-156727024	1.897
NM_001126050	chr1(.):156706898-156727240	1.8781
NM_030980	chr1(.):156687412-156702705	1.0791
NM_001878	chr1(.):156664407-156680375	0.0721
NM_001142560	chr1(.):156693262-156711752	1.3974
NM_145729	chr1(.):156702093-156715923	1.1416
NM_006617	chr1(.):156633555-156652189	0.9896
NM_003975	chr1(.):156771034-156791640	1.0996
NM_001161443	chr1(.):156771034-156790939	1.1279
NM_001007792	chr1(.):156780541-156856642	0.4033
NM_001778	chr1(.):160643535-160686585	1.1338
NM_003037	chr1(.):160574890-160622081	0.2259
NM_021181	chr1(.):160704076-160729601	0.4035
NM_001033667	chr1(.):160760927-160777483	1.4058
NM_002348	chr1(.):160760927-160803045	0.6207
NR_033186	chr1(.):178506930-178523024	0.5261
NM_022371	chr1(.):179046111-179070129	1.2859
NM_015602	chr1(.):179846419-179894211	0.8677
NM_005298	chr1(.):200837165-200848251	1.3369
NM_018265	chr1(.):200855638-200889864	0.6108
NM_001142569	chr1(.):200858998-200889864	0.3941
NM_017596	chr1(.):200933519-200997828	0.4007
NR_034150	chr1(.):203262885-203279453	3.2849
NM_006763	chr1(.):203269663-203283729	2.7026
NM_002023	chr1(.):203304751-203325289	0.0977
NM_002393	chr1(.):204480510-204532248	0.7286
NM_000707	chr1(.):206219282-206236482	0.2252
NM_001007544	chr1(.):206233871-206293647	1.1314
NM_148964	chr1(.):206312458-206337104	0.0992
NM_182665	chr1(.):206725491-206767616	1.1322
NM_032960	chr1(.):206853288-206912626	0.7578
NR_026817	chr1(.):207986723-208000941	1.6097
NR_029832	chr1(.):207970196-207980284	0.2788
NR_029518	chr1(.):207970787-207980868	0.2824
NM_003493	chr1(.):228607545-228618026	0.0459
NM_033445	chr1(.):228640064-228650560	1.9037
NM_016102	chr1(.):228590635-228609583	0.1704
NM_001010858	chr1(.):228670067-228688889	1.2534
NM_175055	chr1(.):228640807-228651259	2.0054
NM_002245	chr1(.):233744749-233813258	3.3278
NM_005646	chr1(.):234522058-234619849	0.158
NM_182972	chr1(.):234735014-234750271	5.5979
NR_033927	chr1(.):234760056-234775526	0.1299
NM_004837	chr1(.):235486868-235512844	0.9161
NM_001037277	chr1(.):235486752-235512844	0.9121
NM_014322	chr1(.):241751451-241808701	0.5552
NM_001821	chr1(.):241787166-241804232	0.8039
NM_173858	chr1(.):247414373-247425447	0.0481
NR_037480	chr1(.):247360268-247370362	0.0749
NR_034135	chr2(.):8142900-8473549	0.1399
NM_138394	chr2(.):38785327-38835178	0.755
NR_033872	chr2(.):70184394-70319147	0.4623
NR_015395	chr2(.):112119590-112257692	2.1904
NR_024373	chr2(.):112181885-112257692	3.825
NM_014900	chr2(.):165536257-165702928	0.3478
NM_021141	chr2(.):216969019-217076016	0.2506
NM_145693	chr2(.):11881739-11972533	1.1293
NM_001170585	chr2(.):28713937-28871653	0.7215
NM_170672	chr2(.):33656415-33794798	0.6408
NM_005813	chr2(.):37472645-37549222	0.8819
NM_006449	chr2(.):37865742-37904326	0.9576
NM_138801	chr2(.):38888051-38966909	1.0424
NM_000251	chr2(.):47625262-47715360	0.2951
NM_014911	chr2(.):69680126-69875977	0.1993
NM_003896	chr2(.):86061270-86121157	0.9422
NR_024204	chr2(.):87749973-87826030	3.7422
NM_004836	chr2(.):88851258-88932094	0.6376
NM_004027	chr2(.):99056320-99212496	0.9107
NM_001566	chr2(.):99056320-99203284	0.9656
NM_022662	chr2(.):112521639-112646741	0.3415
NM_005721	chr2(.):114642536-114721167	0.3609
NM_033394	chr2(.):159820145-160094170	0.3012
NM_001077269	chr2(.):175419301-175552627	0.4541
NM_014905	chr2(.):191740546-191834776	0.3129
NM_004226	chr2(.):196993306-197041336	0.6792
NM_001228	chr2(.):202093165-202157434	1.1096
NM_003879	chr2(.):201975889-202034003	1.6517
NM_001127184	chr2(.):201975815-202011323	2.6114
NM_173822	chr2(.):201833440-201941392	0.3142
NM_033358	chr2(.):202093165-202151638	1.2129
NM_018441	chr2(.):216898110-216951539	0.1432
NM_020935	chr2(.):219309973-219438084	0.2391
NM_001167608	chr2(.):227695670-227868923	0.2015
NM_001017915	chr2(.):233920035-234121549	0.2814
NM_003108	chr2(.):5827798-5846517	2.6434
NM_001037160	chr2(.):10191925-10225538	0.0796
NM_182626	chr2(.):10276508-10356856	0.0723
NM_001165931	chr2(.):10257694-10276546	1.61
NM_001034	chr2(.):10257862-10276546	1.6236
NM_005742	chr2(.):10918516-10957960	0.8789
NM_198256	chr2(.):11579500-11611297	0.3622
NM_033090	chr2(.):11677850-11737272	0.1478
NM_014668	chr2(.):11669241-11787912	0.113
NM_148903	chr2(.):11675079-11733355	0.1522
NM_002997	chr2(.):20395557-20429927	2.9294
NM_001006946	chr2(.):20395557-20430194	2.9082
NM_005253	chr2(.):28610778-28642516	1.1054
NM_015376	chr2(.):33733941-33794798	0.1249
NM_001139488	chr2(.):33696320-33794798	0.8312
NM_012413	chr2(.):37566752-37605465	5.8314
NM_001031684	chr2(.):38965740-38983636	1.142
NR_030286	chr2(.):47599813-47609909	0.0466
NM_002354	chr2(.):47591286-47619167	0.0697
NM_006196	chr2(.):70309584-70321334	3.6504
NR_024444	chr2(.):70346167-70357448	1.4071
NM_001042437	chr2(.):86061271-86099793	0.8144
NM_015425	chr2(.):86248450-86338278	0.8987
NR_026984	chr2(.):86242338-86255991	1.245
NM_002101	chr2(.):127408683-127459246	1.0754
NM_001006622	chr2(.):128515059-128573761	0.4409
NM_004805	chr2(.):128598839-128620729	0.4904
NM_003467	chr2(.):136866918-136880725	2.1536
NM_001008540	chr2(.):136866918-136878813	2.4643
NM_006186	chr2(.):157175943-157194287	1.6911
NM_004288	chr2(.):158266130-158305604	1.1287
NM_001172712	chr2(.):174766186-174835430	0.399
NM_001017371	chr2(.):174766186-174833947	0.4053
NM_003387	chr2(.):175419301-175504307	0.6644
NM_002491	chr2(.):201931461-201955473	0.4128
NM_001127183	chr2(.):201978386-202033841	1.7241
NM_033356	chr2(.):202120222-202157434	1.0493
NM_001080125	chr2(.):202117753-202157434	1.1125
NM_006139	chr2(.):204566197-204607557	1.3759
NM_001142310	chr2(.):216941588-216972506	0.1396
NM_005444	chr2(.):219428677-219463999	0.8242
NM_032726	chr2(.):219467631-219506904	0.0594
NM_025216	chr2(.):219740254-219763651	2.0502
NM_006522	chr2(.):219719545-219743954	0.1764
NM_005544	chr2(.):227591032-227668506	0.7387
NM_001099285	chr2(.):232568234-232583250	3.2831
NR_036052	chr2(.):232573023-232583105	1.9723
NM_005383	chr2(.):233892381-233904767	0.0595
NR_027007	chr3(.):9425536-9444174	1.1399
NM_002841	chr3(.):61542242-62285573	0.1979
NM_032682	chr3(.):70999735-71638140	0.2281
NM_001012505	chr3(.):71242033-71638140	0.2447
NM_016128	chr3(.):128963452-129001616	0.867
NM_003571	chr3(.):133113789-133199056	0.6711
NM_005862	chr3(.):136050998-136476245	0.0976
NM_003471	chr3(.):155855750-156261927	0.2577
NM_172159	chr3(.):156003775-156261927	0.3617
NM_172160	chr3(.):155833336-156261927	0.247
NM_001135095	chr3(.):171753343-172123492	0.6686
NM_022763	chr3(.):171752417-172123492	0.6676
NM_001168272	chr3(.):4530031-4894524	0.1781
NM_024923	chr3(.):13352736-13466809	0.7112
NM_015340	chr3(.):45425074-45595328	0.287
NM_014016	chr3(.):45725753-45791900	0.3417
NM_001123396	chr3(.):46390234-46405868	2.3658
NM_001123041	chr3(.):46390234-46407413	2.1654
NM_001126128	chr3(.):71815805-71839357	0.8595
NM_001001487	chr3(.):130608433-130740555	0.1262
NM_001199181	chr3(.):130564368-130727046	0.285
NM_001199180	chr3(.):130564368-130740555	0.2667
NM_001199179	chr3(.):130607834-130727046	0.1347
NM_001001485	chr3(.):130607858-130740555	0.1257
NM_001199184	chr3(.):130607904-130727046	0.1348
NM_014382	chr3(.):130608291-130727046	0.1351
NM_001080412	chr3(.):141038054-141173632	1.2778
