GENE_ID	locusLine	bin_1_02_0EWO_0229Kronos_MM1S-No-Treatment-2_H3K18Ac_hs-dm_i04.bam
1_MACS_peak_1_lociStitched	chr1(.):9864-10676	2.042
1_MACS_peak_2_lociStitched	chr1(.):28425-30197	1.9641
1_MACS_peak_3_lociStitched	chr1(.):712755-715231	2.0162
1_MACS_peak_4_lociStitched	chr1(.):761772-763881	1.7241
1_MACS_peak_5_lociStitched	chr1(.):878987-880913	0.828
1_MACS_peak_6_lociStitched	chr1(.):893794-895057	0.8549
1_MACS_peak_7_lociStitched	chr1(.):901467-902834	0.967
1_MACS_peak_8_lociStitched	chr1(.):947827-949906	1.2019
1_MACS_peak_9_lociStitched	chr1(.):998106-1000335	0.7072
1_MACS_peak_10_lociStitched	chr1(.):1051070-1051866	0.5596
1_MACS_peak_11_lociStitched	chr1(.):1071326-1072943	0.7
1_MACS_peak_12_lociStitched	chr1(.):1078949-1080805	0.9987
1_MACS_peak_13_lociStitched	chr1(.):1092867-1094140	1.027
1_MACS_peak_14_lociStitched	chr1(.):1166335-1167556	1.3287
1_MACS_peak_15_lociStitched	chr1(.):1184946-1186002	0.6289
1_MACS_peak_16_lociStitched	chr1(.):1208029-1210305	1.1737
1_MACS_peak_17_lociStitched	chr1(.):1242423-1245081	1.1497
1_MACS_peak_18_lociStitched	chr1(.):1259368-1261292	1.0946
2_MACS_peak_19_lociStitched	chr1(.):1283883-1285520	0.7452
1_MACS_peak_21_lociStitched	chr1(.):1309773-1311824	1.657
2_MACS_peak_22_lociStitched	chr1(.):1333698-1343782	0.6094
1_MACS_peak_24_lociStitched	chr1(.):1352822-1353977	0.5723
1_MACS_peak_25_lociStitched	chr1(.):1396529-1399067	2.0281
1_MACS_peak_26_lociStitched	chr1(.):1405880-1408525	1.0827
2_MACS_peak_27_lociStitched	chr1(.):1439613-1448870	0.9718
1_MACS_peak_29_lociStitched	chr1(.):1509103-1511321	2.1797
2_MACS_peak_30_lociStitched	chr1(.):1544867-1552349	1.0952
1_MACS_peak_32_lociStitched	chr1(.):1565610-1566571	0.7033
1_MACS_peak_33_lociStitched	chr1(.):1589627-1591689	2.0958
2_MACS_peak_34_lociStitched	chr1(.):1606085-1611105	1.6055
1_MACS_peak_36_lociStitched	chr1(.):1622586-1625743	2.6982
1_MACS_peak_37_lociStitched	chr1(.):1654814-1656895	1.6117
2_MACS_peak_38_lociStitched	chr1(.):1668708-1678994	1.2043
1_MACS_peak_40_lociStitched	chr1(.):1708172-1715031	2.9218
1_MACS_peak_41_lociStitched	chr1(.):1754898-1756196	0.4745
1_MACS_peak_42_lociStitched	chr1(.):1772386-1775379	0.8191
2_MACS_peak_43_lociStitched	chr1(.):1821069-1829661	0.655
1_MACS_peak_45_lociStitched	chr1(.):1837478-1841686	1.1204
1_MACS_peak_46_lociStitched	chr1(.):1849923-1851067	0.6478
1_MACS_peak_47_lociStitched	chr1(.):2064354-2065185	0.5779
2_MACS_peak_48_lociStitched	chr1(.):2125905-2131019	0.3313
1_MACS_peak_50_lociStitched	chr1(.):2158394-2159409	0.7402
1_MACS_peak_51_lociStitched	chr1(.):2186247-2188522	1.6556
1_MACS_peak_52_lociStitched	chr1(.):2221002-2223680	1.3712
1_MACS_peak_53_lociStitched	chr1(.):2230614-2233989	2.4972
1_MACS_peak_54_lociStitched	chr1(.):2322042-2324088	0.6937
2_MACS_peak_55_lociStitched	chr1(.):2342940-2347960	0.9682
1_MACS_peak_57_lociStitched	chr1(.):2457020-2458870	0.6968
2_MACS_peak_58_lociStitched	chr1(.):2476810-2489276	1.5601
2_MACS_peak_60_lociStitched	chr1(.):2508621-2518658	0.602
1_MACS_peak_62_lociStitched	chr1(.):2573473-2575096	1.5213
1_MACS_peak_63_lociStitched	chr1(.):3087013-3087964	0.4195
2_MACS_peak_64_lociStitched	chr1(.):3540456-3548009	0.3335
2_MACS_peak_66_lociStitched	chr1(.):3565917-3569997	0.4696
1_MACS_peak_68_lociStitched	chr1(.):3589226-3590365	0.7199
1_MACS_peak_69_lociStitched	chr1(.):3711925-3713844	0.8228
1_MACS_peak_70_lociStitched	chr1(.):3773116-3774767	0.6195
1_MACS_peak_71_lociStitched	chr1(.):3815832-3818301	3.126
1_MACS_peak_72_lociStitched	chr1(.):3838132-3839205	0.669
1_MACS_peak_73_lociStitched	chr1(.):4404000-4404673	0.4876
1_MACS_peak_74_lociStitched	chr1(.):4439323-4440583	0.6676
1_MACS_peak_75_lociStitched	chr1(.):4855736-4857254	0.5014
1_MACS_peak_76_lociStitched	chr1(.):4997692-4998746	0.5449
1_MACS_peak_77_lociStitched	chr1(.):6051128-6055572	1.4705
1_MACS_peak_78_lociStitched	chr1(.):6083801-6087515	1.6819
2_MACS_peak_79_lociStitched	chr1(.):6258559-6266585	0.5419
1_MACS_peak_81_lociStitched	chr1(.):6294570-6296871	1.0196
1_MACS_peak_82_lociStitched	chr1(.):6418818-6420734	0.8559
1_MACS_peak_83_lociStitched	chr1(.):6452283-6454926	1.0517
1_MACS_peak_84_lociStitched	chr1(.):6549761-6551681	1.1418
1_MACS_peak_85_lociStitched	chr1(.):6613628-6615228	0.8621
1_MACS_peak_86_lociStitched	chr1(.):6639035-6641090	1.2242
1_MACS_peak_87_lociStitched	chr1(.):6660227-6664934	2.3092
1_MACS_peak_88_lociStitched	chr1(.):6672382-6674802	1.0149
1_MACS_peak_89_lociStitched	chr1(.):6684602-6686698	1.1084
1_MACS_peak_90_lociStitched	chr1(.):6733239-6735207	0.9674
1_MACS_peak_91_lociStitched	chr1(.):6760722-6762271	1.3815
1_MACS_peak_92_lociStitched	chr1(.):6843799-6845475	2.1757
1_MACS_peak_93_lociStitched	chr1(.):6960839-6963075	0.5582
1_MACS_peak_94_lociStitched	chr1(.):6977828-6980327	1.1215
1_MACS_peak_95_lociStitched	chr1(.):7830769-7832234	0.7613
2_MACS_peak_96_lociStitched	chr1(.):8013753-8022706	0.3793
1_MACS_peak_98_lociStitched	chr1(.):8455071-8456421	0.6383
3_MACS_peak_99_lociStitched	chr1(.):8650172-8664965	0.3965
1_MACS_peak_102_lociStitched	chr1(.):8702799-8704575	0.5269
1_MACS_peak_103_lociStitched	chr1(.):8740566-8741517	0.5195
2_MACS_peak_104_lociStitched	chr1(.):8760536-8773414	0.6358
1_MACS_peak_106_lociStitched	chr1(.):8875982-8878713	1.4995
1_MACS_peak_107_lociStitched	chr1(.):8888710-8890551	0.6403
1_MACS_peak_108_lociStitched	chr1(.):8907255-8908866	0.5204
1_MACS_peak_109_lociStitched	chr1(.):8937105-8939974	2.5682
1_MACS_peak_110_lociStitched	chr1(.):9129326-9130217	0.5518
1_MACS_peak_111_lociStitched	chr1(.):9137460-9141925	1.2162
1_MACS_peak_112_lociStitched	chr1(.):9188533-9189253	0.4816
1_MACS_peak_113_lociStitched	chr1(.):9221893-9226314	2.6106
1_MACS_peak_114_lociStitched	chr1(.):9241168-9243391	1.2019
1_MACS_peak_115_lociStitched	chr1(.):9294470-9295841	0.8325
1_MACS_peak_116_lociStitched	chr1(.):9340507-9341895	0.5881
1_MACS_peak_117_lociStitched	chr1(.):9473337-9474148	0.5344
2_MACS_peak_118_lociStitched	chr1(.):9485321-9489877	0.8432
1_MACS_peak_120_lociStitched	chr1(.):9599259-9600448	0.5836
1_MACS_peak_121_lociStitched	chr1(.):9615108-9616113	0.5695
1_MACS_peak_122_lociStitched	chr1(.):9648776-9650178	0.7793
1_MACS_peak_123_lociStitched	chr1(.):9776606-9778753	2.4184
1_MACS_peak_124_lociStitched	chr1(.):9846391-9848961	2.0864
1_MACS_peak_125_lociStitched	chr1(.):9882819-9884393	0.8638
1_MACS_peak_126_lociStitched	chr1(.):9896049-9896822	0.5718
2_MACS_peak_127_lociStitched	chr1(.):9969031-9971630	0.9053
2_MACS_peak_129_lociStitched	chr1(.):10002332-10011778	0.5167
1_MACS_peak_131_lociStitched	chr1(.):10049894-10052019	0.9384
1_MACS_peak_132_lociStitched	chr1(.):10078411-10079922	0.8924
1_MACS_peak_133_lociStitched	chr1(.):10092736-10094216	1.6942
1_MACS_peak_134_lociStitched	chr1(.):10227976-10232114	1.2985
4_MACS_peak_135_lociStitched	chr1(.):10248956-10262019	0.6569
1_MACS_peak_139_lociStitched	chr1(.):10269440-10272094	1.4655
1_MACS_peak_140_lociStitched	chr1(.):10310182-10315077	1.9944
1_MACS_peak_141_lociStitched	chr1(.):10458179-10460335	1.017
1_MACS_peak_142_lociStitched	chr1(.):10489810-10491849	1.0627
1_MACS_peak_143_lociStitched	chr1(.):10504209-10505925	0.8187
1_MACS_peak_144_lociStitched	chr1(.):10516568-10518122	1.021
2_MACS_peak_145_lociStitched	chr1(.):10531767-10535942	0.6941
1_MACS_peak_147_lociStitched	chr1(.):10554629-10556129	0.8129
1_MACS_peak_148_lociStitched	chr1(.):10998755-11001348	1.3396
1_MACS_peak_149_lociStitched	chr1(.):11039392-11040514	0.4828
1_MACS_peak_150_lociStitched	chr1(.):11071729-11073761	2.8966
1_MACS_peak_151_lociStitched	chr1(.):11118802-11121436	0.9848
1_MACS_peak_152_lociStitched	chr1(.):11158874-11160645	1.2758
1_MACS_peak_153_lociStitched	chr1(.):11286404-11288463	0.5963
1_MACS_peak_154_lociStitched	chr1(.):11321780-11322968	0.7923
1_MACS_peak_155_lociStitched	chr1(.):11333172-11334299	3.1878
1_MACS_peak_156_lociStitched	chr1(.):11538571-11539892	1.7543
1_MACS_peak_157_lociStitched	chr1(.):11622771-11632851	2.225
2_MACS_peak_158_lociStitched	chr1(.):11709835-11714916	0.4084
1_MACS_peak_160_lociStitched	chr1(.):11723693-11725197	0.5528
1_MACS_peak_161_lociStitched	chr1(.):11740240-11742092	0.9372
