REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8.jin.bam	enhancerRank	isSuperStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuperStretch
14_MACS_peak_16823_lociStitched	chr6	7895641	7914718	14	16558	55561.7625	1	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.7383	1	1
7_MACS_peak_12683_lociStitched	chr21	44838127	44848634	7	10230	88402.7459	2	1	SIK1	C21orf125,C21orf84	SIK1	SIK1	5.0143	2	1
11_MACS_peak_16008_lociStitched	chr5	88168404	88186677	11	16660	50400.5886	3	1	MEF2C	MEF2C	MEF2C	MEF2C	0.5644	3	1
2_MACS_peak_3232_lociStitched	chr11	65183818	65196205	2	12370	69108.3117	4	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	4.8944	4	1
1_MACS_peak_19659_lociStitched	chr8	126441053	126450795	1	9743	79704.173	5	1	TRIB1		TRIB1	TRIB1	4.516	5	1
4_MACS_peak_14277_lociStitched	chr3	141096794	141112023	4	14527	43836.6765	6	1	ZBTB38		ZBTB38	ZBTB38	1.0663	6	1
2_MACS_peak_3242_lociStitched	chr11	65263643	65274806	2	11164	61982.5575	7	1	MALAT1	SCYL1	MALAT1	MALAT1	3.5057	7	1
2_MACS_peak_20637_lociStitched	chr9	134542825	134555305	2	12471	47924.448	8	1	RAPGEF1		RAPGEF1	RAPGEF1	0.9058	8	1
4_MACS_peak_11604_lociStitched	chr2	201980253	201992964	4	12547	39156.2355	9	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.9476	9	1
9_MACS_peak_6725_lociStitched	chr15	81583866	81597125	9	12181	26634.6792	10	1	IL16	STARD5	IL16	STARD5	0.6944	10	1
7_MACS_peak_8670_lociStitched	chr17	74257854	74269218	7	10495	41087.6784	11	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	2.6673	11	1
5_MACS_peak_5823_lociStitched	chr14	91832691	91844493	5	11569	30544.7562	12	1	CCDC88C		CCDC88C	CCDC88C	0.7207	12	1
2_MACS_peak_7133_lociStitched	chr16	11827506	11837668	2	9975	40860.3858	13	1	TXNDC11		TXNDC11	TXNDC11	1.2639	13	1
