REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8.jin.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isSuper
7_MACS_peak_12683_lociStitched	chr21	44838127	44848634	7	10230	88402.7459	1	1	SIK1	C21orf125,C21orf84	SIK1	1	1
1_MACS_peak_19659_lociStitched	chr8	126441053	126450795	1	9743	79704.173	2	1	TRIB1		TRIB1	2	1
2_MACS_peak_3232_lociStitched	chr11	65183818	65196205	2	12370	69108.3117	3	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	3	1
2_MACS_peak_3242_lociStitched	chr11	65263643	65274806	2	11164	61982.5575	4	1	MALAT1	SCYL1	MALAT1	4	1
14_MACS_peak_16823_lociStitched	chr6	7895641	7914718	14	16558	55561.7625	5	1	MUTED-TXNDC5,TXNDC5		TXNDC5	5	1
11_MACS_peak_16008_lociStitched	chr5	88168404	88186677	11	16660	50400.5886	6	1	MEF2C	MEF2C	MEF2C	6	1
1_MACS_peak_12676_lociStitched	chr21	44772023	44776770	1	4748	49355.0337	7	1			SIK1	7	1
2_MACS_peak_20637_lociStitched	chr9	134542825	134555305	2	12471	47924.448	8	1	RAPGEF1		RAPGEF1	8	1
1_MACS_peak_18759_lociStitched	chr7	104650616	104656560	1	5945	47175.7448	9	1	MLL5,LOC100216545		LOC100216545	9	1
1_MACS_peak_6564_lociStitched	chr15	72765353	72768418	1	3066	46884.3855	10	1	ARIH1		ARIH1	10	1
1_MACS_peak_6885_lociStitched	chr15	93425033	93428665	1	3633	45877.9712	11	1	LOC100507217	CHD2,MIR3175	LOC100507217	11	1
4_MACS_peak_14277_lociStitched	chr3	141096794	141112023	4	14527	43836.6765	12	1	ZBTB38		ZBTB38	12	1
1_MACS_peak_12858_lociStitched	chr22	23229584	23238663	1	9080	43684.5164	13	1	IGLL5		IGLL5	13	1
1_MACS_peak_16040_lociStitched	chr5	90674854	90680221	1	5368	41330.7303	14	1	LOC100129716,ARRDC3		LOC100129716	14	1
7_MACS_peak_8670_lociStitched	chr17	74257854	74269218	7	10495	41087.6784	15	1	FAM100B	RNF157,QRICH2	FAM100B	15	1
2_MACS_peak_7133_lociStitched	chr16	11827506	11837668	2	9975	40860.3858	16	1	TXNDC11		TXNDC11	16	1
2_MACS_peak_6821_lociStitched	chr15	89177648	89185145	2	7489	40535.5293	17	1	ISG20	MIR1179,MIR7-2,AEN	ISG20	17	1
4_MACS_peak_11604_lociStitched	chr2	201980253	201992964	4	12547	39156.2355	18	1	CFLAR	NDUFB3,FAM126B	CFLAR	18	1
1_MACS_peak_9676_lociStitched	chr19	18389722	18393756	1	4035	38253.2118	19	1	MIR3188,JUND	PDE4C,LOC729966,KIAA1683,LSM4	JUND	19	1
2_MACS_peak_18887_lociStitched	chr7	130789577	130796243	2	6660	38087.5242	20	1	MKLN1,FLJ43663		FLJ43663	20	1
3_MACS_peak_12721_lociStitched	chr21	45572791	45581537	3	8405	38084.457	21	1		PWP2,C21orf33	C21orf33	21	1
1_MACS_peak_16594_lociStitched	chr5	172196384	172200107	1	3724	36869.9859	22	1	DUSP1		DUSP1	22	1
1_MACS_peak_14444_lociStitched	chr3	171756927	171760225	1	3299	35918.518	23	1	FNDC3B		FNDC3B	23	1
1_MACS_peak_14281_lociStitched	chr3	141117971	141126472	1	8502	35746.705	24	1	ZBTB38		ZBTB38	24	1
1_MACS_peak_11346_lociStitched	chr2	158295432	158301643	1	6212	35569.7759	25	1	CYTIP		CYTIP	25	1
1_MACS_peak_20126_lociStitched	chr9	66454645	66459384	1	4740	35106.512	26	1		LOC442421	LOC442421	26	1
4_MACS_peak_4086_lociStitched	chr12	26269862	26280297	4	9412	34846.639	27	1	BHLHE41		BHLHE41	27	1
2_MACS_peak_20200_lociStitched	chr9	74976893	74981229	2	4228	34457.3248	28	1	ZFAND5		ZFAND5	28	1
