REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM8.jin.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
11_MACS_peak_16008_lociStitched	chr5	88168404	88186677	11	16660	50400.5886	1	1	MEF2C	MEF2C	MEF2C	MEF2C	0.5644	1	1
14_MACS_peak_16823_lociStitched	chr6	7895641	7914718	14	16558	55561.7625	2	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	1.7383	2	1
4_MACS_peak_14277_lociStitched	chr3	141096794	141112023	4	14527	43836.6765	3	1	ZBTB38		ZBTB38	ZBTB38	1.0663	3	1
4_MACS_peak_11604_lociStitched	chr2	201980253	201992964	4	12547	39156.2355	4	1	CFLAR	NDUFB3,FAM126B	CFLAR	CFLAR	0.9476	4	1
2_MACS_peak_20637_lociStitched	chr9	134542825	134555305	2	12471	47924.448	5	1	RAPGEF1		RAPGEF1	RAPGEF1	0.9058	5	1
2_MACS_peak_3232_lociStitched	chr11	65183818	65196205	2	12370	69108.3117	6	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	4.8944	6	1
9_MACS_peak_6725_lociStitched	chr15	81583866	81597125	9	12181	26634.6792	7	1	IL16	STARD5	IL16	STARD5	0.6944	7	1
5_MACS_peak_5823_lociStitched	chr14	91832691	91844493	5	11569	30544.7562	8	1	CCDC88C		CCDC88C	CCDC88C	0.7207	8	1
2_MACS_peak_3242_lociStitched	chr11	65263643	65274806	2	11164	61982.5575	9	1	MALAT1	SCYL1	MALAT1	MALAT1	3.5057	9	1
7_MACS_peak_8670_lociStitched	chr17	74257854	74269218	7	10495	41087.6784	10	1	FAM100B	RNF157,QRICH2	FAM100B	FAM100B	2.6673	10	1
2_MACS_peak_13385_lociStitched	chr3	13049942	13060254	2	10270	30064.636	11	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.4147	11	1
7_MACS_peak_12683_lociStitched	chr21	44838127	44848634	7	10230	88402.7459	12	1	SIK1	C21orf125,C21orf84	SIK1	SIK1	5.0143	12	1
2_MACS_peak_7133_lociStitched	chr16	11827506	11837668	2	9975	40860.3858	13	1	TXNDC11		TXNDC11	TXNDC11	1.2639	13	1
1_MACS_peak_19659_lociStitched	chr8	126441053	126450795	1	9743	79704.173	14	1	TRIB1		TRIB1	TRIB1	4.516	14	1
4_MACS_peak_4086_lociStitched	chr12	26269862	26280297	4	9412	34846.639	15	1	BHLHE41		BHLHE41	BHLHE41	2.4305	15	1
6_MACS_peak_6005_lociStitched	chr14	106036608	106046257	6	9291	21586.7428	16	1		TMEM121	TMEM121	TMEM121	0.0584	16	1
1_MACS_peak_12858_lociStitched	chr22	23229584	23238663	1	9080	43684.5164	17	1	IGLL5		IGLL5	IGLL5	3.0577	17	1
5_MACS_peak_18155_lociStitched	chr7	8006930	8016479	5	8769	33058.638	18	1	GLCCI1		GLCCI1	GLCCI1	0.414	18	1
1_MACS_peak_14281_lociStitched	chr3	141117971	141126472	1	8502	35746.705	19	1	ZBTB38		ZBTB38	ZBTB38	1.0663	19	1
2_MACS_peak_17579_lociStitched	chr6	106532428	106540912	2	8480	23940.9996	20	1	PRDM1	PRDM1	PRDM1	PRDM1	1.2509	20	1
3_MACS_peak_12721_lociStitched	chr21	45572791	45581537	3	8405	38084.457	21	1		PWP2,C21orf33	C21orf33	C21orf33	1.1748	21	1
4_MACS_peak_2093_lociStitched	chr10	22603955	22612601	4	8263	26423.0406	22	1	COMMD3,BMI1	SPAG6	BMI1	BMI1	1.7086	22	1
2_MACS_peak_9106_lociStitched	chr18	60822352	60830506	2	8144	22672.197	23	1	BCL2		BCL2	BCL2	0.4714	23	1
3_MACS_peak_12863_lociStitched	chr22	23270380	23278854	3	8126	25481.318	24	1		IGLL5	IGLL5	IGLL5	3.0577	24	1
4_MACS_peak_18921_lociStitched	chr7	137664938	137673649	4	8061	19757.4191	25	1	CREB3L2		CREB3L2	CREB3L2	0.4493	25	1
2_MACS_peak_3666_lociStitched	chr11	111236975	111245394	2	7926	21748.8027	26	1	POU2AF1		POU2AF1	POU2AF1	1.6825	26	1
4_MACS_peak_7120_lociStitched	chr16	11771313	11779175	4	7654	20429.407	27	1	SNN,TXNDC11		SNN	SNN	1.2995	27	1
5_MACS_peak_12659_lociStitched	chr21	44579969	44587760	5	7505	25231.1535	28	1		CRYAA	CRYAA	CRYAA	1.8793	28	1
4_MACS_peak_6845_lociStitched	chr15	90638637	90646494	4	7493	20512.2699	29	1	IDH2		IDH2	IDH2	0.9395	29	1
2_MACS_peak_6821_lociStitched	chr15	89177648	89185145	2	7489	40535.5293	30	1	ISG20	MIR1179,MIR7-2,AEN	ISG20	ISG20	1.7364	30	1
5_MACS_peak_15999_lociStitched	chr5	88116059	88123462	5	7283	15427.852	31	1	MEF2C		MEF2C	MEF2C	0.5644	31	1
3_MACS_peak_6002_lociStitched	chr14	106028663	106036024	3	7250	14652.0705	32	1		TMEM121	TMEM121	TMEM121	0.0584	32	1
