GENE_ID	locusLine	bin_1_25_0F2B_0229Kronos_MM1S-KB-3hr-1_H3K27me3_hs-dm_i07.bam
NM_199454	chr1(.):2980741-3360185	1.5387
NM_015215	chr1(.):6840383-7834766	0.6799
NM_001033581	chr1(.):2000085-2121834	1.1924
NM_012405	chr1(.):6276252-6301044	0.2671
NM_017891	chr1(.):1012197-1056736	0.4977
NM_001033582	chr1(.):2031154-2121834	1.11
NM_002744	chr1(.):1976908-2121834	1.2093
NM_017449	chr1(.):23032330-23246823	1.1556
NR_002188	chr1(.):155178615-155202325	0.1835
NM_017900	chr1(.):1304109-1315818	0.1224
NM_001014980	chr1(.):1172832-1187102	1.7219
NM_003820	chr1(.):2482804-2500267	0.4494
NM_003036	chr1(.):2155133-2246652	0.1751
NM_152492	chr1(.):3663964-3693209	1.3667
NM_001409	chr1(.):3399505-3533059	2.0256
NM_007274	chr1(.):6319331-6458826	0.1008
NM_001042663	chr1(.):6521151-6562484	1.4956
NM_181864	chr1(.):6319331-6450883	0.0947
NM_198681	chr1(.):6521151-6585069	1.3892
NM_001079843	chr1(.):10691665-10861707	1.8313
NM_017766	chr1(.):10702269-10861707	1.9074
NM_004958	chr1(.):11161587-11327608	0.0477
NM_020350	chr1(.):11791141-11815828	0.12
NM_007365	chr1(.):17388255-17450948	1.3375
NM_013358	chr1(.):17526620-17577501	1.2543
NR_026567	chr1(.):17012712-17051652	3.6866
NM_018125	chr1(.):17861329-18029370	1.2386
NM_001011722	chr1(.):17902047-18029370	1.272
NM_013945	chr1(.):18952499-19067632	1.2255
NM_001135254	chr1(.):18952499-19080360	1.1601
NR_033887	chr1(.):20681293-20760287	0.8362
NM_000478	chr1(.):21830857-21909905	1.0879
NM_005704	chr1(.):29558027-29658325	1.0353
NM_002379	chr1(.):31179123-31201432	0.5129
NR_034182	chr1(.):31186618-31204593	0.2138
NM_000831	chr1(.):37256127-37504844	0.7292
NM_004952	chr1(.):155046347-155065014	1.8548
NM_178229	chr1(.):156490196-156547396	0.1064
NM_144702	chr1(.):156885423-156907880	1.4
NM_138795	chr1(.):202096976-202118866	0.1428
NM_001017403	chr1(.):202158117-202293889	0.7411
NM_021636	chr1(.):202167904-202293889	0.6323
NM_001017404	chr1(.):202178282-202293889	0.6167
NM_015090	chr1(.):204792781-204996950	0.4451
NM_033131	chr1(.):228189751-228253961	0.749
NM_032129	chr1(.):896876-915484	0.6241
NM_152486	chr1(.):856120-884961	2.4915
NM_198317	chr1(.):890966-906099	0.2221
NR_027055	chr1(.):798450-817182	0.5611
NM_015658	chr1(.):874582-899679	0.6768
NR_026874	chr1(.):847952-859817	3.0295
NR_027693	chr1(.):905578-922473	1.7486
NM_001142467	chr1(.):929343-940552	2.0827
NM_005101	chr1(.):943846-954919	0.6498
NM_021170	chr1(.):929341-940552	2.0825
NM_198576	chr1(.):950502-996492	1.7667
NM_001130045	chr1(.):1104285-1138313	1.8799
NR_029639	chr1(.):1097483-1107578	2.7903
NM_016547	chr1(.):1147287-1172447	0.3488
NM_080605	chr1(.):1162628-1175420	0.7358
NM_153254	chr1(.):1110076-1126243	2.1168
NM_003327	chr1(.):1141705-1154512	1.5779
NM_004195	chr1(.):1133887-1147089	2.4043
NR_029834	chr1(.):1098242-1108332	2.6843
NR_029957	chr1(.):1099384-1109467	2.6018
NM_001130413	chr1(.):1212488-1232409	1.0245
NM_194458	chr1(.):1184291-1214234	0.1399
NM_001127230	chr1(.):1304110-1315562	0.1242
NM_001127229	chr1(.):1304109-1315580	0.1241
NM_002978	chr1(.):1212575-1232409	1.0287
NM_022834	chr1(.):1365902-1383262	1.4257
NM_030937	chr1(.):1316090-1339718	0.0703
NM_031921	chr1(.):1402163-1436582	0.1301
NR_015434	chr1(.):1329909-1342426	0.0742
NM_001145210	chr1(.):1348799-1361650	0.7053
NM_001146685	chr1(.):1356507-1368167	1.3421
NM_017971	chr1(.):1332275-1347693	0.0882
NM_001039211	chr1(.):1380068-1410538	0.8424
NM_080875	chr1(.):1545794-1570990	0.3286
NM_006983	chr1(.):1562559-1575030	0.4632
NM_014188	chr1(.):1472052-1515262	0.182
NR_002946	chr1(.):1563158-1575027	0.4848
NM_001114748	chr1(.):1465157-1480740	0.0697
NM_001170689	chr1(.):1546244-1570990	0.3325
NR_002946	chr1(.):1626377-1638247	0.2968
NM_002074	chr1(.):1711728-1827495	0.0546
NM_138705	chr1(.):1841265-1853733	1.0102
NM_178545	chr1(.):1844028-1855740	1.1344
NM_000815	chr1(.):1945767-1967192	2.0485
NM_001080484	chr1(.):1879751-1940276	1.2932
NM_001146310	chr1(.):2110898-2144172	1.0218
NM_182533	chr1(.):2115987-2131214	0.3922
NR_024445	chr1(.):2115481-2130024	0.3682
NM_007033	chr1(.):2318213-2341885	0.0563
NM_002617	chr1(.):2331240-2349010	0.2128
NR_024489	chr1(.):2276852-2289100	2.251
NM_024848	chr1(.):2247695-2327993	1.8401
NM_014638	chr1(.):2402753-2441964	1.4941
NM_001010926	chr1(.):2455183-2466684	1.8106
NR_026927	chr1(.):2476358-2489284	0.2742
NM_018216	chr1(.):2434974-2463035	0.5415
