GENE_ID	locusLine	bin_1_RPMI8226_jia.bam
NM_021222	chr1(.):150975972-151013189	0.6456
NM_015215	chr1(.):6840383-7834766	0.1376
NM_017891	chr1(.):1012197-1056736	0.2731
NM_006559	chr1(.):32474490-32514472	0.4661
NM_001145512	chr1(.):61542533-61933460	0.115
NM_005595	chr1(.):61542979-61933460	0.1129
NM_001145511	chr1(.):61537945-61933460	0.1187
NM_024408	chr1(.):120449175-120617276	0.3275
NR_002188	chr1(.):155178615-155202325	0.6774
NM_021642	chr1(.):161470204-161494360	0.1913
NM_002585	chr1(.):164523801-164826045	0.1495
NM_201569	chr1(.):183436505-183528328	0.3372
NM_145214	chr1(.):228576376-228599517	0.5576
NM_001167740	chr1(.):245907641-246675644	0.1161
NM_022743	chr1(.):245907641-246585714	0.1184
NM_001198993	chr1(.):1677670-1715297	1.0396
NM_023018	chr1(.):1677670-1714909	1.0482
NM_001198994	chr1(.):1677670-1716508	1.0121
NM_012102	chr1(.):8407463-8882699	0.1666
NM_001113348	chr1(.):21538739-21677034	0.3175
NM_004091	chr1(.):23827921-23862713	1.0709
NM_173065	chr1(.):24475646-24518751	0.4315
NM_001048199	chr1(.):28827454-28870708	0.5859
NR_002909	chr1(.):28827454-28842404	0.9435
NM_001195100	chr1(.):32367021-32390259	0.1292
NM_080391	chr1(.):32367021-32408988	0.5204
NR_024567	chr1(.):41149751-41162933	0.7281
NM_174964	chr1(.):44168217-44401831	0.2017
NM_003629	chr1(.):46500811-46603380	0.2677
NM_001114172	chr1(.):46500811-46603708	0.2675
NM_024763	chr1(.):67273571-67395570	0.0838
NM_207014	chr1(.):67298281-67395570	0.0951
NM_018841	chr1(.):68162148-68304155	0.1785
NM_001100910	chr1(.):120834004-120860681	0.9363
NR_034178	chr1(.):143910747-144099477	0.3575
NM_203458	chr1(.):145204110-145290912	0.7462
NM_153713	chr1(.):145472084-145504091	0.6527
NM_207168	chr1(.):150594521-150607098	0.8538
NM_020699	chr1(.):153772202-153900451	0.3302
NM_020524	chr1(.):154911558-154933567	1.4518
NM_181359	chr1(.):154372668-154445188	0.8922
NM_002249	chr1(.):154674914-154847754	0.3653
NM_004952	chr1(.):155046347-155065014	0.7896
NM_170782	chr1(.):154674914-154837338	0.3659
NM_005572	chr1(.):156079460-156112657	1.1568
NM_170708	chr1(.):156079460-156114878	1.0945
NM_005973	chr1(.):156732273-156775609	0.4609
NM_005531	chr1(.):158974681-159029945	0.3076
NM_001135050	chr1(.):159891828-159920386	0.7983
NM_052862	chr1(.):167594473-167680486	0.5648
NM_002697	chr1(.):167185065-167401582	0.2179
NR_037163	chr1(.):167185122-167401582	0.2179
NM_014412	chr1(.):174963891-174986163	1.0679
NM_014857	chr1(.):174123633-174932327	0.1324
NM_001007214	chr1(.):174963570-174986163	1.0536
NM_025191	chr1(.):184654624-184729041	0.3589
NM_144977	chr1(.):197516384-197749623	0.1561
NM_001195215	chr1(.):197468878-197749623	0.1411
NM_014935	chr1(.):204182980-204334044	0.1034
NM_001199050	chr1(.):205345505-205396214	0.1232
NM_015375	chr1(.):205106630-205185727	0.1588
NM_182663	chr1(.):206675878-206767616	0.8529
NM_144729	chr1(.):221869765-221920461	0.3962
NM_144728	chr1(.):221869765-221915802	0.1577
NM_002221	chr1(.):226814390-226931876	0.4208
NM_152486	chr1(.):856120-884961	0.2914
NM_198317	chr1(.):890966-906099	0.6141
