GENE_ID	locusLine	bin_1_MM6_jia.bam
NM_007051	chr1(.):50901934-51430936	0.0874
NM_001198993	chr1(.):1677670-1715297	0.3511
NM_023018	chr1(.):1677670-1714909	0.3514
NM_001198994	chr1(.):1677670-1716508	0.3424
NM_003820	chr1(.):2482804-2500267	0.42
NM_015291	chr1(.):15848351-15903228	0.2608
NM_001113348	chr1(.):21538739-21677034	0.1561
NM_006990	chr1(.):27727125-27821669	0.2839
NM_002379	chr1(.):31179123-31201432	0.153
NR_034182	chr1(.):31186618-31204593	0.1767
NM_001100910	chr1(.):120834004-120860681	0.3168
NR_034178	chr1(.):143910747-144099477	0.2752
NM_153713	chr1(.):145472084-145504091	0.1944
NM_207168	chr1(.):150594521-150607098	0.6523
NM_020699	chr1(.):153772202-153900451	0.1803
NM_020524	chr1(.):154911558-154933567	1.3485
NM_181359	chr1(.):154372668-154445188	0.272
NM_005973	chr1(.):156732273-156775609	0.2581
NM_005531	chr1(.):158974681-159029945	0.2791
NM_014857	chr1(.):174123633-174932327	0.1316
NM_152663	chr1(.):178689299-178894237	0.1967
NM_144977	chr1(.):197516384-197749623	0.1671
NM_001195215	chr1(.):197468878-197749623	0.1607
NM_014827	chr1(.):203759750-203828256	0.267
NM_014935	chr1(.):204182980-204334044	0.0858
NM_182663	chr1(.):206675878-206767616	0.3097
NM_182838	chr1(.):1658680-1682431	0.2888
NM_001198995	chr1(.):1677670-1695081	0.1729
NM_001010926	chr1(.):2455183-2466684	0.3924
NR_026927	chr1(.):2476358-2489284	1.0169
NM_018216	chr1(.):2434974-2463035	0.2253
NM_001195741	chr1(.):2513188-2527908	0.3043
NR_036638	chr1(.):2512898-2527908	0.2993
NM_015849	chr1(.):15797595-15822895	0.0619
NM_001229	chr1(.):15813768-15855940	0.2751
NM_032996	chr1(.):15813768-15856285	0.2733
NM_001397	chr1(.):21538739-21621982	0.1704
NM_001113347	chr1(.):21538739-21611183	0.0882
NM_001113349	chr1(.):21538739-21621766	0.1688
NM_006015	chr1(.):27017521-27113601	0.317
NM_005281	chr1(.):27714151-27727317	0.1049
NM_207397	chr1(.):27700595-27714805	0.0628
NM_006762	chr1(.):31200314-31235683	0.3123
NM_005202	chr1(.):36555843-36570850	0.0642
NM_018067	chr1(.):36616802-36651441	0.3626
NM_014408	chr1(.):36597172-36620067	0.167
NM_001198979	chr1(.):40854016-40893998	0.2252
NM_001198978	chr1(.):40835304-40893998	0.3584
NM_001198980	chr1(.):40857471-40893998	0.1855
NM_022733	chr1(.):40834377-40893998	0.3543
NM_001262	chr1(.):51429366-51445306	1.1709
NM_078626	chr1(.):51430641-51445309	1.2675
