GENE_ID	locusLine	bin_1_42_0EXU_0229Kronos_MM1S-KB-6hr-2_Input_hs_i86.bam
NM_013943	chr1(.):25066759-25175815	0.1118
NM_030806	chr1(.):184351149-184603155	0.1655
NM_001990	chr1(.):28295818-28420131	0.1167
NM_002867	chr1(.):52368627-52461436	0.1193
NM_001006605	chr1(.):93302720-93432079	0.0712
NM_001113228	chr1(.):107677628-108029475	0.0589
NM_014917	chr1(.):107677744-108029475	0.0589
NM_001010935	chr1(.):112157404-112261101	0.0626
NM_024408	chr1(.):120449175-120617276	0.1531
NM_001037675	chr1(.):144609958-144833810	0.0643
NR_002188	chr1(.):155178615-155202325	0.2025
NM_201569	chr1(.):183436505-183528328	0.1846
NM_001113348	chr1(.):21538739-21677034	0.1124
NM_004091	chr1(.):23827921-23862713	0.1502
NM_020448	chr1(.):24737244-24804473	0.1125
NM_173065	chr1(.):24475646-24518751	0.1465
NM_002379	chr1(.):31179123-31201432	0.1104
NR_034182	chr1(.):31186618-31204593	0.1061
NM_001127714	chr1(.):41970683-42389496	0.1157
NM_174964	chr1(.):44168217-44401831	0.1132
NM_148906	chr1(.):52077545-52259891	0.1236
NM_001981	chr1(.):51814934-51989995	0.113
NM_002600	chr1(.):66253855-66845262	0.1114
NM_001037341	chr1(.):66253192-66845262	0.1114
NM_001037340	chr1(.):66453389-66845262	0.1182
NM_018841	chr1(.):68162148-68304155	0.1047
NM_001081976	chr1(.):112020969-112111597	0.0598
NM_198459	chr1(.):115122195-115217732	0.0583
NM_001100910	chr1(.):120834004-120860681	0.1482
NR_034178	chr1(.):143910747-144099477	0.2057
NM_203458	chr1(.):145204110-145290912	0.3975
NM_001195260	chr1(.):144946760-145002111	0.2949
NM_153713	chr1(.):145472084-145504091	0.1924
NM_022359	chr1(.):144946760-145081186	0.343
NM_001002812	chr1(.):144885590-145000022	0.2728
NM_014644	chr1(.):144846426-145000022	0.2563
NM_001195261	chr1(.):144946760-145000082	0.2914
NM_001198834	chr1(.):144846423-145000033	0.2563
NM_001002810	chr1(.):144946760-145000033	0.2911
NM_001198832	chr1(.):144846423-145044992	0.2876
NM_207168	chr1(.):150594521-150607098	0.2264
NM_020699	chr1(.):153772202-153900451	0.1837
NM_020524	chr1(.):154911558-154933567	0.2664
NM_181359	chr1(.):154372668-154445188	0.2032
NM_002249	chr1(.):154674914-154847754	0.1837
NM_170782	chr1(.):154674914-154837338	0.1828
NM_005572	chr1(.):156079460-156112657	0.1777
NM_005973	chr1(.):156732273-156775609	0.1837
NM_005531	chr1(.):158974681-159029945	0.1866
NM_007348	chr1(.):161731083-161933852	0.1719
NM_014412	chr1(.):174963891-174986163	0.2168
NM_014857	chr1(.):174123633-174932327	0.1502
NM_001035230	chr1(.):174839683-174932327	0.1562
NM_001007214	chr1(.):174963570-174986163	0.2154
NM_015149	chr1(.):183600207-183902666	0.177
NM_017673	chr1(.):185121290-185265913	0.1555
NM_001105518	chr1(.):185121191-185265913	0.1555
NM_025191	chr1(.):184654624-184729041	0.1764
NM_144977	chr1(.):197516384-197749623	0.1674
NM_001195215	chr1(.):197468878-197749623	0.1665
NM_014875	chr1(.):200515624-200594862	0.1566
NM_015375	chr1(.):205106630-205185727	0.1603
NM_182663	chr1(.):206675878-206767616	0.1927
NM_001193338	chr1(.):207071630-207100235	0.2191
NM_005449	chr1(.):207071630-207100378	0.2188
NM_006147	chr1(.):209956261-209984479	0.1893
NM_006243	chr1(.):212453878-212540205	0.1602
NM_001143962	chr1(.):223709971-223858436	0.0859
NM_002221	chr1(.):226814390-226931876	0.1873
NM_004481	chr1(.):230197955-230422875	0.1729
NM_003431	chr1(.):247314202-247340318	0.1509
NM_014675	chr1(.):17243444-17304474	0.1299
NM_001397	chr1(.):21538739-21621982	0.1157
NM_001113347	chr1(.):21538739-21611183	0.1093
NM_001113349	chr1(.):21538739-21621766	0.1152
NM_017707	chr1(.):23750055-23815750	0.1016
NM_002167	chr1(.):23879408-23891322	0.1491
NR_027042	chr1(.):23948823-23972056	0.1271
NM_021258	chr1(.):24441260-24474611	0.1177
NR_027087	chr1(.):24521729-24543180	0.1395
NM_001199013	chr1(.):24678488-24745262	0.1302
NM_001199012	chr1(.):24678488-24746587	0.1293
NM_015627	chr1(.):25865075-25900377	0.1398
NM_017837	chr1(.):27109485-27129887	0.1469
NM_006015	chr1(.):27017521-27113601	0.1426
NM_018066	chr1(.):27200872-27221869	0.1217
NM_032283	chr1(.):27148200-27187211	0.1289
NM_006142	chr1(.):27184632-27195947	0.1427
NM_014280	chr1(.):28521789-28564542	0.1223
NM_016311	chr1(.):28557610-28569611	0.1386
NM_001164721	chr1(.):28468676-28525447	0.1169
NM_001164722	chr1(.):28468676-28525437	0.1169
NM_031459	chr1(.):28581005-28614002	0.1146
NM_006762	chr1(.):31200314-31235683	0.1719
NM_005202	chr1(.):36555843-36570850	0.0902
NM_018067	chr1(.):36616802-36651441	0.1165
NM_014408	chr1(.):36597172-36620067	0.1385
NM_022756	chr1(.):37953175-37985364	0.1092
NM_025079	chr1(.):37935118-37954978	0.1518
NR_002983	chr1(.):40028045-40038182	0.188
NR_003929	chr1(.):39982951-40030370	0.1181
NM_001135653	chr1(.):40021484-40047521	0.1717
NM_001198979	chr1(.):40854016-40893998	0.131
NM_001198978	chr1(.):40835304-40893998	0.1407
NM_001198980	chr1(.):40857471-40893998	0.1231
NM_022733	chr1(.):40834377-40893998	0.1404
NM_006004	chr1(.):46764379-46787447	0.1284
NM_006369	chr1(.):46739071-46774038	0.1315
NM_199044	chr1(.):46801389-46835690	0.1107
NM_001037339	chr1(.):66792792-66845262	0.1544
NM_001001933	chr1(.):75589118-75632218	0.1065
NM_006769	chr1(.):87789150-87819607	0.1228
NM_004974	chr1(.):111140775-111153345	0.0577
NM_002232	chr1(.):111209309-111222655	0.0752
NM_001025199	chr1(.):111767332-111791062	0.0595
NM_001025197	chr1(.):111765280-111791062	0.0582
NM_024901	chr1(.):111724800-111748281	0.0599
NR_034126	chr1(.):112136628-112155940	0.0797
NM_007158	chr1(.):115254536-115305624	0.0682
NM_002524	chr1(.):115242077-115264515	0.0809
NM_001172626	chr1(.):115210719-115243239	0.0804
NM_001130523	chr1(.):115254537-115305671	0.0682
NM_017709	chr1(.):118143603-118176011	0.1194
NM_207418	chr1(.):143891451-143918143	0.1992
NR_037182	chr1(.):144671436-144685025	0.158
NM_001002811	chr1(.):144885590-144937032	0.2583
NM_032305	chr1(.):145451235-145475387	0.2394
NM_202004	chr1(.):145408190-145422545	0.1667
NM_006472	chr1(.):145433461-145447628	0.2558
NM_001039888	chr1(.):145465507-145480647	0.2476
NM_005105	chr1(.):145502637-145516444	0.2364
NM_001161334	chr1(.):149749244-149788928	0.1501
NM_001034077	chr1(.):149799220-149809616	0.2341
NM_001005464	chr1(.):149807258-149817765	0.2637
NM_001040874	chr1(.):149808784-149819318	0.2643
NM_001123375	chr1(.):149779779-149790236	0.196
NM_000566	chr1(.):149749249-149769074	0.1321
NM_005850	chr1(.):149890210-149904702	0.2176
NM_016074	chr1(.):149866154-149877348	0.1924
NM_003528	chr1(.):149851009-149863232	0.2688
NM_003517	chr1(.):149853524-149863961	0.2826
NM_175065	chr1(.):149854018-149864466	0.2758
NM_014849	chr1(.):149869871-149894434	0.166
NM_181873	chr1(.):149895542-149913266	0.213
NM_001145862	chr1(.):149895542-149913791	0.2106
NR_036461	chr1(.):149816758-149827340	0.2466
NM_001040874	chr1(.):149817627-149828161	0.2515
NM_001005464	chr1(.):149819180-149829687	0.2484
NM_001034077	chr1(.):149827329-149837725	0.2042
NM_016274	chr1(.):150117169-150136825	0.205
NM_019032	chr1(.):150516897-150538412	0.2211
NM_207046	chr1(.):150589598-150606609	0.2182
NR_036211	chr1(.):150519404-150529490	0.1523
NM_001197320	chr1(.):150542026-150557214	0.2304
NM_053055	chr1(.):151841059-151887113	0.1668
NM_005620	chr1(.):151999981-152014511	0.2808
NM_002966	chr1(.):151950385-151971714	0.1853
NM_001008536	chr1(.):152051619-152066540	0.1414
NM_014437	chr1(.):153926587-153945188	0.2335
NM_130898	chr1(.):153935396-153951832	0.2487
NM_181715	chr1(.):153915151-153936043	0.2183
