GENE_ID	locusLine	bin_1_MM5.jin.bam
1_MACS_peak_1_lociStitched	chr1(.):28370-29952	3.5417
1_MACS_peak_2_lociStitched	chr1(.):235482-235850	0.9907
1_MACS_peak_3_lociStitched	chr1(.):713210-715322	3.2387
1_MACS_peak_4_lociStitched	chr1(.):761965-763621	2.3353
2_MACS_peak_5_lociStitched	chr1(.):877218-881412	1.3659
2_MACS_peak_7_lociStitched	chr1(.):893691-896690	1.7548
1_MACS_peak_9_lociStitched	chr1(.):901151-902521	1.6913
1_MACS_peak_10_lociStitched	chr1(.):948563-949691	1.3542
2_MACS_peak_11_lociStitched	chr1(.):954476-956048	1.2272
1_MACS_peak_13_lociStitched	chr1(.):967984-968590	1.1735
1_MACS_peak_14_lociStitched	chr1(.):1003925-1004882	1.2918
1_MACS_peak_15_lociStitched	chr1(.):1014870-1015217	0.6624
1_MACS_peak_16_lociStitched	chr1(.):1050714-1051600	1.5587
1_MACS_peak_17_lociStitched	chr1(.):1071886-1073455	1.0717
1_MACS_peak_18_lociStitched	chr1(.):1079093-1080730	2.0318
1_MACS_peak_19_lociStitched	chr1(.):1092759-1094114	4.5703
1_MACS_peak_20_lociStitched	chr1(.):1143609-1143957	0.8514
2_MACS_peak_21_lociStitched	chr1(.):1166161-1168169	2.1048
2_MACS_peak_23_lociStitched	chr1(.):1185325-1185839	0.7691
2_MACS_peak_25_lociStitched	chr1(.):1206283-1210137	1.4855
2_MACS_peak_27_lociStitched	chr1(.):1240076-1244836	1.1914
2_MACS_peak_29_lociStitched	chr1(.):1259084-1262056	1.6832
1_MACS_peak_31_lociStitched	chr1(.):1265609-1267463	2.2671
2_MACS_peak_32_lociStitched	chr1(.):1283279-1286702	1.1475
1_MACS_peak_34_lociStitched	chr1(.):1309606-1311715	3.598
1_MACS_peak_35_lociStitched	chr1(.):1333718-1336042	2.3138
2_MACS_peak_36_lociStitched	chr1(.):1341691-1347895	1.0002
1_MACS_peak_38_lociStitched	chr1(.):1352800-1353290	1.0183
1_MACS_peak_39_lociStitched	chr1(.):1397553-1398114	0.7959
2_MACS_peak_40_lociStitched	chr1(.):1406730-1408083	0.9068
1_MACS_peak_42_lociStitched	chr1(.):1440284-1441591	1.4036
1_MACS_peak_43_lociStitched	chr1(.):1446536-1448473	2.1826
1_MACS_peak_44_lociStitched	chr1(.):1508946-1511123	6.3201
1_MACS_peak_45_lociStitched	chr1(.):1550351-1552135	4.7927
2_MACS_peak_46_lociStitched	chr1(.):1564395-1567419	1.1224
1_MACS_peak_48_lociStitched	chr1(.):1589617-1591608	3.5773
3_MACS_peak_49_lociStitched	chr1(.):1606671-1610884	1.2667
1_MACS_peak_52_lociStitched	chr1(.):1622695-1625506	4.5462
2_MACS_peak_53_lociStitched	chr1(.):1654950-1660835	1.1837
1_MACS_peak_55_lociStitched	chr1(.):1668888-1670772	1.1677
1_MACS_peak_56_lociStitched	chr1(.):1676034-1678708	3.698
1_MACS_peak_57_lociStitched	chr1(.):1709065-1715053	2.3952
3_MACS_peak_58_lociStitched	chr1(.):1772006-1775127	0.609
1_MACS_peak_61_lociStitched	chr1(.):1821202-1823722	2.8502
3_MACS_peak_62_lociStitched	chr1(.):1838125-1841270	1.344
2_MACS_peak_65_lociStitched	chr1(.):1849946-1851537	1.0284
1_MACS_peak_67_lociStitched	chr1(.):1980929-1982908	1.8746
2_MACS_peak_68_lociStitched	chr1(.):2043649-2044488	0.7554
2_MACS_peak_70_lociStitched	chr1(.):2064065-2065494	0.9962
2_MACS_peak_72_lociStitched	chr1(.):2120659-2121688	1.0067
3_MACS_peak_74_lociStitched	chr1(.):2125482-2131388	1.3543
2_MACS_peak_77_lociStitched	chr1(.):2135807-2137291	0.8657
2_MACS_peak_79_lociStitched	chr1(.):2157951-2160727	3.3878
1_MACS_peak_81_lociStitched	chr1(.):2165374-2166242	0.9041
1_MACS_peak_82_lociStitched	chr1(.):2186141-2188569	3.6205
1_MACS_peak_83_lociStitched	chr1(.):2221133-2223003	1.0921
1_MACS_peak_84_lociStitched	chr1(.):2230443-2234053	3.2683
2_MACS_peak_85_lociStitched	chr1(.):2242698-2247432	2.2421
2_MACS_peak_87_lociStitched	chr1(.):2322335-2324493	2.3414
3_MACS_peak_89_lociStitched	chr1(.):2343199-2345987	1.7308
1_MACS_peak_92_lociStitched	chr1(.):2456865-2458540	1.3893
4_MACS_peak_93_lociStitched	chr1(.):2471841-2481770	1.6763
1_MACS_peak_97_lociStitched	chr1(.):2486468-2489312	2.0517
1_MACS_peak_98_lociStitched	chr1(.):2508789-2510391	1.3311
1_MACS_peak_99_lociStitched	chr1(.):2516661-2519198	1.9127
1_MACS_peak_100_lociStitched	chr1(.):2573509-2575021	3.7697
1_MACS_peak_101_lociStitched	chr1(.):3370366-3371846	1.0818
1_MACS_peak_102_lociStitched	chr1(.):3540384-3542502	2.5958
1_MACS_peak_103_lociStitched	chr1(.):3565877-3566627	1.3628
2_MACS_peak_104_lociStitched	chr1(.):3580681-3584182	1.4558
1_MACS_peak_106_lociStitched	chr1(.):3589139-3590102	1.081
1_MACS_peak_107_lociStitched	chr1(.):3663494-3664131	1.0291
2_MACS_peak_108_lociStitched	chr1(.):3688547-3690010	1.9457
1_MACS_peak_110_lociStitched	chr1(.):3712159-3713144	1.3376
1_MACS_peak_111_lociStitched	chr1(.):3772969-3774948	1.8176
1_MACS_peak_112_lociStitched	chr1(.):3815914-3818191	3.5174
2_MACS_peak_113_lociStitched	chr1(.):4066628-4068333	0.8302
2_MACS_peak_115_lociStitched	chr1(.):4855788-4857224	0.8053
3_MACS_peak_117_lociStitched	chr1(.):6051603-6055449	1.2163
2_MACS_peak_120_lociStitched	chr1(.):6085340-6086961	1.2311
1_MACS_peak_122_lociStitched	chr1(.):6258540-6260353	1.7907
2_MACS_peak_123_lociStitched	chr1(.):6295126-6296465	0.9579
1_MACS_peak_125_lociStitched	chr1(.):6453049-6454601	2.4218
1_MACS_peak_126_lociStitched	chr1(.):6550041-6551604	2.6632
1_MACS_peak_127_lociStitched	chr1(.):6613122-6615482	1.9214
1_MACS_peak_128_lociStitched	chr1(.):6639407-6641476	1.7869
1_MACS_peak_129_lociStitched	chr1(.):6660166-6664768	3.8315
1_MACS_peak_130_lociStitched	chr1(.):6672459-6675810	2.7134
1_MACS_peak_131_lociStitched	chr1(.):6684731-6686526	1.8269
1_MACS_peak_132_lociStitched	chr1(.):6760895-6762039	2.3445
