GENE_ID	locusLine	bin_1_44_0EXW_0229Kronos_MM1S-KB-24hr-2_Input_hs_i90.bam
NM_001990	chr1(.):28295818-28420131	0.1187
NM_001006605	chr1(.):93302720-93432079	0.0733
NM_001113228	chr1(.):107677628-108029475	0.0573
NM_014917	chr1(.):107677744-108029475	0.0572
NM_001010935	chr1(.):112157404-112261101	0.0644
NM_201569	chr1(.):183436505-183528328	0.1918
NM_002481	chr1(.):202312829-202562697	0.1773
NM_003820	chr1(.):2482804-2500267	0.0931
NR_026567	chr1(.):17012712-17051652	0.212
NM_001113348	chr1(.):21538739-21677034	0.1124
NM_004091	chr1(.):23827921-23862713	0.1366
NM_020448	chr1(.):24737244-24804473	0.1102
NM_173065	chr1(.):24475646-24518751	0.1571
NM_002379	chr1(.):31179123-31201432	0.1182
NR_034182	chr1(.):31186618-31204593	0.1224
NM_181809	chr1(.):39952317-40000541	0.129
NM_174964	chr1(.):44168217-44401831	0.113
NM_001081976	chr1(.):112020969-112111597	0.0581
NM_001195260	chr1(.):144946760-145002111	0.3122
NM_153713	chr1(.):145472084-145504091	0.1745
NM_022359	chr1(.):144946760-145081186	0.3405
NM_001002812	chr1(.):144885590-145000022	0.2844
NM_014644	chr1(.):144846426-145000022	0.2639
NM_001195261	chr1(.):144946760-145000082	0.3068
NM_001198834	chr1(.):144846423-145000033	0.2639
NM_001002810	chr1(.):144946760-145000033	0.3067
NM_001198832	chr1(.):144846423-145044992	0.2922
NM_207168	chr1(.):150594521-150607098	0.2357
NM_020524	chr1(.):154911558-154933567	0.294
NM_181359	chr1(.):154372668-154445188	0.2009
NM_002249	chr1(.):154674914-154847754	0.1766
NM_170782	chr1(.):154674914-154837338	0.1764
NM_005572	chr1(.):156079460-156112657	0.1847
NM_005973	chr1(.):156732273-156775609	0.1772
NM_012394	chr1(.):161065345-161092866	0.2004
NM_007348	chr1(.):161731083-161933852	0.1761
NM_014412	chr1(.):174963891-174986163	0.2295
NM_014857	chr1(.):174123633-174932327	0.1474
NM_001035230	chr1(.):174839683-174932327	0.1527
NM_001007214	chr1(.):174963570-174986163	0.2277
NM_145034	chr1(.):179804101-179851941	0.1725
NM_022347	chr1(.):179823164-179851941	0.2004
NM_015149	chr1(.):183600207-183902666	0.1818
NM_144977	chr1(.):197516384-197749623	0.1766
NM_001195215	chr1(.):197468878-197749623	0.1746
NM_080921	chr1(.):198603136-198731545	0.1708
NM_032103	chr1(.):202426870-202562697	0.1856
NM_014827	chr1(.):203759750-203828256	0.1769
NM_182663	chr1(.):206675878-206767616	0.2
NM_001193338	chr1(.):207071630-207100235	0.2201
NM_005449	chr1(.):207071630-207100378	0.2196
NM_006147	chr1(.):209956261-209984479	0.1761
NM_002221	chr1(.):226814390-226931876	0.1948
NM_004481	chr1(.):230197955-230422875	0.1741
NM_014765	chr1(.):235267657-235297256	0.2055
NM_032328	chr1(.):245128170-245256148	0.1447
NR_026588	chr1(.):245128630-245256148	0.1446
NR_026587	chr1(.):245128630-245293530	0.1417
NR_026586	chr1(.):245128283-245293530	0.1416
NM_001010926	chr1(.):2455183-2466684	0.0874
NR_026927	chr1(.):2476358-2489284	0.1617
NM_018216	chr1(.):2434974-2463035	0.0741
NM_001195741	chr1(.):2513188-2527908	0.0972
NR_036638	chr1(.):2512898-2527908	0.0995
NR_026752	chr1(.):16939750-16962401	0.4673
NR_027504	chr1(.):16967068-16981915	0.418
NR_002729	chr1(.):17076400-17095975	0.2517
NM_014675	chr1(.):17243444-17304474	0.1263
NM_001397	chr1(.):21538739-21621982	0.1174
NM_001113347	chr1(.):21538739-21611183	0.1035
NM_001113349	chr1(.):21538739-21621766	0.1174
NM_017707	chr1(.):23750055-23815750	0.094
NM_002167	chr1(.):23879408-23891322	0.1735
NR_027042	chr1(.):23948823-23972056	0.1354
NM_021258	chr1(.):24441260-24474611	0.0997
NR_027087	chr1(.):24521729-24543180	0.1474
NM_198174	chr1(.):24640811-24695970	0.1287
NM_198173	chr1(.):24640811-24686808	0.1343
NM_021180	chr1(.):24644529-24686808	0.1357
NM_001195010	chr1(.):24641055-24686808	0.1344
NM_001199013	chr1(.):24678488-24745262	0.132
NM_001199012	chr1(.):24678488-24746587	0.1317
NM_006015	chr1(.):27017521-27113601	0.1503
NM_006762	chr1(.):31200314-31235683	0.1869
NM_005202	chr1(.):36555843-36570850	0.0968
NM_018067	chr1(.):36616802-36651441	0.1285
NM_014408	chr1(.):36597172-36620067	0.1303
NM_022756	chr1(.):37953175-37985364	0.1076
NM_025079	chr1(.):37935118-37954978	0.167
NR_002983	chr1(.):40028045-40038182	0.1966
NR_003929	chr1(.):39982951-40030370	0.1272
NM_014571	chr1(.):40084102-40110348	0.1039
NM_001135653	chr1(.):40021484-40047521	0.1658
NM_001198979	chr1(.):40854016-40893998	0.1314
NM_001198978	chr1(.):40835304-40893998	0.1493
NM_001198980	chr1(.):40857471-40893998	0.1221
NM_022733	chr1(.):40834377-40893998	0.1488
NM_006004	chr1(.):46764379-46787447	0.1371
NM_006369	chr1(.):46739071-46774038	0.1378
NM_199044	chr1(.):46801389-46835690	0.1205
NM_015696	chr1(.):53063042-53079723	0.0957
NM_001042693	chr1(.):53094065-53127737	0.128
NM_001001933	chr1(.):75589118-75632218	0.1323
NM_004974	chr1(.):111140775-111153345	0.0525
NM_002232	chr1(.):111209309-111222655	0.0878
NR_034126	chr1(.):112136628-112155940	0.0962
NM_017709	chr1(.):118143603-118176011	0.1395
NM_001123068	chr1(.):143762143-143772881	0.1429
NR_027469	chr1(.):143713512-143749587	0.1589
NR_027468	chr1(.):143713512-143749457	0.1583
NM_001002811	chr1(.):144885590-144937032	0.2795
NM_032305	chr1(.):145451235-145475387	0.2646
NM_202004	chr1(.):145408190-145422545	0.1569
NM_006472	chr1(.):145433461-145447628	0.2967
NM_001039888	chr1(.):145465507-145480647	0.244
NM_005105	chr1(.):145502637-145516444	0.245
NR_027468	chr1(.):147901021-147936980	0.1723
NM_001161334	chr1(.):149749244-149788928	0.1577
NM_001034077	chr1(.):149799220-149809616	0.2082
NM_001005464	chr1(.):149807258-149817765	0.2802
NM_001040874	chr1(.):149808784-149819318	0.2841
NM_001123375	chr1(.):149779779-149790236	0.2088
NM_000566	chr1(.):149749249-149769074	0.1449
NM_005850	chr1(.):149890210-149904702	0.1983
NM_016074	chr1(.):149866154-149877348	0.1678
NM_003528	chr1(.):149851009-149863232	0.3242
NM_003517	chr1(.):149853524-149863961	0.349
NM_175065	chr1(.):149854018-149864466	0.3392
NM_014849	chr1(.):149869871-149894434	0.1463
NM_181873	chr1(.):149895542-149913266	0.2165
NM_001145862	chr1(.):149895542-149913791	0.2126
NR_036461	chr1(.):149816758-149827340	0.2978
NM_001040874	chr1(.):149817627-149828161	0.2879
NM_001005464	chr1(.):149819180-149829687	0.2863
NM_001034077	chr1(.):149827329-149837725	0.2333
NM_016274	chr1(.):150117169-150136825	0.2034
NM_019032	chr1(.):150516897-150538412	0.233
NM_207046	chr1(.):150589598-150606609	0.2311
NR_036211	chr1(.):150519404-150529490	0.1358
NM_001197320	chr1(.):150542026-150557214	0.2528
NM_005620	chr1(.):151999981-152014511	0.2585
NM_002966	chr1(.):151950385-151971714	0.1737
NM_001008536	chr1(.):152051619-152066540	0.1461
NM_006556	chr1(.):154892207-154914484	0.1967
NM_001130041	chr1(.):154929773-154951959	0.2763
NM_001130040	chr1(.):154929773-154948223	0.278
NM_201398	chr1(.):154950769-154970587	0.181
NM_015872	chr1(.):154970111-154995999	0.1917
NM_207196	chr1(.):155018761-155040252	0.1791
NM_001184892	chr1(.):154950769-154966488	0.1727
NM_018655	chr1(.):154961061-154971791	0.1821
NM_001143687	chr1(.):155001281-155028406	0.1794
NR_024163	chr1(.):154942117-154956725	0.3156
NM_144622	chr1(.):154986002-155011257	0.1571
NM_138300	chr1(.):154924501-154939258	0.2819
NR_036212	chr1(.):154943168-154953259	0.341
NM_006912	chr1(.):155862600-155886177	0.1562
NM_001162384	chr1(.):155911629-155953336	0.2319
NM_181885	chr1(.):155906479-155917625	0.2667
NM_004723	chr1(.):155911629-155952966	0.2325
NM_014949	chr1(.):155877835-155909188	0.1941
NR_002974	chr1(.):155884699-155894833	0.1626
NR_003005	chr1(.):155890748-155900877	0.1674
NM_003145	chr1(.):155973838-155995758	0.1956
NM_014655	chr1(.):156158729-156187587	0.2208
NM_007221	chr1(.):156177783-156214833	0.2133
NM_022367	chr1(.):156118321-156152542	0.2354
NM_001193302	chr1(.):156118368-156152542	0.2355
NM_001193301	chr1(.):156114734-156152542	0.2404
NM_005920	chr1(.):156428518-156475529	0.2193
NM_198427	chr1(.):156606739-156628264	0.1536
NM_021817	chr1(.):156584085-156600517	0.1614
NM_021948	chr1(.):156606739-156634320	0.1898
NM_004494	chr1(.):156706898-156726543	0.2457
NM_001126051	chr1(.):156706898-156727024	0.2414
NM_001126050	chr1(.):156706898-156727240	0.241
NM_030980	chr1(.):156687412-156702705	0.2139
NM_001878	chr1(.):156664407-156680375	0.1523
NM_001142560	chr1(.):156693262-156711752	0.2276
NM_145729	chr1(.):156702093-156715923	0.1994
NM_006617	chr1(.):156633555-156652189	0.1404
NM_004833	chr1(.):159027274-159051647	0.2332
NM_001778	chr1(.):160643535-160686585	0.2801
NM_003037	chr1(.):160574890-160622081	0.1804
NM_021181	chr1(.):160704076-160729601	0.253
NM_152366	chr1(.):161063180-161075138	0.1896
NM_030916	chr1(.):161035780-161064385	0.1782
NM_007122	chr1(.):161004040-161020757	0.279
NM_001113205	chr1(.):161002421-161013774	0.2085
NR_033385	chr1(.):161063150-161075138	0.1897
NM_181720	chr1(.):161011731-161044760	0.2436
NM_016946	chr1(.):160960000-160996133	0.1897
NM_001077470	chr1(.):161194455-161213000	0.2046
NM_001039711	chr1(.):161085768-161107478	0.2342
NM_016406	chr1(.):161118533-161133646	0.2093
NM_004550	chr1(.):161164104-161189184	0.2136
NM_000309	chr1(.):161131180-161146010	0.2095
NM_001643	chr1(.):161187082-161198418	0.2504
NM_001185094	chr1(.):161082907-161095984	0.2096
NM_003779	chr1(.):161136100-161152314	0.2438
NM_012475	chr1(.):161124253-161140516	0.2212
NM_001039712	chr1(.):161085768-161107256	0.2339
NM_005600	chr1(.):161082861-161095984	0.2091
NM_001185093	chr1(.):161082906-161095984	0.2096
NM_032174	chr1(.):161190832-161205407	0.2212
NM_001166159	chr1(.):161166936-161189184	0.2157
NM_005099	chr1(.):161154537-161173845	0.2312
NM_004106	chr1(.):161180086-161194038	0.1901
NM_007240	chr1(.):161714580-161731952	0.1772
NM_022100	chr1(.):174977093-174997591	0.1712
