REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM2_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isSuper
23_MACS_peak_1180_lociStitched	chr1	118147300	118244275	23	82981	77580	1	1	FAM46C		FAM46C	FAM46C	0.7148	1	1
8_MACS_peak_22524_lociStitched	chr9	134495021	134562331	8	48605	63042.546	2	1	RAPGEF1		RAPGEF1	RAPGEF1	0.6114	2	1
19_MACS_peak_6636_lociStitched	chr14	91814709	91885895	19	58808	59831.833	3	1	CCDC88C		CCDC88C	CCDC88C	0.5191	3	1
28_MACS_peak_20119_lociStitched	chr7	55551575	55643337	28	68649	57837.5886	4	1	VOPP1		VOPP1	VOPP1	0.558	4	1
14_MACS_peak_4473_lociStitched	chr11	128556440	128631533	14	55921	56507.4825	5	1	FLI1		FLI1	FLI1	0.544	5	1
7_MACS_peak_11909_lociStitched	chr2	89120620	89171140	7	41079	53632.032	6	1			ANKRD36BP2	ANKRD36BP2	0.3375	6	1
8_MACS_peak_17969_lociStitched	chr5	150431384	150478811	8	35153	48569.9907	7	1	TNIP1	GPX3,ANXA6	TNIP1	TNIP1	0.6682	7	1
8_MACS_peak_15561_lociStitched	chr3	141078794	141135918	8	49121	48418.3024	8	1	ZBTB38		ZBTB38	ZBTB38	0.4928	8	1
8_MACS_peak_17839_lociStitched	chr5	139027186	139077812	8	42007	47603.6278	9	1	CXXC5		CXXC5	CXXC5	0.9491	9	1
13_MACS_peak_17719_lociStitched	chr5	131789708	131837146	13	42139	45066.1	10	1	C5orf56,IRF1	IL5	IRF1	IRF1	1.0706	10	1
8_MACS_peak_4500_lociStitched	chr11	129278651	129320238	8	36192	43974.0938	11	1	BARX2		BARX2	BARX2	0.688	11	1
8_MACS_peak_10089_lociStitched	chr19	1239860	1276833	8	21831	43018.0855	12	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf23	STK11,EFNA2,C19orf26	MIDN	MIDN	1.3615	12	1
10_MACS_peak_17764_lociStitched	chr5	133859399	133905316	10	38000	39663.1046	13	1	PHF15		PHF15	PHF15	0.6756	13	1
10_MACS_peak_10500_lociStitched	chr19	16222474	16272275	10	41366	39283.0288	14	1	RAB8A,HSH2D,CIB3	TPM4,FAM32A,AP1M1	HSH2D	HSH2D	0.6366	14	1
3_MACS_peak_10751_lociStitched	chr19	39879844	39903956	3	18073	38846.8432	15	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	ZFP36	2.2034	15	1
9_MACS_peak_14031_lociStitched	chr22	23260003	23298940	9	34891	38722.8465	16	1		IGLL5	IGLL5	IGLL5	1.3363	16	1
10_MACS_peak_16928_lociStitched	chr5	1478593	1525033	10	33477	38285.136	17	1	LPCAT1	SLC6A3	LPCAT1	LPCAT1	0.59	17	1
4_MACS_peak_7432_lociStitched	chr15	75063135	75093642	4	28290	38060.5332	18	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	CSK	1.1163	18	1
9_MACS_peak_3707_lociStitched	chr11	65307151	65357661	9	26364	37003.626	19	1	SSSCA1,FAM89B,EHBP1L1,LTBP3	MALAT1,SCYL1,PCNXL3,SIPA1,KCNK7,MAP3K11	SSSCA1	SSSCA1	1.4478	19	1
28_MACS_peak_4100_lociStitched	chr11	87117204	87191544	28	43689	35869.05	20	1			TMEM135	TMEM135	NONE	20	1
7_MACS_peak_22532_lociStitched	chr9	134580139	134616007	7	31197	35498.5596	21	1	RAPGEF1		RAPGEF1	RAPGEF1	0.6114	21	1
5_MACS_peak_14026_lociStitched	chr22	23219978	23249404	5	27712	35458.33	22	1	IGLL5		IGLL5	IGLL5	1.3363	22	1
21_MACS_peak_13112_lociStitched	chr20	30249586	30311931	21	40904	34919.4345	23	1	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	0.5222	23	1
5_MACS_peak_10420_lociStitched	chr19	12885805	12905720	5	15499	33889.3555	24	1	JUNB,HOOK2	ASNA1,BEST2,RNASEH2A,MAST1,C19orf43,PRDX2,RTBDN	JUNB	JUNB	2.0972	24	1
7_MACS_peak_7072_lociStitched	chr15	45001629	45030188	7	21429	32899.968	25	1	B2M,TRIM69	SPG11,PATL2	B2M	B2M	1.0331	25	1
7_MACS_peak_7614_lociStitched	chr15	89164398	89201676	7	24580	32800.9122	26	1	AEN,ISG20	MIR1179,MIR7-2	ISG20	ISG20	0.8689	26	1
8_MACS_peak_9562_lociStitched	chr17	75433210	75471661	8	32200	32429.5734	27	1	SEPT9	MIR4316	SEPT9	SEPT9	0.2537	27	1
7_MACS_peak_17710_lociStitched	chr5	131741669	131774841	7	27145	32312.8452	28	1	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	0.8386	28	1
8_MACS_peak_11375_lociStitched	chr2	33699038	33742909	8	32162	32280.2818	29	1	RASGRP3		RASGRP3	RASGRP3	0.4072	29	1
7_MACS_peak_3895_lociStitched	chr11	72832585	72871804	7	29142	31696.7958	30	1	FCHSD2		FCHSD2	FCHSD2	0.3171	30	1
3_MACS_peak_10448_lociStitched	chr19	13943916	13959020	3	12603	31577.9328	31	1	LOC284454,MIR24-2,MIR23A,MIR27A	ZSWIM4,MIR181C,MIR181D,NANOS3	MIR23A	MIR23A	1.3358	31	1
7_MACS_peak_17979_lociStitched	chr5	150502800	150538160	7	32279	30915.248	32	1	ANXA6	TNIP1	ANXA6	TNIP1	0.6682	32	1
1_MACS_peak_3698_lociStitched	chr11	65183383	65199157	1	15775	30913.8852	33	1	NEAT1	FRMD8,MIR612,SLC25A45	NEAT1	NEAT1	2.0626	33	1
9_MACS_peak_15124_lociStitched	chr3	53193996	53231383	9	30990	30765.7623	34	1	PRKCD	RFT1	PRKCD	PRKCD	0.7562	34	1
8_MACS_peak_4213_lociStitched	chr11	102182985	102219684	8	23044	30544.5777	35	1	BIRC3,BIRC2		BIRC3	BIRC3	0.7612	35	1
10_MACS_peak_10851_lociStitched	chr19	44251741	44289754	10	29185	30315.3675	36	1	C19orf61,KCNN4	IRGC,ZNF283,LYPD5	C19orf61	C19orf61	0.3849	36	1
15_MACS_peak_20900_lociStitched	chr8	27217109	27267175	15	41331	30154.7518	37	1	PTK2B	TRIM35	PTK2B	PTK2B	0.3618	37	1
3_MACS_peak_1883_lociStitched	chr1	203254287	203278309	3	16708	29832.9218	38	1	BTG2,LOC730227	FMOD	LOC730227	LOC730227	0.762	38	1
4_MACS_peak_22492_lociStitched	chr9	132745573	132774227	4	25410	28866.0396	39	1	FNBP1	GPR107	FNBP1	FNBP1	0.421	39	1
9_MACS_peak_7543_lociStitched	chr15	81576388	81617382	9	32502	28232.5678	40	1	IL16,STARD5	TMC3	IL16	IL16	0.3143	40	1
9_MACS_peak_22269_lociStitched	chr9	112883315	112925284	9	33976	27863.2191	41	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.4744	41	1
2_MACS_peak_206_lociStitched	chr1	17221549	17233265	2	6713	27655.618	42	1		CROCC	CROCC	CROCC	0.083	42	1
6_MACS_peak_8667_lociStitched	chr17	7737051	7762034	6	13509	27601.2184	43	1	DNAH2,KDM6B,TMEM88,CYB5D1,LSMD1	CHD3,SCARNA21	KDM6B	KDM6B	0.9987	43	1
3_MACS_peak_4287_lociStitched	chr11	111227399	111254648	3	25605	27472.4418	44	1	POU2AF1		POU2AF1	POU2AF1	0.8232	44	1
6_MACS_peak_16917_lociStitched	chr5	1311660	1346112	6	21611	27268.758	45	1	CLPTM1L	TERT	CLPTM1L	CLPTM1L	0.7215	45	1
20_MACS_peak_975_lociStitched	chr1	93391810	93447087	20	31753	27152.0624	46	1	FAM69A		FAM69A	FAM69A	0.3263	46	1
5_MACS_peak_1530_lociStitched	chr1	156450264	156478823	5	24197	27088.2115	47	1	MEF2D		MEF2D	MEF2D	0.599	47	1
5_MACS_peak_6897_lociStitched	chr15	31630534	31661052	5	27100	26977.912	48	1	KLF13		KLF13	KLF13	0.7212	48	1
14_MACS_peak_4033_lociStitched	chr11	82678841	82721363	14	31959	26852.643	49	1	RAB30	SNORA70E	SNORA70E	SNORA70E	0.3168	49	1
5_MACS_peak_17415_lociStitched	chr5	88108943	88139036	5	25878	26632.305	50	1	MEF2C		MEF2C	MEF2C	0.4901	50	1
8_MACS_peak_608_lociStitched	chr1	40838733	40870808	8	28216	26538.855	51	1	SMAP2	ZNF643	SMAP2	SMAP2	0.5198	51	1
2_MACS_peak_10133_lociStitched	chr19	2080580	2097922	2	16872	26150.0018	52	1	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	MOBKL2A	0.868	52	1
4_MACS_peak_16002_lociStitched	chr4	35637	63233	4	18801	25920.9228	53	1	ZNF718,ZNF595		ZNF595	ZNF595	0.4366	53	1
18_MACS_peak_11970_lociStitched	chr2	99069118	99111774	18	34043	25687.4432	54	1	INPP4A		INPP4A	INPP4A	0.3293	54	1
4_MACS_peak_8715_lociStitched	chr17	16868383	16895585	4	23226	25629.7244	55	1	TNFRSF13B		TNFRSF13B	TNFRSF13B	0.368	55	1
7_MACS_peak_11897_lociStitched	chr2	89038784	89070137	7	19690	25540.1538	56	1	RPIA,ANKRD36BP2		ANKRD36BP2	ANKRD36BP2	0.3375	56	1
4_MACS_peak_6968_lociStitched	chr15	40384726	40409611	4	19367	24907.3965	57	1	BMF	BUB1B	BMF	BMF	0.8218	57	1
5_MACS_peak_4622_lociStitched	chr12	7045680	7080628	5	24492	24893.4604	58	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	0.8342	58	1
19_MACS_peak_9992_lociStitched	chr18	60842054	60902701	19	28332	24719.7172	59	1	BCL2		BCL2	BCL2	0.3711	59	1
15_MACS_peak_3126_lociStitched	chr10	125810023	125854777	15	28722	24681.831	60	1	CHST15		CHST15	CHST15	0.421	60	1
1_MACS_peak_10792_lociStitched	chr19	41800757	41816966	1	16210	24431.8257	61	1	HNRNPUL1,CCDC97	TGFB1	CCDC97	CCDC97	0.49	61	1
1_MACS_peak_12626_lociStitched	chr2	201979420	201999378	1	19959	24308.844	62	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	CFLAR	0.571	62	1
7_MACS_peak_19855_lociStitched	chr7	18534656	18571105	7	25212	24143.8176	63	1	HDAC9		HDAC9	HDAC9	0.1623	63	1
3_MACS_peak_3703_lociStitched	chr11	65255090	65276004	3	17008	24122.2076	64	1	MALAT1	MIR612,SCYL1,LTBP3	MALAT1	MALAT1	1.2402	64	1
5_MACS_peak_12749_lociStitched	chr2	219742623	219762867	5	19198	24041.7744	65	1	WNT10A	WNT6,PRKAG3	WNT10A	WNT10A	1.0489	65	1
4_MACS_peak_18262_lociStitched	chr5	180228479	180249594	4	18541	23914.849	66	1	MGAT1	LOC729678,ZFP62	MGAT1	LOC729678	0.7273	66	1
4_MACS_peak_16965_lociStitched	chr5	6476868	6497118	4	17199	23886.9	67	1	UBE2QL1		UBE2QL1	UBE2QL1	0.5776	67	1
6_MACS_peak_10125_lociStitched	chr19	2040329	2062701	6	16209	23844.0776	68	1	MKNK2	IZUMO4,BTBD2,MOBKL2A	MKNK2	MOBKL2A	0.868	68	1
4_MACS_peak_2780_lociStitched	chr10	81001314	81020044	4	15978	23697.196	69	1	ZMIZ1		PPIF	PPIF	NONE	69	1
3_MACS_peak_16254_lociStitched	chr4	40185519	40212919	3	23277	23547.56	70	1	RHOH		RHOH	RHOH	0.477	70	1
2_MACS_peak_12294_lociStitched	chr2	157188237	157200988	2	8951	23219.571	71	1	NR4A2		NR4A2	NR4A2	0.607	71	1
5_MACS_peak_14687_lociStitched	chr3	13035289	13064493	5	19508	23056.558	72	1	IQSEC1	IQSEC1	IQSEC1	IQSEC1	0.2009	72	1
15_MACS_peak_13565_lociStitched	chr20	56242239	56286480	15	21927	22828.356	73	1	PMEPA1	ZBP1	PMEPA1	ZBP1	0.4383	73	1
9_MACS_peak_11491_lociStitched	chr2	46768575	46802772	9	24053	22744.4247	74	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	RHOQ	0.501	74	1
8_MACS_peak_3909_lociStitched	chr11	72977730	73005025	8	24064	22709.44	75	1	P2RY6	P2RY2,ARHGEF17	P2RY6	P2RY6	0.6071	75	1
3_MACS_peak_23232_lociStitched	chrX	153229859	153252583	3	15175	22674.0072	76	1	TMEM187,MIR3202-1,HCFC1,MIR3202-2	ARHGAP4,NAA10,RENBP,IRAK1,MIR718	TMEM187	TMEM187	0.9645	76	1
11_MACS_peak_11883_lociStitched	chr2	88891110	88929086	11	24354	22523.5656	77	1	EIF2AK3		EIF2AK3	EIF2AK3	0.3923	77	1
5_MACS_peak_18391_lociStitched	chr6	7895668	7921710	5	23257	22375.2864	78	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	0.6012	78	1
17_MACS_peak_19004_lociStitched	chr6	52373681	52419037	17	27917	22346.9012	79	1	TRAM2		TRAM2	TRAM2	0.4718	79	1
6_MACS_peak_3680_lociStitched	chr11	64879175	64903419	6	15732	22241.4456	80	1	TM7SF2,C11orf2,MRPL49,ZNHIT2,FAU,SYVN1	ZFPL1,SPDYC,CAPN1,CDCA5	MRPL49	MRPL49	0.7696	80	1
2_MACS_peak_3626_lociStitched	chr11	62597700	62610691	2	7561	22070.4099	81	1	STX5,WDR74	TMEM179B,SLC3A2,TMEM223,NXF1,SNORD22,SNORD31,SNORD30,SNORD29,SNORD28,SNORD27,SNORD26,SNORD25,SNHG1	WDR74	WDR74	1.3257	81	1
7_MACS_peak_3651_lociStitched	chr11	63992836	64019554	7	13581	21927.4626	82	1	NUDT22,DNAJC4,VEGFB,FKBP2,PLCB3,TRPT1,PPP1R14B	STIP1,FERMT3,GPR137,KCNK4,C11orf20,BAD	FKBP2	FKBP2	0.9346	82	1
11_MACS_peak_4085_lociStitched	chr11	87062089	87096690	11	26771	21719.0477	83	1			TMEM135	TMEM135	NONE	83	1
6_MACS_peak_16831_lociStitched	chr4	185184814	185210884	6	20603	21677.205	84	1		ENPP6	ENPP6	ENPP6	0.0626	84	1
2_MACS_peak_4677_lociStitched	chr12	12865578	12879910	2	14327	21473.6356	85	1	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	CDKN1B	1.4409	85	1
8_MACS_peak_9894_lociStitched	chr18	46449030	46480196	8	19811	21464.0242	86	1	SMAD7		SMAD7	SMAD7	0.5608	86	1
1_MACS_peak_17420_lociStitched	chr5	88168294	88187015	1	18722	21456.1381	87	1	MEF2C	MEF2C	MEF2C	MEF2C	0.4901	87	1
16_MACS_peak_6807_lociStitched	chr14	106025020	106057766	16	20177	21130.9938	88	1		TMEM121	TMEM121	TMEM121	0.1012	88	1
9_MACS_peak_7712_lociStitched	chr15	101458459	101490334	9	24654	21120.375	89	1	LRRK1	ALDH1A3	LRRK1	LRRK1	0.3508	89	1
1_MACS_peak_3564_lociStitched	chr11	58340180	58347809	1	7630	20750.1171	90	1	ZFP91-CNTF,ZFP91,LPXN	CNTF	LPXN	LPXN	0.4739	90	1
9_MACS_peak_19152_lociStitched	chr6	90052574	90082955	9	21615	20501.0988	91	1	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	0.5059	91	1
4_MACS_peak_22438_lociStitched	chr9	130661334	130681089	4	14261	20355.552	92	1	ST6GALNAC6,ST6GALNAC4	ENG,AK1,PIP5KL1,DPM2,FAM102A	ST6GALNAC4	ST6GALNAC4	1.0456	92	1
2_MACS_peak_20442_lociStitched	chr7	104643560	104656374	2	7694	20353.7576	93	1	MLL5,LOC100216545		LOC100216545	LOC100216545	1.5155	93	1
7_MACS_peak_360_lociStitched	chr1	27152311	27175638	7	17191	20308.4862	94	1	ZDHHC18	PIGV,SFN,GPN2	ZDHHC18	ZDHHC18	0.6066	94	1
4_MACS_peak_7145_lociStitched	chr15	52958725	52977324	4	13829	20125.9779	95	1	KIAA1370		KIAA1370	KIAA1370	0.392	95	1
5_MACS_peak_3866_lociStitched	chr11	72523412	72550670	5	15361	20097.3234	96	1	ATG16L2,FCHSD2	STARD10	ATG16L2	ATG16L2	0.7408	96	1
1_MACS_peak_10529_lociStitched	chr19	16691299	16701417	1	10119	20095.3598	97	1	MED26	CHERP,SLC35E1	SLC35E1	SLC35E1	0.2381	97	1
