REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	MM2_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank	isStretch
23_MACS_peak_1180_lociStitched	chr1	118147300	118244275	23	82981	77580	1	1	FAM46C		FAM46C	1	1
28_MACS_peak_20119_lociStitched	chr7	55551575	55643337	28	68649	57837.5886	2	1	VOPP1		VOPP1	2	1
19_MACS_peak_6636_lociStitched	chr14	91814709	91885895	19	58808	59831.833	3	1	CCDC88C		CCDC88C	3	1
14_MACS_peak_4473_lociStitched	chr11	128556440	128631533	14	55921	56507.4825	4	1	FLI1		FLI1	4	1
8_MACS_peak_15561_lociStitched	chr3	141078794	141135918	8	49121	48418.3024	5	1	ZBTB38		ZBTB38	5	1
8_MACS_peak_22524_lociStitched	chr9	134495021	134562331	8	48605	63042.546	6	1	RAPGEF1		RAPGEF1	6	1
28_MACS_peak_4100_lociStitched	chr11	87117204	87191544	28	43689	35869.05	7	1			TMEM135	7	1
13_MACS_peak_17719_lociStitched	chr5	131789708	131837146	13	42139	45066.1	8	1	C5orf56,IRF1	IL5	IRF1	8	1
8_MACS_peak_17839_lociStitched	chr5	139027186	139077812	8	42007	47603.6278	9	1	CXXC5		CXXC5	9	1
10_MACS_peak_10500_lociStitched	chr19	16222474	16272275	10	41366	39283.0288	10	1	RAB8A,HSH2D,CIB3	TPM4,FAM32A,AP1M1	HSH2D	10	1
15_MACS_peak_20900_lociStitched	chr8	27217109	27267175	15	41331	30154.7518	11	1	PTK2B	TRIM35	PTK2B	11	1
7_MACS_peak_11909_lociStitched	chr2	89120620	89171140	7	41079	53632.032	12	1			ANKRD36BP2	12	1
21_MACS_peak_13112_lociStitched	chr20	30249586	30311931	21	40904	34919.4345	13	1	BCL2L1	COX4I2,TPX2	BCL2L1	13	1
10_MACS_peak_17764_lociStitched	chr5	133859399	133905316	10	38000	39663.1046	14	1	PHF15		PHF15	14	1
8_MACS_peak_4500_lociStitched	chr11	129278651	129320238	8	36192	43974.0938	15	1	BARX2		BARX2	15	1
8_MACS_peak_17969_lociStitched	chr5	150431384	150478811	8	35153	48569.9907	16	1	TNIP1	GPX3,ANXA6	TNIP1	16	1
9_MACS_peak_14031_lociStitched	chr22	23260003	23298940	9	34891	38722.8465	17	1		IGLL5	IGLL5	17	1
18_MACS_peak_11970_lociStitched	chr2	99069118	99111774	18	34043	25687.4432	18	1	INPP4A		INPP4A	18	1
9_MACS_peak_22269_lociStitched	chr9	112883315	112925284	9	33976	27863.2191	19	1	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	19	1
10_MACS_peak_16928_lociStitched	chr5	1478593	1525033	10	33477	38285.136	20	1	LPCAT1	SLC6A3	LPCAT1	20	1
9_MACS_peak_7543_lociStitched	chr15	81576388	81617382	9	32502	28232.5678	21	1	IL16,STARD5	TMC3	IL16	21	1
7_MACS_peak_17979_lociStitched	chr5	150502800	150538160	7	32279	30915.248	22	1	ANXA6	TNIP1	ANXA6	22	1
8_MACS_peak_9562_lociStitched	chr17	75433210	75471661	8	32200	32429.5734	23	1	SEPT9	MIR4316	SEPT9	23	1
8_MACS_peak_11375_lociStitched	chr2	33699038	33742909	8	32162	32280.2818	24	1	RASGRP3		RASGRP3	24	1
14_MACS_peak_4033_lociStitched	chr11	82678841	82721363	14	31959	26852.643	25	1	RAB30	SNORA70E	SNORA70E	25	1
20_MACS_peak_975_lociStitched	chr1	93391810	93447087	20	31753	27152.0624	26	1	FAM69A		FAM69A	26	1
7_MACS_peak_22532_lociStitched	chr9	134580139	134616007	7	31197	35498.5596	27	1	RAPGEF1		RAPGEF1	27	1
9_MACS_peak_15124_lociStitched	chr3	53193996	53231383	9	30990	30765.7623	28	1	PRKCD	RFT1	PRKCD	28	1
10_MACS_peak_10851_lociStitched	chr19	44251741	44289754	10	29185	30315.3675	29	1	C19orf61,KCNN4	IRGC,ZNF283,LYPD5	C19orf61	29	1
7_MACS_peak_3895_lociStitched	chr11	72832585	72871804	7	29142	31696.7958	30	1	FCHSD2		FCHSD2	30	1
15_MACS_peak_3126_lociStitched	chr10	125810023	125854777	15	28722	24681.831	31	1	CHST15		CHST15	31	1
19_MACS_peak_9992_lociStitched	chr18	60842054	60902701	19	28332	24719.7172	32	1	BCL2		BCL2	32	1
4_MACS_peak_7432_lociStitched	chr15	75063135	75093642	4	28290	38060.5332	33	1	CSK	CYP1A2,LMAN1L,CPLX3,CYP1A1,ULK3	CSK	33	1
8_MACS_peak_608_lociStitched	chr1	40838733	40870808	8	28216	26538.855	34	1	SMAP2	ZNF643	SMAP2	34	1
17_MACS_peak_19004_lociStitched	chr6	52373681	52419037	17	27917	22346.9012	35	1	TRAM2		TRAM2	35	1
5_MACS_peak_14026_lociStitched	chr22	23219978	23249404	5	27712	35458.33	36	1	IGLL5		IGLL5	36	1
7_MACS_peak_17710_lociStitched	chr5	131741669	131774841	7	27145	32312.8452	37	1	C5orf56	SLC22A5,MIR3936	C5orf56	37	1
5_MACS_peak_6897_lociStitched	chr15	31630534	31661052	5	27100	26977.912	38	1	KLF13		KLF13	38	1
11_MACS_peak_4085_lociStitched	chr11	87062089	87096690	11	26771	21719.0477	39	1			TMEM135	39	1
9_MACS_peak_3707_lociStitched	chr11	65307151	65357661	9	26364	37003.626	40	1	SSSCA1,FAM89B,EHBP1L1,LTBP3	MALAT1,SCYL1,PCNXL3,SIPA1,KCNK7,MAP3K11	SSSCA1	40	1
5_MACS_peak_17415_lociStitched	chr5	88108943	88139036	5	25878	26632.305	41	1	MEF2C		MEF2C	41	1
3_MACS_peak_4287_lociStitched	chr11	111227399	111254648	3	25605	27472.4418	42	1	POU2AF1		POU2AF1	42	1
4_MACS_peak_22492_lociStitched	chr9	132745573	132774227	4	25410	28866.0396	43	1	FNBP1	GPR107	FNBP1	43	1
7_MACS_peak_19855_lociStitched	chr7	18534656	18571105	7	25212	24143.8176	44	1	HDAC9		HDAC9	44	1
7_MACS_peak_11658_lociStitched	chr2	65139546	65174205	7	25032	19776.4254	45	1	LOC400958	SLC1A4	LOC400958	45	1
9_MACS_peak_7712_lociStitched	chr15	101458459	101490334	9	24654	21120.375	46	1	LRRK1	ALDH1A3	LRRK1	46	1
7_MACS_peak_7614_lociStitched	chr15	89164398	89201676	7	24580	32800.9122	47	1	AEN,ISG20	MIR1179,MIR7-2	ISG20	47	1
5_MACS_peak_4622_lociStitched	chr12	7045680	7080628	5	24492	24893.4604	48	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	48	1
11_MACS_peak_11883_lociStitched	chr2	88891110	88929086	11	24354	22523.5656	49	1	EIF2AK3		EIF2AK3	49	1
5_MACS_peak_1530_lociStitched	chr1	156450264	156478823	5	24197	27088.2115	50	1	MEF2D		MEF2D	50	1
8_MACS_peak_3909_lociStitched	chr11	72977730	73005025	8	24064	22709.44	51	1	P2RY6	P2RY2,ARHGEF17	P2RY6	51	1
9_MACS_peak_11491_lociStitched	chr2	46768575	46802772	9	24053	22744.4247	52	1	RHOQ	CRIPT,ATP6V1E2,PIGF	RHOQ	52	1
9_MACS_peak_18055_lociStitched	chr5	156952239	156982783	9	23600	19768.0768	53	1	ADAM19		ADAM19	53	1
4_MACS_peak_11262_lociStitched	chr2	20403469	20427950	4	23357	18478.2588	54	1	SDC1		SDC1	54	1
3_MACS_peak_16254_lociStitched	chr4	40185519	40212919	3	23277	23547.56	55	1	RHOH		RHOH	55	1
5_MACS_peak_18391_lociStitched	chr6	7895668	7921710	5	23257	22375.2864	56	1	MUTED-TXNDC5,TXNDC5		TXNDC5	56	1
4_MACS_peak_8715_lociStitched	chr17	16868383	16895585	4	23226	25629.7244	57	1	TNFRSF13B		TNFRSF13B	57	1
8_MACS_peak_4213_lociStitched	chr11	102182985	102219684	8	23044	30544.5777	58	1	BIRC3,BIRC2		BIRC3	58	1
9_MACS_peak_15824_lociStitched	chr3	183223631	183260159	9	22709	19045.6992	59	1	KLHL6		KLHL6	59	1
8_MACS_peak_7350_lociStitched	chr15	68478898	68503750	8	22653	18360.6576	60	1	PIAS1,CALML4,CLN6		CALML4	60	1
5_MACS_peak_20651_lociStitched	chr7	137663606	137688017	5	22645	16269.9315	61	1	CREB3L2		CREB3L2	61	1
15_MACS_peak_13565_lociStitched	chr20	56242239	56286480	15	21927	22828.356	62	1	PMEPA1	ZBP1	PMEPA1	62	1
8_MACS_peak_10089_lociStitched	chr19	1239860	1276833	8	21831	43018.0855	63	1	ATP5D,MIDN,CIRBP,C19orf24,C19orf23	STK11,EFNA2,C19orf26	MIDN	63	1
7_MACS_peak_3324_lociStitched	chr11	14323827	14348471	7	21808	18800.9076	64	1	RRAS2		RRAS2	64	1
9_MACS_peak_19152_lociStitched	chr6	90052574	90082955	9	21615	20501.0988	65	1	UBE2J1,RRAGD	GABRR2	UBE2J1	65	1
6_MACS_peak_16917_lociStitched	chr5	1311660	1346112	6	21611	27268.758	66	1	CLPTM1L	TERT	CLPTM1L	66	1
7_MACS_peak_7072_lociStitched	chr15	45001629	45030188	7	21429	32899.968	67	1	B2M,TRIM69	SPG11,PATL2	B2M	67	1
9_MACS_peak_17469_lociStitched	chr5	95242261	95276818	9	21305	17475.4749	68	1	ELL2		ELL2	68	1
4_MACS_peak_17692_lociStitched	chr5	130709606	130733263	4	20614	19886.0742	69	1	CDC42SE2		CDC42SE2	69	1
6_MACS_peak_16831_lociStitched	chr4	185184814	185210884	6	20603	21677.205	70	1		ENPP6	ENPP6	70	1
13_MACS_peak_9324_lociStitched	chr17	62151090	62184112	13	20464	15814.2358	71	1	ERN1	SNORD104,SNORA76	ERN1	71	1
5_MACS_peak_4646_lociStitched	chr12	9860388	9895764	5	20192	19725.6576	72	1	CLECL1	CLEC2D,CD69	CLECL1	72	1
16_MACS_peak_6807_lociStitched	chr14	106025020	106057766	16	20177	21130.9938	73	1		TMEM121	TMEM121	73	1
8_MACS_peak_7500_lociStitched	chr15	78343902	78381330	8	20044	18687.8004	74	1	TBC1D2B	SH2D7,CIB2	TBC1D2B	74	1
1_MACS_peak_12626_lociStitched	chr2	201979420	201999378	1	19959	24308.844	75	1	CFLAR	NDUFB3,CASP10,FAM126B	CFLAR	75	1
8_MACS_peak_9894_lociStitched	chr18	46449030	46480196	8	19811	21464.0242	76	1	SMAD7		SMAD7	76	1
4_MACS_peak_8979_lociStitched	chr17	37909192	37935510	4	19699	18501.554	77	1	IKZF3	GRB7,C17orf37	GRB7	77	1
7_MACS_peak_11897_lociStitched	chr2	89038784	89070137	7	19690	25540.1538	78	1	RPIA,ANKRD36BP2		ANKRD36BP2	78	1
5_MACS_peak_14687_lociStitched	chr3	13035289	13064493	5	19508	23056.558	79	1	IQSEC1	IQSEC1	IQSEC1	79	1
4_MACS_peak_6968_lociStitched	chr15	40384726	40409611	4	19367	24907.3965	80	1	BMF	BUB1B	BMF	80	1
5_MACS_peak_12749_lociStitched	chr2	219742623	219762867	5	19198	24041.7744	81	1	WNT10A	WNT6,PRKAG3	WNT10A	81	1
6_MACS_peak_14633_lociStitched	chr3	5223190	5247779	6	18879	20079.3774	82	1	EDEM1		EDEM1	82	1
4_MACS_peak_16002_lociStitched	chr4	35637	63233	4	18801	25920.9228	83	1	ZNF718,ZNF595		ZNF595	83	1
6_MACS_peak_19618_lociStitched	chr6	152480406	152508704	6	18797	18076.7624	84	1	SYNE1		SYNE1	84	1
5_MACS_peak_19510_lociStitched	chr6	139571345	139601556	5	18782	17999.7138	85	1	TXLNB		TXLNB	85	1
1_MACS_peak_17420_lociStitched	chr5	88168294	88187015	1	18722	21456.1381	86	1	MEF2C	MEF2C	MEF2C	86	1
4_MACS_peak_18262_lociStitched	chr5	180228479	180249594	4	18541	23914.849	87	1	MGAT1	LOC729678,ZFP62	MGAT1	87	1
14_MACS_peak_13431_lociStitched	chr20	46363580	46416252	14	18509	19773.0688	88	1	SULF2		SULF2	88	1
10_MACS_peak_20981_lociStitched	chr8	33398784	33425188	10	18490	17154.6788	89	1	RNF122	C8orf41,DUSP26	RNF122	89	1
6_MACS_peak_11868_lociStitched	chr2	87795881	87822471	6	18442	15765.211	90	1	NCRNA00152		NCRNA00152	90	1
7_MACS_peak_16180_lociStitched	chr4	25855897	25881862	7	18349	14641.6635	91	1	SEL1L3	C4orf52	SEL1L3	91	1
4_MACS_peak_1354_lociStitched	chr1	150532148	150553223	4	18294	17519.6475	92	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	92	1
5_MACS_peak_17457_lociStitched	chr5	95142489	95162601	5	18269	18800.6976	93	1	GLRX	C5orf27	GLRX	93	1
9_MACS_peak_635_lociStitched	chr1	43396755	43425126	9	18169	16267.9314	94	1	FLJ32224,SLC2A1		FLJ32224	94	1
10_MACS_peak_15739_lociStitched	chr3	171802552	171832937	10	18090	15648.275	95	1	FNDC3B		FNDC3B	95	1
3_MACS_peak_10751_lociStitched	chr19	39879844	39903956	3	18073	38846.8432	96	1	MED29,ZFP36,PLEKHG2,PAF1	SAMD4B,SUPT5H,RPS16	ZFP36	96	1
5_MACS_peak_18300_lociStitched	chr6	316040	338349	5	18029	14387.0741	97	1	DUSP22		DUSP22	97	1
5_MACS_peak_20495_lociStitched	chr7	114555973	114579026	5	17873	17381.962	98	1	MDFIC		MDFIC	98	1
1_MACS_peak_451_lociStitched	chr1	31213751	31231463	1	17713	16959.24	99	1	LAPTM5	LOC100129196,MATN1	LAPTM5	99	1
5_MACS_peak_859_lociStitched	chr1	66795333	66817002	5	17705	16128.2367	100	1	PDE4B		PDE4B	100	1
2_MACS_peak_11235_lociStitched	chr2	16830407	16848120	2	17680	16581.1393	101	1	FAM49A		FAM49A	101	1
8_MACS_peak_10167_lociStitched	chr19	2617961	2638162	8	17679	17528.4077	102	1	GNG7		GNG7	102	1
6_MACS_peak_3990_lociStitched	chr11	77416561	77438458	6	17645	13512.6387	103	1	RSF1		CLNS1A	103	1
15_MACS_peak_14294_lociStitched	chr22	37308342	37337956	15	17577	14504.9372	104	1	CSF2RB		CSF2RB	104	1
7_MACS_peak_9581_lociStitched	chr17	76711515	76736180	7	17438	13745.8045	105	1	CYTH1		CYTH1	105	1
4_MACS_peak_19204_lociStitched	chr6	106531107	106551983	4	17394	17153.8092	106	1	PRDM1		PRDM1	106	1
5_MACS_peak_3038_lociStitched	chr10	112611627	112635278	5	17224	15708.9942	107	1	PDCD4,LOC282997	SHOC2,NCRNA00081	LOC282997	107	1
4_MACS_peak_16965_lociStitched	chr5	6476868	6497118	4	17199	23886.9	108	1	UBE2QL1		UBE2QL1	108	1
7_MACS_peak_360_lociStitched	chr1	27152311	27175638	7	17191	20308.4862	109	1	ZDHHC18	PIGV,SFN,GPN2	ZDHHC18	109	1
9_MACS_peak_21474_lociStitched	chr8	126285090	126308428	9	17167	15783.4894	110	1	NSMCE2		TRIB1	110	1
