GENE	CHROM	START	STOP	ENHANCER_ID
ARF1	chr1	228268437	228272424	1_MACS_peak_2746_lociStitched
ARID3A	chr19	919601	928044	2_MACS_peak_13480_lociStitched
ARID5A	chr2	97192195	97205229	4_MACS_peak_16093_lociStitched
ARNT	chr1	150846742	150868544	6_MACS_peak_1725_lociStitched
ATF4	chr22	39910942	39929084	4_MACS_peak_19045_lociStitched
ATF5	chr19	50423657	50434346	1_MACS_peak_14832_lociStitched
ATF6	chr1	161694880	161700905	2_MACS_peak_2046_lociStitched
ATF6	chr1	161708155	161720879	3_MACS_peak_2048_lociStitched
CAMTA2	chr17	4842096	4854675	4_MACS_peak_11383_lociStitched
CEBPB	chr20	48806502	48810266	1_MACS_peak_17975_lociStitched
CHD2	chr15	93424173	93429093	1_MACS_peak_9851_lociStitched
CREB3L4	chr1	153929678	153941425	3_MACS_peak_1806_lociStitched
CREB3L4	chr1	153916526	153919968	1_MACS_peak_1805_lociStitched
CREB3L4	chr1	153893911	153897223	1_MACS_peak_1804_lociStitched
CTCF	chr16	67595313	67601212	2_MACS_peak_10866_lociStitched
CTCFL	chr20	56045721	56058392	1_MACS_peak_18086_lociStitched
CUX1	chr7	101921170	101935590	3_MACS_peak_26594_lociStitched
DEAF1	chr11	694028	697272	1_MACS_peak_4360_lociStitched
DMRTC2	chr19	42363536	42377135	2_MACS_peak_14543_lociStitched
E2F2	chr1	23850621	23858962	1_MACS_peak_459_lociStitched
E2F3	chr6	20401063	20410939	3_MACS_peak_24109_lociStitched
ETV3	chr1	157141959	157154577	1_MACS_peak_1938_lociStitched
FIZ1	chr19	56151779	56167989	3_MACS_peak_14988_lociStitched
FLI1	chr11	128585497	128609874	5_MACS_peak_5773_lociStitched
FLI1	chr11	128561822	128566523	1_MACS_peak_5772_lociStitched
FOSB	chr19	45942608	45960088	4_MACS_peak_14644_lociStitched
FOSL1	chr11	65624226	65629675	1_MACS_peak_5020_lociStitched
FOSL2	chr2	28612755	28617616	1_MACS_peak_15388_lociStitched
FOXO3	chr6	108878329	108887002	2_MACS_peak_25010_lociStitched
FOXP2	chr7	113724022	113728226	1_MACS_peak_26706_lociStitched
FOXR1	chr11	118886755	118901807	2_MACS_peak_5628_lociStitched
GFI1	chr1	92947882	92954312	1_MACS_peak_1303_lociStitched
GMEB2	chr20	62256675	62260604	1_MACS_peak_18176_lociStitched
HES1	chr3	193848486	193860653	3_MACS_peak_20952_lociStitched
HES5	chr1	2471090	2481272	2_MACS_peak_88_lociStitched
HES7	chr17	8053364	8067075	5_MACS_peak_11470_lociStitched
HINFP	chr11	118963629	118979554	3_MACS_peak_5633_lociStitched
IKZF3	chr17	38016539	38025041	1_MACS_peak_11944_lociStitched
IRF1	chr5	131790945	131814908	5_MACS_peak_23259_lociStitched
IRF2	chr4	185392297	185398166	1_MACS_peak_22283_lociStitched
IRF2	chr4	185328738	185349980	4_MACS_peak_22278_lociStitched
IRF2	chr4	185301710	185307855	2_MACS_peak_22275_lociStitched
IRF4	chr6	388979	400531	4_MACS_peak_23885_lociStitched
JUNB	chr19	12899091	12905737	1_MACS_peak_13946_lociStitched
JUND	chr19	18389972	18394093	1_MACS_peak_14152_lociStitched
KLF1	chr19	13043248	13057778	4_MACS_peak_13956_lociStitched
KLF10	chr8	103661870	103670395	2_MACS_peak_28079_lociStitched
KLF13	chr15	31546830	31562060	3_MACS_peak_8965_lociStitched
KLF13	chr15	31636879	31660304	7_MACS_peak_8969_lociStitched
KLF13	chr15	31616660	31622139	1_MACS_peak_8968_lociStitched
KLF16	chr19	1847308	1865776	4_MACS_peak_13531_lociStitched
KLF2	chr19	16474976	16484537	3_MACS_peak_14072_lociStitched
KLF6	chr10	3823251	3828703	1_MACS_peak_3032_lociStitched
KLF9	chr9	73027041	73036351	2_MACS_peak_28947_lociStitched
MAF	chr16	79629558	79641951	3_MACS_peak_11017_lociStitched
MAFF	chr22	38636818	38649041	2_MACS_peak_18975_lociStitched
MAZ	chr16	29815432	29820452	1_MACS_peak_10538_lociStitched
MEF2C	chr5	88163495	88186853	7_MACS_peak_22973_lociStitched
MEF2D	chr1	156456769	156479258	2_MACS_peak_1916_lociStitched
MNT	chr17	2294912	2306046	2_MACS_peak_11324_lociStitched
MYBL2	chr20	42307042	42313402	1_MACS_peak_17830_lociStitched
NFATC2	chr20	50027158	50034782	1_MACS_peak_18000_lociStitched
NFATC2	chr20	50015885	50022529	1_MACS_peak_17999_lociStitched
