GENE	CHROM	START	STOP	ENHANCER_ID
AIRE	chr21	45659984	45666010	2_MACS_peak_18443_lociStitched
BATF	chr14	75950761	75963858	4_MACS_peak_8180_lociStitched
BHLHE41	chr12	26265719	26280534	3_MACS_peak_5848_lociStitched
BHLHE41	chr12	26305680	26313295	2_MACS_peak_5851_lociStitched
CEBPD	chr8	48509429	48517740	2_MACS_peak_26749_lociStitched
CREB3L2	chr7	137664429	137675496	2_MACS_peak_26193_lociStitched
CREB3L2	chr7	137676273	137688031	5_MACS_peak_26195_lociStitched
DDIT3	chr12	57913084	57917511	1_MACS_peak_6238_lociStitched
ETS1	chr11	128336973	128346375	2_MACS_peak_5452_lociStitched
ETV6	chr12	11900835	11920644	6_MACS_peak_5714_lociStitched
FLI1	chr11	128585757	128607418	2_MACS_peak_5476_lociStitched
FOSL1	chr11	65624089	65629169	2_MACS_peak_4736_lociStitched
FOXH1	chr8	145732175	145735762	1_MACS_peak_27398_lociStitched
FOXO3	chr6	108878196	108882477	1_MACS_peak_24495_lociStitched
HBP1	chr7	106807862	106811402	2_MACS_peak_25965_lociStitched
HES1	chr3	193812555	193823915	3_MACS_peak_20968_lociStitched
HES1	chr3	193797800	193807961	3_MACS_peak_20964_lociStitched
HES1	chr3	193847777	193860506	9_MACS_peak_20971_lociStitched
HIVEP2	chr6	143264750	143269318	1_MACS_peak_24751_lociStitched
IKZF1	chr7	50342790	50352338	3_MACS_peak_25426_lociStitched
IKZF1	chr7	50301667	50309610	1_MACS_peak_25423_lociStitched
IRF4	chr6	388071	395225	3_MACS_peak_23297_lociStitched
IRF4	chr6	335072	342847	3_MACS_peak_23294_lociStitched
JUNB	chr19	12898759	12906212	1_MACS_peak_13810_lociStitched
KLF13	chr15	31554032	31560994	1_MACS_peak_8723_lociStitched
KLF2	chr19	16474680	16485296	3_MACS_peak_13943_lociStitched
MEF2D	chr1	156465145	156476209	4_MACS_peak_1869_lociStitched
MYBL2	chr20	42307507	42313836	1_MACS_peak_17711_lociStitched
MYBL2	chr20	42336656	42341825	1_MACS_peak_17712_lociStitched
NFE2L3	chr7	26190703	26198927	1_MACS_peak_25179_lociStitched
NFE2L3	chr7	26238841	26242718	1_MACS_peak_25182_lociStitched
NFKB2	chr10	104153093	104157012	1_MACS_peak_3650_lociStitched
OVOL1	chr11	65554360	65561345	2_MACS_peak_4731_lociStitched
PRDM1	chr6	106609261	106618188	2_MACS_peak_24472_lociStitched
PRDM1	chr6	106588507	106595922	1_MACS_peak_24470_lociStitched
PRDM1	chr6	106530622	106541510	8_MACS_peak_24452_lociStitched
PRDM10	chr11	129871127	129875104	1_MACS_peak_5481_lociStitched
RELA	chr11	65380598	65385284	1_MACS_peak_4723_lociStitched
RREB1	chr6	7140670	7148910	3_MACS_peak_23366_lociStitched
RUNX2	chr6	45386156	45394727	5_MACS_peak_24145_lociStitched
SIN3A	chr15	75742649	75748947	4_MACS_peak_9376_lociStitched
ZBTB1	chr14	64968248	64972874	1_MACS_peak_8002_lociStitched
ZBTB38	chr3	141094113	141106913	5_MACS_peak_20628_lociStitched
ZFP91	chr11	58340225	58347744	3_MACS_peak_4479_lociStitched
ZNF16	chr8	146125348	146129398	1_MACS_peak_27416_lociStitched
ZNF217	chr20	52195495	52211914	7_MACS_peak_17916_lociStitched
ZNF250	chr8	146125348	146129398	1_MACS_peak_27416_lociStitched
ZNF250	chr8	146101558	146106243	1_MACS_peak_27414_lociStitched
ZNF434	chr16	3395446	3401101	2_MACS_peak_9887_lociStitched
ZNF652	chr17	47463339	47468783	1_MACS_peak_12014_lociStitched
ZNF75A	chr16	3395446	3401101	2_MACS_peak_9887_lociStitched
ZNF775	chr7	150123534	150135652	5_MACS_peak_26332_lociStitched
ZNF775	chr7	150100482	150106294	1_MACS_peak_26331_lociStitched
ZNF775	chr7	150069421	150079560	2_MACS_peak_26328_lociStitched
ZNF775	chr7	150062701	150068861	1_MACS_peak_26327_lociStitched
