GENE	CHROM	START	STOP	ENHANCER_ID
ARID3A	chr19	923450	928516	1_MACS_peak_13954_lociStitched
ATF5	chr19	50424508	50434455	1_MACS_peak_15172_lociStitched
ATF5	chr19	50369593	50382528	4_MACS_peak_15164_lociStitched
BCL11A	chr2	60775430	60785148	1_MACS_peak_16038_lociStitched
BCL6B	chr17	6914824	6926088	3_MACS_peak_11883_lociStitched
BHLHE22	chr8	65491314	65497763	1_MACS_peak_29264_lociStitched
BHLHE40	chr3	5018427	5029475	2_MACS_peak_19630_lociStitched
CAMTA1	chr1	6878399	6902855	3_MACS_peak_129_lociStitched
CAMTA1	chr1	6838991	6847205	2_MACS_peak_127_lociStitched
CAMTA2	chr17	4841943	4855110	2_MACS_peak_11853_lociStitched
CEBPB	chr20	48806486	48811710	1_MACS_peak_18420_lociStitched
CHD2	chr15	93423358	93470180	9_MACS_peak_10467_lociStitched
CREB3L2	chr7	137661653	137694244	3_MACS_peak_28479_lociStitched
CREB3L4	chr1	153928215	153941367	3_MACS_peak_1827_lociStitched
CREB3L4	chr1	153892272	153897324	1_MACS_peak_1825_lociStitched
CST6	chr11	65812214	65839391	4_MACS_peak_5326_lociStitched
CTCF	chr16	67594860	67599093	1_MACS_peak_11411_lociStitched
CUX1	chr7	101921088	101955398	4_MACS_peak_28040_lociStitched
DBP	chr19	49135449	49142265	1_MACS_peak_15100_lociStitched
DDIT3	chr12	57910654	57920804	3_MACS_peak_6844_lociStitched
E2F1	chr20	32250508	32263144	3_MACS_peak_18108_lociStitched
E2F2	chr1	23848521	23859028	1_MACS_peak_410_lociStitched
E2F2	chr1	23877962	23889852	3_MACS_peak_412_lociStitched
E2F3	chr6	20400865	20417279	4_MACS_peak_25225_lociStitched
ELF1	chr13	41547782	41595224	7_MACS_peak_7800_lociStitched
ELF2	chr4	140095951	140100649	1_MACS_peak_22745_lociStitched
ERF	chr19	42782147	42790544	1_MACS_peak_14899_lociStitched
ETV1	chr7	14015706	14032023	2_MACS_peak_27041_lociStitched
ETV5	chr3	185820550	185828658	1_MACS_peak_21375_lociStitched
FIZ1	chr19	56143176	56171227	6_MACS_peak_15308_lociStitched
FIZ1	chr19	56110082	56118387	2_MACS_peak_15305_lociStitched
FLI1	chr11	128585034	128598169	1_MACS_peak_6071_lociStitched
FOSL1	chr11	65623856	65630348	1_MACS_peak_5317_lociStitched
FOSL1	chr11	65654483	65660450	1_MACS_peak_5319_lociStitched
FOSL2	chr2	28612448	28620192	2_MACS_peak_15705_lociStitched
FOXH1	chr8	145731920	145749898	3_MACS_peak_30139_lociStitched
FOXJ1	chr17	74168634	74190475	3_MACS_peak_13097_lociStitched
FOXN3	chr14	89881551	89899324	2_MACS_peak_9102_lociStitched
FOXO3	chr6	108878264	108889170	1_MACS_peak_26321_lociStitched
FOXO3	chr6	108897107	108932862	5_MACS_peak_26322_lociStitched
GFI1	chr1	92947515	92954699	1_MACS_peak_1313_lociStitched
GLI1	chr12	57844891	57857117	1_MACS_peak_6841_lociStitched
GZF1	chr20	23329669	23347618	5_MACS_peak_17998_lociStitched
HBP1	chr7	106806829	106811921	1_MACS_peak_28147_lociStitched
HES5	chr1	2470845	2489574	3_MACS_peak_80_lociStitched
HES5	chr1	2453339	2461340	2_MACS_peak_78_lociStitched
HEY1	chr8	80631932	80639813	2_MACS_peak_29419_lociStitched
HHEX	chr10	94514377	94520999	1_MACS_peak_4088_lociStitched
HINFP	chr11	118954908	118979803	4_MACS_peak_5940_lociStitched
ID1	chr20	30146901	30162831	2_MACS_peak_18039_lociStitched
IKZF1	chr7	50343001	50353277	1_MACS_peak_27471_lociStitched
IKZF3	chr17	37908976	37937851	4_MACS_peak_12411_lociStitched
IKZF3	chr17	38016020	38025471	1_MACS_peak_12421_lociStitched
IRF1	chr5	131791234	131804331	1_MACS_peak_24328_lociStitched
IRF1	chr5	131810834	131837471	4_MACS_peak_24329_lociStitched
IRF2	chr4	185301713	185309051	1_MACS_peak_23123_lociStitched
IRF2	chr4	185452972	185460631	1_MACS_peak_23131_lociStitched
IRF2	chr4	185391783	185398000	1_MACS_peak_23129_lociStitched
IRF3	chr19	50165594	50184572	3_MACS_peak_15155_lociStitched
IRF4	chr6	380944	403821	2_MACS_peak_24964_lociStitched
IRF9	chr14	24604524	24618026	3_MACS_peak_8426_lociStitched
IRX5	chr16	54956588	54971460	3_MACS_peak_11279_lociStitched
JUNB	chr19	12885720	12918088	7_MACS_peak_14349_lociStitched
JUND	chr19	18389581	18394013	1_MACS_peak_14540_lociStitched
KLF1	chr19	13043063	13058450	3_MACS_peak_14364_lociStitched
KLF10	chr8	103658827	103675541	2_MACS_peak_29672_lociStitched
KLF13	chr15	31615442	31660747	5_MACS_peak_9528_lociStitched
KLF13	chr15	31545317	31562239	2_MACS_peak_9524_lociStitched
KLF13	chr15	31506221	31531964	3_MACS_peak_9521_lociStitched
KLF2	chr19	16474242	16485284	1_MACS_peak_14474_lociStitched
KLF3	chr4	38307248	38322234	4_MACS_peak_21909_lociStitched
KLF6	chr10	3822097	3828992	1_MACS_peak_3118_lociStitched
KLF6	chr10	3664030	3670217	1_MACS_peak_3114_lociStitched
KLF6	chr10	4172414	4180100	1_MACS_peak_3127_lociStitched
KLF9	chr9	73013732	73037170	5_MACS_peak_30699_lociStitched
LBX2	chr2	74681363	74700872	5_MACS_peak_16260_lociStitched
LEF1	chr4	109030776	109042968	2_MACS_peak_22475_lociStitched
LHX3	chr9	139080466	139104862	3_MACS_peak_31509_lociStitched
LHX3	chr9	139129452	139138442	2_MACS_peak_31514_lociStitched
MAFG	chr17	79883729	79896194	3_MACS_peak_13263_lociStitched
MAZ	chr16	29815074	29837767	5_MACS_peak_11100_lociStitched
MEF2C	chr5	88162739	88202491	2_MACS_peak_23931_lociStitched
MEF2C	chr5	88727978	88754946	3_MACS_peak_23942_lociStitched
MEF2C	chr5	88595584	88621231	3_MACS_peak_23936_lociStitched
MEF2C	chr5	88634787	88641394	1_MACS_peak_23939_lociStitched
MEF2C	chr5	88565331	88570812	1_MACS_peak_23935_lociStitched
MEF2D	chr1	156456908	156479650	3_MACS_peak_1931_lociStitched
MEIS1	chr2	66659472	66665234	1_MACS_peak_16143_lociStitched
MLX	chr17	40759132	40772159	2_MACS_peak_12503_lociStitched
MXI1	chr10	111960164	111987182	6_MACS_peak_4327_lociStitched
MYBL1	chr8	67574508	67580886	1_MACS_peak_29295_lociStitched
MYBL2	chr20	42305551	42318751	4_MACS_peak_18267_lociStitched
MYC	chr8	128745874	128754095	1_MACS_peak_29933_lociStitched
MYC	chr14	106143610	106178975	4_MACS_peak_9384_lociStitched
MYC	chr14	106326026	106330149	1_MACS_peak_9390_lociStitched
MYNN	chr3	169481409	169493759	3_MACS_peak_21145_lociStitched
MZF1	chr19	59064919	59071771	2_MACS_peak_15389_lociStitched
NFAT5	chr16	69597074	69602189	1_MACS_peak_11460_lociStitched
NFE2	chr12	54671406	54678447	1_MACS_peak_6767_lociStitched
NFE2L1	chr17	46123386	46142801	2_MACS_peak_12669_lociStitched
NFE2L3	chr7	26225277	26245383	4_MACS_peak_27176_lociStitched
NFE2L3	chr7	26191137	26202488	2_MACS_peak_27174_lociStitched
NFIC	chr19	3358638	3368682	2_MACS_peak_14072_lociStitched
NFIL3	chr9	94179388	94192419	2_MACS_peak_30883_lociStitched
NFIX	chr19	13043063	13058450	3_MACS_peak_14364_lociStitched
NFKB2	chr10	104152402	104160365	1_MACS_peak_4242_lociStitched
NKX3-2	chr4	13544568	13552039	1_MACS_peak_21729_lociStitched
NR1D1	chr17	38218303	38232403	3_MACS_peak_12429_lociStitched
NR1D1	chr17	38277139	38281472	1_MACS_peak_12436_lociStitched
NR1I3	chr1	161122667	161158663	6_MACS_peak_2022_lociStitched
NR3C1	chr5	142770564	142786965	1_MACS_peak_24544_lociStitched
PEG3	chr19	57384137	57397008	3_MACS_peak_15330_lociStitched
PHOX2A	chr11	71933010	71937715	1_MACS_peak_5465_lociStitched
PLAGL2	chr20	30787630	30797097	2_MACS_peak_18066_lociStitched
POU5F1	chr6	31164122	31172969	2_MACS_peak_25495_lociStitched
PRDM1	chr6	106530229	106556289	1_MACS_peak_26281_lociStitched
PRDM1	chr6	106439485	106452167	2_MACS_peak_26279_lociStitched
PRDM1	chr6	106610083	106617741	1_MACS_peak_26284_lociStitched
PRDM1	chr6	106587885	106595454	1_MACS_peak_26283_lociStitched
PRDM10	chr11	129870985	129874746	1_MACS_peak_6089_lociStitched
PRDM14	chr8	71059643	71074897	1_MACS_peak_29327_lociStitched
PRDM14	chr8	71124381	71139634	2_MACS_peak_29331_lociStitched
RELA	chr11	65378080	65385716	1_MACS_peak_5308_lociStitched
RELA	chr11	65478381	65488763	2_MACS_peak_5312_lociStitched
RELB	chr19	45502263	45522600	6_MACS_peak_14965_lociStitched
RERE	chr1	8917101	8941071	4_MACS_peak_167_lociStitched
RFX3	chr9	3522821	3529003	1_MACS_peak_30190_lociStitched
RORA	chr15	60865392	60885762	2_MACS_peak_9933_lociStitched
RORA	chr15	60939464	60974534	7_MACS_peak_9935_lociStitched
RUNX1	chr21	36575186	36609096	7_MACS_peak_18814_lociStitched
RUNX1	chr21	36413959	36430660	3_MACS_peak_18811_lociStitched
RUNX1	chr21	36254034	36263239	1_MACS_peak_18804_lociStitched
RXRB	chr6	33166714	33177181	3_MACS_peak_25564_lociStitched
SF1	chr11	64538713	64547803	1_MACS_peak_5256_lociStitched
SIN3A	chr15	75741957	75749105	1_MACS_peak_10207_lociStitched
SMAD3	chr15	67388937	67395682	1_MACS_peak_10046_lociStitched
SMAD3	chr15	67357277	67380337	5_MACS_peak_10041_lociStitched
SMAD7	chr18	46448217	46480230	4_MACS_peak_13671_lociStitched
SOX11	chr2	5834068	5842573	1_MACS_peak_15436_lociStitched
SOX12	chr20	351454	370500	2_MACS_peak_17752_lociStitched
SOX4	chr6	21586459	21598419	2_MACS_peak_25247_lociStitched
SP1	chr12	53763570	53784199	5_MACS_peak_6733_lociStitched
SREBF1	chr17	17720763	17744766	2_MACS_peak_12061_lociStitched
TBX6	chr16	30074624	30078913	1_MACS_peak_11111_lociStitched
TCF12	chr15	57208877	57216869	1_MACS_peak_9888_lociStitched
TCF3	chr19	1645561	1653947	1_MACS_peak_13995_lociStitched
TFEB	chr6	41671984	41688542	4_MACS_peak_25717_lociStitched
TFEB	chr6	41698422	41703887	1_MACS_peak_25721_lociStitched
THAP1	chr8	42741583	42754522	1_MACS_peak_29088_lociStitched
THAP1	chr8	42709784	42716276	1_MACS_peak_29087_lociStitched
THAP11	chr16	67875237	67882238	1_MACS_peak_11418_lociStitched
THRA	chr17	38218303	38232403	3_MACS_peak_12429_lociStitched
TLX2	chr2	74681363	74700872	5_MACS_peak_16260_lociStitched
USF1	chr1	161028481	161041347	3_MACS_peak_2016_lociStitched
USF1	chr1	161007675	161017309	2_MACS_peak_2014_lociStitched
USF2	chr19	35757585	35761490	1_MACS_peak_14715_lociStitched
XBP1	chr22	29183306	29199347	2_MACS_peak_19201_lociStitched
XBP1	chr22	29206711	29225550	2_MACS_peak_19203_lociStitched
ZBTB24	chr6	109774778	109785692	3_MACS_peak_26350_lociStitched
ZBTB3	chr11	62491474	62497597	1_MACS_peak_5192_lociStitched
ZBTB3	chr11	62571327	62576296	1_MACS_peak_5199_lociStitched
