GENE	TF	ENHANCER_LIST
AAA1	0	3_MACS_peak_24730_lociStitched
AAAS	0	3_MACS_peak_5961_lociStitched
AAMP	0	2_MACS_peak_15889_lociStitched
AANAT	0	2_MACS_peak_11776_lociStitched
AARS2	0	2_MACS_peak_23424_lociStitched
AASDH	0	1_MACS_peak_20170_lociStitched
ABCA7	0	4_MACS_peak_12593_lociStitched
ABCF1	0	2_MACS_peak_23108_lociStitched
ABHD12	0	7_MACS_peak_16346_lociStitched
ABHD2	0	4_MACS_peak_9134_lociStitched
ABHD3	0	2_MACS_peak_12135_lociStitched
ABHD4	0	4_MACS_peak_7348_lociStitched,3_MACS_peak_7354_lociStitched
ABR	0	1_MACS_peak_10468_lociStitched
ACBD3	0	1_MACS_peak_2615_lociStitched
ACCN2	0	2_MACS_peak_5881_lociStitched
ACO2	0	2_MACS_peak_17820_lociStitched
ACTR3C	0	3_MACS_peak_25880_lociStitched,2_MACS_peak_25877_lociStitched
ADA	0	2_MACS_peak_16626_lociStitched
ADAM15	0	2_MACS_peak_1721_lociStitched,6_MACS_peak_1724_lociStitched
ADAMTS4	0	2_MACS_peak_1875_lociStitched,3_MACS_peak_1872_lociStitched
ADAMTSL4	0	2_MACS_peak_1598_lociStitched
ADARB1	0	2_MACS_peak_17257_lociStitched
ADAT3	0	4_MACS_peak_12640_lociStitched
ADCY1	0	2_MACS_peak_24849_lociStitched
ADCY10	0	2_MACS_peak_1967_lociStitched
ADM2	0	4_MACS_peak_18014_lociStitched,2_MACS_peak_18010_lociStitched
ADORA2A	0	2_MACS_peak_17475_lociStitched
ADRB2	0	2_MACS_peak_22360_lociStitched
AFF1	0	2_MACS_peak_20433_lociStitched,1_MACS_peak_20437_lociStitched
AFMID	0	4_MACS_peak_11841_lociStitched,2_MACS_peak_11839_lociStitched
AGBL3	0	2_MACS_peak_25733_lociStitched
AGER	0	3_MACS_peak_23175_lociStitched
AGPAT1	0	3_MACS_peak_23175_lociStitched
