GENE	TF	ENHANCER_LIST
AAAS	0	4_MACS_peak_7446_lociStitched
AAMP	0	2_MACS_peak_19244_lociStitched
AANAT	0	4_MACS_peak_14398_lociStitched
ABCA7	0	3_MACS_peak_15353_lociStitched,2_MACS_peak_15350_lociStitched
ABCB9	0	2_MACS_peak_8333_lociStitched
ABCD1	0	1_MACS_peak_35662_lociStitched
ABCF1	0	1_MACS_peak_27866_lociStitched
ABCG4	0	4_MACS_peak_6540_lociStitched
ABHD1	0	5_MACS_peak_17239_lociStitched
ABHD11	0	1_MACS_peak_30189_lociStitched
ABHD12	0	5_MACS_peak_19794_lociStitched
ABHD4	0	2_MACS_peak_9323_lociStitched
ACADVL	0	2_MACS_peak_13116_lociStitched
ACAP1	0	2_MACS_peak_13121_lociStitched
ACBD3	0	1_MACS_peak_3076_lociStitched
ACBD4	0	2_MACS_peak_13830_lociStitched
ACO2	0	1_MACS_peak_21461_lociStitched
ACTG1	0	2_MACS_peak_14530_lociStitched
ACTN4	0	7_MACS_peak_16291_lociStitched
ACTR3	0	1_MACS_peak_18255_lociStitched
ACVR2A	0	2_MACS_peak_18500_lociStitched
ADA	0	1_MACS_peak_20135_lociStitched
ADAM15	0	1_MACS_peak_2017_lociStitched
ADAM6	0	1_MACS_peak_10272_lociStitched
ADAMTS4	0	6_MACS_peak_2198_lociStitched
ADAMTSL4	0	2_MACS_peak_1883_lociStitched
ADAR	0	2_MACS_peak_1996_lociStitched,2_MACS_peak_1998_lociStitched
ADARB1	0	5_MACS_peak_20892_lociStitched
ADAT3	0	4_MACS_peak_15396_lociStitched
ADCY10	0	1_MACS_peak_2323_lociStitched
ADD1	0	5_MACS_peak_23915_lociStitched
ADD3	0	2_MACS_peak_4664_lociStitched
ADM	0	5_MACS_peak_5176_lociStitched
ADM2	0	4_MACS_peak_21631_lociStitched,3_MACS_peak_21626_lociStitched
ADNP	0	1_MACS_peak_20285_lociStitched,1_MACS_peak_20284_lociStitched
ADORA2A	0	1_MACS_peak_21108_lociStitched
ADORA3	0	2_MACS_peak_1582_lociStitched
ADRBK1	0	3_MACS_peak_5900_lociStitched,1_MACS_peak_5903_lociStitched
AEN	0	3_MACS_peak_11362_lociStitched
AFF1	0	1_MACS_peak_24634_lociStitched
AFMID	0	6_MACS_peak_14442_lociStitched,2_MACS_peak_14449_lociStitched
AGAP1	0	2_MACS_peak_19467_lociStitched
AGAP2	0	5_MACS_peak_7573_lociStitched
AGBL5	0	5_MACS_peak_17239_lociStitched
AHNAK	0	4_MACS_peak_5688_lociStitched
AIF1	0	3_MACS_peak_27905_lociStitched
AIFM1	0	3_MACS_peak_35466_lociStitched
AIM2	0	2_MACS_peak_2144_lociStitched
AIP	0	4_MACS_peak_5912_lociStitched
AKAP13	0	3_MACS_peak_11335_lociStitched
AKAP2	0	3_MACS_peak_33973_lociStitched,2_MACS_peak_33971_lociStitched,3_MACS_peak_33967_lociStitched
AKNA	0	5_MACS_peak_34021_lociStitched
AKT1S1	0	1_MACS_peak_16687_lociStitched,4_MACS_peak_16683_lociStitched
ALDH16A1	0	6_MACS_peak_16661_lociStitched,2_MACS_peak_16667_lociStitched
ALDH9A1	0	2_MACS_peak_2284_lociStitched
ALDOA	0	1_MACS_peak_12185_lociStitched
ALG12	0	3_MACS_peak_21596_lociStitched,3_MACS_peak_21599_lociStitched
ALKBH4	0	3_MACS_peak_30597_lociStitched
ALKBH5	0	1_MACS_peak_13311_lociStitched
ALOX12	0	6_MACS_peak_13107_lociStitched
ALOXE3	0	5_MACS_peak_13160_lociStitched
ALPP	0	2_MACS_peak_19425_lociStitched
AMH	0	5_MACS_peak_15419_lociStitched,1_MACS_peak_15418_lociStitched
AMHR2	0	4_MACS_peak_7446_lociStitched
AMPD1	0	4_MACS_peak_1629_lociStitched
ANAPC16	0	6_MACS_peak_4152_lociStitched
ANAPC2	0	3_MACS_peak_34470_lociStitched
ANKDD1A	0	1_MACS_peak_10943_lociStitched
ANKMY1	0	2_MACS_peak_19521_lociStitched,2_MACS_peak_19523_lociStitched
ANKRD11	0	1_MACS_peak_12921_lociStitched
ANKRD12	0	2_MACS_peak_14698_lociStitched
ANKRD13D	0	3_MACS_peak_5900_lociStitched,1_MACS_peak_5903_lociStitched
ANKRD16	0	3_MACS_peak_3474_lociStitched
ANKRD23	0	1_MACS_peak_18047_lociStitched
ANKRD26P1	0	5_MACS_peak_12292_lociStitched
ANKRD28	0	4_MACS_peak_21810_lociStitched
ANKRD34A	0	1_MACS_peak_1774_lociStitched,1_MACS_peak_1775_lociStitched,3_MACS_peak_1778_lociStitched,2_MACS_peak_1776_lociStitched
ANKRD35	0	3_MACS_peak_1778_lociStitched
ANKRD36BP2	0	1_MACS_peak_17987_lociStitched
ANKRD39	0	1_MACS_peak_18047_lociStitched
ANKRD42	0	1_MACS_peak_6150_lociStitched
ANKRD46	0	3_MACS_peak_32397_lociStitched
ANKRD56	0	3_MACS_peak_24549_lociStitched
ANP32A	0	1_MACS_peak_11017_lociStitched
ANP32B	0	1_MACS_peak_33854_lociStitched
ANP32E	0	1_MACS_peak_1873_lociStitched
ANXA9	0	3_MACS_peak_1897_lociStitched,3_MACS_peak_1900_lociStitched
AP1G1	0	2_MACS_peak_12655_lociStitched
AP1M2	0	2_MACS_peak_15705_lociStitched
APEX1	0	2_MACS_peak_9290_lociStitched
APH1A	0	1_MACS_peak_1873_lociStitched
APOA1BP	0	3_MACS_peak_2087_lociStitched
APOA2	0	6_MACS_peak_2198_lociStitched
APOBEC3B	0	5_MACS_peak_21384_lociStitched
APOBEC3C	0	5_MACS_peak_21384_lociStitched
APOBEC3D	0	5_MACS_peak_21384_lociStitched
APOBEC3F	0	5_MACS_peak_21384_lociStitched
APOBEC3G	0	5_MACS_peak_21384_lociStitched
APOBEC4	0	1_MACS_peak_2516_lociStitched
APOD	0	3_MACS_peak_23779_lociStitched
APOLD1	0	1_MACS_peak_6993_lociStitched
APOM	0	3_MACS_peak_27905_lociStitched
APRT	0	2_MACS_peak_12898_lociStitched,2_MACS_peak_12900_lociStitched
AQP10	0	2_MACS_peak_1986_lociStitched
AQP3	0	3_MACS_peak_33270_lociStitched
AQP7	0	3_MACS_peak_33270_lociStitched
ARF1	1	2_MACS_peak_3121_lociStitched
ARF4	1	3_MACS_peak_22372_lociStitched
ARFRP1	0	2_MACS_peak_20494_lociStitched
ARHGAP27	0	6_MACS_peak_13843_lociStitched
ARHGAP30	0	2_MACS_peak_2190_lociStitched,3_MACS_peak_2192_lociStitched
ARHGAP33	0	4_MACS_peak_16216_lociStitched
