GENE	TF	CHROM	START	STOP	ENHANCER_ID
AANAT	0	chr17	74476344	74479526	2_MACS_peak_13394_lociStitched
ABCA7	0	chr19	1066736	1070091	1_MACS_peak_14354_lociStitched
ABCA7	0	chr19	1037290	1041074	2_MACS_peak_14352_lociStitched
ABCF1	0	chr6	30582307	30586622	3_MACS_peak_26359_lociStitched
ABHD12	0	chr20	25274428	25281151	4_MACS_peak_18675_lociStitched
ABHD2	0	chr15	89654500	89661045	2_MACS_peak_10340_lociStitched
ABR	0	chr17	977898	985121	5_MACS_peak_11832_lociStitched
ACAP1	0	chr17	7209968	7212496	2_MACS_peak_12038_lociStitched
ACBD3	0	chr1	226314320	226316881	1_MACS_peak_3002_lociStitched
ACOXL	0	chr2	111504411	111507761	2_MACS_peak_17011_lociStitched
ACOXL	0	chr2	111806408	111810220	2_MACS_peak_17022_lociStitched
ACSS1	0	chr20	25037135	25039640	1_MACS_peak_18668_lociStitched
ACTR3	0	chr2	114643705	114648600	4_MACS_peak_17131_lociStitched
ACTR3C	0	chr7	150069416	150084623	5_MACS_peak_29439_lociStitched
ACTR3C	0	chr7	150064010	150068135	1_MACS_peak_29438_lociStitched
ACTR3C	0	chr7	150017516	150021158	4_MACS_peak_29433_lociStitched
ADA	0	chr20	43270804	43278135	2_MACS_peak_18991_lociStitched
ADAM15	0	chr1	154971093	154976710	2_MACS_peak_1943_lociStitched
ADAMTS4	0	chr1	161151073	161156934	2_MACS_peak_2145_lociStitched
ADAMTS4	0	chr1	161144635	161147859	2_MACS_peak_2143_lociStitched
ADAMTSL4	0	chr1	150532554	150542749	2_MACS_peak_1817_lociStitched
ADAR	0	chr1	154579734	154582736	1_MACS_peak_1922_lociStitched
ADCK3	0	chr1	227126026	227128724	2_MACS_peak_3029_lociStitched
ADCY10	0	chr1	167904255	167907151	2_MACS_peak_2274_lociStitched
ADM	0	chr11	10323799	10332929	3_MACS_peak_4846_lociStitched
ADM	0	chr11	10334290	10341271	4_MACS_peak_4849_lociStitched
ADORA2A	0	chr22	24822635	24826340	1_MACS_peak_20006_lociStitched
ADRB2	0	chr5	148210374	148216031	2_MACS_peak_25424_lociStitched
ADRBK1	0	chr11	67043200	67046542	2_MACS_peak_5532_lociStitched
ADRBK1	0	chr11	67034021	67037294	2_MACS_peak_5529_lociStitched
ADRM1	0	chr20	60911381	60916173	1_MACS_peak_19328_lociStitched
AEN	0	chr15	89176700	89183924	6_MACS_peak_10323_lociStitched
AFF1	0	chr4	87855390	87862114	4_MACS_peak_23408_lociStitched
AGAP1	0	chr2	236407359	236412222	2_MACS_peak_18247_lociStitched
AGBL3	0	chr7	134675984	134682318	5_MACS_peak_29253_lociStitched
AGK	0	chr7	141014712	141021900	2_MACS_peak_29347_lociStitched
AGK	0	chr7	141255796	141259463	1_MACS_peak_29355_lociStitched
AGPAT3	0	chr21	45283445	45287615	1_MACS_peak_19731_lociStitched
