GENE	TF	CHROM	START	STOP	ENHANCER_ID
ABCG1	0	chr21	43651765	43655578	3_MACS_peak_14371_lociStitched
ABHD1	0	chr2	27383792	27391140	3_MACS_peak_11847_lociStitched
ABHD1	0	chr2	27374817	27382583	5_MACS_peak_11842_lociStitched
ABHD12	0	chr20	25274126	25283368	4_MACS_peak_13626_lociStitched
ABHD12	0	chr20	25289233	25292953	2_MACS_peak_13630_lociStitched
ABHD2	0	chr15	89655179	89661041	5_MACS_peak_7243_lociStitched
ACAP1	0	chr17	7209944	7212445	2_MACS_peak_8583_lociStitched
ACAP3	0	chr1	1240166	1244769	3_MACS_peak_37_lociStitched
ACP2	0	chr11	47235538	47238087	2_MACS_peak_3502_lociStitched
ACTB	0	chr7	5568986	5571285	2_MACS_peak_19550_lociStitched
ACTG1	0	chr17	79479037	79482515	2_MACS_peak_9682_lociStitched
ACTR3C	0	chr7	150064276	150068360	3_MACS_peak_20704_lociStitched
ACTR3C	0	chr7	150070037	150077340	6_MACS_peak_20707_lociStitched
ACY3	0	chr11	67413571	67418612	4_MACS_peak_3874_lociStitched
ADAM15	0	chr1	154971115	154977623	1_MACS_peak_1485_lociStitched
ADAM15	0	chr1	154988071	154992891	1_MACS_peak_1486_lociStitched
ADAMTS17	0	chr15	100649855	100658852	2_MACS_peak_7345_lociStitched
ADM2	0	chr22	50967904	50971101	1_MACS_peak_15095_lociStitched
ADM2	0	chr22	50963193	50965745	1_MACS_peak_15094_lociStitched
ADORA2A	0	chr22	24822486	24826453	1_MACS_peak_14616_lociStitched
AEN	0	chr15	89163889	89165624	1_MACS_peak_7234_lociStitched
AGPAT3	0	chr21	45280953	45286521	4_MACS_peak_14424_lociStitched
AHNAK	0	chr11	62318851	62325668	3_MACS_peak_3616_lociStitched
AHNAK	0	chr11	62306511	62314690	3_MACS_peak_3613_lociStitched
AIRE	1	chr21	45660217	45664567	2_MACS_peak_14441_lociStitched
