GENE	CHROM	START	STOP	ENHANCER_ID
ARID3A	chr19	923455	927619	3_MACS_peak_13377_lociStitched
ATF4	chr22	39915054	39918195	2_MACS_peak_19355_lociStitched
BCL6B	chr17	6915492	6920759	1_MACS_peak_11104_lociStitched
BHLHE41	chr12	26273527	26280154	2_MACS_peak_6179_lociStitched
BHLHE41	chr12	26265979	26272650	6_MACS_peak_6173_lociStitched
CAMTA2	chr17	4847684	4854386	4_MACS_peak_11058_lociStitched
CEBPB	chr20	48807036	48810039	2_MACS_peak_18203_lociStitched
CREB3L2	chr7	137664973	137679525	11_MACS_peak_26898_lociStitched
CST6	chr11	65768585	65775659	4_MACS_peak_4944_lociStitched
CST6	chr11	65818179	65821102	2_MACS_peak_4957_lociStitched
DDIT3	chr12	57913139	57916862	3_MACS_peak_6614_lociStitched
E2F2	chr1	23851284	23858368	7_MACS_peak_407_lociStitched
ERF	chr19	42771871	42775950	3_MACS_peak_14646_lociStitched
FIZ1	chr19	56151094	56155597	5_MACS_peak_15114_lociStitched
FLI1	chr11	128594460	128599629	5_MACS_peak_5701_lociStitched
FOSL1	chr11	65624059	65628960	3_MACS_peak_4928_lociStitched
GLI1	chr12	57847683	57851257	2_MACS_peak_6608_lociStitched
GMEB2	chr20	62257334	62259784	2_MACS_peak_18402_lociStitched
HES5	chr1	2477061	2481851	4_MACS_peak_104_lociStitched
IKZF3	chr17	38019571	38024826	3_MACS_peak_11724_lociStitched
IRF2	chr4	185454611	185460859	5_MACS_peak_22421_lociStitched
IRF2	chr4	185392804	185397387	3_MACS_peak_22411_lociStitched
IRF2	chr4	185302496	185306496	2_MACS_peak_22401_lociStitched
IRF2	chr4	185273182	185276608	1_MACS_peak_22400_lociStitched
IRF3	chr19	50178477	50182144	5_MACS_peak_14963_lociStitched
IRF4	chr6	389000	394372	3_MACS_peak_23789_lociStitched
JUNB	chr19	12899095	12905101	5_MACS_peak_13919_lociStitched
JUND	chr19	18390219	18393860	4_MACS_peak_14180_lociStitched
KLF13	chr15	31554758	31560843	2_MACS_peak_8707_lociStitched
KLF13	chr15	31615846	31621959	6_MACS_peak_8709_lociStitched
KLF13	chr15	31726744	31730520	2_MACS_peak_8725_lociStitched
KLF2	chr19	16473815	16484642	5_MACS_peak_14073_lociStitched
KLF2	chr19	16434962	16440239	4_MACS_peak_14063_lociStitched
KLF2	chr19	16491555	16494991	2_MACS_peak_14078_lociStitched
MAZ	chr16	29815967	29820255	5_MACS_peak_10287_lociStitched
MEF2D	chr1	156457745	156462323	2_MACS_peak_1947_lociStitched
MEF2D	chr1	156468712	156471802	2_MACS_peak_1952_lociStitched
MEIS2	chr15	37325927	37328767	2_MACS_peak_8761_lociStitched
MYBL2	chr20	42309081	42312311	2_MACS_peak_18064_lociStitched
MZF1	chr19	59069004	59071654	4_MACS_peak_15204_lociStitched
NFE2L1	chr17	46128872	46135404	3_MACS_peak_12029_lociStitched
NFE2L1	chr17	46124404	46127412	3_MACS_peak_12026_lociStitched
NFE2L2	chr2	178127864	178130792	3_MACS_peak_16948_lociStitched
NFE2L3	chr7	26238852	26242632	4_MACS_peak_25901_lociStitched
NFKB2	chr10	104153422	104156913	4_MACS_peak_3761_lociStitched
NFYA	chr6	41039058	41042475	3_MACS_peak_24714_lociStitched
NR1D1	chr17	38251696	38255374	3_MACS_peak_11738_lociStitched
PAX4	chr7	127290865	127293192	2_MACS_peak_26792_lociStitched
PAX5	chr9	37033641	37037999	4_MACS_peak_28628_lociStitched
PBX2	chr6	32157038	32161013	2_MACS_peak_24415_lociStitched
PBX4	chr19	19771978	19775237	2_MACS_peak_14256_lociStitched
PRDM1	chr6	106610789	106617375	3_MACS_peak_25221_lociStitched
PRDM1	chr6	106531941	106541273	9_MACS_peak_25198_lociStitched
PRDM10	chr11	129871430	129873951	2_MACS_peak_5720_lociStitched
RARA	chr17	38477852	38483761	8_MACS_peak_11761_lociStitched
RFX3	chr9	3524864	3528783	3_MACS_peak_28364_lociStitched
RXRB	chr6	33167452	33170219	1_MACS_peak_24445_lociStitched
RXRB	chr6	33215635	33218531	3_MACS_peak_24448_lociStitched
RXRB	chr6	33172324	33173852	1_MACS_peak_24446_lociStitched
SIN3A	chr15	75743548	75748807	4_MACS_peak_9396_lociStitched
SOX5	chr12	24683358	24689503	6_MACS_peak_6131_lociStitched
SOX5	chr12	24713220	24717038	3_MACS_peak_6145_lociStitched
SOX5	chr12	24690246	24695664	4_MACS_peak_6137_lociStitched
SP3	chr2	174828085	174830918	5_MACS_peak_16896_lociStitched
SREBF2	chr22	42227920	42230415	2_MACS_peak_19433_lociStitched
