GENE	TF	CHROM	START	STOP	ENHANCER_ID
AARS2	0	chr6	44213182	44233895	3_MACS_peak_16755_lociStitched
ABCA2	0	chr9	139962205	139991398	5_MACS_peak_19884_lociStitched
ABCA7	0	chr19	1019048	1041158	4_MACS_peak_9351_lociStitched
ABCB8	0	chr7	150775123	150785834	2_MACS_peak_18286_lociStitched
ABCF1	0	chr6	30581886	30595311	2_MACS_peak_16493_lociStitched
ABCG4	0	chr11	118954860	118979795	4_MACS_peak_3871_lociStitched
ABHD15	0	chr17	27914947	27928284	2_MACS_peak_8135_lociStitched
ABHD15	0	chr17	27886935	27900256	3_MACS_peak_8132_lociStitched
ABT1	0	chr6	26549843	26570093	4_MACS_peak_16414_lociStitched
ACAA2	0	chr18	47336179	47341468	1_MACS_peak_9179_lociStitched
ACADVL	0	chr17	7136222	7156746	4_MACS_peak_7903_lociStitched
ACBD4	0	chr17	43223948	43229512	1_MACS_peak_8439_lociStitched
ACCN3	0	chr7	150775123	150785834	2_MACS_peak_18286_lociStitched
ACO2	0	chr22	41839763	41844680	1_MACS_peak_13308_lociStitched
ACRC	0	chrX	70750665	70762888	1_MACS_peak_20271_lociStitched
ACTG1	0	chr17	79476174	79487681	1_MACS_peak_8891_lociStitched
ACTR3C	0	chr7	150053591	150078746	4_MACS_peak_18268_lociStitched
ADAM15	0	chr1	154966821	154979418	2_MACS_peak_1331_lociStitched
ADAMTS4	0	chr1	161144585	161157736	2_MACS_peak_1435_lociStitched
ADAMTSL4	0	chr1	150532400	150553227	3_MACS_peak_1233_lociStitched
ADM	0	chr11	10314690	10344703	5_MACS_peak_3017_lociStitched
ADM2	0	chr22	50962475	50987731	5_MACS_peak_13421_lociStitched
ADRB2	0	chr5	148204939	148217187	1_MACS_peak_15953_lociStitched
ADRBK1	0	chr11	67030080	67047013	3_MACS_peak_3483_lociStitched
AFF1	0	chr4	87854484	87868931	2_MACS_peak_14916_lociStitched
AGAP2	0	chr12	58134982	58167422	7_MACS_peak_4520_lociStitched
AGAP3	0	chr7	150775123	150785834	2_MACS_peak_18286_lociStitched
AGER	0	chr6	32156450	32164865	2_MACS_peak_16552_lociStitched
AGPAT1	0	chr6	32156450	32164865	2_MACS_peak_16552_lociStitched
AHNAK	0	chr11	62306386	62343233	7_MACS_peak_3288_lociStitched
AHNAK	0	chr11	62357978	62369604	3_MACS_peak_3295_lociStitched
AIF1	0	chr6	31618808	31634909	4_MACS_peak_16527_lociStitched
AIFM1	0	chrX	129298434	129311265	2_MACS_peak_20451_lociStitched
AK1	0	chr9	130660776	130681356	5_MACS_peak_19692_lociStitched
AKNA	0	chr9	117145283	117160978	2_MACS_peak_19591_lociStitched
ALDH16A1	0	chr19	49990040	50005306	3_MACS_peak_10451_lociStitched
ALDH1A3	0	chr15	101457851	101464775	1_MACS_peak_6899_lociStitched
ALKBH4	0	chr7	102065201	102087181	3_MACS_peak_17952_lociStitched
ALPK1	0	chr4	113199302	113224430	4_MACS_peak_15028_lociStitched
AMDHD2	0	chr16	2555869	2571373	2_MACS_peak_7001_lociStitched
AMN	0	chr14	103363615	103371023	2_MACS_peak_6048_lociStitched
ANAPC16	0	chr10	74018800	74036394	3_MACS_peak_2434_lociStitched
ANKDD1A	0	chr15	65182963	65189827	1_MACS_peak_6533_lociStitched
ANKRD12	0	chr18	9132779	9147933	2_MACS_peak_9006_lociStitched
ANKRD13B	0	chr17	27914947	27928284	2_MACS_peak_8135_lociStitched
ANKRD13B	0	chr17	27886935	27900256	3_MACS_peak_8132_lociStitched
ANKRD13D	0	chr11	67030080	67047013	3_MACS_peak_3483_lociStitched
ANKRD16	0	chr10	5929579	5947876	3_MACS_peak_2081_lociStitched
ANKRD28	0	chr3	15835356	15859238	5_MACS_peak_13532_lociStitched
ANKRD42	0	chr11	82865943	82873919	1_MACS_peak_3679_lociStitched
ANP32A	0	chr15	69108765	69116099	1_MACS_peak_6597_lociStitched
ANP32B	0	chr9	100743847	100748503	1_MACS_peak_19495_lociStitched
ANP32E	0	chr1	150204937	150209939	1_MACS_peak_1225_lociStitched
ANXA11	0	chr10	81946404	81966424	1_MACS_peak_2500_lociStitched
ANXA9	0	chr1	150944964	150952348	1_MACS_peak_1244_lociStitched
AP1AR	0	chr4	113199302	113224430	4_MACS_peak_15028_lociStitched
AP4M1	0	chr7	99716021	99726541	2_MACS_peak_17892_lociStitched
APH1A	0	chr1	150204937	150209939	1_MACS_peak_1225_lociStitched
APOA2	0	chr1	161144585	161157736	2_MACS_peak_1435_lociStitched
APOBEC3A	0	chr22	39398556	39421814	5_MACS_peak_13237_lociStitched
APOBEC3B	0	chr22	39398556	39421814	5_MACS_peak_13237_lociStitched
APOBEC3C	0	chr22	39456832	39475540	2_MACS_peak_13245_lociStitched
APOBEC3C	0	chr22	39398556	39421814	5_MACS_peak_13237_lociStitched
APOBEC3D	0	chr22	39456832	39475540	2_MACS_peak_13245_lociStitched
APOBEC3D	0	chr22	39398556	39421814	5_MACS_peak_13237_lociStitched
APOBEC3F	0	chr22	39456832	39475540	2_MACS_peak_13245_lociStitched
APOBEC3F	0	chr22	39398556	39421814	5_MACS_peak_13237_lociStitched
APOBEC3G	0	chr22	39456832	39475540	2_MACS_peak_13245_lociStitched
APOBEC3H	0	chr22	39456832	39475540	2_MACS_peak_13245_lociStitched
APOD	0	chr3	195264974	195278876	3_MACS_peak_14537_lociStitched
APOLD1	0	chr12	12866190	12880741	1_MACS_peak_4133_lociStitched
APOM	0	chr6	31618808	31634909	4_MACS_peak_16527_lociStitched
APRT	0	chr16	88846292	88858183	2_MACS_peak_7747_lociStitched
AQP3	0	chr9	33445403	33464388	3_MACS_peak_19183_lociStitched
AQP7	0	chr9	33445403	33464388	3_MACS_peak_19183_lociStitched
ARFRP1	0	chr20	62357847	62373712	2_MACS_peak_12602_lociStitched
ARHGAP11A	0	chr15	32869218	32884779	3_MACS_peak_6224_lociStitched
ARHGAP11A	0	chr15	32905446	32912308	1_MACS_peak_6227_lociStitched
ARHGAP11B	0	chr15	30916110	30921524	1_MACS_peak_6202_lociStitched
ARHGAP39	0	chr8	145731680	145755269	4_MACS_peak_19050_lociStitched
ARHGAP4	0	chrX	153232784	153252586	3_MACS_peak_20560_lociStitched
ARHGAP4	0	chrX	153188469	153201611	3_MACS_peak_20556_lociStitched
ARHGAP42	0	chr11	100573587	100584152	1_MACS_peak_3740_lociStitched
ARHGAP42	0	chr11	100548129	100561133	2_MACS_peak_3738_lociStitched
ARHGAP9	0	chr12	57846137	57857279	1_MACS_peak_4509_lociStitched
ARHGAP9	0	chr12	57910810	57918446	2_MACS_peak_4512_lociStitched
ARHGDIB	0	chr12	15101169	15118075	2_MACS_peak_4152_lociStitched
ARHGEF12	0	chr11	120205620	120217950	1_MACS_peak_3887_lociStitched
ARID1A	0	chr1	27018410	27029197	2_MACS_peak_397_lociStitched
ARID1B	0	chr6	157096818	157105815	1_MACS_peak_17263_lociStitched
ARID2	0	chr12	46118204	46128434	1_MACS_peak_4293_lociStitched
ARID3A	1	chr19	908617	928048	3_MACS_peak_9346_lociStitched
ARL6IP5	0	chr3	69127889	69145203	2_MACS_peak_13934_lociStitched
ARMC2	0	chr6	109194819	109228207	6_MACS_peak_17000_lociStitched
ARPC5L	0	chr9	127622510	127636616	2_MACS_peak_19651_lociStitched
ASB16	0	chr17	42292725	42300459	1_MACS_peak_8418_lociStitched
ASB9P1	0	chr15	93346997	93364605	3_MACS_peak_6874_lociStitched
ASCC1	0	chr10	74018800	74036394	3_MACS_peak_2434_lociStitched
ASF1A	0	chr6	119211534	119219219	1_MACS_peak_17080_lociStitched
ASNA1	0	chr19	12885675	12918414	7_MACS_peak_9736_lociStitched
ATAD1	0	chr10	89619751	89631329	1_MACS_peak_2521_lociStitched
ATAT1	0	chr6	30581886	30595311	2_MACS_peak_16493_lociStitched
ATF4	1	chr22	39914298	39929621	4_MACS_peak_13273_lociStitched
ATF6	1	chr1	161675762	161698969	4_MACS_peak_1458_lociStitched
ATG16L2	0	chr11	72522807	72534274	2_MACS_peak_3572_lociStitched
ATHL1	0	chr11	267527	271929	1_MACS_peak_2892_lociStitched
ATHL1	0	chr11	303410	333415	5_MACS_peak_2894_lociStitched
ATM	0	chr11	108090845	108097478	1_MACS_peak_3777_lociStitched
ATN1	0	chr12	7045424	7081299	7_MACS_peak_4060_lociStitched
ATP5B	0	chr12	57021945	57040802	3_MACS_peak_4490_lociStitched
ATP5B	0	chr12	57071150	57084680	2_MACS_peak_4493_lociStitched
ATP5D	0	chr19	1258054	1277402	5_MACS_peak_9368_lociStitched
ATP5L	0	chr11	118304399	118321219	2_MACS_peak_3853_lociStitched
ATP6AP1	0	chrX	153616500	153628888	3_MACS_peak_20576_lociStitched
ATP6AP1	0	chrX	153706233	153720105	4_MACS_peak_20585_lociStitched
ATP6V0C	0	chr16	2555869	2571373	2_MACS_peak_7001_lociStitched
ATP6V1E2	0	chr2	46789124	46805190	3_MACS_peak_10942_lociStitched
ATPIF1	0	chr1	28558554	28577334	4_MACS_peak_436_lociStitched
ATXN2L	0	chr16	28833071	28838262	1_MACS_peak_7293_lociStitched
ATXN7L3	0	chr17	42292725	42300459	1_MACS_peak_8418_lociStitched
AVIL	0	chr12	58134982	58167422	7_MACS_peak_4520_lociStitched
AVPR2	0	chrX	153188469	153201611	3_MACS_peak_20556_lociStitched
AZIN1	0	chr8	103817811	103827204	3_MACS_peak_18817_lociStitched
AZIN1	0	chr8	103872902	103879005	1_MACS_peak_18822_lociStitched
B2M	0	chr15	45001680	45023381	4_MACS_peak_6372_lociStitched
B3GALT4	0	chr6	33279327	33292964	3_MACS_peak_16578_lociStitched
