GENE	TF	ENHANCER_LIST
A1BG	0	2_MACS_peak_11728_lociStitched
A1BG-AS1	0	2_MACS_peak_11728_lociStitched
AANAT	0	4_MACS_peak_9755_lociStitched
AARS2	0	2_MACS_peak_19688_lociStitched
ABCA7	0	2_MACS_peak_10530_lociStitched
ABCF1	0	1_MACS_peak_19423_lociStitched
ABCG4	0	3_MACS_peak_4235_lociStitched
ABHD4	0	5_MACS_peak_6211_lociStitched
ACBD4	0	1_MACS_peak_9358_lociStitched,1_MACS_peak_9359_lociStitched
ACCN3	0	2_MACS_peak_21844_lociStitched
ACD	0	2_MACS_peak_8410_lociStitched
ACO2	0	1_MACS_peak_14920_lociStitched
ACTB	0	1_MACS_peak_20670_lociStitched
ACTR3	0	1_MACS_peak_12678_lociStitched
ACTR3C	0	1_MACS_peak_21832_lociStitched,1_MACS_peak_21830_lociStitched
ADAM15	0	1_MACS_peak_1418_lociStitched
ADAMTS4	0	3_MACS_peak_1534_lociStitched,2_MACS_peak_1537_lociStitched
ADAMTSL4	0	2_MACS_peak_1324_lociStitched
ADAR	0	2_MACS_peak_1395_lociStitched
ADAT3	0	4_MACS_peak_10570_lociStitched,1_MACS_peak_10580_lociStitched
ADCY10	0	1_MACS_peak_1611_lociStitched
ADM2	0	2_MACS_peak_15049_lociStitched
ADNP	0	1_MACS_peak_14052_lociStitched
ADORA2A	0	2_MACS_peak_14642_lociStitched
ADRBK1	0	1_MACS_peak_3842_lociStitched
AFMID	0	3_MACS_peak_9809_lociStitched
AGAP3	0	2_MACS_peak_21844_lociStitched
AGXT2L2	0	4_MACS_peak_19002_lociStitched
AHNAK	0	3_MACS_peak_3672_lociStitched,2_MACS_peak_3670_lociStitched
AHRR	0	1_MACS_peak_17644_lociStitched,2_MACS_peak_17645_lociStitched
AIF1	0	2_MACS_peak_19462_lociStitched
AIMP2	0	2_MACS_peak_20676_lociStitched
AKAP2	0	3_MACS_peak_23766_lociStitched
AKAP5	0	1_MACS_peak_6532_lociStitched
AKT1S1	0	1_MACS_peak_11537_lociStitched
ALDOA	0	1_MACS_peak_8190_lociStitched
ALG12	0	3_MACS_peak_15029_lociStitched
ALKBH4	0	2_MACS_peak_21482_lociStitched
ALKBH5	0	1_MACS_peak_8975_lociStitched
ALOX12	0	3_MACS_peak_8839_lociStitched
ALOX5	0	4_MACS_peak_2621_lociStitched
ALPK1	0	2_MACS_peak_17239_lociStitched
ALPK2	0	2_MACS_peak_10371_lociStitched
AMACR	0	1_MACS_peak_17907_lociStitched
AMH	0	2_MACS_peak_10594_lociStitched
ANAPC2	0	1_MACS_peak_24132_lociStitched
ANKMY1	0	3_MACS_peak_13532_lociStitched
ANKRD11	0	1_MACS_peak_8678_lociStitched
ANKRD12	0	2_MACS_peak_10019_lociStitched,1_MACS_peak_10018_lociStitched
ANKRD13D	0	1_MACS_peak_3842_lociStitched
ANKRD30A	0	14_MACS_peak_2561_lociStitched
ANKRD33B	0	1_MACS_peak_17755_lociStitched
ANKRD34A	0	2_MACS_peak_1247_lociStitched,2_MACS_peak_1244_lociStitched
ANKRD36BP2	0	1_MACS_peak_12469_lociStitched
ANKRD46	0	3_MACS_peak_22731_lociStitched
ANKRD55	0	6_MACS_peak_18056_lociStitched
ANP32A	0	1_MACS_peak_7432_lociStitched
ANP32B	0	1_MACS_peak_23679_lociStitched
ANP32E	0	1_MACS_peak_1314_lociStitched
ANXA9	0	2_MACS_peak_1333_lociStitched
AP1AR	0	2_MACS_peak_17239_lociStitched
AP2S1	0	1_MACS_peak_11436_lociStitched
APH1A	0	1_MACS_peak_1314_lociStitched
APOA2	0	2_MACS_peak_1537_lociStitched
APOLD1	0	1_MACS_peak_4534_lociStitched
APOM	0	2_MACS_peak_19462_lociStitched
