GENE	TF	ENHANCER_LIST
A1BG	0	3_MACS_peak_15049_lociStitched
A1BG-AS1	0	3_MACS_peak_15049_lociStitched
AANAT	0	8_MACS_peak_12610_lociStitched
ABCA7	0	2_MACS_peak_13486_lociStitched,3_MACS_peak_13489_lociStitched
ABCB9	0	5_MACS_peak_7111_lociStitched
ABCG4	0	3_MACS_peak_5633_lociStitched
ABHD12	0	5_MACS_peak_17549_lociStitched
ABHD4	0	6_MACS_peak_7787_lociStitched
ACAP1	0	1_MACS_peak_11429_lociStitched
ACBD3	0	2_MACS_peak_2710_lociStitched
ACBD4	0	1_MACS_peak_12096_lociStitched
ACO2	0	1_MACS_peak_19081_lociStitched
ACOT8	0	3_MACS_peak_17884_lociStitched
ACTG1	0	2_MACS_peak_12783_lociStitched
ACTN4	0	6_MACS_peak_14433_lociStitched
ACTR3	0	1_MACS_peak_16304_lociStitched
ACTR3C	0	2_MACS_peak_26972_lociStitched
ADA	0	2_MACS_peak_17856_lociStitched
ADAM15	0	1_MACS_peak_1845_lociStitched
ADAM6	0	2_MACS_peak_8765_lociStitched
ADAMTS4	0	5_MACS_peak_2020_lociStitched,3_MACS_peak_2017_lociStitched
ADAMTSL4	0	2_MACS_peak_1716_lociStitched
ADAR	0	1_MACS_peak_1828_lociStitched
ADAT3	0	4_MACS_peak_13531_lociStitched
ADCY10	0	1_MACS_peak_2120_lociStitched
ADD1	0	3_MACS_peak_21121_lociStitched
ADM2	0	5_MACS_peak_19287_lociStitched
ADNP	0	2_MACS_peak_17990_lociStitched,1_MACS_peak_17989_lociStitched
ADORA2A	0	1_MACS_peak_18721_lociStitched
ADRBK1	0	1_MACS_peak_5092_lociStitched
ADRM1	0	1_MACS_peak_18136_lociStitched
AES	0	2_MACS_peak_13608_lociStitched
AFMID	0	6_MACS_peak_12675_lociStitched
AGAP1	0	2_MACS_peak_17244_lociStitched
AGK	0	3_MACS_peak_26903_lociStitched
AGXT2L2	0	2_MACS_peak_23809_lociStitched
AHNAK2	0	2_MACS_peak_8721_lociStitched
AKAP2	0	4_MACS_peak_29297_lociStitched
AKAP5	0	1_MACS_peak_8159_lociStitched
AKAP8L	0	1_MACS_peak_14050_lociStitched
AKNA	0	8_MACS_peak_29354_lociStitched
AKT1S1	0	1_MACS_peak_14832_lociStitched
ALDH16A1	0	6_MACS_peak_14799_lociStitched,4_MACS_peak_14805_lociStitched
ALDOA	0	1_MACS_peak_10550_lociStitched
ALG12	0	2_MACS_peak_19256_lociStitched,3_MACS_peak_19258_lociStitched
ALKBH4	0	3_MACS_peak_26602_lociStitched
ALOXE3	0	5_MACS_peak_11470_lociStitched
AMDHD2	0	2_MACS_peak_10045_lociStitched
AMH	0	2_MACS_peak_13555_lociStitched,6_MACS_peak_13557_lociStitched
AMPD1	0	7_MACS_peak_1482_lociStitched
