GENE	TF	ENHANCER_LIST
A2LD1	0	1_MACS_peak_8204_lociStitched
AAAS	0	5_MACS_peak_6733_lociStitched
AAMP	0	2_MACS_peak_17440_lociStitched
AANAT	0	4_MACS_peak_13111_lociStitched
AARS2	0	2_MACS_peak_25792_lociStitched
ABCB9	0	2_MACS_peak_7498_lociStitched
ABCD2	0	3_MACS_peak_6515_lociStitched
ABCF1	0	1_MACS_peak_25473_lociStitched
ABCG4	0	4_MACS_peak_5940_lociStitched
ABHD12	0	4_MACS_peak_18017_lociStitched
ABHD4	0	2_MACS_peak_8371_lociStitched,3_MACS_peak_8374_lociStitched
ACBD3	0	1_MACS_peak_2799_lociStitched,3_MACS_peak_2800_lociStitched
ACBD5	0	1_MACS_peak_3390_lociStitched
ACCN3	0	3_MACS_peak_28620_lociStitched
ACTG1	0	1_MACS_peak_13246_lociStitched
ACTN4	0	2_MACS_peak_14781_lociStitched,3_MACS_peak_14778_lociStitched
ACTR3C	0	3_MACS_peak_28605_lociStitched,2_MACS_peak_28603_lociStitched
ADA	0	1_MACS_peak_18310_lociStitched
ADAD2	0	4_MACS_peak_11618_lociStitched
ADAM15	0	1_MACS_peak_1863_lociStitched,2_MACS_peak_1868_lociStitched
ADAMTS4	0	6_MACS_peak_2022_lociStitched
ADAMTSL4	0	1_MACS_peak_1752_lociStitched
ADD1	0	3_MACS_peak_21596_lociStitched
ADD3	0	2_MACS_peak_4325_lociStitched
ADM	0	4_MACS_peak_4728_lociStitched
ADM2	0	4_MACS_peak_19583_lociStitched
ADRBK1	0	4_MACS_peak_5375_lociStitched
AES	0	2_MACS_peak_14065_lociStitched
AFF1	0	2_MACS_peak_22313_lociStitched,1_MACS_peak_22316_lociStitched,1_MACS_peak_22315_lociStitched
AFMID	0	9_MACS_peak_13158_lociStitched,4_MACS_peak_13167_lociStitched
AGA	0	1_MACS_peak_23067_lociStitched
AGAP3	0	3_MACS_peak_28620_lociStitched
AGBL3	0	2_MACS_peak_28450_lociStitched
AIF1	0	3_MACS_peak_25512_lociStitched
AIFM1	0	2_MACS_peak_32451_lociStitched
AIM2	0	2_MACS_peak_1977_lociStitched
AIP	0	4_MACS_peak_5385_lociStitched
AKAP2	0	1_MACS_peak_31105_lociStitched,1_MACS_peak_31104_lociStitched
AKT1S1	0	1_MACS_peak_15172_lociStitched,4_MACS_peak_15164_lociStitched
ALDH16A1	0	3_MACS_peak_15139_lociStitched
ALDH3B1	0	2_MACS_peak_5408_lociStitched
ALDH4A1	0	2_MACS_peak_350_lociStitched
ALDOA	0	1_MACS_peak_11111_lociStitched
ALG12	0	4_MACS_peak_19555_lociStitched
ALG1L2	0	1_MACS_peak_20771_lociStitched
ALKBH4	0	4_MACS_peak_28050_lociStitched
ALKBH5	0	1_MACS_peak_12071_lociStitched
ALOX12	0	3_MACS_peak_11883_lociStitched
ALOX5	0	1_MACS_peak_3556_lociStitched
ALPK1	0	3_MACS_peak_22525_lociStitched
ALPK2	0	3_MACS_peak_13773_lociStitched,1_MACS_peak_13776_lociStitched
ALPP	0	2_MACS_peak_17639_lociStitched
AMH	0	5_MACS_peak_14021_lociStitched
AMHR2	0	5_MACS_peak_6733_lociStitched
AMPD1	0	4_MACS_peak_1530_lociStitched
AMZ2	0	1_MACS_peak_12971_lociStitched
AMZ2P1	0	1_MACS_peak_12919_lociStitched
ANAPC11	0	3_MACS_peak_13257_lociStitched,3_MACS_peak_13263_lociStitched
ANAPC16	0	7_MACS_peak_3823_lociStitched
ANG	0	1_MACS_peak_8341_lociStitched
ANKDD1A	0	2_MACS_peak_10004_lociStitched
ANKMY1	0	2_MACS_peak_17720_lociStitched
ANKRD11	0	2_MACS_peak_11717_lociStitched
ANKRD13D	0	4_MACS_peak_5375_lociStitched
ANKRD26P1	0	6_MACS_peak_11194_lociStitched
ANKRD28	0	4_MACS_peak_19747_lociStitched
ANKRD33B	0	4_MACS_peak_23306_lociStitched
ANKRD34A	0	1_MACS_peak_1649_lociStitched,1_MACS_peak_1648_lociStitched,3_MACS_peak_1653_lociStitched
ANKRD35	0	3_MACS_peak_1653_lociStitched
ANKRD36BP2	0	4_MACS_peak_16409_lociStitched
ANKRD42	0	1_MACS_peak_5634_lociStitched
ANKRD55	0	2_MACS_peak_23632_lociStitched
ANP32A	0	1_MACS_peak_10089_lociStitched
