GENE	TF	ENHANCER_LIST
ABCD2	0	5_MACS_peak_6311_lociStitched
ABCF1	0	2_MACS_peak_25747_lociStitched
ABHD12	0	2_MACS_peak_18453_lociStitched
ABHD4	0	10_MACS_peak_8175_lociStitched
ACO2	0	3_MACS_peak_20071_lociStitched
ACSF3	0	3_MACS_peak_11683_lociStitched
ACTG1	0	5_MACS_peak_13433_lociStitched
ACTR3C	0	1_MACS_peak_28705_lociStitched
ADA	0	3_MACS_peak_18773_lociStitched
ADAM15	0	3_MACS_peak_1696_lociStitched
ADAMTS4	0	2_MACS_peak_1862_lociStitched
ADAMTSL4	0	2_MACS_peak_1573_lociStitched,2_MACS_peak_1575_lociStitched
ADCY10	0	1_MACS_peak_2009_lociStitched
ADM	0	4_MACS_peak_4529_lociStitched
ADNP	0	1_MACS_peak_18916_lociStitched
AFF1	0	4_MACS_peak_22865_lociStitched
AFMID	0	5_MACS_peak_13328_lociStitched
AGK	0	3_MACS_peak_28633_lociStitched,1_MACS_peak_28632_lociStitched
AHNAK	0	4_MACS_peak_4979_lociStitched,4_MACS_peak_4973_lociStitched,2_MACS_peak_4977_lociStitched
AKAP2	0	11_MACS_peak_31318_lociStitched
ALDH1A3	0	3_MACS_peak_10404_lociStitched
ALDOA	0	2_MACS_peak_11006_lociStitched
ALG12	0	2_MACS_peak_20228_lociStitched,2_MACS_peak_20233_lociStitched
ALKBH4	0	3_MACS_peak_28190_lociStitched,1_MACS_peak_28193_lociStitched
ALOX12	0	6_MACS_peak_11940_lociStitched
ANAPC1	0	3_MACS_peak_17105_lociStitched
ANAPC11	0	1_MACS_peak_13457_lociStitched
ANAPC16	0	4_MACS_peak_3634_lociStitched
ANKDD1A	0	2_MACS_peak_9850_lociStitched
ANKMY1	0	4_MACS_peak_18138_lociStitched
ANKRD12	0	3_MACS_peak_13597_lociStitched,4_MACS_peak_13601_lociStitched
ANKRD16	0	10_MACS_peak_2980_lociStitched
ANKRD34A	0	4_MACS_peak_1473_lociStitched
ANKRD37	0	6_MACS_peak_23542_lociStitched,3_MACS_peak_23548_lociStitched
ANKRD55	0	11_MACS_peak_23953_lociStitched
ANP32A	0	1_MACS_peak_9947_lociStitched
ANP32B	0	2_MACS_peak_31214_lociStitched
ANP32E	0	2_MACS_peak_1560_lociStitched
ANXA9	0	1_MACS_peak_1591_lociStitched
APH1A	0	2_MACS_peak_1560_lociStitched
APOA2	0	2_MACS_peak_1862_lociStitched
APOBEC3C	0	4_MACS_peak_19986_lociStitched
APOBEC3D	0	4_MACS_peak_19986_lociStitched
APOBEC3F	0	4_MACS_peak_19986_lociStitched
APOBEC3G	0	4_MACS_peak_19986_lociStitched
APOBEC3H	0	4_MACS_peak_19986_lociStitched
APOBEC4	0	1_MACS_peak_2182_lociStitched
APOD	0	4_MACS_peak_22074_lociStitched
APOLD1	0	7_MACS_peak_6163_lociStitched
APRT	0	1_MACS_peak_11670_lociStitched
AQP10	0	2_MACS_peak_1668_lociStitched
ARFRP1	0	4_MACS_peak_19126_lociStitched,4_MACS_peak_19122_lociStitched
ARHGAP4	0	5_MACS_peak_32741_lociStitched
ARHGAP9	0	2_MACS_peak_6628_lociStitched
ARHGDIA	0	1_MACS_peak_13457_lociStitched
ARHGEF12	0	5_MACS_peak_5764_lociStitched
ARHGEF2	0	1_MACS_peak_1746_lociStitched
ARID1A	0	2_MACS_peak_441_lociStitched
ARID2	0	3_MACS_peak_6349_lociStitched
ARID3B	1	5_MACS_peak_10012_lociStitched
ARL3	0	6_MACS_peak_4033_lociStitched
ARRDC3	0	3_MACS_peak_24329_lociStitched
ARSI	0	3_MACS_peak_24861_lociStitched
ASAP3	0	6_MACS_peak_322_lociStitched
ASB16	0	1_MACS_peak_12670_lociStitched,3_MACS_peak_12661_lociStitched
ASB9P1	0	2_MACS_peak_10309_lociStitched,2_MACS_peak_10311_lociStitched
ASCC1	0	4_MACS_peak_3634_lociStitched
ASF1A	0	4_MACS_peak_26667_lociStitched
ASH1L	0	2_MACS_peak_1733_lociStitched
ATAD1	0	4_MACS_peak_3775_lociStitched
ATAT1	0	2_MACS_peak_25747_lociStitched
ATHL1	0	1_MACS_peak_4360_lociStitched
ATP13A3	0	2_MACS_peak_22062_lociStitched
ATP2C1	0	3_MACS_peak_21442_lociStitched
ATP5B	0	4_MACS_peak_6607_lociStitched
ATP5I	0	3_MACS_peak_22154_lociStitched
ATP6V1E2	0	6_MACS_peak_16348_lociStitched
ATP8B2	0	2_MACS_peak_1668_lociStitched
ATXN1	0	2_MACS_peak_25507_lociStitched
ATXN2L	0	2_MACS_peak_10956_lociStitched
ATXN7L3	0	1_MACS_peak_12670_lociStitched,3_MACS_peak_12661_lociStitched
AUTS2	0	1_MACS_peak_27678_lociStitched
AVEN	0	1_MACS_peak_9353_lociStitched
AZIN1	0	2_MACS_peak_29888_lociStitched,2_MACS_peak_29890_lociStitched
B4GALT3	0	2_MACS_peak_1862_lociStitched
BAGE	0	1_MACS_peak_19158_lociStitched
BAIAP2L2	0	1_MACS_peak_19927_lociStitched
BANF1	0	2_MACS_peak_5181_lociStitched,3_MACS_peak_5186_lociStitched
BAT5	0	3_MACS_peak_25798_lociStitched
BAZ2A	0	4_MACS_peak_6607_lociStitched
