GENE	TF	ENHANCER_LIST
ABCG1	0	3_MACS_peak_14371_lociStitched
ABHD1	0	3_MACS_peak_11847_lociStitched,5_MACS_peak_11842_lociStitched
ABHD12	0	4_MACS_peak_13626_lociStitched,2_MACS_peak_13630_lociStitched
ABHD2	0	5_MACS_peak_7243_lociStitched
ACAP1	0	2_MACS_peak_8583_lociStitched
ACAP3	0	3_MACS_peak_37_lociStitched
ACP2	0	2_MACS_peak_3502_lociStitched
ACTB	0	2_MACS_peak_19550_lociStitched
ACTG1	0	2_MACS_peak_9682_lociStitched
ACTR3C	0	3_MACS_peak_20704_lociStitched,6_MACS_peak_20707_lociStitched
ACY3	0	4_MACS_peak_3874_lociStitched
ADAM15	0	1_MACS_peak_1485_lociStitched,1_MACS_peak_1486_lociStitched
ADAMTS17	0	2_MACS_peak_7345_lociStitched
ADM2	0	1_MACS_peak_15095_lociStitched,1_MACS_peak_15094_lociStitched
ADORA2A	0	1_MACS_peak_14616_lociStitched
AEN	0	1_MACS_peak_7234_lociStitched
AGPAT3	0	4_MACS_peak_14424_lociStitched
AHNAK	0	3_MACS_peak_3616_lociStitched,3_MACS_peak_3613_lociStitched
AIRE	1	2_MACS_peak_14441_lociStitched
ALDH1A3	0	4_MACS_peak_7358_lociStitched
ALDH3B1	0	1_MACS_peak_3890_lociStitched,1_MACS_peak_3888_lociStitched
ALDH3B2	0	4_MACS_peak_3874_lociStitched
ALG12	0	1_MACS_peak_15062_lociStitched,1_MACS_peak_15063_lociStitched
ALKBH4	0	1_MACS_peak_20388_lociStitched,1_MACS_peak_20389_lociStitched
ALKBH5	0	1_MACS_peak_8704_lociStitched
ANAPC1	0	6_MACS_peak_12648_lociStitched
ANAPC11	0	1_MACS_peak_9705_lociStitched
ANAPC2	0	2_MACS_peak_22611_lociStitched
ANKDD1A	0	1_MACS_peak_6944_lociStitched
ANKRD30BL	0	2_MACS_peak_12801_lociStitched
ANKRD34A	0	9_MACS_peak_1272_lociStitched
ANP32A	0	1_MACS_peak_6994_lociStitched
ANP32B	0	1_MACS_peak_22128_lociStitched
APOLD1	0	2_MACS_peak_4582_lociStitched,2_MACS_peak_4580_lociStitched
ARF1	1	1_MACS_peak_2139_lociStitched
ARFGAP2	0	2_MACS_peak_3502_lociStitched
ARHGAP4	0	3_MACS_peak_23191_lociStitched
ARHGAP9	0	2_MACS_peak_4974_lociStitched
ARHGDIA	0	1_MACS_peak_9705_lociStitched
ARID1A	0	3_MACS_peak_487_lociStitched
ARID2	0	4_MACS_peak_4715_lociStitched
ARID3A	1	1_MACS_peak_10283_lociStitched
ARID5A	1	2_MACS_peak_12457_lociStitched,1_MACS_peak_12461_lociStitched
ARIH1	0	1_MACS_peak_7043_lociStitched
ARTN	0	3_MACS_peak_788_lociStitched
ASB16	0	2_MACS_peak_9092_lociStitched
ASB9P1	0	2_MACS_peak_7313_lociStitched
ASS1	0	2_MACS_peak_22415_lociStitched
ATF3	1	1_MACS_peak_2012_lociStitched
ATHL1	0	5_MACS_peak_3166_lociStitched
ATP5B	0	5_MACS_peak_4948_lociStitched
ATXN2L	0	1_MACS_peak_7801_lociStitched
ATXN7L3	0	2_MACS_peak_9092_lociStitched
AZIN1	0	2_MACS_peak_21374_lociStitched
B3GALT6	0	3_MACS_peak_30_lociStitched
BAD	0	3_MACS_peak_3673_lociStitched
BAI1	0	4_MACS_peak_21596_lociStitched
BAIAP2	0	1_MACS_peak_9670_lociStitched
BANF2	0	1_MACS_peak_13560_lociStitched
BAZ2A	0	5_MACS_peak_4948_lociStitched
BBC3	0	1_MACS_peak_11308_lociStitched
BCL11A	1	7_MACS_peak_12059_lociStitched
BCL2	0	3_MACS_peak_10148_lociStitched
BCL2L1	0	3_MACS_peak_13653_lociStitched
BCL2L11	0	2_MACS_peak_12608_lociStitched
BCL8	0	2_MACS_peak_6521_lociStitched
BCOR	0	2_MACS_peak_22825_lociStitched
BEST2	0	4_MACS_peak_10674_lociStitched
BEST4	0	2_MACS_peak_811_lociStitched
BOD1	0	4_MACS_peak_18110_lociStitched
BOLA1	0	2_MACS_peak_1338_lociStitched,3_MACS_peak_1334_lociStitched
BRD2	0	1_MACS_peak_18696_lociStitched
BTBD19	0	2_MACS_peak_811_lociStitched
BTG2	0	1_MACS_peak_1883_lociStitched,2_MACS_peak_1888_lociStitched,2_MACS_peak_1885_lociStitched
