GENE	CHROM	START	STOP	ENHANCER_ID
AIRE	chr21	45660072	45665671	1_MACS_peak_19748_lociStitched
AIRE	chr21	45717301	45721119	1_MACS_peak_19750_lociStitched
ARF1	chr1	228269211	228274045	3_MACS_peak_3042_lociStitched
ARID3A	chr19	923598	927452	2_MACS_peak_14341_lociStitched
ARID3B	chr15	74832158	74840043	6_MACS_peak_10080_lociStitched
ARID5A	chr2	97201416	97205757	1_MACS_peak_16799_lociStitched
ARID5A	chr2	97190382	97196260	3_MACS_peak_16795_lociStitched
ATF3	chr1	212780063	212783231	1_MACS_peak_2872_lociStitched
ATF4	chr22	39915054	39917376	1_MACS_peak_20393_lociStitched
ATF6	chr1	161774114	161778848	1_MACS_peak_2178_lociStitched
BACH2	chr6	91004568	91007182	1_MACS_peak_27035_lociStitched
BARX2	chr11	129242899	129247033	2_MACS_peak_6297_lociStitched
BARX2	chr11	129285696	129290068	3_MACS_peak_6300_lociStitched
BCL6B	chr17	6915445	6920171	1_MACS_peak_12021_lociStitched
BHLHE41	chr12	26274122	26279772	2_MACS_peak_6687_lociStitched
CAMTA2	chr17	4850475	4854156	1_MACS_peak_11974_lociStitched
CHD2	chr15	93424401	93427369	2_MACS_peak_10435_lociStitched
CREB3L2	chr7	137707868	137711823	1_MACS_peak_29288_lociStitched
CTCF	chr16	67595292	67601310	4_MACS_peak_11473_lociStitched
CTCF	chr16	67580512	67583720	2_MACS_peak_11470_lociStitched
CTCFL	chr20	56047973	56053124	1_MACS_peak_19264_lociStitched
CTCFL	chr20	56054266	56058323	1_MACS_peak_19265_lociStitched
DDIT3	chr12	57913546	57917439	2_MACS_peak_7149_lociStitched
DEAF1	chr11	694415	697195	1_MACS_peak_4694_lociStitched
E2F2	chr1	23850740	23857910	1_MACS_peak_398_lociStitched
E2F3	chr6	20401175	20404982	2_MACS_peak_26139_lociStitched
ELF2	chr4	140097044	140100076	1_MACS_peak_23749_lociStitched
ELK3	chr12	96587463	96590864	2_MACS_peak_7490_lociStitched
ETS1	chr11	128275064	128278924	1_MACS_peak_6266_lociStitched
ETS1	chr11	128337524	128342719	4_MACS_peak_6267_lociStitched
ETV3	chr1	157104808	157108959	3_MACS_peak_2061_lociStitched
FLI1	chr11	128585733	128607300	8_MACS_peak_6278_lociStitched
FLI1	chr11	128562561	128566061	1_MACS_peak_6277_lociStitched
FOSL2	chr2	28612905	28616980	2_MACS_peak_15982_lociStitched
FOXD4L5	chr9	69785085	69787673	1_MACS_peak_31239_lociStitched
FOXO3	chr6	108878419	108884467	2_MACS_peak_27166_lociStitched
FOXO3	chr6	108987781	108997167	3_MACS_peak_27201_lociStitched
FOXO3	chr6	108911650	108921421	3_MACS_peak_27181_lociStitched
FOXO3	chr6	108925678	108934817	4_MACS_peak_27185_lociStitched
FOXO3	chr6	108936181	108944274	7_MACS_peak_27189_lociStitched
FOXP2	chr7	113724303	113728093	1_MACS_peak_29033_lociStitched
GFI1	chr1	92948252	92953042	1_MACS_peak_1357_lociStitched
HBP1	chr7	106807905	106810822	2_MACS_peak_28984_lociStitched
HES1	chr3	193817616	193822904	2_MACS_peak_22592_lociStitched
HES1	chr3	193851431	193855608	2_MACS_peak_22596_lociStitched
HES1	chr3	193800427	193803700	1_MACS_peak_22590_lociStitched
HES6	chr2	239166818	239176766	3_MACS_peak_18310_lociStitched
HEY1	chr8	80634684	80641214	3_MACS_peak_30258_lociStitched
HEY2	chr6	126067698	126071845	2_MACS_peak_27360_lociStitched
HIVEP2	chr6	143264889	143269103	2_MACS_peak_27590_lociStitched
IKZF3	chr17	38019533	38024689	4_MACS_peak_12597_lociStitched
IRF1	chr5	131829848	131837088	1_MACS_peak_25200_lociStitched
IRF1	chr5	131790001	131795823	3_MACS_peak_25191_lociStitched
