REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isSuper	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper.1
2_MACS_peak_1786_lociStitched	chr1	156448454	156479816	2	30992	225345.3786	1	1	MEF2D	C1orf61	MEF2D	1	1
2_MACS_peak_8249_lociStitched	chr14	106023223	106057942	2	34658	197134.482	2	1		TMEM121	TMEM121	2	1
4_MACS_peak_14324_lociStitched	chr2	37535738	37593688	4	54438	178138.3	3	1	QPCT,PRKD3		QPCT	3	1
4_MACS_peak_19194_lociStitched	chr3	141079286	141132445	4	49125	175637.336	4	1	ZBTB38		ZBTB38	4	1
6_MACS_peak_1715_lociStitched	chr1	154907544	154958197	6	36669	169515.3298	5	1	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	5	1
4_MACS_peak_22697_lociStitched	chr6	289817	340337	4	43704	166296.684	6	1	DUSP22		DUSP22	6	1
1_MACS_peak_20241_lociStitched	chr4	71523399	71556279	1	32881	152651.976	7	1	UTP3,IGJ	ENAM,RUFY3	IGJ	7	1
4_MACS_peak_8251_lociStitched	chr14	106144088	106176079	4	30532	144141.8487	8	1			TMEM121	8	1
4_MACS_peak_1574_lociStitched	chr1	149800608	149835678	4	31528	142426.284	9	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	9	1
6_MACS_peak_11085_lociStitched	chr17	37909357	37958427	6	39926	134113.217	10	1	IKZF3	GRB7,C17orf37	GRB7	10	1
2_MACS_peak_14906_lociStitched	chr2	89130691	89160504	2	29623	124961.1895	11	1			ANKRD36BP2	11	1
3_MACS_peak_16372_lociStitched	chr20	30277214	30312075	3	33654	116536.8369	12	1	BCL2L1	TPX2	BCL2L1	12	1
1_MACS_peak_20469_lociStitched	chr4	90210361	90230191	1	19831	110982.561	13	1	GPRIN3		GPRIN3	13	1
8_MACS_peak_2314_lociStitched	chr1	203236440	203281478	8	31357	103862.1318	14	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	14	1
1_MACS_peak_16784_lociStitched	chr20	52192074	52216221	1	24148	103856.247	15	1	ZNF217		ZNF217	15	1
2_MACS_peak_1598_lociStitched	chr1	150532329	150553271	2	18126	101451.4248	16	1	ADAMTSL4,MCL1	MIR4257,ENSA	MCL1	16	1
3_MACS_peak_21585_lociStitched	chr5	55435960	55473481	3	34980	101438.0235	17	1	ANKRD55		ANKRD55	17	1
2_MACS_peak_11286_lociStitched	chr17	43297162	43315032	2	14022	95027.299	18	1	FMNL1	LOC100133991,C17orf46	FMNL1	18	1
