REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isStretch	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
4_MACS_peak_14324_lociStitched	chr2	37535738	37593688	4	54438	178138.3	1	1	QPCT,PRKD3		QPCT	QPCT	2.7186	1	1
4_MACS_peak_19194_lociStitched	chr3	141079286	141132445	4	49125	175637.336	2	1	ZBTB38		ZBTB38	ZBTB38	1.3712	2	1
4_MACS_peak_22697_lociStitched	chr6	289817	340337	4	43704	166296.684	3	1	DUSP22		DUSP22	DUSP22	2.4587	3	1
16_MACS_peak_29038_lociStitched	chrX	58213076	58278968	16	43158	42829.8	4	1			ZXDA	ZXDA	NONE	4	1
6_MACS_peak_11085_lociStitched	chr17	37909357	37958427	6	39926	134113.217	5	1	IKZF3	GRB7,C17orf37	GRB7	GRB7	0.4042	5	1
9_MACS_peak_17417_lociStitched	chr22	23189886	23247650	9	39813	61969.2192	6	1	IGLL5	MIR650	IGLL5	MIR650	2.144	6	1
9_MACS_peak_17765_lociStitched	chr22	39822916	39871639	9	39437	88822.029	7	1	TAB1,MGAT3	MGAT3,SMCR7L,ATF4	MGAT3	ATF4	1.2401	7	1
7_MACS_peak_22568_lociStitched	chr5	173310334	173356891	7	38885	52949.2761	8	1	CPEB4		CPEB4	CPEB4	0.7014	8	1
6_MACS_peak_1715_lociStitched	chr1	154907544	154958197	6	36669	169515.3298	9	1	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	ZBTB7B	3.159	9	1
1_MACS_peak_26930_lociStitched	chr8	120914901	120950931	1	36031	94730.076	10	1	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.7571	10	1
8_MACS_peak_14974_lociStitched	chr2	99054912	99107532	8	35848	52109.586	11	1	INPP4A		INPP4A	INPP4A	0.4175	11	1
3_MACS_peak_21585_lociStitched	chr5	55435960	55473481	3	34980	101438.0235	12	1	ANKRD55		ANKRD55	ANKRD55	0.8552	12	1
2_MACS_peak_8249_lociStitched	chr14	106023223	106057942	2	34658	197134.482	13	1		TMEM121	TMEM121	TMEM121	0.2884	13	1
3_MACS_peak_16372_lociStitched	chr20	30277214	30312075	3	33654	116536.8369	14	1	BCL2L1	TPX2	BCL2L1	BCL2L1	1.861	14	1
6_MACS_peak_12155_lociStitched	chr18	20800136	20848386	6	33534	78859.8	15	1	CABLES1		CABLES1	CABLES1	0.8919	15	1
1_MACS_peak_20241_lociStitched	chr4	71523399	71556279	1	32881	152651.976	16	1	UTP3,IGJ	ENAM,RUFY3	IGJ	IGJ	3.9267	16	1
5_MACS_peak_24677_lociStitched	chr7	29677592	29726602	5	31556	73828.664	17	1	DPY19L2P3,LOC646762,LOC100271874		LOC646762	LOC646762	1.4006	17	1
4_MACS_peak_1574_lociStitched	chr1	149800608	149835678	4	31528	142426.284	18	1	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2AA4	HIST2H2AA4	4.5521	18	1
8_MACS_peak_2314_lociStitched	chr1	203236440	203281478	8	31357	103862.1318	19	1	BTG2,LOC730227	CHIT1,FMOD	LOC730227	LOC730227	2.5497	19	1
2_MACS_peak_1786_lociStitched	chr1	156448454	156479816	2	30992	225345.3786	20	1	MEF2D	C1orf61	MEF2D	MEF2D	4.703	20	1
4_MACS_peak_8251_lociStitched	chr14	106144088	106176079	4	30532	144141.8487	21	1			TMEM121	TMEM121	0.2884	21	1
5_MACS_peak_8084_lociStitched	chr14	95944624	95987294	5	29810	70516.442	22	1		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	SCARNA13	0.8182	22	1
3_MACS_peak_10974_lociStitched	chr17	32688735	32721710	3	29726	73916.76	23	1	CCL1	CCL8,CCL13	CCL1	CCL1	0.7719	23	1
2_MACS_peak_14906_lociStitched	chr2	89130691	89160504	2	29623	124961.1895	24	1			ANKRD36BP2	ANKRD36BP2	0.1766	24	1
6_MACS_peak_18386_lociStitched	chr3	46318109	46348395	6	29293	47894.2804	25	1		CCR3,CCR2	CCR3	CCR2	0.6776	25	1
4_MACS_peak_23855_lociStitched	chr6	108897191	108933104	4	28970	56864.6442	26	1	FOXO3		FOXO3	FOXO3	1.0458	26	1
7_MACS_peak_5819_lociStitched	chr12	48191002	48227734	7	28306	87940.0812	27	1	HDAC7	SLC48A1,RAPGEF3	HDAC7	HDAC7	1.8107	27	1
4_MACS_peak_26836_lociStitched	chr8	103793372	103828747	4	27401	89431.5375	28	1		AZIN1	AZIN1	AZIN1	0.3508	28	1
5_MACS_peak_23494_lociStitched	chr6	52392254	52424802	5	27288	59920.868	29	1	TRAM2		TRAM2	TRAM2	1.0791	29	1
5_MACS_peak_26990_lociStitched	chr8	126283123	126322755	5	26954	53380.3408	30	1	NSMCE2		TRIB1	TRIB1	1.8191	30	1
3_MACS_peak_5968_lociStitched	chr12	53845159	53875376	3	26912	53453.873	31	1	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.4019	31	1
3_MACS_peak_25402_lociStitched	chr7	102062115	102093268	3	26709	91057.1037	32	1	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	1.8026	32	1
7_MACS_peak_29030_lociStitched	chrX	58123360	58159720	7	26211	23514.012	33	1			ZXDA	ZXDA	NONE	33	1
3_MACS_peak_16442_lociStitched	chr20	32398874	32435697	3	26171	46422.7561	34	1	CHMP4B		CHMP4B	CHMP4B	1.0813	34	1
3_MACS_peak_22809_lociStitched	chr6	7893934	7921051	3	26013	92848.608	35	1	MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	2.125	35	1
4_MACS_peak_11544_lociStitched	chr17	57902417	57931578	4	25798	58686.5125	36	1	TMEM49,MIR21	RPS6KB1,TUBD1	MIR21	MIR21	2.0866	36	1
1_MACS_peak_23817_lociStitched	chr6	106531150	106556885	1	25736	85877.695	37	1	PRDM1		PRDM1	PRDM1	2.597	37	1
7_MACS_peak_11600_lociStitched	chr17	62150505	62186378	7	25703	41200.1405	38	1	ERN1	SNORD104,SNORA76	ERN1	ERN1	0.7842	38	1
5_MACS_peak_1955_lociStitched	chr1	167502308	167535359	5	25092	84151.1511	39	1	CREG1	CD247	CREG1	CREG1	3.0491	39	1
4_MACS_peak_11868_lociStitched	chr17	76711393	76746415	4	25009	55250.7072	40	1	CYTH1		CYTH1	CYTH1	0.7477	40	1
7_MACS_peak_9205_lociStitched	chr15	93346261	93389674	7	24667	73068.4203	41	1		ASB9P1,LOC100507217	ASB9P1	LOC100507217	1.7284	41	1
1_MACS_peak_16784_lociStitched	chr20	52192074	52216221	1	24148	103856.247	42	1	ZNF217		ZNF217	ZNF217	1.9607	42	1
5_MACS_peak_1414_lociStitched	chr1	118171118	118209269	5	24013	34179.4809	43	1		FAM46C	FAM46C	FAM46C	0.5876	43	1
8_MACS_peak_22308_lociStitched	chr5	142538049	142577256	8	23954	36391.9374	44	1	ARHGAP26		NR3C1	NR3C1	0.2404	44	1
5_MACS_peak_412_lociStitched	chr1	25869564	25899197	5	23847	52343.7312	45	1	LDLRAP1	MAN1C1	LDLRAP1	LDLRAP1	1.5021	45	1
5_MACS_peak_28152_lociStitched	chr9	123630126	123667712	5	23789	63381.2718	46	1	PHF19,TRAF1	LOC253039,PSMD5	PHF19	PHF19	1.0932	46	1
2_MACS_peak_18652_lociStitched	chr3	69128098	69155852	2	23748	46110.4956	47	1	ARL6IP5,UBA3	MIR3136,TMF1,LMOD3	ARL6IP5	ARL6IP5	1.4522	47	1
6_MACS_peak_1724_lociStitched	chr1	155021944	155059552	6	23704	67393.536	48	1	DCST1,ADAM15,EFNA4,EFNA3	ZBTB7B,EFNA1,SLC50A1,DCST2	EFNA4	ZBTB7B	3.159	48	1
7_MACS_peak_3943_lociStitched	chr10	125822328	125855485	7	23700	34108.6059	49	1	CHST15		CHST15	CHST15	0.4236	49	1
7_MACS_peak_5447_lociStitched	chr12	7045895	7081108	7	23547	58027.5027	50	1	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12	LRRC23,ENO2,LPCAT3	PTPN6	PTPN6	1.8471	50	1
5_MACS_peak_1710_lociStitched	chr1	154821614	154860726	5	23489	53794.6448	51	1	KCNN3	PMVK	KCNN3	PMVK	2.1548	51	1
