#KMS11_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS11_H3K27ac_ROSE/KMS11_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS11_jia.bam
#Using cutoff of 16929.225 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isStretch
4_MACS_peak_14324_lociStitched	chr2	37535738	37593688	4	54438	178138.3	1	1
4_MACS_peak_19194_lociStitched	chr3	141079286	141132445	4	49125	175637.336	2	1
4_MACS_peak_22697_lociStitched	chr6	289817	340337	4	43704	166296.684	3	1
16_MACS_peak_29038_lociStitched	chrX	58213076	58278968	16	43158	42829.8	4	1
6_MACS_peak_11085_lociStitched	chr17	37909357	37958427	6	39926	134113.217	5	1
9_MACS_peak_17417_lociStitched	chr22	23189886	23247650	9	39813	61969.2192	6	1
9_MACS_peak_17765_lociStitched	chr22	39822916	39871639	9	39437	88822.029	7	1
7_MACS_peak_22568_lociStitched	chr5	173310334	173356891	7	38885	52949.2761	8	1
6_MACS_peak_1715_lociStitched	chr1	154907544	154958197	6	36669	169515.3298	9	1
1_MACS_peak_26930_lociStitched	chr8	120914901	120950931	1	36031	94730.076	10	1
8_MACS_peak_14974_lociStitched	chr2	99054912	99107532	8	35848	52109.586	11	1
3_MACS_peak_21585_lociStitched	chr5	55435960	55473481	3	34980	101438.0235	12	1
2_MACS_peak_8249_lociStitched	chr14	106023223	106057942	2	34658	197134.482	13	1
3_MACS_peak_16372_lociStitched	chr20	30277214	30312075	3	33654	116536.8369	14	1
6_MACS_peak_12155_lociStitched	chr18	20800136	20848386	6	33534	78859.8	15	1
1_MACS_peak_20241_lociStitched	chr4	71523399	71556279	1	32881	152651.976	16	1
5_MACS_peak_24677_lociStitched	chr7	29677592	29726602	5	31556	73828.664	17	1
4_MACS_peak_1574_lociStitched	chr1	149800608	149835678	4	31528	142426.284	18	1
8_MACS_peak_2314_lociStitched	chr1	203236440	203281478	8	31357	103862.1318	19	1
2_MACS_peak_1786_lociStitched	chr1	156448454	156479816	2	30992	225345.3786	20	1
4_MACS_peak_8251_lociStitched	chr14	106144088	106176079	4	30532	144141.8487	21	1
5_MACS_peak_8084_lociStitched	chr14	95944624	95987294	5	29810	70516.442	22	1
3_MACS_peak_10974_lociStitched	chr17	32688735	32721710	3	29726	73916.76	23	1
2_MACS_peak_14906_lociStitched	chr2	89130691	89160504	2	29623	124961.1895	24	1
6_MACS_peak_18386_lociStitched	chr3	46318109	46348395	6	29293	47894.2804	25	1
4_MACS_peak_23855_lociStitched	chr6	108897191	108933104	4	28970	56864.6442	26	1
7_MACS_peak_5819_lociStitched	chr12	48191002	48227734	7	28306	87940.0812	27	1
4_MACS_peak_26836_lociStitched	chr8	103793372	103828747	4	27401	89431.5375	28	1
5_MACS_peak_23494_lociStitched	chr6	52392254	52424802	5	27288	59920.868	29	1
5_MACS_peak_26990_lociStitched	chr8	126283123	126322755	5	26954	53380.3408	30	1
3_MACS_peak_5968_lociStitched	chr12	53845159	53875376	3	26912	53453.873	31	1
3_MACS_peak_25402_lociStitched	chr7	102062115	102093268	3	26709	91057.1037	32	1
7_MACS_peak_29030_lociStitched	chrX	58123360	58159720	7	26211	23514.012	33	1
3_MACS_peak_16442_lociStitched	chr20	32398874	32435697	3	26171	46422.7561	34	1
3_MACS_peak_22809_lociStitched	chr6	7893934	7921051	3	26013	92848.608	35	1
4_MACS_peak_11544_lociStitched	chr17	57902417	57931578	4	25798	58686.5125	36	1
1_MACS_peak_23817_lociStitched	chr6	106531150	106556885	1	25736	85877.695	37	1
7_MACS_peak_11600_lociStitched	chr17	62150505	62186378	7	25703	41200.1405	38	1
5_MACS_peak_1955_lociStitched	chr1	167502308	167535359	5	25092	84151.1511	39	1
4_MACS_peak_11868_lociStitched	chr17	76711393	76746415	4	25009	55250.7072	40	1
7_MACS_peak_9205_lociStitched	chr15	93346261	93389674	7	24667	73068.4203	41	1
1_MACS_peak_16784_lociStitched	chr20	52192074	52216221	1	24148	103856.247	42	1
5_MACS_peak_1414_lociStitched	chr1	118171118	118209269	5	24013	34179.4809	43	1
8_MACS_peak_22308_lociStitched	chr5	142538049	142577256	8	23954	36391.9374	44	1
5_MACS_peak_412_lociStitched	chr1	25869564	25899197	5	23847	52343.7312	45	1
5_MACS_peak_28152_lociStitched	chr9	123630126	123667712	5	23789	63381.2718	46	1
2_MACS_peak_18652_lociStitched	chr3	69128098	69155852	2	23748	46110.4956	47	1
6_MACS_peak_1724_lociStitched	chr1	155021944	155059552	6	23704	67393.536	48	1
7_MACS_peak_3943_lociStitched	chr10	125822328	125855485	7	23700	34108.6059	49	1
7_MACS_peak_5447_lociStitched	chr12	7045895	7081108	7	23547	58027.5027	50	1
5_MACS_peak_1710_lociStitched	chr1	154821614	154860726	5	23489	53794.6448	51	1
7_MACS_peak_21574_lociStitched	chr5	55343498	55378251	7	23317	41436.0019	52	1
5_MACS_peak_2350_lociStitched	chr1	205196240	205233049	5	23269	52835.6386	53	1
3_MACS_peak_14138_lociStitched	chr2	20397914	20426441	3	23126	82796.7648	54	1
4_MACS_peak_11116_lociStitched	chr17	38462394	38487512	4	23002	57831.6832	55	1
3_MACS_peak_10750_lociStitched	chr17	17720928	17744817	3	22879	54502.7535	56	1
2_MACS_peak_25178_lociStitched	chr7	81418075	81443129	2	22655	81235.0896	57	1
5_MACS_peak_17217_lociStitched	chr21	44829754	44860250	5	22581	64587.4784	58	1
4_MACS_peak_23861_lociStitched	chr6	108982702	109013000	4	22499	36706.027	59	1
3_MACS_peak_12304_lociStitched	chr18	46439317	46462721	3	22380	56171.9404	60	1
3_MACS_peak_2921_lociStitched	chr10	7510951	7536665	3	22334	45269.497	61	1
5_MACS_peak_1887_lociStitched	chr1	161409345	161442538	5	22310	40531.9723	62	1
3_MACS_peak_25880_lociStitched	chr7	150062712	150086725	3	22255	70312.4653	63	1
4_MACS_peak_7902_lociStitched	chr14	77487473	77510541	4	22197	47508.546	64	1
7_MACS_peak_16346_lociStitched	chr20	25261081	25300763	7	22122	55114.3298	65	1
4_MACS_peak_28364_lociStitched	chr9	132646047	132673963	4	22112	56314.9468	66	1
6_MACS_peak_19224_lociStitched	chr3	143532636	143571361	6	21985	39023.1825	67	1
5_MACS_peak_13550_lociStitched	chr19	45240478	45274734	5	21634	68275.6336	68	1
10_MACS_peak_26048_lociStitched	chr8	11286053	11325787	10	21617	40703.5096	69	1
1_MACS_peak_17427_lociStitched	chr22	23265273	23286741	1	21469	66114.9996	70	1
5_MACS_peak_5275_lociStitched	chr11	128585487	128610124	5	21369	34595.2754	71	1
4_MACS_peak_12054_lociStitched	chr18	9061022	9087230	4	21223	51834.1824	72	1
5_MACS_peak_23717_lociStitched	chr6	90055962	90085915	5	21004	63140.924	73	1
4_MACS_peak_8431_lociStitched	chr15	40380583	40408741	4	20930	46821.1224	74	1
7_MACS_peak_19550_lociStitched	chr3	183220083	183255086	7	20895	33263.3509	75	1
9_MACS_peak_8036_lociStitched	chr14	93213410	93253157	9	20806	40061.0013	76	1
6_MACS_peak_5741_lociStitched	chr12	33037162	33060499	6	20711	35138.5209	77	1
4_MACS_peak_7943_lociStitched	chr14	81930636	81955817	4	20698	40440.686	78	1
4_MACS_peak_21570_lociStitched	chr5	55306738	55334399	4	20695	46926.8865	79	1
4_MACS_peak_2669_lociStitched	chr1	228763619	228784478	4	20671	19338.3789	80	1
5_MACS_peak_11509_lociStitched	chr17	56401711	56431001	5	20648	84686.177	81	1
1_MACS_peak_2242_lociStitched	chr1	198886839	198907439	1	20601	49297.86	82	1
3_MACS_peak_23028_lociStitched	chr6	27093841	27116244	3	20395	55463.1071	83	1
3_MACS_peak_2098_lociStitched	chr1	182569797	182596518	3	20333	50556.132	84	1
3_MACS_peak_10376_lociStitched	chr16	87883734	87905455	3	20320	44827.7998	85	1
1_MACS_peak_3061_lociStitched	chr10	22595548	22615864	1	20317	47706.0312	86	1
5_MACS_peak_16428_lociStitched	chr20	32250409	32275094	5	20284	58064.057	87	1
5_MACS_peak_8425_lociStitched	chr15	40329933	40363482	5	20110	53701.8843	88	1
2_MACS_peak_2387_lociStitched	chr1	206727293	206750506	2	20095	85948.4538	89	1
3_MACS_peak_21567_lociStitched	chr5	55271854	55292611	3	20081	49636.2141	90	1
4_MACS_peak_22142_lociStitched	chr5	131745413	131774322	4	20051	34809.3269	91	1
4_MACS_peak_11702_lociStitched	chr17	72732887	72757634	4	19918	35358.5136	92	1
7_MACS_peak_23000_lociStitched	chr6	26330618	26366584	7	19910	30567.5034	93	1
5_MACS_peak_21098_lociStitched	chr4	185317522	185349774	5	19903	49693.8816	94	1
4_MACS_peak_7348_lociStitched	chr14	23017946	23040597	4	19865	46094.785	95	1
1_MACS_peak_20469_lociStitched	chr4	90210361	90230191	1	19831	110982.561	96	1
3_MACS_peak_5948_lociStitched	chr12	53582728	53605672	3	19759	54849.9264	97	1
5_MACS_peak_29334_lociStitched	chrX	118756003	118785520	5	19716	40727.5566	98	1
2_MACS_peak_897_lociStitched	chr1	51425075	51449973	2	19599	32937.5642	99	1
7_MACS_peak_13678_lociStitched	chr19	48875181	48904163	7	19492	41418.1762	100	1
2_MACS_peak_22839_lociStitched	chr6	11711752	11736502	2	19437	53613.45	101	1
7_MACS_peak_13820_lociStitched	chr19	54870643	54901013	7	19286	35186.682	102	1
4_MACS_peak_10352_lociStitched	chr16	85626765	85650308	4	19274	50174.8416	103	1
