#KMS11_H3K27ac_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/myeloma_public_data/rose/KMS11_H3K27ac_ROSE/KMS11_H3K27ac_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by KMS11_jia.bam
#Using cutoff of 16929.225 for Super-Enhancers
#Created on Jul 16 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	KMS11_jia.bam	enhancerRank	isSuper
2_MACS_peak_1786_lociStitched	chr1	156448454	156479816	2	30992	225345.3786	1	1
2_MACS_peak_8249_lociStitched	chr14	106023223	106057942	2	34658	197134.482	2	1
4_MACS_peak_14324_lociStitched	chr2	37535738	37593688	4	54438	178138.3	3	1
4_MACS_peak_19194_lociStitched	chr3	141079286	141132445	4	49125	175637.336	4	1
6_MACS_peak_1715_lociStitched	chr1	154907544	154958197	6	36669	169515.3298	5	1
4_MACS_peak_22697_lociStitched	chr6	289817	340337	4	43704	166296.684	6	1
1_MACS_peak_20241_lociStitched	chr4	71523399	71556279	1	32881	152651.976	7	1
4_MACS_peak_8251_lociStitched	chr14	106144088	106176079	4	30532	144141.8487	8	1
4_MACS_peak_1574_lociStitched	chr1	149800608	149835678	4	31528	142426.284	9	1
6_MACS_peak_11085_lociStitched	chr17	37909357	37958427	6	39926	134113.217	10	1
2_MACS_peak_14906_lociStitched	chr2	89130691	89160504	2	29623	124961.1895	11	1
3_MACS_peak_16372_lociStitched	chr20	30277214	30312075	3	33654	116536.8369	12	1
1_MACS_peak_20469_lociStitched	chr4	90210361	90230191	1	19831	110982.561	13	1
8_MACS_peak_2314_lociStitched	chr1	203236440	203281478	8	31357	103862.1318	14	1
1_MACS_peak_16784_lociStitched	chr20	52192074	52216221	1	24148	103856.247	15	1
2_MACS_peak_1598_lociStitched	chr1	150532329	150553271	2	18126	101451.4248	16	1
3_MACS_peak_21585_lociStitched	chr5	55435960	55473481	3	34980	101438.0235	17	1
2_MACS_peak_11286_lociStitched	chr17	43297162	43315032	2	14022	95027.299	18	1
1_MACS_peak_26930_lociStitched	chr8	120914901	120950931	1	36031	94730.076	19	1
3_MACS_peak_22809_lociStitched	chr6	7893934	7921051	3	26013	92848.608	20	1
3_MACS_peak_25402_lociStitched	chr7	102062115	102093268	3	26709	91057.1037	21	1
1_MACS_peak_1792_lociStitched	chr1	156626830	156638747	1	11918	90999.4037	22	1
4_MACS_peak_26836_lociStitched	chr8	103793372	103828747	4	27401	89431.5375	23	1
2_MACS_peak_1799_lociStitched	chr1	156708869	156723196	2	13494	89307.3545	24	1
9_MACS_peak_17765_lociStitched	chr22	39822916	39871639	9	39437	88822.029	25	1
7_MACS_peak_5819_lociStitched	chr12	48191002	48227734	7	28306	87940.0812	26	1
2_MACS_peak_2387_lociStitched	chr1	206727293	206750506	2	20095	85948.4538	27	1
1_MACS_peak_23817_lociStitched	chr6	106531150	106556885	1	25736	85877.695	28	1
1_MACS_peak_5546_lociStitched	chr12	12865982	12880738	1	14757	85035.8768	29	1
5_MACS_peak_11509_lociStitched	chr17	56401711	56431001	5	20648	84686.177	30	1
5_MACS_peak_1955_lociStitched	chr1	167502308	167535359	5	25092	84151.1511	31	1
3_MACS_peak_14138_lociStitched	chr2	20397914	20426441	3	23126	82796.7648	32	1
2_MACS_peak_25178_lociStitched	chr7	81418075	81443129	2	22655	81235.0896	33	1
6_MACS_peak_12155_lociStitched	chr18	20800136	20848386	6	33534	78859.8	34	1
4_MACS_peak_29561_lociStitched	chrX	153232396	153255894	4	16550	78290.6364	35	1
2_MACS_peak_8348_lociStitched	chr15	31545353	31562412	2	16029	75226.7782	36	1
2_MACS_peak_28346_lociStitched	chr9	132244248	132261063	2	15734	74631.696	37	1
2_MACS_peak_1721_lociStitched	chr1	154966166	154979573	2	11549	74571.0747	38	1
1_MACS_peak_1763_lociStitched	chr1	155943492	155954487	1	10996	74287.7175	39	1
3_MACS_peak_10974_lociStitched	chr17	32688735	32721710	3	29726	73916.76	40	1
5_MACS_peak_24677_lociStitched	chr7	29677592	29726602	5	31556	73828.664	41	1
7_MACS_peak_9205_lociStitched	chr15	93346261	93389674	7	24667	73068.4203	42	1
1_MACS_peak_21218_lociStitched	chr5	1310410	1321755	1	11346	72470.7255	43	1
1_MACS_peak_17724_lociStitched	chr22	38782066	38798378	1	16313	72095.7776	44	1
5_MACS_peak_8084_lociStitched	chr14	95944624	95987294	5	29810	70516.442	45	1
3_MACS_peak_25880_lociStitched	chr7	150062712	150086725	3	22255	70312.4653	46	1
1_MACS_peak_24609_lociStitched	chr7	23504539	23519666	1	15128	68867.1802	47	1
5_MACS_peak_13550_lociStitched	chr19	45240478	45274734	5	21634	68275.6336	48	1
2_MACS_peak_15914_lociStitched	chr2	219741463	219763269	2	19012	67879.8974	49	1
6_MACS_peak_1724_lociStitched	chr1	155021944	155059552	6	23704	67393.536	50	1
1_MACS_peak_2144_lociStitched	chr1	184709295	184725442	1	16148	66824.3595	51	1
1_MACS_peak_17427_lociStitched	chr22	23265273	23286741	1	21469	66114.9996	52	1
1_MACS_peak_2322_lociStitched	chr1	203288136	203299829	1	11694	65525.2334	53	1
1_MACS_peak_21090_lociStitched	chr4	185200369	185211171	1	10803	65185.7492	54	1
5_MACS_peak_17217_lociStitched	chr21	44829754	44860250	5	22581	64587.4784	55	1
5_MACS_peak_28152_lociStitched	chr9	123630126	123667712	5	23789	63381.2718	56	1
5_MACS_peak_23717_lociStitched	chr6	90055962	90085915	5	21004	63140.924	57	1
1_MACS_peak_3015_lociStitched	chr10	15824877	15838265	1	13389	63102.9992	58	1
9_MACS_peak_17417_lociStitched	chr22	23189886	23247650	9	39813	61969.2192	59	1
5_MACS_peak_23494_lociStitched	chr6	52392254	52424802	5	27288	59920.868	60	1
4_MACS_peak_11544_lociStitched	chr17	57902417	57931578	4	25798	58686.5125	61	1
3_MACS_peak_10721_lociStitched	chr17	16872088	16895546	3	18296	58675.4954	62	1
1_MACS_peak_2432_lociStitched	chr1	209274225	209286359	1	12135	58288.0958	63	1
5_MACS_peak_16428_lociStitched	chr20	32250409	32275094	5	20284	58064.057	64	1
7_MACS_peak_5447_lociStitched	chr12	7045895	7081108	7	23547	58027.5027	65	1
4_MACS_peak_11116_lociStitched	chr17	38462394	38487512	4	23002	57831.6832	66	1
4_MACS_peak_23855_lociStitched	chr6	108897191	108933104	4	28970	56864.6442	67	1
4_MACS_peak_28364_lociStitched	chr9	132646047	132673963	4	22112	56314.9468	68	1
3_MACS_peak_12304_lociStitched	chr18	46439317	46462721	3	22380	56171.9404	69	1
3_MACS_peak_23028_lociStitched	chr6	27093841	27116244	3	20395	55463.1071	70	1
4_MACS_peak_11868_lociStitched	chr17	76711393	76746415	4	25009	55250.7072	71	1
7_MACS_peak_16346_lociStitched	chr20	25261081	25300763	7	22122	55114.3298	72	1
1_MACS_peak_20539_lociStitched	chr4	105405251	105418032	1	12782	55009.424	73	1
3_MACS_peak_5948_lociStitched	chr12	53582728	53605672	3	19759	54849.9264	74	1
3_MACS_peak_16447_lociStitched	chr20	32461208	32477563	3	14074	54751.6335	75	1
1_MACS_peak_2736_lociStitched	chr1	234733776	234749920	1	16145	54561.8768	76	1
3_MACS_peak_10750_lociStitched	chr17	17720928	17744817	3	22879	54502.7535	77	1
1_MACS_peak_5390_lociStitched	chr12	4377065	4388446	1	11382	54240.7079	78	1
4_MACS_peak_13413_lociStitched	chr19	39880732	39904388	4	16715	54184.068	79	1
5_MACS_peak_1710_lociStitched	chr1	154821614	154860726	5	23489	53794.6448	80	1
5_MACS_peak_8425_lociStitched	chr15	40329933	40363482	5	20110	53701.8843	81	1
2_MACS_peak_22839_lociStitched	chr6	11711752	11736502	2	19437	53613.45	82	1
3_MACS_peak_5968_lociStitched	chr12	53845159	53875376	3	26912	53453.873	83	1
