#12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_peaks Enhancers
#Created from /data/projects/IRF4_mm_trn_data/p300_internal_ChIP/rose/12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_ROSE/12_0EWY_0229Kronos_MM1S-No-Treatment-2_H3K27Ac_hs-dm_i21_peaks_6KB_STITCHED_ENHANCER_REGION_MAP.txt
#Ranked by X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam
#Using cutoff of 21686.6089 for Super-Enhancers
#Created on Jul 18 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	isStretch
6_MACS_peak_22574_lociStitched	chr6	108878218	108975008	6	86823	199029.277	16318.794	1	1
7_MACS_peak_9342_lociStitched	chr16	11765873	11843329	7	70424	195832.0048	16745.9872	2	1
8_MACS_peak_18147_lociStitched	chr3	141079083	141160634	8	67000	328177.5342	18267.424	3	1
5_MACS_peak_13974_lociStitched	chr2	99054428	99132454	5	64134	302241.5136	17914.7696	4	1
9_MACS_peak_7925_lociStitched	chr14	91812871	91885875	9	62826	182276.3872	8650.974	5	1
8_MACS_peak_1311_lociStitched	chr1	118136975	118219316	8	61173	225095.5917	10300.8591	6	1
6_MACS_peak_15510_lociStitched	chr20	30249136	30312238	6	55790	174104.7282	13017.9426	7	1
4_MACS_peak_13355_lociStitched	chr2	37526045	37586500	4	50771	227951.623	13306.1455	8	1
4_MACS_peak_11521_lociStitched	chr18	9101617	9158228	4	48609	158471.1723	11650.5438	9	1
4_MACS_peak_11111_lociStitched	chr17	62132919	62187423	4	47161	112469.004	11331.3816	10	1
5_MACS_peak_22195_lociStitched	chr6	52392441	52443078	5	42828	109112.6076	10892.0187	11	1
1_MACS_peak_21575_lociStitched	chr6	7878028	7920367	1	42340	266375.8185	12257.1405	12	1
7_MACS_peak_15557_lociStitched	chr20	32398778	32452254	7	40420	93192.6252	11106.9652	13	1
5_MACS_peak_11768_lociStitched	chr18	46440302	46483076	5	38035	74751.8424	8011.5702	14	1
5_MACS_peak_1598_lociStitched	chr1	154908006	154957995	5	38035	203385.2454	15576.5724	15	1
6_MACS_peak_21364_lociStitched	chr5	173310059	173357109	6	36959	55020.27	7805.595	16	1
4_MACS_peak_10633_lociStitched	chr17	34597879	34641474	4	36277	117649.8265	11469.8445	17	1
5_MACS_peak_21472_lociStitched	chr6	290045	337873	5	35766	187069.6564	16122.8188	18	1
7_MACS_peak_9860_lociStitched	chr16	68269905	68320910	7	35353	81730.412	9670.548	19	1
6_MACS_peak_20912_lociStitched	chr5	131789644	131837968	6	33748	112111.68	10930.8888	20	1
5_MACS_peak_25479_lociStitched	chr8	120912554	120948116	5	33579	77788.3188	7201.305	21	1
5_MACS_peak_16979_lociStitched	chr3	5221718	5257157	5	33299	107011.6044	7700.8947	22	1
6_MACS_peak_8211_lociStitched	chr15	31616886	31660608	6	32418	79307.3358	7231.6188	23	1
6_MACS_peak_9972_lociStitched	chr16	78768101	78805033	6	32183	32843.6276	4631.2728	24	1
2_MACS_peak_5923_lociStitched	chr12	53845127	53876649	2	31479	69461.8792	6578.6414	25	1
7_MACS_peak_5409_lociStitched	chr12	7045079	7085909	7	30788	101262.483	7741.368	26	1
4_MACS_peak_3843_lociStitched	chr10	125822026	125854590	4	29778	74633.4316	6395.5696	27	1
3_MACS_peak_8690_lociStitched	chr15	68568534	68599527	3	29398	68937.7299	6006.4434	28	1
2_MACS_peak_5250_lociStitched	chr11	128583454	128618473	2	28674	94922.5014	7728.6933	29	1
1_MACS_peak_15105_lociStitched	chr2	232687050	232715239	1	28190	59955.1841	3560.2707	30	1
6_MACS_peak_25205_lociStitched	chr8	81046162	81084508	6	27715	66603.1674	7212.8826	31	1
6_MACS_peak_15489_lociStitched	chr20	25261410	25303004	6	27554	118364.0458	7095.9364	32	1
4_MACS_peak_20022_lociStitched	chr5	1311482	1346061	4	27526	125532.1437	7382.6165	33	1
3_MACS_peak_2781_lociStitched	chr10	11278676	11313063	3	27453	76421.6688	6633.2523	34	1
1_MACS_peak_23644_lociStitched	chr7	55615792	55642893	1	27102	69549.2963	5832.1352	35	1
4_MACS_peak_10629_lociStitched	chr17	34509792	34539869	4	27032	115369.3566	8656.1606	36	1
2_MACS_peak_8080_lociStitched	chr14	106024501	106052797	2	26788	108851.8824	5124.4056	37	1
6_MACS_peak_10585_lociStitched	chr17	32690467	32727021	6	26773	125647.0642	8210.0284	38	1
5_MACS_peak_18508_lociStitched	chr3	183224314	183261408	5	26455	101073.7312	12163.1226	39	1
5_MACS_peak_16670_lociStitched	chr22	37611065	37642281	5	25725	65803.328	6343.0912	40	1
1_MACS_peak_22542_lociStitched	chr6	106530512	106555925	1	25414	104610.0732	6134.6982	41	1
4_MACS_peak_11345_lociStitched	chr17	76711025	76746825	4	25224	95822.28	7478.62	42	1
2_MACS_peak_5908_lociStitched	chr12	53573107	53604040	2	25201	136940.391	7222.8555	43	1
2_MACS_peak_16457_lociStitched	chr22	23221486	23247674	2	25167	125699.7812	4808.1168	44	1
3_MACS_peak_4542_lociStitched	chr11	65183322	65214694	3	25158	153453.0008	8068.8784	45	1
3_MACS_peak_6659_lociStitched	chr12	123355160	123387260	3	25122	64151.85	4413.75	46	1
2_MACS_peak_19359_lociStitched	chr4	90204950	90230282	2	25118	122832.3348	6001.1508	47	1
3_MACS_peak_1658_lociStitched	chr1	156449675	156476233	3	24942	90398.1204	8267.5054	48	1
2_MACS_peak_12398_lociStitched	chr19	16243462	16273299	2	24789	66282.8955	6274.7211	49	1
7_MACS_peak_7989_lociStitched	chr14	95945680	95986143	7	24278	40600.5742	3730.6886	50	1
3_MACS_peak_6455_lociStitched	chr12	109009148	109036353	3	24247	123494.377	6610.815	51	1
4_MACS_peak_22441_lociStitched	chr6	90053604	90086370	4	24242	81921.5532	6939.8388	52	1
5_MACS_peak_8771_lociStitched	chr15	75065281	75093292	5	23895	68993.8941	5899.1166	53	1
2_MACS_peak_13175_lociStitched	chr2	20397178	20426422	2	23702	89121.09	5819.556	54	1
4_MACS_peak_24040_lociStitched	chr7	102063471	102093248	4	23561	105723.2385	6294.8578	55	1
9_MACS_peak_22861_lociStitched	chr6	138246861	138297598	9	23427	58347.55	9401.5661	56	1
3_MACS_peak_20909_lociStitched	chr5	131744809	131774311	3	23182	106522.8714	6791.3604	57	1
2_MACS_peak_4175_lociStitched	chr11	22676707	22703956	2	23066	85738.9785	4874.8461	58	1
5_MACS_peak_24792_lociStitched	chr8	27208510	27242164	5	22833	59227.6746	6646.665	59	1
4_MACS_peak_13951_lociStitched	chr2	97190594	97220886	4	22832	76820.512	5667.6332	60	1
2_MACS_peak_2232_lociStitched	chr1	206727980	206754738	2	22583	74258.8016	7821.3634	61	1
4_MACS_peak_10366_lociStitched	chr17	16863550	16895316	4	22436	108782.667	7188.6458	62	1
4_MACS_peak_19924_lociStitched	chr4	185317593	185350390	4	22405	61366.4667	6913.6076	63	1
1_MACS_peak_24492_lociStitched	chr7	150062646	150085026	1	22381	111765.72	6532.722	64	1
4_MACS_peak_14737_lociStitched	chr2	197023817	197048704	4	22014	54395.5159	5661.7925	65	1
2_MACS_peak_2167_lociStitched	chr1	203255008	203281716	2	21988	141304.0156	9219.6016	66	1
1_MACS_peak_2776_lociStitched	chr10	11202461	11224351	1	21891	162290.271	5708.912	67	1
2_MACS_peak_1648_lociStitched	chr1	156115376	156137324	2	21861	100603.0476	7260.3984	68	1
2_MACS_peak_26494_lociStitched	chr9	112903390	112925440	2	21697	50262.975	5201.595	69	1
2_MACS_peak_9751_lociStitched	chr16	56963309	56986021	2	21554	72669.3152	5257.828	70	1
3_MACS_peak_8088_lociStitched	chr14	106144915	106169453	3	21518	73147.778	3153.133	71	1
4_MACS_peak_12714_lociStitched	chr19	42037807	42070292	4	21325	58307.3265	6334.575	72	1
2_MACS_peak_10626_lociStitched	chr17	34408906	34432844	2	21305	67821.1416	6001.2566	73	1
2_MACS_peak_443_lociStitched	chr1	31210398	31233321	2	20827	92828.9808	5150.7981	74	1
4_MACS_peak_4049_lociStitched	chr11	10314764	10345192	4	20796	75637.9224	5693.0788	75	1
3_MACS_peak_18389_lociStitched	chr3	171801653	171827063	3	20772	88673.277	7935.543	76	1
1_MACS_peak_16238_lociStitched	chr21	41324700	41345464	1	20765	58888.7804	6544.8128	77	1
3_MACS_peak_11035_lociStitched	chr17	56404974	56431112	3	20734	105631.4994	6973.6184	78	1
2_MACS_peak_15314_lociStitched	chr20	5570535	5592570	2	20295	40535.586	4023.591	79	1
1_MACS_peak_20607_lociStitched	chr5	88111122	88131362	1	20241	71888.432	4426.488	80	1
3_MACS_peak_17726_lociStitched	chr3	98472577	98496073	3	20224	58516.788	4788.4848	81	1
5_MACS_peak_21838_lociStitched	chr6	27774585	27808066	5	20063	84686.8414	6739.7253	82	1
5_MACS_peak_11349_lociStitched	chr17	76753715	76780277	5	19990	61785.8682	4990.9998	83	1
2_MACS_peak_1501_lociStitched	chr1	150532141	150553132	2	19801	87626.9295	7327.9581	84	1
6_MACS_peak_14842_lociStitched	chr2	204548213	204585330	6	19689	51191.7664	8844.9811	85	1
4_MACS_peak_1476_lociStitched	chr1	149802784	149834669	4	19506	105092.96	9026.6435	86	1
1_MACS_peak_15871_lociStitched	chr20	52194470	52213954	1	19485	57768.1116	3472.0488	87	1
3_MACS_peak_1580_lociStitched	chr1	154370253	154394635	3	19224	76815.491	7307.2854	88	1
5_MACS_peak_26677_lociStitched	chr9	130531920	130566722	5	19118	58735.3354	5662.2854	89	1
4_MACS_peak_7862_lociStitched	chr14	81930661	81956300	4	18998	40212.2076	2620.3058	90	1
1_MACS_peak_19005_lociStitched	chr4	40190985	40209803	1	18819	88004.2588	4862.5712	91	1
7_MACS_peak_17350_lociStitched	chr3	46319649	46347304	7	18812	40592.009	5412.0835	92	1
5_MACS_peak_13903_lociStitched	chr2	88898853	88928674	5	18805	41674.8475	5642.1332	93	1
3_MACS_peak_24579_lociStitched	chr8	2027160	2050919	3	18776	103313.6356	4825.4529	94	1
4_MACS_peak_17043_lociStitched	chr3	13035656	13061626	4	18725	97052.487	5879.608	95	1
4_MACS_peak_12092_lociStitched	chr19	2595011	2628928	4	18711	127582.1872	9924.1142	96	1
7_MACS_peak_25539_lociStitched	chr8	126285310	126316060	7	18379	42038.325	6254.55	97	1
2_MACS_peak_4549_lociStitched	chr11	65254336	65279049	2	18372	86273.083	5365.1923	98	1
5_MACS_peak_23487_lociStitched	chr7	38383599	38408568	5	18238	27780.5094	5428.2606	99	1
3_MACS_peak_12660_lociStitched	chr19	39880731	39904040	3	18219	85854.0397	4785.3377	100	1
2_MACS_peak_20323_lociStitched	chr5	55272598	55291984	2	18215	34330.6674	3819.042	101	1
2_MACS_peak_10714_lociStitched	chr17	38465321	38483734	2	18116	72735.0326	4284.7051	102	1
1_MACS_peak_23642_lociStitched	chr7	55569039	55587076	1	18038	40536.3538	3367.5079	103	1
6_MACS_peak_8990_lociStitched	chr15	89646655	89676920	6	18034	61138.3265	5375.064	104	1
4_MACS_peak_16303_lociStitched	chr21	45552574	45580620	4	17961	108538.02	7266.7186	105	1
3_MACS_peak_21763_lociStitched	chr6	25366043	25390238	3	17857	42188.8215	4914.0045	106	1
3_MACS_peak_11221_lociStitched	chr17	72733737	72757070	3	17745	38800.4457	4783.265	107	1
4_MACS_peak_11517_lociStitched	chr18	9055113	9085237	4	17690	89423.094	6103.1224	108	1
5_MACS_peak_9475_lociStitched	chr16	22195012	22218998	5	17516	47969.6014	5075.4376	109	1
4_MACS_peak_7330_lociStitched	chr13	115023409	115048836	4	17408	57309.9153	4767.5625	110	1
4_MACS_peak_8325_lociStitched	chr15	40834398	40862685	4	17345	43228.1934	5756.4045	111	1
3_MACS_peak_12021_lociStitched	chr19	1015166	1041700	3	17326	42541.9622	6426.5348	112	1
3_MACS_peak_12068_lociStitched	chr19	2073555	2098539	3	17286	123068.6856	7844.976	113	1
