REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X12_0EWY_0229Kronos_MM1S.No.Treatment.2_H3K27Ac_hs.dm_i21.bam	X36_0EXO_0229Kronos_MM1S.No.Treatment.2_Input_hs_i78.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	enhancerRank.1	isSuper
8_MACS_peak_18147_lociStitched	chr3	141079083	141160634	8	67000	328177.5342	18267.424	1	ZBTB38	RASA2	ZBTB38	1	1
5_MACS_peak_13974_lociStitched	chr2	99054428	99132454	5	64134	302241.5136	17914.7696	2	INPP4A		INPP4A	2	1
1_MACS_peak_21575_lociStitched	chr6	7878028	7920367	1	42340	266375.8185	12257.1405	3	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	3	1
8_MACS_peak_1311_lociStitched	chr1	118136975	118219316	8	61173	225095.5917	10300.8591	4	FAM46C		FAM46C	4	1
4_MACS_peak_13355_lociStitched	chr2	37526045	37586500	4	50771	227951.623	13306.1455	5	QPCT,PRKD3		PRKD3	5	1
5_MACS_peak_1598_lociStitched	chr1	154908006	154957995	5	38035	203385.2454	15576.5724	6	CKS1B,MIR4258,FLAD1,PMVK,PBXIP1,PYGO2,SHC1	LENEP,ZBTB7B,DCST1,DCST2	PYGO2	6	1
6_MACS_peak_22574_lociStitched	chr6	108878218	108975008	6	86823	199029.277	16318.794	7	FOXO3		FOXO3	7	1
7_MACS_peak_9342_lociStitched	chr16	11765873	11843329	7	70424	195832.0048	16745.9872	8	SNN,TXNDC11	ZC3H7A	TXNDC11	8	1
9_MACS_peak_7925_lociStitched	chr14	91812871	91885875	9	62826	182276.3872	8650.974	9	CCDC88C		CCDC88C	9	1
5_MACS_peak_21472_lociStitched	chr6	290045	337873	5	35766	187069.6564	16122.8188	10	DUSP22		DUSP22	10	1
6_MACS_peak_15510_lociStitched	chr20	30249136	30312238	6	55790	174104.7282	13017.9426	11	BCL2L1	COX4I2,TPX2	BCL2L1	11	1
1_MACS_peak_2776_lociStitched	chr10	11202461	11224351	1	21891	162290.271	5708.912	12	CELF2		CELF2	12	1
4_MACS_peak_11521_lociStitched	chr18	9101617	9158228	4	48609	158471.1723	11650.5438	13	NDUFV2,ANKRD12		ANKRD12	13	1
3_MACS_peak_4542_lociStitched	chr11	65183322	65214694	3	25158	153453.0008	8068.8784	14	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	14	1
2_MACS_peak_2167_lociStitched	chr1	203255008	203281716	2	21988	141304.0156	9219.6016	15	BTG2,LOC730227	FMOD	LOC730227	15	1
2_MACS_peak_5908_lociStitched	chr12	53573107	53604040	2	25201	136940.391	7222.8555	16	ZNF740,CSAD,ITGB7	MFSD5,RARG	ITGB7	16	1
2_MACS_peak_16457_lociStitched	chr22	23221486	23247674	2	25167	125699.7812	4808.1168	17	IGLL5		IGLL5	17	1
4_MACS_peak_20022_lociStitched	chr5	1311482	1346061	4	27526	125532.1437	7382.6165	18	CLPTM1L	TERT	CLPTM1L	18	1
4_MACS_peak_12092_lociStitched	chr19	2595011	2628928	4	18711	127582.1872	9924.1142	19	GNG7		GNG7	19	1
6_MACS_peak_10585_lociStitched	chr17	32690467	32727021	6	26773	125647.0642	8210.0284	20		CCL8,CCL13,CCL1	CCL1	20	1
3_MACS_peak_6455_lociStitched	chr12	109009148	109036353	3	24247	123494.377	6610.815	21	SELPLG	TMEM119	SELPLG	21	1
2_MACS_peak_19359_lociStitched	chr4	90204950	90230282	2	25118	122832.3348	6001.1508	22	GPRIN3		GPRIN3	22	1
2_MACS_peak_16459_lociStitched	chr22	23269422	23286287	2	16842	121490.4005	4734.0055	23		IGLL5	IGLL5	23	1
3_MACS_peak_12068_lociStitched	chr19	2073555	2098539	3	17286	123068.6856	7844.976	24	IZUMO4,MOBKL2A	MKNK2	MOBKL2A	24	1
6_MACS_peak_15489_lociStitched	chr20	25261410	25303004	6	27554	118364.0458	7095.9364	25	PYGB,ABHD12		PYGB	25	1
1_MACS_peak_5505_lociStitched	chr12	12866204	12882037	1	15834	113728.439	3807.8365	26	CDKN1B,APOLD1	MIR613,GPR19	CDKN1B	26	1
4_MACS_peak_10629_lociStitched	chr17	34509792	34539869	4	27032	115369.3566	8656.1606	27	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	27	1
4_MACS_peak_10633_lociStitched	chr17	34597879	34641474	4	36277	117649.8265	11469.8445	28	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	28	1
1_MACS_peak_24492_lociStitched	chr7	150062646	150085026	1	22381	111765.72	6532.722	29	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	29	1
2_MACS_peak_8080_lociStitched	chr14	106024501	106052797	2	26788	108851.8824	5124.4056	30		TMEM121	TMEM121	30	1
4_MACS_peak_10366_lociStitched	chr17	16863550	16895316	4	22436	108782.667	7188.6458	31	TNFRSF13B		TNFRSF13B	31	1
4_MACS_peak_16303_lociStitched	chr21	45552574	45580620	4	17961	108538.02	7266.7186	32	C21orf33	PWP2	C21orf33	32	1
6_MACS_peak_20912_lociStitched	chr5	131789644	131837968	6	33748	112111.68	10930.8888	33	C5orf56,IRF1	IL5	IRF1	33	1
4_MACS_peak_11111_lociStitched	chr17	62132919	62187423	4	47161	112469.004	11331.3816	34	ERN1	SNORD104,SNORA76,ICAM2	ERN1	34	1
3_MACS_peak_20909_lociStitched	chr5	131744809	131774311	3	23182	106522.8714	6791.3604	35	C5orf56	SLC22A5,MIR3936	C5orf56	35	1
4_MACS_peak_24040_lociStitched	chr7	102063471	102093248	4	23561	105723.2385	6294.8578	36	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	36	1
5_MACS_peak_16979_lociStitched	chr3	5221718	5257157	5	33299	107011.6044	7700.8947	37	ARL8B,EDEM1		EDEM1	37	1
1_MACS_peak_14798_lociStitched	chr2	201979855	201994924	1	15070	102642.4935	3925.4745	38	CFLAR	NDUFB3,FAM126B	CFLAR	38	1
3_MACS_peak_11035_lociStitched	chr17	56404974	56431112	3	20734	105631.4994	6973.6184	39	BZRAP1,MIR142,SUPT4H1,RNF43	MPO	MIR142	39	1
3_MACS_peak_24579_lociStitched	chr8	2027160	2050919	3	18776	103313.6356	4825.4529	40	MYOM2		MYOM2	40	1
1_MACS_peak_22542_lociStitched	chr6	106530512	106555925	1	25414	104610.0732	6134.6982	41	PRDM1		PRDM1	41	1
5_MACS_peak_22195_lociStitched	chr6	52392441	52443078	5	42828	109112.6076	10892.0187	42	TRAM2		TRAM2	42	1
4_MACS_peak_1476_lociStitched	chr1	149802784	149834669	4	19506	105092.96	9026.6435	43	HIST2H4B,HIST2H2AA4,HIST2H3A,HIST2H2BC	FCGR1A,HIST2H2AC,BOLA1,HIST2H2BF,HIST2H3D,HIST2H2BE,HIST2H2AB	HIST2H2BC	43	1
4_MACS_peak_12417_lociStitched	chr19	16693314	16717380	4	16623	101038.6944	5130.8712	44	MED26	CHERP,SLC35E1	SLC35E1	44	1
7_MACS_peak_5409_lociStitched	chr12	7045079	7085909	7	30788	101262.483	7741.368	45	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	45	1
2_MACS_peak_1648_lociStitched	chr1	156115376	156137324	2	21861	100603.0476	7260.3984	46	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	46	1
4_MACS_peak_17043_lociStitched	chr3	13035656	13061626	4	18725	97052.487	5879.608	47	IQSEC1	IQSEC1	IQSEC1	47	1
5_MACS_peak_18508_lociStitched	chr3	183224314	183261408	5	26455	101073.7312	12163.1226	48	KLHL6		KLHL6	48	1
4_MACS_peak_11345_lociStitched	chr17	76711025	76746825	4	25224	95822.28	7478.62	49	CYTH1		CYTH1	49	1
2_MACS_peak_443_lociStitched	chr1	31210398	31233321	2	20827	92828.9808	5150.7981	50	LAPTM5	LOC100129196,MATN1	LAPTM5	50	1
2_MACS_peak_2193_lociStitched	chr1	204474339	204492463	2	15080	92965.2456	5674.6244	51	MDM4	PIK3C2B	MDM4	51	1
2_MACS_peak_5250_lociStitched	chr11	128583454	128618473	2	28674	94922.5014	7728.6933	52	FLI1		FLI1	52	1
