GENE_ID	locusLine	bin_1_20_0EX6_0229Kronos_MM1S-KB-24hr-2_H3K27Ac_hs-dm_i43.bam
NM_001990	chr1(.):28295818-28420131	0.4437
NM_001006605	chr1(.):93302720-93432079	0.5275
NM_001113228	chr1(.):107677628-108029475	0.2016
NM_014917	chr1(.):107677744-108029475	0.2016
NM_001010935	chr1(.):112157404-112261101	0.1442
NM_201569	chr1(.):183436505-183528328	0.5708
NM_003820	chr1(.):2482804-2500267	1.0987
NM_017940	chr1(.):16885411-16944982	0.2763
NR_026567	chr1(.):17012712-17051652	0.0948
NM_001113348	chr1(.):21538739-21677034	0.3602
NM_004091	chr1(.):23827921-23862713	1.5387
NM_020448	chr1(.):24737244-24804473	0.1357
NM_173065	chr1(.):24475646-24518751	3.1147
NM_002379	chr1(.):31179123-31201432	0.1708
NR_034182	chr1(.):31186618-31204593	0.1999
NM_181809	chr1(.):39952317-40000541	1.4709
NM_174964	chr1(.):44168217-44401831	0.2972
NM_001081976	chr1(.):112020969-112111597	0.1907
NM_001195260	chr1(.):144946760-145002111	0.8779
NM_153713	chr1(.):145472084-145504091	0.1917
NM_022359	chr1(.):144946760-145081186	0.4684
NM_001002812	chr1(.):144885590-145000022	0.892
NM_014644	chr1(.):144846426-145000022	0.6865
NM_001195261	chr1(.):144946760-145000082	0.9012
NM_001198834	chr1(.):144846423-145000033	0.6864
NM_001002810	chr1(.):144946760-145000033	0.9019
NM_001198832	chr1(.):144846423-145044992	0.5796
NM_207168	chr1(.):150594521-150607098	1.3032
NM_015203	chr1(.):150331989-150454041	0.4098
NM_020524	chr1(.):154911558-154933567	5.4746
NM_181359	chr1(.):154372668-154445188	1.657
NM_002249	chr1(.):154674914-154847754	0.8219
NM_170782	chr1(.):154674914-154837338	0.8594
NM_005572	chr1(.):156079460-156112657	0.36
NM_005973	chr1(.):156732273-156775609	0.4342
NM_012394	chr1(.):161065345-161092866	0.4737
NM_007348	chr1(.):161731083-161933852	0.3126
NM_014412	chr1(.):174963891-174986163	1.5479
NM_014857	chr1(.):174123633-174932327	0.0981
NM_001035230	chr1(.):174839683-174932327	0.1607
NM_001007214	chr1(.):174963570-174986163	1.528
NM_145034	chr1(.):179804101-179851941	0.6191
NM_015149	chr1(.):183600207-183902666	0.928
NM_144977	chr1(.):197516384-197749623	0.3648
NM_001195215	chr1(.):197468878-197749623	0.3186
NM_080921	chr1(.):198603136-198731545	0.4229
NM_014827	chr1(.):203759750-203828256	0.2472
NM_182663	chr1(.):206675878-206767616	0.9636
NM_001193338	chr1(.):207071630-207100235	2.3272
NM_005449	chr1(.):207071630-207100378	2.3165
NM_006147	chr1(.):209956261-209984479	0.2803
NM_002221	chr1(.):226814390-226931876	1.0214
NM_004481	chr1(.):230197955-230422875	0.7278
NM_032328	chr1(.):245128170-245256148	0.5103
NR_026588	chr1(.):245128630-245256148	0.5119
NR_026587	chr1(.):245128630-245293530	0.4084
NR_026586	chr1(.):245128283-245293530	0.4077
NM_001010926	chr1(.):2455183-2466684	0.1784
NR_026927	chr1(.):2476358-2489284	2.9234
NM_018216	chr1(.):2434974-2463035	0.0874
NM_001195741	chr1(.):2513188-2527908	0.27
NR_036638	chr1(.):2512898-2527908	0.2663
NR_026752	chr1(.):16939750-16962401	0.3318
NR_027504	chr1(.):16967068-16981915	1.4809
NR_002729	chr1(.):17076400-17095975	0.1046
NM_014675	chr1(.):17243444-17304474	0.0893
NM_001397	chr1(.):21538739-21621982	0.501
NM_001113347	chr1(.):21538739-21611183	0.0585
NM_001113349	chr1(.):21538739-21621766	0.4956
NM_017707	chr1(.):23750055-23815750	0.0458
NM_002167	chr1(.):23879408-23891322	1.1564
NM_021258	chr1(.):24441260-24474611	0.0917
NR_027087	chr1(.):24521729-24543180	2.4805
NM_198174	chr1(.):24640811-24695970	0.838
NM_198173	chr1(.):24640811-24686808	0.9943
NM_021180	chr1(.):24644529-24686808	1.0717
NM_001195010	chr1(.):24641055-24686808	0.9995
NM_001199013	chr1(.):24678488-24745262	0.7056
NM_001199012	chr1(.):24678488-24746587	0.6931
NM_006015	chr1(.):27017521-27113601	0.8095
NM_006762	chr1(.):31200314-31235683	4.4758
NR_003929	chr1(.):39982951-40030370	0.5074
NM_001198979	chr1(.):40854016-40893998	0.2777
NM_001198978	chr1(.):40835304-40893998	1.1418
NM_001198980	chr1(.):40857471-40893998	0.0978
NM_022733	chr1(.):40834377-40893998	1.1245
NM_006004	chr1(.):46764379-46787447	0.7662
NM_006369	chr1(.):46739071-46774038	0.5222
NM_199044	chr1(.):46801389-46835690	0.2561
NM_015696	chr1(.):53063042-53079723	0.0702
NM_001042693	chr1(.):53094065-53127737	1.1706
NM_001001933	chr1(.):75589118-75632218	1.4673
NM_006769	chr1(.):87789150-87819607	1.2258
NM_004974	chr1(.):111140775-111153345	0.0379
NM_002232	chr1(.):111209309-111222655	1.0807
NR_034126	chr1(.):112136628-112155940	1.9177
NM_017709	chr1(.):118143603-118176011	4.4906
NM_001123068	chr1(.):143762143-143772881	0.0577
NR_027469	chr1(.):143713512-143749587	1.4922
NR_027468	chr1(.):143713512-143749457	1.4972
NM_001002811	chr1(.):144885590-144937032	1.0299
NM_032305	chr1(.):145451235-145475387	2.8721
NM_202004	chr1(.):145408190-145422545	0.0826
NM_006472	chr1(.):145433461-145447628	4.6825
NM_001039888	chr1(.):145465507-145480647	0.3452
NM_005105	chr1(.):145502637-145516444	1.4294
NR_027468	chr1(.):147901021-147936980	0.7904
NM_001161334	chr1(.):149749244-149788928	0.487
NM_001034077	chr1(.):149799220-149809616	1.3864
NM_001005464	chr1(.):149807258-149817765	3.6105
NM_001040874	chr1(.):149808784-149819318	3.6054
NM_001123375	chr1(.):149779779-149790236	1.4349
NM_000566	chr1(.):149749249-149769074	0.1855
NM_005850	chr1(.):149890210-149904702	1.1878
NM_016074	chr1(.):149866154-149877348	0.2696
NM_003528	chr1(.):149851009-149863232	4.6123
NM_003517	chr1(.):149853524-149863961	5.3702
NM_175065	chr1(.):149854018-149864466	5.3659
NM_014849	chr1(.):149869871-149894434	0.155
NM_181873	chr1(.):149895542-149913266	1.2058
NM_001145862	chr1(.):149895542-149913791	1.1733
NR_036461	chr1(.):149816758-149827340	3.4345
NM_001040874	chr1(.):149817627-149828161	3.4454
NM_001005464	chr1(.):149819180-149829687	3.4442
NM_001034077	chr1(.):149827329-149837725	1.4611
NM_004698	chr1(.):150288927-150330704	0.2265
NM_019032	chr1(.):150516897-150538412	5.2067
NM_207046	chr1(.):150589598-150606609	1.0594
NR_036211	chr1(.):150519404-150529490	0.0922
NM_001197320	chr1(.):150542026-150557214	1.6246
NM_006556	chr1(.):154892207-154914484	2.8538
NM_001130041	chr1(.):154929773-154951959	2.9457
NM_001130040	chr1(.):154929773-154948223	3.0452
NM_201398	chr1(.):154950769-154970587	0.427
NM_015872	chr1(.):154970111-154995999	1.6061
NM_001184892	chr1(.):154950769-154966488	0.4979
NM_018655	chr1(.):154961061-154971791	0.2888
NM_001143687	chr1(.):155001281-155028406	0.2466
NR_024163	chr1(.):154942117-154956725	3.0504
NM_144622	chr1(.):154986002-155011257	0.4524
NM_138300	chr1(.):154924501-154939258	4.7676
NR_036212	chr1(.):154943168-154953259	3.7959
NM_006912	chr1(.):155862600-155886177	0.2095
NM_001162384	chr1(.):155911629-155953336	2.9347
NM_181885	chr1(.):155906479-155917625	2.2541
NM_004723	chr1(.):155911629-155952966	2.9574
NM_014949	chr1(.):155877835-155909188	0.51
NR_002974	chr1(.):155884699-155894833	0.0924
NR_003005	chr1(.):155890748-155900877	0.1205
NM_003145	chr1(.):155973838-155995758	0.3445
NM_014655	chr1(.):156158729-156187587	0.7614
NM_007221	chr1(.):156177783-156214833	0.8889
NM_022367	chr1(.):156118321-156152542	3.3725
NM_001193302	chr1(.):156118368-156152542	3.376
NM_001193301	chr1(.):156114734-156152542	3.156
NM_005920	chr1(.):156428518-156475529	1.4969
NM_004494	chr1(.):156706898-156726543	2.1752
NM_001126051	chr1(.):156706898-156727024	2.124
NM_001126050	chr1(.):156706898-156727240	2.1014
NM_030980	chr1(.):156687412-156702705	0.5133
NM_001878	chr1(.):156664407-156680375	0.0809
NM_001142560	chr1(.):156693262-156711752	0.9281
NM_145729	chr1(.):156702093-156715923	0.9212
NM_004833	chr1(.):159027274-159051647	2.1674
NM_001778	chr1(.):160643535-160686585	3.367
NM_003037	chr1(.):160574890-160622081	0.2732
NM_021181	chr1(.):160704076-160729601	1.7898
NM_152366	chr1(.):161063180-161075138	0.5524
NM_030916	chr1(.):161035780-161064385	0.912
NM_007122	chr1(.):161004040-161020757	4.1714
NM_001113205	chr1(.):161002421-161013774	0.4137
NR_033385	chr1(.):161063150-161075138	0.5511
NM_181720	chr1(.):161011731-161044760	2.8756
NM_016946	chr1(.):160960000-160996133	0.6536
NM_001039711	chr1(.):161085768-161107478	0.8051
NM_016406	chr1(.):161118533-161133646	1.9477
NM_004550	chr1(.):161164104-161189184	0.8315
NM_000309	chr1(.):161131180-161146010	1.267
NM_001643	chr1(.):161187082-161198418	1.2148
NM_001185094	chr1(.):161082907-161095984	0.465
NM_003779	chr1(.):161136100-161152314	1.9586
NM_012475	chr1(.):161124253-161140516	1.398
NM_001039712	chr1(.):161085768-161107256	0.8128
NM_005600	chr1(.):161082861-161095984	0.4635
NM_001185093	chr1(.):161082906-161095984	0.465
