REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X18_0EX4_0229Kronos_MM1S.KB.6hr.2_H3K27Ac_hs.dm_i37.bam	X42_0EXU_0229Kronos_MM1S.KB.6hr.2_Input_hs_i86.bam	enhancerRank	OVERLAP_GENES	PROXIMAL_GENES	CLOSEST_GENE	TOP_GENE	TSS_SIGNAL	enhancerRank	isStretch
6_MACS_peak_23877_lociStitched	chr6	108878208	108960677	6	75837	181646.2194	12807.4357	1	FOXO3		FOXO3	FOXO3	1.6648	1	1
9_MACS_peak_9761_lociStitched	chr16	11761577	11843304	9	71329	293032.1585	14261.3615	2	SNN,TXNDC11	ZC3H7A	TXNDC11	TXNDC11	3.7428	2	1
9_MACS_peak_19173_lociStitched	chr3	141079038	141151152	9	63578	508778.6928	14718.4674	3	ZBTB38		ZBTB38	ZBTB38	3.6868000000000003	3	1
6_MACS_peak_8288_lociStitched	chr14	91812818	91886084	6	60479	218677.0302	7018.8828	4	CCDC88C		CCDC88C	CCDC88C	1.5353	4	1
5_MACS_peak_14095_lociStitched	chr2	37525695	37588322	5	53288	238803.0137	10909.6234	5	QPCT,PRKD3		PRKD3	PRKD3	0.9066000000000001	5	1
4_MACS_peak_14763_lociStitched	chr2	99054617	99108382	4	48748	227952.847	10166.9615	6	INPP4A		INPP4A	INPP4A	1.5059	6	1
4_MACS_peak_16392_lociStitched	chr20	30261605	30312299	4	48378	205543.8924	10062.759	7	BCL2L1	COX4I2,TPX2	BCL2L1	BCL2L1	2.9121	7	1
2_MACS_peak_22811_lociStitched	chr6	7878308	7919710	2	41269	301791.5986	8893.1496	8	BMP6,MUTED-TXNDC5,TXNDC5		TXNDC5	TXNDC5	5.9241	8	1
8_MACS_peak_23477_lociStitched	chr6	52392497	52443165	8	39552	145979.5748	9125.3068	9	TRAM2		TRAM2	TRAM2	1.8882000000000003	9	1
6_MACS_peak_16436_lociStitched	chr20	32398649	32452401	6	38910	167845.9952	9976.3712	10	CHMP4B		CHMP4B	CHMP4B	2.5825	10	1
4_MACS_peak_12372_lociStitched	chr18	46440330	46482895	4	38647	111550.0955	7295.641	11	SMAD7		SMAD7	SMAD7	2.5089	11	1
3_MACS_peak_1392_lociStitched	chr1	118142003	118188289	3	38136	145763.8712	5230.318	12	FAM46C		FAM46C	FAM46C	3.6409	12	1
5_MACS_peak_11163_lociStitched	chr17	34597256	34641689	5	36789	125647.6374	9744.1569	13	CCL4L1,CCL3L1,CCL3L3	TBC1D3C	TBC1D3C	NONE	NONE	13	1
4_MACS_peak_11675_lociStitched	chr17	62150029	62187586	4	36135	112704.8013	7064.4717	14	ERN1	SNORD104,SNORA76	ERN1	ERN1	1.5903	14	1
5_MACS_peak_22698_lociStitched	chr6	289887	337909	5	34800	239202.3842	14901.2266	15	DUSP22		DUSP22	DUSP22	3.2209000000000003	15	1
7_MACS_peak_10466_lociStitched	chr16	78763256	78805024	7	34119	38167.5984	4176.8	16	WWOX		WWOX	WWOX	0.017899999999999992	16	1
8_MACS_peak_10343_lociStitched	chr16	68269789	68320889	8	33027	88822.02	8411.06	17	PLA2G15,SLC7A6,ESRP2	PRMT7,SLC7A6OS	SLC7A6	SLC7A6	0.8214	17	1
3_MACS_peak_4043_lociStitched	chr10	125821644	125854864	3	31783	147400.462	5949.702	18	CHST15		CHST15	CHST15	1.6019999999999999	18	1
5_MACS_peak_26919_lociStitched	chr8	120912365	120947934	5	29836	106070.3149	5925.7954	19	DEPDC6	DSCC1	DEPDC6	DEPDC6	0.7638	19	1
3_MACS_peak_9087_lociStitched	chr15	68568480	68599564	3	29664	92903.8592	5191.028	20	FEM1B,ITGA11	CLN6	FEM1B	FEM1B	2.3485	20	1
4_MACS_peak_17628_lociStitched	chr22	37610915	37642395	4	29617	103399.208	5678.992	21	RAC2	CYTH4,C1QTNF6,SSTR3	RAC2	RAC2	1.9592999999999998	21	1
2_MACS_peak_6176_lociStitched	chr12	53845199	53874875	2	29615	44430.9072	5027.1144	22	PCBP2,MAP3K12	AMHR2,PRR13,TARBP2,NPFF	PCBP2	PCBP2	1.0182	22	1
3_MACS_peak_8438_lociStitched	chr14	106023315	106053032	3	28749	257105.5406	5057.8334	23		TMEM121	TMEM121	TMEM121	0.1421	23	1
5_MACS_peak_22585_lociStitched	chr5	173309956	173344126	5	28694	63768.054	5849.904	24	CPEB4		CPEB4	CPEB4	0.7863	24	1
7_MACS_peak_5645_lociStitched	chr12	7045151	7085724	7	28441	110520.852	7148.9626	25	ATN1,C12orf57,PTPN6,MIR200C,MIR141,EMG1,PHB2,SCARNA12,LPCAT3	LRRC23,ENO2	PTPN6	PTPN6	3.5096000000000003	25	1
8_MACS_peak_19568_lociStitched	chr3	183219889	183261429	8	28288	124046.748	10854.402	26	KLHL6		KLHL6	KLHL6	1.8292	26	1
1_MACS_peak_15955_lociStitched	chr2	232687001	232714916	1	27916	53627.5065	3746.193	27		COPS7B,PDE6D,MIR1471	COPS7B	COPS7B	0.08280000000000001	27	1
5_MACS_peak_8576_lociStitched	chr15	31628780	31660530	5	27113	98913.95	5464.175	28	KLF13		KLF13	KLF13	1.9608999999999999	28	1
3_MACS_peak_25005_lociStitched	chr7	55616300	55643150	3	26507	68821.92	4728.285	29	VOPP1		VOPP1	VOPP1	2.1194	29	1
6_MACS_peak_11108_lociStitched	chr17	32688326	32719779	6	26296	171462.8842	6394.3949	30	CCL1	CCL8,CCL13	CCL1	CCL1	1.5795	30	1
4_MACS_peak_11158_lociStitched	chr17	34509498	34539955	4	26261	126134.6198	7029.4756	31	CCL4L1,CCL3L1,CCL3L3	TBC1D3B	CCL3L1	CCL3L1	4.459300000000001	31	1
1_MACS_peak_23842_lociStitched	chr6	106530359	106556378	1	26020	154984.7754	5214.2076	32	PRDM1		PRDM1	PRDM1	4.4595	32	1
4_MACS_peak_17391_lociStitched	chr22	23217752	23247844	4	25982	195402.402	4956.1524	33	IGLL5		IGLL5	IGLL5	9.747	33	1
4_MACS_peak_17953_lociStitched	chr3	5222274	5256465	4	25632	72850.7637	6041.5497	34	ARL8B,EDEM1		EDEM1	EDEM1	1.422	34	1
4_MACS_peak_8445_lociStitched	chr14	106143800	106173249	4	25570	184707.0729	3460.2575	35			TMEM121	TMEM121	0.1421	35	1
2_MACS_peak_1685_lociStitched	chr1	154907924	154936101	2	25371	165210.2041	7785.3051	36	PMVK,PBXIP1,PYGO2,SHC1	CKS1B,MIR4258,FLAD1,LENEP,ZBTB7B	PBXIP1	PBXIP1	3.8804999999999996	36	1
1_MACS_peak_5487_lociStitched	chr11	128584918	128610203	1	25286	107064.2755	5072.171	37	FLI1		FLI1	FLI1	1.0018	37	1
5_MACS_peak_11937_lociStitched	chr17	76710936	76746598	5	25258	73763.2808	6255.1148	38	CYTH1		CYTH1	CYTH1	0.9248999999999999	38	1
1_MACS_peak_20466_lociStitched	chr4	90204992	90230223	1	25232	205246.6157	5689.5905	39	GPRIN3		GPRIN3	GPRIN3	2.7505	39	1
4_MACS_peak_4773_lociStitched	chr11	65182804	65213539	4	24589	200011.086	6377.5125	40	NEAT1,MIR612	FRMD8,SLC25A45	NEAT1	NEAT1	12.093499999999999	40	1
9_MACS_peak_24179_lociStitched	chr6	138246655	138297659	9	24312	74221.0208	8308.5516	41			TNFAIP3	TNFAIP3	1.9794999999999998	41	1
4_MACS_peak_25435_lociStitched	chr7	102063267	102093283	4	24300	188419.4368	5255.8016	42	PRKRIP1,ORAI2	LRWD1,ALKBH4,POLR2J	ORAI2	ORAI2	3.2043	42	1
2_MACS_peak_12134_lociStitched	chr18	9132543	9157591	2	24182	69009.7448	4413.4576	43	NDUFV2,ANKRD12		ANKRD12	ANKRD12	0.4132	43	1
5_MACS_peak_16363_lociStitched	chr20	25261489	25302980	5	24007	113087.8696	6314.9302	44	PYGB,ABHD12		PYGB	PYGB	1.0730000000000002	44	1
4_MACS_peak_26228_lociStitched	chr8	27216345	27253317	4	23765	80813.3976	6573.6216	45	PTK2B	TRIM35	PTK2B	PTK2B	0.685	45	1
4_MACS_peak_2943_lociStitched	chr10	11278738	11304763	4	23714	66579.7575	4923.93	46	CELF2		CELF2	CELF2	1.36	46	1
6_MACS_peak_13400_lociStitched	chr19	42022494	42062557	6	23661	84769.3017	7119.1951	47		CEACAM21	CEACAM21	CEACAM21	0.007500000000000007	47	1
3_MACS_peak_22119_lociStitched	chr5	131744628	131774588	3	23538	145204.136	5803.252	48	C5orf56	SLC22A5,MIR3936	C5orf56	C5orf56	3.2067	48	1
2_MACS_peak_4400_lociStitched	chr11	22676823	22704095	2	23240	152000.492	4709.8744	49	GAS2	FANCF	GAS2	GAS2	0.9453999999999999	49	1
5_MACS_peak_23739_lociStitched	chr6	90055757	90086176	5	23234	104693.0723	5536.258	50	UBE2J1,RRAGD	GABRR2	UBE2J1	UBE2J1	1.8513	50	1
4_MACS_peak_13050_lociStitched	chr19	16243469	16273376	4	23104	66991.68	5359.3344	51	RAB8A,HSH2D,CIB3	FAM32A,AP1M1	HSH2D	HSH2D	1.7838	51	1
2_MACS_peak_12132_lociStitched	chr18	9101567	9126852	2	22995	79799.46	4925.518	52	NDUFV2	ANKRD12	NDUFV2	NDUFV2	2.6111999999999997	52	1
6_MACS_peak_8340_lociStitched	chr14	95945782	95986216	6	22867	42148.4016	3351.9786	53		GLRX5,C14orf49,SCARNA13,SNHG10	C14orf49	C14orf49	0.32339999999999997	53	1
5_MACS_peak_6732_lociStitched	chr12	109009416	109036336	5	22635	178180.788	5297.856	54	SELPLG	TMEM119	SELPLG	SELPLG	7.3884	54	1
1_MACS_peak_6160_lociStitched	chr12	53582235	53604155	1	21921	153641.664	4574.704	55	ZNF740,ITGB7	MFSD5,CSAD,RARG	ITGB7	ITGB7	5.7725	55	1
1_MACS_peak_13909_lociStitched	chr2	20404781	20426518	1	21738	130865.4348	4132.2037	56	SDC1		SDC1	SDC1	3.7104	56	1
2_MACS_peak_2280_lociStitched	chr1	203254912	203281721	2	21730	212110.1271	7782.6527	57	BTG2,LOC730227	FMOD	LOC730227	LOC730227	7.0367999999999995	57	1
2_MACS_peak_25906_lociStitched	chr7	150062629	150084816	2	21725	155413.2789	6163.5486	58	REPIN1,ZNF775	LRRC61,C7orf29,LOC728743,LOC285972,ACTR3C,RARRES2	ZNF775	LOC728743	3.9644000000000004	58	1
4_MACS_peak_21068_lociStitched	chr4	185317499	185350336	4	21724	104467.6318	5969.7666	59	IRF2		IRF2	IRF2	2.7277	59	1
7_MACS_peak_18339_lociStitched	chr3	46317877	46347411	7	21588	69112.5134	4917.411	60		CCR3,CCR2	CCR3	CCR2	1.6643999999999999	60	1
1_MACS_peak_2938_lociStitched	chr10	11202471	11224031	1	21561	175785.148	5066.6	61	CELF2		CELF2	CELF2	1.36	61	1
3_MACS_peak_19435_lociStitched	chr3	171801692	171827186	3	21548	129968.412	6592.7484	62	FNDC3B		FNDC3B	FNDC3B	0.34800000000000003	62	1
3_MACS_peak_1753_lociStitched	chr1	156449568	156476141	3	21401	76881.0036	6746.8847	63	MEF2D		MEF2D	MEF2D	1.4848000000000001	63	1
3_MACS_peak_28002_lociStitched	chr9	112903664	112925441	3	21302	79939.0116	4651.5672	64	PALM2-AKAP2,AKAP2	C9orf152	AKAP2	AKAP2	0.7389	64	1
2_MACS_peak_16769_lociStitched	chr20	52194350	52216096	2	21256	79033.6624	4064.3274	65	ZNF217		ZNF217	ZNF217	1.1924	65	1
4_MACS_peak_1740_lociStitched	chr1	156115288	156137017	4	20362	105181.3974	6031.9704	66	SEMA4A	LMNA,SLC25A44,PMF1	SEMA4A	SEMA4A	2.6364	66	1
1_MACS_peak_17153_lociStitched	chr21	41324608	41344956	1	20349	132131.7728	6370.9588	67			PCP4	PCP4	0.22939999999999997	67	1
5_MACS_peak_11797_lociStitched	chr17	72733208	72757475	5	20332	52831.6857	4375.3401	68	RAB37,SLC9A3R1,MIR3615	TMEM104,CD300LF,NAT9	SLC9A3R1	SLC9A3R1	1.1111	68	1
1_MACS_peak_465_lociStitched	chr1	31213139	31233461	1	20323	130300.5996	4513.5162	69	LAPTM5	LOC100129196,MATN1	LAPTM5	LAPTM5	3.587	69	1
6_MACS_peak_14738_lociStitched	chr2	97190793	97220694	6	20320	73652.1432	4431.3282	70	ARID5A	NEURL3	ARID5A	ARID5A	1.6366	70	1
